fff,name,countries,group,group2,disease,all_host,host_type,secondary,secondary_type,all_vectors,vector_type,Type,CFR.low,CFR.high,cases_per_year,GROUP,TYPE,Modelled_as,notes,amplified,h2h,Vector,sporadic.endemic,%_cases_modelled,cases_per_yearx,spillover_rate_outbreaks,outbreaks_per_year,cases_per_year,Ecoregion,Eco_code,Continent,continent_code,Location,first.date,R0,R0_ref,total_area,total_pop_at_risk,mean_lon,mean_lat,Incubation.low,Incubation.high,acute_low,acute_high,CFR.low,CFR.high,proportion.of.recovered.that.are.immmune,X..chronic.carrier,Chronicduration_low,Chronicduration_high,chronic.morbidity,Convalescence_length...non.infectious.recovery,reference,notes,reference,test1
1,rickettsia africae,"SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,SO,ET,KE,UG,TZ,BI,RW,CD,CG,GA,GQ,CM,CF,SS,SD,TD,MA,DZ,TN,LY,EG",bacteria,rickettsia,African tick bite fever,"amblyomma hebraeum,amblyomma lepidum,amblyomma variegatum,rhipicephalus appendiculatus,rhipicephalus decoloratus",invert,,,,,HOST->HUMAN,0,0,10000,BACTERIA,HOST->HUMAN,H,invert host,0,no,N,ENDEMIC,100,0.1,1.41E-10,,0.1,TR,1,"AF,NthA","1,4","SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,SO,ET,KE,UG,TZ,BI,RW,CD,CG,GA,GQ,CM,CF,SS,SD,TD,MA,DZ,TN,LY,EG",1911,0,,2170988,708443706,11.24367647,10.44735294,2,15,14,14,0,0,100,0,0,0,0,0,Werthiem,,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1265907/,176
2,echinococcosis multilocularis,"AG,DZ,AZ,AL,AM,AO,AS,AR,AU,BH,BB,BM,BS,BD,BZ,BA,BO,MM,BJ,SB,BR,BG,BN,CA,KH,LK,CG,CD,BI,CN,AF,BT,CL,KY,CM,TD,KM,CO,CR,CF,CU,CV,CK,CY,DK,DJ,DM,DO,EC,EG,IE,GQ,EE,ER,SV,ET,AT,CZ,GF,FI,FJ,FK,FM,PF,FR,GM,GA,GE,GH,GD,GL,DE,GU,GR,GT,GN,GY,HT,HN,HR,HU,IS,IN,IR,IL,IT,CI,IQ,JP,JM,JO,KE,KG,KP,KI,KR,KW,KZ,LA,LB,LV,BY,LT,LR,SK,LI,LY,MG,MQ,MN,MS,MK,ML,MA,MU,MR,MT,OM,MV,MX,MY,MZ,MW,NC,NU,NE,AW,AI,BE,HK,MP,FO,AD,GI,IM,LU,MO,MC,PS,ME,YT,AX,NF,CC,BV,TF,HM,IO,CX,UM,VU,NG,NL,NO,NP,NR,SR,NI,NZ,PY,PE,PK,PL,PA,PT,PG,GW,QA,RE,RO,MD,PH,PR,RU,RW,SA,KN,SC,ZA,LS,BW,SN,SI,SL,SG,SO,ES,LC,SD,SE,SY,CH,TT,TH,TJ,TK,TO,TG,ST,TN,TR,TV,TM,TZ,UG,GB,UA,US,BF,UY,UZ,VC,VE,VG,VN,VI,NA,WF,WS,SZ,YE,ZM,ZW,ID,GP,AN,AE,TL,PN,PW,MH,PM,SH,SM,TC,EH,RS,VA,MF,BL,GG,JE,GS,TW",parasite,echinococcosis,Alveolar echinococcosis,"vulpes,canis",mammalia,"arvicola,chionomys,stenocranius,microtus",,,,HOST->HUMAN,0,90,2.00E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ref: http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3274497/,67
3,rickettsia parkeri,"US,AR,UY",bacteria,rickettsia,American tick bite fever,"amblyomma americanum,amblyomma maculatum,amblyomma nodosum,amblyomma triste",invert,,,,,HOST->HUMAN,0,0,1,BACTERIA,HOST->HUMAN,H,invert host,0,no,N,ENDEMIC,100,1,2.92E-09,,1,TE,2,"NthA,SA","1,2","US,AR,UY",1937,0,,1207067,341919324,-73.26166667,-9.518333333,2,14,14,14,0,0,100,0,0,0,0,30,Werthiem,,Werthiem,186
4,junin,AR,arenavirus ,arenavirus ,Argentinian hemorrhagic fever,"calomys laucha,calomys musculinus",mammalia,,,,,HOST->HUMAN,1,30,300,VIRUS,HOST->HUMAN,H,,0,no,N,SPORADIC,100,300,,,300,TE,2,SA,2,AR,1958,0,groseth et al plosntd 300-1000 cases,273669,38747148,-65.167,-35.377,6,16,12,12,1,30,100,0,0,0,0,60,Werthiem,,Werthiem,99
5,rickettsia conorii caspia,RU,bacteria,rickettsia,Astrakhan fever,"rhipicephalus pumilio,rhipicephalus sanguineus ",invert,,,,,HOST->HUMAN,3,3,64.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1265907/,178
6,babesia microti european,DE,parasite,babesia,Babesiosis,microtus agrestis,mammalia,,,ixodes ricinus,tick,HOST->VECTOR->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ref: http://meduni09.edis.at/eucalb/cms_15/images/stories/new/zoonotic_babesiosis.pdf,19
7,babesia microti japanese,JP,parasite,babesia,Babesiosis,"apodemus speciosus,apodemus argenteus",mammalia,,,ixodes ovatus,tick,HOST->VECTOR->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ref: http://meduni09.edis.at/eucalb/cms_15/images/stories/new/zoonotic_babesiosis.pdf,20
8,babesia divergens,"PT,FR,ES,GB,IT,CH,AT,BE,NL,FI",parasite,babesia,Babesiosis,cattle,domestic,,,ixodes ricinus,tick,HOST->VECTOR->HUMAN,7,7,1,PARASITE,HOST->VECTOR->HUMAN,HV,,cattle,no,Y,ENDEMIC,100,1,1.95E-09,,1,TE,2,"NthA,EU","1,3","US,PT,FR,ES,GB,IT,CH,AT,BE,NL,FI",,0,,1129656,513865370,-3.734363636,47.962,7,62,14,14,7,7,100,20,180,180,5,14,http://www.cdc.gov/mmwr/preview/mmwrhtml/mm6127a2.htm#fig1;http://www.ncbi.nlm.nih.gov/pmc/articles/PMC88943/,,ref: http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3862492/http://www.cdc.gov/mmwr/preview/mmwrhtml/mm6127a2.htm#fig1;http://www.ncbi.nlm.nih.gov/pmc/articles/PMC88943/,16
9,babesia microti,"US,CA,MX",parasite,babesia,Babesiosis,"peromyscus leucopus,procyon lotor,blarina brevicauda,tamias striatus",mammalia,,,ixodes scapularis,tick,HOST->VECTOR->HUMAN,7,7,1,PARASITE,HOST->VECTOR->HUMAN,HV,,0,no,Y,ENDEMIC,100,1,2.29E-09,,1,TE,2,NthA,1,"US,CA,MX",,0,,2016116,436383348,-103.5246667,40.88466667,7,62,14,14,7,7,100,20,180,180,5,14,http://www.cdc.gov/mmwr/preview/mmwrhtml/mm6127a2.htm#fig1;http://www.ncbi.nlm.nih.gov/pmc/articles/PMC88943/,,ref: http://wwwnc.cdc.gov/eid/article/18/12/11-1392_articlehttp://www.cdc.gov/mmwr/preview/mmwrhtml/mm6127a2.htm#fig1;http://www.ncbi.nlm.nih.gov/pmc/articles/PMC88943/,18
10,babesia venatorum,"PT,FR,ES,GB,IT,CH,AT,BE,NL,FI",parasite,babesia,Babesiosis,"goats,capreolus",domestic,,,ixodes ricinus,tick,HOST->VECTOR->HUMAN,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ref: http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3862492/,21
