disease,hosts,second,vectors,total,level,add geog,correct_region,combine,comment,good?,countries,no.countries,group,group2,disease,all_host,host_type,secondary,secondary_type,all_vectors,vector_type,Type,host_type,human_to_human
alkhurma,2,NA,NA,2,3,,,1,,1,SA,2,flavivirus,flavivirus,Tick-borne Encephalitis,"sheep,camelus",domestic,NA,NA,ornithodoros savignyi,NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
allpahuayo,3,NA,NA,3,3,,,2,,1,PE,2,arenavirus,arenavirus,None reported,oecomys,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
amur,1,NA,NA,1,1,RU,,3,,1,"CN,KR,KP",8,hantavirus,hantavirus,Hantavirus hemorrhagic fever with renal syndrome (HFRS),apodemus peninsulae,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
anajatuba,1,NA,NA,1,0,,,4,,0,BR,2,hantavirus,hantavirus,HCPS,oligoryzomys fornesi,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
anaplasma phagocytophilum,14,NA,9,23,0,,,5,,1,"CA,US,ES,IT,DE,AT,CY,CZ,PL,BG,FI,NO,SE,CN",41,bacteria,bacteria,Ehrlichioses,"alces alces,apodemus agrarius,apodemus sylvaticus,capreolus capreolus,cervus elaphus,myodes glareolus,odocoileus virginianus,peromyscus leucopus,procyon lotor,sciurus carolinensis,sciurus griseus,sorex araneus,sylvilagus floridanus,tamias striatus",mammalia,NA,NA,"ixodes pacificus,amblyomma americanum,amblyomma maculatum,amblyomma testudinarium,haemaphysalis longicornis,haemaphysalis yeni,haemaphysalis yeni ,ixodes ricinus,dermacentor variabilis,ixodes pacificus,amblyomma americanum,rhipicephalus sanguineus",NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
andes,1,NA,NA,1,3,,,6,,1,"CL,AR",8,hantavirus,hantavirus,Hantavirus Cardiopulmonary Syndrome,oligoryzomys longicaudatus,mammalia,NA,NA,NA,NA,HOST->HUMAN->HUMAN,HOST->HUMAN,yes
oran,1,NA,NA,1,2,,,6,,0,AR,2,hantavirus,hantavirus,Hantavirus Pulmonary Syndrome,oligoryzomys longicaudatus,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
angiostrongylus cantonensis,2,NA,2,4,1,,,7,,1,"US,EC,BR,TO,AS,PF,CU,DO,JM,CI,EG,IN,CN,TH,VN,TW,AU,PG,JP,ID,MY,NC",65,parasite,angiostrongylus,Eosinophilic meningitis,"bandicota,varanus",mammalia,NA,NA,"achatina fulica,pomacea canaliculata",NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
angiostrongylus costaricensis ,2,NA,1,3,2,,,8,,1,"CR,PA,EC,CO,PE,VE,BR,MX",23,parasite,angiostrongylus,Eosinophilic meningitis,sigmodon hispidus,mammalia,NA,NA,"sarasinula,veronicella",NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
apeu,2,NA,2,4,3,,,9,,1,"PE,BR",5,orthobunyavirus,orthobunyavirus,Bunyavirus Group C Disease,"caluromys philander,marmosa demerarae",mammalia,NA,NA,"howardina arborealis,howardina septemstriata,culex aikenii ",mosquito,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
araraquara,1,NA,NA,1,0,,,10,,0,BR,2,hantavirus,hantavirus,Hantavirus Pulmonary Syndrome,necromys lasiurus,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
aravan,1,NA,NA,1,2,,,11,,1,"KZ,UZ,TM,TJ,KG,PK,AF",23,lyssavirus,lyssavirus,Rabies,myotis blythii,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
