species,Water,Evergreen Needleleaf forest,Evergreen Broadleaf forest,Deciduous Needleleaf forest,Deciduous Broadleaf forest,Mixed forest,Closed shrublands,Open shrublands,Woody savannas,Savannas,Grasslands,Permanent wetlands,Croplands,Urban and built-up,Cropland/Natural vegetation mosaic,Snow and ice,Barren or sparsely vegetated
abditomys latidens,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0.25,0,0.125,0,0
abeillia abeillei,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0.65,0.325,0,0.65
abeomelomys sevia,0,1,1,1,1,1,0.5,0,0,0,1,0,0,0,0,0.5,0.5
abrawayaomys ruschii,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
abrocoma bennettii,0,0,0,0,0,0,0.75,0.75,0,0,0,0,0,0,0,0,0
abrocoma boliviensis,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0.75
abrocoma budini,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0.375,0.75
abrocoma cinerea,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0.375,0.75
abrocoma famatina,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0.375,0.75
abrocoma shistacea,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0.375,0.75
abrocoma uspallata,0,0,0,0,0,0,0.75,0.75,0.75,0.75,0.75,0,0,0,0,0.375,0.375
abrocoma vaccarum,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0.375,0.375
abroscopus albogularis,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0,0,0,0
abroscopus schisticeps,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
abroscopus superciliaris,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
abrothrix andinus,0,0,0,0,0,0,0.75,0.75,0.375,0,0.75,0,0,0,0,0.375,0.375
abrothrix illuteus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
abrothrix jelskii,0,0,0,0,0,0,0.75,0.75,0.375,0,0.75,0,0.75,0,0.375,0.375,0.75
abrothrix lanosus,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
abrothrix longipilis,0.375,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.375,0,0.75,0.75,0,0,0,0.375,0.375
abrothrix olivaceus,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0,0,0.75,0,0,0,0,0,0
abrothrix sanborni,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
aburria aburri,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0.65,0.325,0,0.65
acanthagenys rufogularis,0,0,0,0,0,0,1,1,1,1,0.5,0,0.65,0.65,0.325,0,0.65
acanthidops bairdi,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0.65,0.325,0,0.65
acanthisitta chloris,0,1,1,1,1,1,0.65,0.65,0,0,0,0,0.65,0.65,0.325,0,0
acanthiza apicalis,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.65,0.325,0.325,0,0
acanthiza chrysorrhoa,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.65,0.65,0.325,0,0.65
acanthiza ewingii,0.325,1,1,1,1,1,0.5,0.65,0.325,0,0.325,0.65,0.65,0.65,0.325,0,0.65
acanthiza inornata,0,0.65,0.65,0.65,0.65,0,0.325,0.65,1,1,0.5,0.325,0,0.65,0,0,0
acanthiza iredalei,0.325,0,0,0,0,0,1,1,0.5,0,0,0.65,0,0,0,0,0
acanthiza katherina,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
acanthiza lineata,0.325,1,1,1,1,1,0.5,0.65,1,1,0.5,0.65,0.65,0.65,0.325,0,0
acanthiza murina,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
acanthiza nana,0.325,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0.65,0.65,0.65,0.325,0,0
acanthiza pusilla,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.65,0.65,0.325,0,0.65
acanthiza reguloides,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0.65,0.65,0.325,0,0.65,0.325,0.325,0,0
acanthiza robustirostris,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0,1
acanthiza uropygialis,0,0,0,0,0,0,1,1,1,1,0.5,0,0.65,0,0.325,0,0.65
acanthorhynchus superciliosus,0,0.65,0.65,0.65,0.65,0.65,0.65,1,1,1,0.5,0,0,0,0,0,0
acanthorhynchus tenuirostris,0,1,1,1,1,1,0.65,0.65,1,1,0.5,0,0.65,0.65,0.325,0,0
acanthornis magna,0,1,1,1,1,1,0.65,0.65,0,0,0,0,0,0,0,0,0
accipiter albogularis,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0.325,0,0,0.65,0.325,0,0.65
accipiter badius,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0,0.65,0.65,0.325,0,0
accipiter bicolor,0,1,1,1,1,1,0.5,0,0.65,0.65,0.325,0,0,0,0,0,0
