Taxa,lower,Average of Mass,Average of walking speed,Average of d,Average of density
Achatina,achatina,250,0.01,0.000169543,5600
Aedes,aedes,0.1,1,1.74E-05,150000
Aedes aegypti,aedes aegypti,0.1,1,1.74E-05,150000
Aedes albopictus,aedes albopictus,0.1,1,1.74E-05,150000
Aedes aquasalis,aedes aquasalis,0.1,1,1.74E-05,150000
Aedes bellator,aedes bellator,0.1,1,1.74E-05,150000
Aedes camptorhynchus,aedes camptorhynchus,0.1,1,1.74E-05,150000
Aedes cooki,aedes cooki,0.1,1,1.74E-05,150000
Aedes darlingi,aedes darlingi,0.1,1,1.74E-05,150000
Aedes kochi,aedes kochi,0.1,1,1.74E-05,150000
Aedes polynesiensis,aedes polynesiensis,0.1,1,1.74E-05,150000
Aedes pseudoscutellaris,aedes pseudoscutellaris,0.1,1,1.74E-05,150000
Aedes rotumae,aedes rotumae,0.1,1,1.74E-05,150000
Aedes scapularis,aedes scapularis,0.1,1,1.74E-05,150000
Aedes triseriatus,aedes triseriatus,0.1,1,1.74E-05,150000
Aedes vigilax,aedes vigilax,0.1,1,1.74E-05,150000
Aedes aegypti,aedes aegypti,0.1,1,1.74E-05,150000
Aegialomys xanthaeolus,aegialomys xanthaeolus,79.79,0.657838673,0.000121603,41
Aethomys chrysophilus,aethomys chrysophilus,80.85,0.658968271,0.000122071,40
Aethomys namaquensis,aethomys namaquensis,57.1,0.629837906,0.000110321,45
Akodon azarae,akodon azarae,25.27,0.56650635,8.70E-05,57
Akodon mollis,akodon mollis,30.39,0.58025794,9.18E-05,54
Alces alces,alces alces,461900.76,2.028884987,0.001513082,3
Alopex lagopus,alopex lagopus,3584.37,1.078797097,0.000367971,13
Amblyomma,amblyomma,2.75,0.01,4.56E-05,840
Amblyomma americanum,amblyomma americanum,2.75,0.01,4.56E-05,840
Amblyomma cajennense,amblyomma cajennense,2.75,0.01,4.56E-05,840
Amblyomma hebraeum,amblyomma hebraeum,2.75,0.01,4.56E-05,840
Amblyomma lepidum,amblyomma lepidum,2.75,0.01,4.56E-05,840
Amblyomma maculatum,amblyomma maculatum,2.75,0.01,4.56E-05,840
Amblyomma nodosum,amblyomma nodosum,2.75,0.01,4.56E-05,840
Amblyomma testudinarium,amblyomma testudinarium,2.75,0.01,4.56E-05,840
Amblyomma triste,amblyomma triste,2.75,0.01,4.56E-05,840
Amblyomma variegatum,amblyomma variegatum,2.75,0.01,4.56E-05,840
Amphipsylla primaris,amphipsylla primaris,0.01,0.01,8.90E-06,0
Anomiopsyllus,anomiopsyllus,0.01,0.01,8.90E-06,0
Anopheles,anopheles,0.1,1,1.74E-05,150000
Anopheles albimanus,anopheles albimanus,0.1,1,1.74E-05,150000
Anopheles albitarsis,anopheles albitarsis,0.1,1,1.74E-05,150000
Anopheles aquasalis,anopheles aquasalis,0.1,1,1.74E-05,150000
Anopheles arabensis,anopheles arabensis,0.1,1,1.74E-05,150000
Anopheles arabinensis,anopheles arabinensis,0.1,1,1.74E-05,150000
Anopheles argyritarsi,anopheles argyritarsi,0.1,1,1.74E-05,150000
Anopheles argyropus,anopheles argyropus,0.1,1,1.74E-05,150000
Anopheles artemievi,anopheles artemievi,0.1,1,1.74E-05,150000
Anopheles atroparvus,anopheles atroparvus,0.1,1,1.74E-05,150000
Anopheles aztecus,anopheles aztecus,0.1,1,1.74E-05,150000
Anopheles baimaii,anopheles baimaii,0.1,1,1.74E-05,150000
Anopheles balabacensis,anopheles balabacensis,0.1,1,1.74E-05,150000
Anopheles bancroftii,anopheles bancroftii,0.1,1,1.74E-05,150000
Anopheles barbirostris,anopheles barbirostris,0.1,1,1.74E-05,150000
Anopheles beklemishevi,anopheles beklemishevi,0.1,1,1.74E-05,150000
Anopheles bellator,anopheles bellator,0.1,1,1.74E-05,150000
Anopheles benarrochi,anopheles benarrochi,0.1,1,1.74E-05,150000
Anopheles bifurcatus,anopheles bifurcatus,0.1,1,1.74E-05,150000
Anopheles braziliensis,anopheles braziliensis,0.1,1,1.74E-05,150000
Anopheles claviger,anopheles claviger,0.1,1,1.74E-05,150000
Anopheles coustani,anopheles coustani,0.1,1,1.74E-05,150000
Anopheles cruzii,anopheles cruzii,0.1,1,1.74E-05,150000
Anopheles culicifacies,anopheles culicifacies,0.1,1,1.74E-05,150000
Anopheles darlingi,anopheles darlingi,0.1,1,1.74E-05,150000
Anopheles deaneorum,anopheles deaneorum,0.1,1,1.74E-05,150000
Anopheles dirus,anopheles dirus,0.1,1,1.74E-05,150000
Anopheles donaldi,anopheles donaldi,0.1,1,1.74E-05,150000
Anopheles dunhami,anopheles dunhami,0.1,1,1.74E-05,150000
Anopheles epiroticus,anopheles epiroticus,0.1,1,1.74E-05,150000
Anopheles farauti,anopheles farauti,0.1,1,1.74E-05,150000
Anopheles flavirostris,anopheles flavirostris,0.1,1,1.74E-05,150000
Anopheles fluviatilis,anopheles fluviatilis,0.1,1,1.74E-05,150000
Anopheles freeborni,anopheles freeborni,0.1,1,1.74E-05,150000
Anopheles funestus,anopheles funestus,0.1,1,1.74E-05,150000
Anopheles gambiae,anopheles gambiae,0.1,1,1.74E-05,150000
Anopheles hackeri,anopheles hackeri,0.1,1,1.74E-05,150000
Anopheles homunculus,anopheles homunculus,0.1,1,1.74E-05,150000
Anopheles hyrcanus,anopheles hyrcanus,0.1,1,1.74E-05,150000
Anopheles introlatus,anopheles introlatus,0.1,1,1.74E-05,150000
Anopheles kleini,anopheles kleini,0.1,1,1.74E-05,150000
Anopheles kochi,anopheles kochi,0.1,1,1.74E-05,150000
Anopheles koliensis,anopheles koliensis,0.1,1,1.74E-05,150000
Anopheles latens,anopheles latens,0.1,1,1.74E-05,150000
Anopheles lesteri,anopheles lesteri,0.1,1,1.74E-05,150000
Anopheles letifer,anopheles letifer,0.1,1,1.74E-05,150000
Anopheles leucosphyrus,anopheles leucosphyrus,0.1,1,1.74E-05,150000
Anopheles maculatus,anopheles maculatus,0.1,1,1.74E-05,150000
Anopheles maculipennis,anopheles maculipennis,0.1,1,1.74E-05,150000
Anopheles marajoara,anopheles marajoara,0.1,1,1.74E-05,150000
Anopheles martinius,anopheles martinius,0.1,1,1.74E-05,150000
Anopheles mediopunctatus,anopheles mediopunctatus,0.1,1,1.74E-05,150000
Anopheles melas,anopheles melas,0.1,1,1.74E-05,150000
Anopheles merus,anopheles merus,0.1,1,1.74E-05,150000
Anopheles messeae,anopheles messeae,0.1,1,1.74E-05,150000
