year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,11163,-2340,clim_down,max,2030,2.6,alkhurma
clim_down;max;2030;4.5,8792,-2014,clim_down,max,2030,4.5,alkhurma
clim_down;max;2030;8.5,11791,-1908,clim_down,max,2030,8.5,alkhurma
clim_down;max;2050;2.6,15516,-4880,clim_down,max,2050,2.6,alkhurma
clim_down;max;2050;4.5,16471,-7139,clim_down,max,2050,4.5,alkhurma
clim_down;max;2050;6,4501,-6069,clim_down,max,2050,6,alkhurma
clim_down;max;2050;8.5,11452,-2507,clim_down,max,2050,8.5,alkhurma
clim_down;max;2070;2.6,8411,-956,clim_down,max,2070,2.6,alkhurma
clim_down;max;2070;4.5,16465,-6627,clim_down,max,2070,4.5,alkhurma
clim_down;max;2070;6,6603,-16937,clim_down,max,2070,6,alkhurma
clim_down;max;2070;8.5,11502,-2826,clim_down,max,2070,8.5,alkhurma
clim_down;max;2080;2.6,13722,-3286,clim_down,max,2080,2.6,alkhurma
clim_down;max;2080;4.5,16321,-6110,clim_down,max,2080,4.5,alkhurma
clim_down;max;2080;6,5931,-9248,clim_down,max,2080,6,alkhurma
clim_down;max;2080;8.5,15612,-5816,clim_down,max,2080,8.5,alkhurma
clim_down;mean;2030;2.6,21361,-1548,clim_down,mean,2030,2.6,alkhurma
clim_down;mean;2030;4.5,16824,-1017,clim_down,mean,2030,4.5,alkhurma
clim_down;mean;2030;8.5,19587,-980,clim_down,mean,2030,8.5,alkhurma
clim_down;mean;2050;2.6,27461,-1976,clim_down,mean,2050,2.6,alkhurma
clim_down;mean;2050;4.5,34803,-4796,clim_down,mean,2050,4.5,alkhurma
clim_down;mean;2050;6,12116,-4079,clim_down,mean,2050,6,alkhurma
clim_down;mean;2050;8.5,20505,-1371,clim_down,mean,2050,8.5,alkhurma
clim_down;mean;2070;2.6,13394,-722,clim_down,mean,2070,2.6,alkhurma
clim_down;mean;2070;4.5,30390,-2498,clim_down,mean,2070,4.5,alkhurma
clim_down;mean;2070;6,25869,-10248,clim_down,mean,2070,6,alkhurma
clim_down;mean;2070;8.5,19060,-1444,clim_down,mean,2070,8.5,alkhurma
clim_down;mean;2080;2.6,24154,-2186,clim_down,mean,2080,2.6,alkhurma
clim_down;mean;2080;4.5,30111,-2561,clim_down,mean,2080,4.5,alkhurma
clim_down;mean;2080;6,18342,-6807,clim_down,mean,2080,6,alkhurma
clim_down;mean;2080;8.5,28726,-3008,clim_down,mean,2080,8.5,alkhurma
clim_down;min;2030;2.6,35623,-4705,clim_down,min,2030,2.6,alkhurma
clim_down;min;2030;4.5,27357,-3928,clim_down,min,2030,4.5,alkhurma
clim_down;min;2030;8.5,30003,-4765,clim_down,min,2030,8.5,alkhurma
