year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,283,-177,clim_down,max,2030,2.6,allpahuayo
clim_down;max;2030;4.5,540,-256,clim_down,max,2030,4.5,allpahuayo
clim_down;max;2030;6,77,-111,clim_down,max,2030,6,allpahuayo
clim_down;max;2030;8.5,472,-170,clim_down,max,2030,8.5,allpahuayo
clim_down;max;2050;2.6,121,-116,clim_down,max,2050,2.6,allpahuayo
clim_down;max;2050;4.5,16,-25,clim_down,max,2050,4.5,allpahuayo
clim_down;max;2050;6,212,-184,clim_down,max,2050,6,allpahuayo
clim_down;max;2050;8.5,11,-84,clim_down,max,2050,8.5,allpahuayo
clim_down;max;2070;2.6,5994,-25109,clim_down,max,2070,2.6,allpahuayo
clim_down;max;2070;4.5,153,-318,clim_down,max,2070,4.5,allpahuayo
clim_down;max;2070;6,2862,-5488,clim_down,max,2070,6,allpahuayo
clim_down;max;2070;8.5,554,-1435,clim_down,max,2070,8.5,allpahuayo
clim_down;max;2080;2.6,335,-932,clim_down,max,2080,2.6,allpahuayo
clim_down;max;2080;4.5,573,-399,clim_down,max,2080,4.5,allpahuayo
clim_down;max;2080;6,217,-637,clim_down,max,2080,6,allpahuayo
clim_down;max;2080;8.5,861,-1906,clim_down,max,2080,8.5,allpahuayo
clim_down;mean;2030;2.6,1465,-1781,clim_down,mean,2030,2.6,allpahuayo
clim_down;mean;2030;4.5,1113,-2107,clim_down,mean,2030,4.5,allpahuayo
clim_down;mean;2030;6,622,-1968,clim_down,mean,2030,6,allpahuayo
clim_down;mean;2030;8.5,1761,-1251,clim_down,mean,2030,8.5,allpahuayo
clim_down;mean;2050;2.6,808,-679,clim_down,mean,2050,2.6,allpahuayo
clim_down;mean;2050;4.5,578,-1307,clim_down,mean,2050,4.5,allpahuayo
clim_down;mean;2050;6,894,-514,clim_down,mean,2050,6,allpahuayo
clim_down;mean;2050;8.5,365,-1783,clim_down,mean,2050,8.5,allpahuayo
clim_down;mean;2070;2.6,23963,-29685,clim_down,mean,2070,2.6,allpahuayo
clim_down;mean;2070;4.5,953,-916,clim_down,mean,2070,4.5,allpahuayo
clim_down;mean;2070;6,7753,-10442,clim_down,mean,2070,6,allpahuayo
clim_down;mean;2070;8.5,1961,-2779,clim_down,mean,2070,8.5,allpahuayo
clim_down;mean;2080;2.6,1494,-2051,clim_down,mean,2080,2.6,allpahuayo
clim_down;mean;2080;4.5,1690,-1444,clim_down,mean,2080,4.5,allpahuayo
clim_down;mean;2080;6,809,-978,clim_down,mean,2080,6,allpahuayo
clim_down;mean;2080;8.5,2558,-7287,clim_down,mean,2080,8.5,allpahuayo
clim_down;min;2030;2.6,3639,-3343,clim_down,min,2030,2.6,allpahuayo
clim_down;min;2030;4.5,3223,-3652,clim_down,min,2030,4.5,allpahuayo
clim_down;min;2030;6,3050,-3608,clim_down,min,2030,6,allpahuayo
