year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,423,-912,clim_down,max,2030,2.6,amur
clim_down;max;2030;4.5,1968,-1230,clim_down,max,2030,4.5,amur
clim_down;max;2030;6,3102,-160,clim_down,max,2030,6,amur
clim_down;max;2030;8.5,1028,-460,clim_down,max,2030,8.5,amur
clim_down;max;2050;2.6,581,-2087,clim_down,max,2050,2.6,amur
clim_down;max;2050;4.5,1839,-1355,clim_down,max,2050,4.5,amur
clim_down;max;2050;6,2737,-576,clim_down,max,2050,6,amur
clim_down;max;2050;8.5,1771,-4493,clim_down,max,2050,8.5,amur
clim_down;max;2070;2.6,692,-1722,clim_down,max,2070,2.6,amur
clim_down;max;2070;4.5,2530,-2680,clim_down,max,2070,4.5,amur
clim_down;max;2070;6,4309,-2387,clim_down,max,2070,6,amur
clim_down;max;2070;8.5,593,-3714,clim_down,max,2070,8.5,amur
clim_down;max;2080;2.6,743,-2388,clim_down,max,2080,2.6,amur
clim_down;max;2080;4.5,1404,-1251,clim_down,max,2080,4.5,amur
clim_down;max;2080;8.5,735,-7633,clim_down,max,2080,8.5,amur
clim_down;mean;2030;2.6,22171,-6127,clim_down,mean,2030,2.6,amur
clim_down;mean;2030;4.5,32055,-6407,clim_down,mean,2030,4.5,amur
clim_down;mean;2030;6,27361,-3036,clim_down,mean,2030,6,amur
clim_down;mean;2030;8.5,30137,-2994,clim_down,mean,2030,8.5,amur
clim_down;mean;2050;2.6,27619,-19628,clim_down,mean,2050,2.6,amur
clim_down;mean;2050;4.5,20607,-10218,clim_down,mean,2050,4.5,amur
clim_down;mean;2050;6,43005,-3744,clim_down,mean,2050,6,amur
clim_down;mean;2050;8.5,50835,-16734,clim_down,mean,2050,8.5,amur
clim_down;mean;2070;2.6,20506,-13239,clim_down,mean,2070,2.6,amur
clim_down;mean;2070;4.5,44896,-13683,clim_down,mean,2070,4.5,amur
clim_down;mean;2070;6,58136,-6981,clim_down,mean,2070,6,amur
clim_down;mean;2070;8.5,51007,-18664,clim_down,mean,2070,8.5,amur
clim_down;mean;2080;2.6,20967,-14473,clim_down,mean,2080,2.6,amur
clim_down;mean;2080;4.5,27406,-15770,clim_down,mean,2080,4.5,amur
clim_down;mean;2080;8.5,56171,-41459,clim_down,mean,2080,8.5,amur
clim_down;min;2030;2.6,30809,-3697,clim_down,min,2030,2.6,amur
clim_down;min;2030;4.5,43894,-1019,clim_down,min,2030,4.5,amur
clim_down;min;2030;6,35289,-456,clim_down,min,2030,6,amur
clim_down;min;2030;8.5,36144,-1855,clim_down,min,2030,8.5,amur
clim_down;min;2050;2.6,41292,-13072,clim_down,min,2050,2.6,amur
clim_down;min;2050;4.5,34512,-2605,clim_down,min,2050,4.5,amur
clim_down;min;2050;6,52962,-826,clim_down,min,2050,6,amur
clim_down;min;2050;8.5,68555,-6791,clim_down,min,2050,8.5,amur
clim_down;min;2070;2.6,29785,-10336,clim_down,min,2070,2.6,amur
clim_down;min;2070;4.5,57196,-7683,clim_down,min,2070,4.5,amur
clim_down;min;2070;6,69860,-2561,clim_down,min,2070,6,amur
clim_down;min;2070;8.5,69853,-7497,clim_down,min,2070,8.5,amur
clim_down;min;2080;2.6,31673,-9921,clim_down,min,2080,2.6,amur
clim_down;min;2080;4.5,39345,-11073,clim_down,min,2080,4.5,amur
clim_down;min;2080;8.5,88363,-18074,clim_down,min,2080,8.5,amur
clim_up;max;2030;2.6,3666,-484,clim_up,max,2030,2.6,amur
clim_up;max;2030;4.5,2215,2,clim_up,max,2030,4.5,amur
clim_up;max;2030;6,1771,80,clim_up,max,2030,6,amur
clim_up;max;2030;8.5,4742,-29,clim_up,max,2030,8.5,amur
clim_up;max;2050;2.6,2502,-245,clim_up,max,2050,2.6,amur
clim_up;max;2050;4.5,1394,-406,clim_up,max,2050,4.5,amur
clim_up;max;2050;6,3440,77,clim_up,max,2050,6,amur
clim_up;max;2050;8.5,395,-236,clim_up,max,2050,8.5,amur
clim_up;max;2070;2.6,1812,-223,clim_up,max,2070,2.6,amur
clim_up;max;2070;4.5,511,-463,clim_up,max,2070,4.5,amur
clim_up;max;2070;6,506,59,clim_up,max,2070,6,amur
clim_up;max;2070;8.5,1780,-178,clim_up,max,2070,8.5,amur
clim_up;max;2080;2.6,1825,-160,clim_up,max,2080,2.6,amur
clim_up;max;2080;4.5,1532,-456,clim_up,max,2080,4.5,amur
clim_up;max;2080;8.5,255,-1,clim_up,max,2080,8.5,amur
clim_up;mean;2030;2.6,67616,-4957,clim_up,mean,2030,2.6,amur
clim_up;mean;2030;4.5,57563,-1672,clim_up,mean,2030,4.5,amur
clim_up;mean;2030;6,64781,66,clim_up,mean,2030,6,amur
clim_up;mean;2030;8.5,66205,-1670,clim_up,mean,2030,8.5,amur
clim_up;mean;2050;2.6,50005,-8403,clim_up,mean,2050,2.6,amur
clim_up;mean;2050;4.5,57288,-10494,clim_up,mean,2050,4.5,amur
clim_up;mean;2050;6,58192,-198,clim_up,mean,2050,6,amur
clim_up;mean;2050;8.5,46506,-1280,clim_up,mean,2050,8.5,amur
clim_up;mean;2070;2.6,52124,-11739,clim_up,mean,2070,2.6,amur
clim_up;mean;2070;4.5,37480,-16372,clim_up,mean,2070,4.5,amur
clim_up;mean;2070;6,49064,-137,clim_up,mean,2070,6,amur
clim_up;mean;2070;8.5,42331,-1883,clim_up,mean,2070,8.5,amur
clim_up;mean;2080;2.6,52626,-12783,clim_up,mean,2080,2.6,amur
clim_up;mean;2080;4.5,43659,-14219,clim_up,mean,2080,4.5,amur
clim_up;mean;2080;8.5,32262,-2995,clim_up,mean,2080,8.5,amur
clim_up;min;2030;2.6,81780,-910,clim_up,min,2030,2.6,amur
clim_up;min;2030;4.5,67699,-622,clim_up,min,2030,4.5,amur
clim_up;min;2030;6,73540,0,clim_up,min,2030,6,amur
clim_up;min;2030;8.5,78217,-1939,clim_up,min,2030,8.5,amur
clim_up;min;2050;2.6,59524,-7886,clim_up,min,2050,2.6,amur
clim_up;min;2050;4.5,71019,-5505,clim_up,min,2050,4.5,amur
clim_up;min;2050;6,67060,-14,clim_up,min,2050,6,amur
clim_up;min;2050;8.5,55722,-127,clim_up,min,2050,8.5,amur
clim_up;min;2070;2.6,59973,-13335,clim_up,min,2070,2.6,amur
clim_up;min;2070;4.5,50548,-12095,clim_up,min,2070,4.5,amur
clim_up;min;2070;6,57512,-27,clim_up,min,2070,6,amur
clim_up;min;2070;8.5,52080,-299,clim_up,min,2070,8.5,amur
clim_up;min;2080;2.6,58884,-15758,clim_up,min,2080,2.6,amur
clim_up;min;2080;4.5,55013,-11523,clim_up,min,2080,4.5,amur
clim_up;min;2080;8.5,42305,-820,clim_up,min,2080,8.5,amur
dummy;max;2030;2.6,5998,-2928,dummy,max,2030,2.6,amur
dummy;max;2030;4.5,7128,-1798,dummy,max,2030,4.5,amur
dummy;max;2030;6,8715,-211,dummy,max,2030,6,amur
dummy;max;2030;8.5,8248,-678,dummy,max,2030,8.5,amur
dummy;max;2050;2.6,5073,-3853,dummy,max,2050,2.6,amur
dummy;max;2050;4.5,6081,-2845,dummy,max,2050,4.5,amur
dummy;max;2050;6,8400,-526,dummy,max,2050,6,amur
dummy;max;2050;8.5,2600,-6326,dummy,max,2050,8.5,amur
dummy;max;2070;2.6,5222,-3704,dummy,max,2070,2.6,amur
dummy;max;2070;4.5,4459,-4467,dummy,max,2070,4.5,amur
dummy;max;2070;6,6460,-2466,dummy,max,2070,6,amur
dummy;max;2070;8.5,4107,-4819,dummy,max,2070,8.5,amur
dummy;max;2080;2.6,4892,-4034,dummy,max,2080,2.6,amur
dummy;max;2080;4.5,6101,-2825,dummy,max,2080,4.5,amur
dummy;max;2080;8.5,1041,-7885,dummy,max,2080,8.5,amur
dummy;mean;2030;2.6,170094,-35949,dummy,mean,2030,2.6,amur
dummy;mean;2030;4.5,179665,-25552,dummy,mean,2030,4.5,amur
dummy;mean;2030;6,196363,-9265,dummy,mean,2030,6,amur
dummy;mean;2030;8.5,189798,-14717,dummy,mean,2030,8.5,amur
dummy;mean;2050;2.6,141079,-63805,dummy,mean,2050,2.6,amur
dummy;mean;2050;4.5,147974,-56605,dummy,mean,2050,4.5,amur
dummy;mean;2050;6,191929,-12433,dummy,mean,2050,6,amur
dummy;mean;2050;8.5,164379,-34980,dummy,mean,2050,8.5,amur
dummy;mean;2070;2.6,136965,-69034,dummy,mean,2070,2.6,amur
dummy;mean;2070;4.5,128033,-63962,dummy,mean,2070,4.5,amur
dummy;mean;2070;6,185711,-16041,dummy,mean,2070,6,amur
dummy;mean;2070;8.5,149929,-47090,dummy,mean,2070,8.5,amur
dummy;mean;2080;2.6,129068,-74334,dummy,mean,2080,2.6,amur
dummy;mean;2080;4.5,132731,-70647,dummy,mean,2080,4.5,amur
dummy;mean;2080;8.5,127062,-60324,dummy,mean,2080,8.5,amur
dummy;min;2030;2.6,226294,-10772,dummy,min,2030,2.6,amur
