year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP
clim_down;max;2030;2.6,925,-2450,clim_down,max,2030,2.6
clim_down;max;2030;4.5,1569,-3879,clim_down,max,2030,4.5
clim_down;max;2030;6,1649,-5520,clim_down,max,2030,6
clim_down;max;2030;8.5,1512,-4823,clim_down,max,2030,8.5
clim_down;max;2050;2.6,1827,-6243,clim_down,max,2050,2.6
clim_down;max;2050;4.5,963,-3876,clim_down,max,2050,4.5
clim_down;max;2050;6,2323,-7133,clim_down,max,2050,6
clim_down;max;2050;8.5,5605,-10310,clim_down,max,2050,8.5
clim_down;max;2070;2.6,1230,-5364,clim_down,max,2070,2.6
clim_down;max;2070;4.5,1436,-6333,clim_down,max,2070,4.5
clim_down;max;2070;6,1783,-7890,clim_down,max,2070,6
clim_down;max;2070;8.5,2038,-5854,clim_down,max,2070,8.5
clim_down;max;2080;4.5,1417,-5347,clim_down,max,2080,4.5
clim_down;max;2080;6,754,-6226,clim_down,max,2080,6
clim_down;max;2080;8.5,6804,-13819,clim_down,max,2080,8.5
clim_down;mean;2030;2.6,2462,-10862,clim_down,mean,2030,2.6
clim_down;mean;2030;4.5,4367,-10708,clim_down,mean,2030,4.5
clim_down;mean;2030;6,6634,-11629,clim_down,mean,2030,6
clim_down;mean;2030;8.5,6030,-11240,clim_down,mean,2030,8.5
clim_down;mean;2050;2.6,8564,-11751,clim_down,mean,2050,2.6
clim_down;mean;2050;4.5,2610,-10681,clim_down,mean,2050,4.5
clim_down;mean;2050;6,7357,-15598,clim_down,mean,2050,6
clim_down;mean;2050;8.5,16696,-15773,clim_down,mean,2050,8.5
clim_down;mean;2070;2.6,4361,-12921,clim_down,mean,2070,2.6
clim_down;mean;2070;4.5,5089,-14116,clim_down,mean,2070,4.5
clim_down;mean;2070;6,5823,-15100,clim_down,mean,2070,6
clim_down;mean;2070;8.5,7185,-11147,clim_down,mean,2070,8.5
clim_down;mean;2080;4.5,5567,-13615,clim_down,mean,2080,4.5
clim_down;mean;2080;6,3599,-16598,clim_down,mean,2080,6
clim_down;mean;2080;8.5,18112,-19401,clim_down,mean,2080,8.5
clim_down;min;2030;2.6,7641,-27157,clim_down,min,2030,2.6
clim_down;min;2030;4.5,11463,-23682,clim_down,min,2030,4.5
clim_down;min;2030;6,10998,-26028,clim_down,min,2030,6
clim_down;min;2030;8.5,10637,-27288,clim_down,min,2030,8.5
clim_down;min;2050;2.6,14638,-25159,clim_down,min,2050,2.6
clim_down;min;2050;4.5,8129,-25596,clim_down,min,2050,4.5
clim_down;min;2050;6,14181,-25604,clim_down,min,2050,6
clim_down;min;2050;8.5,24910,-29051,clim_down,min,2050,8.5
clim_down;min;2070;2.6,9227,-26736,clim_down,min,2070,2.6
clim_down;min;2070;4.5,10523,-30615,clim_down,min,2070,4.5
clim_down;min;2070;6,9989,-31690,clim_down,min,2070,6
clim_down;min;2070;8.5,12801,-22782,clim_down,min,2070,8.5
clim_down;min;2080;4.5,11381,-29050,clim_down,min,2080,4.5
clim_down;min;2080;6,8509,-29660,clim_down,min,2080,6
clim_down;min;2080;8.5,25311,-30916,clim_down,min,2080,8.5
clim_up;max;2030;2.6,17784,231,clim_up,max,2030,2.6
clim_up;max;2030;4.5,16255,90,clim_up,max,2030,4.5
clim_up;max;2030;6,11848,120,clim_up,max,2030,6
clim_up;max;2030;8.5,15111,311,clim_up,max,2030,8.5
clim_up;max;2050;2.6,9662,-1412,clim_up,max,2050,2.6
clim_up;max;2050;4.5,16645,-1846,clim_up,max,2050,4.5
clim_up;max;2050;6,8222,-45,clim_up,max,2050,6
clim_up;max;2050;8.5,3827,25,clim_up,max,2050,8.5
clim_up;max;2070;2.6,14358,-1956,clim_up,max,2070,2.6
clim_up;max;2070;4.5,10566,-2088,clim_up,max,2070,4.5
clim_up;max;2070;6,8052,-350,clim_up,max,2070,6
clim_up;max;2070;8.5,10917,-118,clim_up,max,2070,8.5
clim_up;max;2080;4.5,9694,-2913,clim_up,max,2080,4.5
clim_up;max;2080;6,14562,-1063,clim_up,max,2080,6
clim_up;max;2080;8.5,1481,-122,clim_up,max,2080,8.5
clim_up;mean;2030;2.6,39046,-145,clim_up,mean,2030,2.6
clim_up;mean;2030;4.5,36909,391,clim_up,mean,2030,4.5
clim_up;mean;2030;6,25948,-1198,clim_up,mean,2030,6
clim_up;mean;2030;8.5,35416,537,clim_up,mean,2030,8.5
clim_up;mean;2050;2.6,25220,-1180,clim_up,mean,2050,2.6
clim_up;mean;2050;4.5,41842,-736,clim_up,mean,2050,4.5
clim_up;mean;2050;6,19934,-1285,clim_up,mean,2050,6
clim_up;mean;2050;8.5,17750,455,clim_up,mean,2050,8.5
clim_up;mean;2070;2.6,36387,-1342,clim_up,mean,2070,2.6
clim_up;mean;2070;4.5,29545,-1490,clim_up,mean,2070,4.5
clim_up;mean;2070;6,25616,-1837,clim_up,mean,2070,6
clim_up;mean;2070;8.5,30676,385,clim_up,mean,2070,8.5
clim_up;mean;2080;4.5,25632,-1529,clim_up,mean,2080,4.5
clim_up;mean;2080;6,26409,-4328,clim_up,mean,2080,6
clim_up;mean;2080;8.5,15976,358,clim_up,mean,2080,8.5
clim_up;min;2030;2.6,43808,191,clim_up,min,2030,2.6
clim_up;min;2030;4.5,41111,354,clim_up,min,2030,4.5
clim_up;min;2030;6,32608,-81,clim_up,min,2030,6
clim_up;min;2030;8.5,41201,394,clim_up,min,2030,8.5
clim_up;min;2050;2.6,31949,-432,clim_up,min,2050,2.6
clim_up;min;2050;4.5,48016,-70,clim_up,min,2050,4.5
clim_up;min;2050;6,24626,-886,clim_up,min,2050,6
clim_up;min;2050;8.5,20811,362,clim_up,min,2050,8.5
clim_up;min;2070;2.6,40356,-596,clim_up,min,2070,2.6
clim_up;min;2070;4.5,33864,-478,clim_up,min,2070,4.5
clim_up;min;2070;6,30996,-846,clim_up,min,2070,6
clim_up;min;2070;8.5,35533,95,clim_up,min,2070,8.5
clim_up;min;2080;4.5,30297,-303,clim_up,min,2080,4.5
clim_up;min;2080;6,32900,-721,clim_up,min,2080,6
clim_up;min;2080;8.5,18259,149,clim_up,min,2080,8.5
dummy;max;2030;2.6,24738,-3144,dummy,max,2030,2.6
dummy;max;2030;4.5,22932,-4950,dummy,max,2030,4.5
dummy;max;2030;6,20313,-7569,dummy,max,2030,6
dummy;max;2030;8.5,22511,-5371,dummy,max,2030,8.5
dummy;max;2050;2.6,17601,-10281,dummy,max,2050,2.6
dummy;max;2050;4.5,20825,-7057,dummy,max,2050,4.5
dummy;max;2050;6,17321,-10561,dummy,max,2050,6
dummy;max;2050;8.5,16693,-11189,dummy,max,2050,8.5
dummy;max;2070;2.6,18586,-9296,dummy,max,2070,2.6
