year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,95521,-28303,clim_down,max,2030,2.6,angiostrongylus cantonensis
clim_down;max;2030;4.5,22890,-170892,clim_down,max,2030,4.5,angiostrongylus cantonensis
clim_down;max;2030;6,25740,-168489,clim_down,max,2030,6,angiostrongylus cantonensis
clim_down;max;2030;8.5,25106,-183512,clim_down,max,2030,8.5,angiostrongylus cantonensis
clim_down;max;2050;2.6,31473,-182208,clim_down,max,2050,2.6,angiostrongylus cantonensis
clim_down;max;2050;4.5,13855,-191922,clim_down,max,2050,4.5,angiostrongylus cantonensis
clim_down;max;2050;6,20979,-144403,clim_down,max,2050,6,angiostrongylus cantonensis
clim_down;max;2050;8.5,38556,-170256,clim_down,max,2050,8.5,angiostrongylus cantonensis
clim_down;max;2070;2.6,45979,-166543,clim_down,max,2070,2.6,angiostrongylus cantonensis
clim_down;max;2070;4.5,16195,-180434,clim_down,max,2070,4.5,angiostrongylus cantonensis
clim_down;max;2070;6,33586,-154784,clim_down,max,2070,6,angiostrongylus cantonensis
clim_down;max;2070;8.5,18059,-182682,clim_down,max,2070,8.5,angiostrongylus cantonensis
clim_down;max;2080;2.6,52999,-154275,clim_down,max,2080,2.6,angiostrongylus cantonensis
clim_down;max;2080;4.5,17389,-194315,clim_down,max,2080,4.5,angiostrongylus cantonensis
clim_down;max;2080;6,31925,-185137,clim_down,max,2080,6,angiostrongylus cantonensis
clim_down;max;2080;8.5,42540,-189864,clim_down,max,2080,8.5,angiostrongylus cantonensis
clim_down;mean;2030;2.6,115188,-41458,clim_down,mean,2030,2.6,angiostrongylus cantonensis
clim_down;mean;2030;4.5,88087,-167080,clim_down,mean,2030,4.5,angiostrongylus cantonensis
clim_down;mean;2030;6,81100,-157019,clim_down,mean,2030,6,angiostrongylus cantonensis
clim_down;mean;2030;8.5,139602,-117899,clim_down,mean,2030,8.5,angiostrongylus cantonensis
clim_down;mean;2050;2.6,132129,-140604,clim_down,mean,2050,2.6,angiostrongylus cantonensis
clim_down;mean;2050;4.5,100194,-159923,clim_down,mean,2050,4.5,angiostrongylus cantonensis
clim_down;mean;2050;6,41496,-207696,clim_down,mean,2050,6,angiostrongylus cantonensis
clim_down;mean;2050;8.5,117604,-176911,clim_down,mean,2050,8.5,angiostrongylus cantonensis
clim_down;mean;2070;2.6,130999,-138131,clim_down,mean,2070,2.6,angiostrongylus cantonensis
clim_down;mean;2070;4.5,82329,-176034,clim_down,mean,2070,4.5,angiostrongylus cantonensis
clim_down;mean;2070;6,66640,-199150,clim_down,mean,2070,6,angiostrongylus cantonensis
clim_down;mean;2070;8.5,115690,-159660,clim_down,mean,2070,8.5,angiostrongylus cantonensis
clim_down;mean;2080;2.6,128576,-133337,clim_down,mean,2080,2.6,angiostrongylus cantonensis
clim_down;mean;2080;4.5,104306,-167570,clim_down,mean,2080,4.5,angiostrongylus cantonensis
clim_down;mean;2080;6,82031,-210171,clim_down,mean,2080,6,angiostrongylus cantonensis
clim_down;mean;2080;8.5,150125,-143351,clim_down,mean,2080,8.5,angiostrongylus cantonensis
clim_down;min;2030;2.6,146250,-36673,clim_down,min,2030,2.6,angiostrongylus cantonensis
clim_down;min;2030;4.5,232667,-69564,clim_down,min,2030,4.5,angiostrongylus cantonensis
clim_down;min;2030;6,215049,-60953,clim_down,min,2030,6,angiostrongylus cantonensis
clim_down;min;2030;8.5,242487,-54888,clim_down,min,2030,8.5,angiostrongylus cantonensis
clim_down;min;2050;2.6,255326,-57329,clim_down,min,2050,2.6,angiostrongylus cantonensis
clim_down;min;2050;4.5,243696,-58695,clim_down,min,2050,4.5,angiostrongylus cantonensis
clim_down;min;2050;6,195293,-104152,clim_down,min,2050,6,angiostrongylus cantonensis
clim_down;min;2050;8.5,257568,-93194,clim_down,min,2050,8.5,angiostrongylus cantonensis
clim_down;min;2070;2.6,250857,-61081,clim_down,min,2070,2.6,angiostrongylus cantonensis
clim_down;min;2070;4.5,241229,-58766,clim_down,min,2070,4.5,angiostrongylus cantonensis
clim_down;min;2070;6,212951,-97402,clim_down,min,2070,6,angiostrongylus cantonensis
clim_down;min;2070;8.5,251968,-67190,clim_down,min,2070,8.5,angiostrongylus cantonensis
clim_down;min;2080;2.6,233002,-77151,clim_down,min,2080,2.6,angiostrongylus cantonensis
clim_down;min;2080;4.5,251629,-59639,clim_down,min,2080,4.5,angiostrongylus cantonensis
clim_down;min;2080;6,206699,-139326,clim_down,min,2080,6,angiostrongylus cantonensis
clim_down;min;2080;8.5,277453,-57025,clim_down,min,2080,8.5,angiostrongylus cantonensis
clim_up;max;2030;2.6,298555,13793,clim_up,max,2030,2.6,angiostrongylus cantonensis
clim_up;max;2030;4.5,309414,8706,clim_up,max,2030,4.5,angiostrongylus cantonensis
clim_up;max;2030;6,231668,8471,clim_up,max,2030,6,angiostrongylus cantonensis
clim_up;max;2030;8.5,224148,9018,clim_up,max,2030,8.5,angiostrongylus cantonensis
clim_up;max;2050;2.6,186697,7721,clim_up,max,2050,2.6,angiostrongylus cantonensis
clim_up;max;2050;4.5,341541,9425,clim_up,max,2050,4.5,angiostrongylus cantonensis
clim_up;max;2050;6,351074,10980,clim_up,max,2050,6,angiostrongylus cantonensis
clim_up;max;2050;8.5,300123,11579,clim_up,max,2050,8.5,angiostrongylus cantonensis
clim_up;max;2070;2.6,192560,7658,clim_up,max,2070,2.6,angiostrongylus cantonensis
clim_up;max;2070;4.5,255376,9571,clim_up,max,2070,4.5,angiostrongylus cantonensis
clim_up;max;2070;6,286001,10787,clim_up,max,2070,6,angiostrongylus cantonensis
clim_up;max;2070;8.5,390842,12727,clim_up,max,2070,8.5,angiostrongylus cantonensis
clim_up;max;2080;2.6,226548,8534,clim_up,max,2080,2.6,angiostrongylus cantonensis
clim_up;max;2080;4.5,304289,10414,clim_up,max,2080,4.5,angiostrongylus cantonensis
clim_up;max;2080;6,285915,10355,clim_up,max,2080,6,angiostrongylus cantonensis
clim_up;max;2080;8.5,285894,11907,clim_up,max,2080,8.5,angiostrongylus cantonensis
clim_up;mean;2030;2.6,734253,44364,clim_up,mean,2030,2.6,angiostrongylus cantonensis
clim_up;mean;2030;4.5,643478,34482,clim_up,mean,2030,4.5,angiostrongylus cantonensis
clim_up;mean;2030;6,515596,29997,clim_up,mean,2030,6,angiostrongylus cantonensis
clim_up;mean;2030;8.5,515210,34749,clim_up,mean,2030,8.5,angiostrongylus cantonensis
clim_up;mean;2050;2.6,435867,28970,clim_up,mean,2050,2.6,angiostrongylus cantonensis
clim_up;mean;2050;4.5,696879,37336,clim_up,mean,2050,4.5,angiostrongylus cantonensis
clim_up;mean;2050;6,693521,35253,clim_up,mean,2050,6,angiostrongylus cantonensis
clim_up;mean;2050;8.5,643999,37958,clim_up,mean,2050,8.5,angiostrongylus cantonensis
