year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2050;4.5,6805,-9305,clim_down,max,2050,4.5,angiostrongylus costaricensis
clim_down;max;2050;8.5,2418,-16202,clim_down,max,2050,8.5,angiostrongylus costaricensis
clim_down;max;2070;6,4815,-13312,clim_down,max,2070,6,angiostrongylus costaricensis
clim_down;max;2070;8.5,572,-17981,clim_down,max,2070,8.5,angiostrongylus costaricensis
clim_down;max;2080;2.6,5089,-8854,clim_down,max,2080,2.6,angiostrongylus costaricensis
clim_down;max;2080;4.5,5968,-10596,clim_down,max,2080,4.5,angiostrongylus costaricensis
clim_down;max;2080;8.5,373,-18906,clim_down,max,2080,8.5,angiostrongylus costaricensis
clim_down;mean;2050;4.5,112957,-22532,clim_down,mean,2050,4.5,angiostrongylus costaricensis
clim_down;mean;2050;8.5,169850,-12864,clim_down,mean,2050,8.5,angiostrongylus costaricensis
clim_down;mean;2070;6,123992,-33596,clim_down,mean,2070,6,angiostrongylus costaricensis
clim_down;mean;2070;8.5,150646,-20684,clim_down,mean,2070,8.5,angiostrongylus costaricensis
clim_down;mean;2080;2.6,108597,-14615,clim_down,mean,2080,2.6,angiostrongylus costaricensis
clim_down;mean;2080;4.5,121088,-24889,clim_down,mean,2080,4.5,angiostrongylus costaricensis
clim_down;mean;2080;8.5,171664,-27255,clim_down,mean,2080,8.5,angiostrongylus costaricensis
clim_down;min;2050;4.5,122871,-19428,clim_down,min,2050,4.5,angiostrongylus costaricensis
clim_down;min;2050;8.5,179798,-8020,clim_down,min,2050,8.5,angiostrongylus costaricensis
clim_down;min;2070;6,134124,-28687,clim_down,min,2070,6,angiostrongylus costaricensis
clim_down;min;2070;8.5,162769,-14199,clim_down,min,2070,8.5,angiostrongylus costaricensis
clim_down;min;2080;2.6,116446,-9709,clim_down,min,2080,2.6,angiostrongylus costaricensis
clim_down;min;2080;4.5,131210,-19722,clim_down,min,2080,4.5,angiostrongylus costaricensis
clim_down;min;2080;8.5,185101,-20176,clim_down,min,2080,8.5,angiostrongylus costaricensis
clim_up;max;2050;4.5,95,-77,clim_up,max,2050,4.5,angiostrongylus costaricensis
clim_up;max;2050;8.5,3,-249,clim_up,max,2050,8.5,angiostrongylus costaricensis
clim_up;max;2070;6,37,-5,clim_up,max,2070,6,angiostrongylus costaricensis
clim_up;max;2080;2.6,17,-6,clim_up,max,2080,2.6,angiostrongylus costaricensis
clim_up;max;2080;4.5,84,-74,clim_up,max,2080,4.5,angiostrongylus costaricensis
clim_up;mean;2050;4.5,73474,-9345,clim_up,mean,2050,4.5,angiostrongylus costaricensis
clim_up;mean;2050;8.5,69169,-4211,clim_up,mean,2050,8.5,angiostrongylus costaricensis
clim_up;mean;2070;6,54460,-15047,clim_up,mean,2070,6,angiostrongylus costaricensis
clim_up;mean;2070;8.5,57288,-5096,clim_up,mean,2070,8.5,angiostrongylus costaricensis
clim_up;mean;2080;2.6,62920,-6126,clim_up,mean,2080,2.6,angiostrongylus costaricensis
clim_up;mean;2080;4.5,54832,-12024,clim_up,mean,2080,4.5,angiostrongylus costaricensis
clim_up;mean;2080;8.5,57234,-6249,clim_up,mean,2080,8.5,angiostrongylus costaricensis
clim_up;min;2050;4.5,79113,-6764,clim_up,min,2050,4.5,angiostrongylus costaricensis
clim_up;min;2050;8.5,75653,-2283,clim_up,min,2050,8.5,angiostrongylus costaricensis
clim_up;min;2070;6,59675,-13948,clim_up,min,2070,6,angiostrongylus costaricensis
clim_up;min;2070;8.5,63061,-3539,clim_up,min,2070,8.5,angiostrongylus costaricensis
clim_up;min;2080;2.6,69542,-4281,clim_up,min,2080,2.6,angiostrongylus costaricensis
clim_up;min;2080;4.5,62236,-8979,clim_up,min,2080,4.5,angiostrongylus costaricensis
clim_up;min;2080;8.5,64179,-4203,clim_up,min,2080,8.5,angiostrongylus costaricensis
dummy;max;2050;4.5,9194,-13662,dummy,max,2050,4.5,angiostrongylus costaricensis
dummy;max;2050;8.5,2636,-20220,dummy,max,2050,8.5,angiostrongylus costaricensis
dummy;max;2070;6,6103,-16753,dummy,max,2070,6,angiostrongylus costaricensis
dummy;max;2070;8.5,577,-22279,dummy,max,2070,8.5,angiostrongylus costaricensis
dummy;max;2080;2.6,7564,-15292,dummy,max,2080,2.6,angiostrongylus costaricensis
dummy;max;2080;4.5,8467,-14389,dummy,max,2080,4.5,angiostrongylus costaricensis
dummy;max;2080;8.5,382,-22474,dummy,max,2080,8.5,angiostrongylus costaricensis
dummy;mean;2050;4.5,408182,-59656,dummy,mean,2050,4.5,angiostrongylus costaricensis
dummy;mean;2050;8.5,441391,-26444,dummy,mean,2050,8.5,angiostrongylus costaricensis
dummy;mean;2070;6,374285,-93553,dummy,mean,2070,6,angiostrongylus costaricensis
dummy;mean;2070;8.5,416459,-42594,dummy,mean,2070,8.5,angiostrongylus costaricensis
dummy;mean;2080;2.6,416657,-51148,dummy,mean,2080,2.6,angiostrongylus costaricensis
dummy;mean;2080;4.5,395238,-72600,dummy,mean,2080,4.5,angiostrongylus costaricensis
dummy;mean;2080;8.5,413681,-49173,dummy,mean,2080,8.5,angiostrongylus costaricensis
dummy;min;2050;4.5,439124,-50654,dummy,min,2050,4.5,angiostrongylus costaricensis
dummy;min;2050;8.5,473089,-16685,dummy,min,2050,8.5,angiostrongylus costaricensis
dummy;min;2070;6,406238,-83542,dummy,min,2070,6,angiostrongylus costaricensis
dummy;min;2070;8.5,449954,-29496,dummy,min,2070,8.5,angiostrongylus costaricensis
dummy;min;2080;2.6,454173,-35428,dummy,min,2080,2.6,angiostrongylus costaricensis
dummy;min;2080;4.5,429775,-60005,dummy,min,2080,4.5,angiostrongylus costaricensis
dummy;min;2080;8.5,448875,-35337,dummy,min,2080,8.5,angiostrongylus costaricensis
lu_down;mean;2050;4.5,64767,-38210,lu_down,mean,2050,4.5,angiostrongylus costaricensis
lu_down;mean;2050;8.5,46982,-19518,lu_down,mean,2050,8.5,angiostrongylus costaricensis
lu_down;mean;2070;6,80517,-63861,lu_down,mean,2070,6,angiostrongylus costaricensis
lu_down;mean;2070;8.5,69509,-34456,lu_down,mean,2070,8.5,angiostrongylus costaricensis
lu_down;mean;2080;2.6,75122,-36337,lu_down,mean,2080,2.6,angiostrongylus costaricensis
lu_down;mean;2080;4.5,83136,-51112,lu_down,mean,2080,4.5,angiostrongylus costaricensis
lu_down;mean;2080;8.5,78616,-41455,lu_down,mean,2080,8.5,angiostrongylus costaricensis
lu_down;min;2050;4.5,77692,-30820,lu_down,min,2050,4.5,angiostrongylus costaricensis
lu_down;min;2050;8.5,54454,-13476,lu_down,min,2050,8.5,angiostrongylus costaricensis
lu_down;min;2070;6,92826,-59002,lu_down,min,2070,6,angiostrongylus costaricensis
lu_down;min;2070;8.5,80037,-25295,lu_down,min,2070,8.5,angiostrongylus costaricensis
lu_down;min;2080;2.6,88807,-25792,lu_down,min,2080,2.6,angiostrongylus costaricensis
lu_down;min;2080;4.5,98652,-41243,lu_down,min,2080,4.5,angiostrongylus costaricensis
lu_down;min;2080;8.5,89336,-32036,lu_down,min,2080,8.5,angiostrongylus costaricensis
lu_up;mean;2050;4.5,1880,860,lu_up,mean,2050,4.5,angiostrongylus costaricensis
lu_up;mean;2050;8.5,12529,1157,lu_up,mean,2050,8.5,angiostrongylus costaricensis
lu_up;mean;2070;6,1488,855,lu_up,mean,2070,6,angiostrongylus costaricensis
