year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,50464,-39208,clim_down,max,2030,2.6,apeu
clim_down;max;2030;4.5,45506,-27567,clim_down,max,2030,4.5,apeu
clim_down;max;2030;6,36804,-41628,clim_down,max,2030,6,apeu
clim_down;max;2030;8.5,53688,-33625,clim_down,max,2030,8.5,apeu
clim_down;max;2050;2.6,33429,-55770,clim_down,max,2050,2.6,apeu
clim_down;max;2050;4.5,19914,-60520,clim_down,max,2050,4.5,apeu
clim_down;max;2050;6,33197,-52274,clim_down,max,2050,6,apeu
clim_down;max;2050;8.5,36065,-76201,clim_down,max,2050,8.5,apeu
clim_down;max;2070;2.6,24427,-56311,clim_down,max,2070,2.6,apeu
clim_down;max;2070;4.5,17222,-88963,clim_down,max,2070,4.5,apeu
clim_down;max;2070;6,18636,-87703,clim_down,max,2070,6,apeu
clim_down;max;2070;8.5,15951,-104198,clim_down,max,2070,8.5,apeu
clim_down;max;2080;2.6,21498,-82297,clim_down,max,2080,2.6,apeu
clim_down;max;2080;4.5,17254,-102415,clim_down,max,2080,4.5,apeu
clim_down;max;2080;6,13871,-110746,clim_down,max,2080,6,apeu
clim_down;max;2080;8.5,10794,-114942,clim_down,max,2080,8.5,apeu
clim_down;mean;2030;2.6,148083,-23704,clim_down,mean,2030,2.6,apeu
clim_down;mean;2030;4.5,104407,-4226,clim_down,mean,2030,4.5,apeu
clim_down;mean;2030;6,127640,-18207,clim_down,mean,2030,6,apeu
clim_down;mean;2030;8.5,140201,-15663,clim_down,mean,2030,8.5,apeu
clim_down;mean;2050;2.6,130225,-42454,clim_down,mean,2050,2.6,apeu
clim_down;mean;2050;4.5,132997,-29516,clim_down,mean,2050,4.5,apeu
clim_down;mean;2050;6,137270,-27321,clim_down,mean,2050,6,apeu
clim_down;mean;2050;8.5,162093,-49777,clim_down,mean,2050,8.5,apeu
clim_down;mean;2070;2.6,104678,-47547,clim_down,mean,2070,2.6,apeu
clim_down;mean;2070;4.5,159558,-42030,clim_down,mean,2070,4.5,apeu
clim_down;mean;2070;6,154889,-35779,clim_down,mean,2070,6,apeu
clim_down;mean;2070;8.5,146222,-81594,clim_down,mean,2070,8.5,apeu
clim_down;mean;2080;2.6,130859,-64639,clim_down,mean,2080,2.6,apeu
clim_down;mean;2080;4.5,175573,-50259,clim_down,mean,2080,4.5,apeu
clim_down;mean;2080;6,169759,-73991,clim_down,mean,2080,6,apeu
clim_down;mean;2080;8.5,155364,-76986,clim_down,mean,2080,8.5,apeu
clim_down;min;2030;2.6,306460,-50126,clim_down,min,2030,2.6,apeu
clim_down;min;2030;4.5,168243,-9365,clim_down,min,2030,4.5,apeu
clim_down;min;2030;6,230026,-24449,clim_down,min,2030,6,apeu
clim_down;min;2030;8.5,259821,-27227,clim_down,min,2030,8.5,apeu
clim_down;min;2050;2.6,293104,-52282,clim_down,min,2050,2.6,apeu
clim_down;min;2050;4.5,278020,-70026,clim_down,min,2050,4.5,apeu
clim_down;min;2050;6,281151,-40616,clim_down,min,2050,6,apeu
clim_down;min;2050;8.5,347076,-89860,clim_down,min,2050,8.5,apeu
clim_down;min;2070;2.6,255236,-66161,clim_down,min,2070,2.6,apeu
clim_down;min;2070;4.5,344991,-65591,clim_down,min,2070,4.5,apeu
clim_down;min;2070;6,310013,-46681,clim_down,min,2070,6,apeu
clim_down;min;2070;8.5,362386,-112405,clim_down,min,2070,8.5,apeu
clim_down;min;2080;2.6,328542,-65146,clim_down,min,2080,2.6,apeu
clim_down;min;2080;4.5,372190,-67080,clim_down,min,2080,4.5,apeu
clim_down;min;2080;6,375062,-123761,clim_down,min,2080,6,apeu
clim_down;min;2080;8.5,364564,-93753,clim_down,min,2080,8.5,apeu
clim_up;max;2030;2.6,1020,507,clim_up,max,2030,2.6,apeu
clim_up;max;2030;4.5,1549,417,clim_up,max,2030,4.5,apeu
clim_up;max;2030;6,1598,-149,clim_up,max,2030,6,apeu
clim_up;max;2030;8.5,272,51,clim_up,max,2030,8.5,apeu
clim_up;max;2050;2.6,302,-125,clim_up,max,2050,2.6,apeu
clim_up;max;2050;4.5,1281,-976,clim_up,max,2050,4.5,apeu
clim_up;max;2050;6,1065,-319,clim_up,max,2050,6,apeu
clim_up;max;2050;8.5,29,0,clim_up,max,2050,8.5,apeu
clim_up;max;2070;2.6,2138,-598,clim_up,max,2070,2.6,apeu
clim_up;max;2070;4.5,59,-70,clim_up,max,2070,4.5,apeu
clim_up;max;2070;6,248,-64,clim_up,max,2070,6,apeu
clim_up;max;2080;6,1,1,clim_up,max,2080,6,apeu
clim_up;mean;2030;2.6,2642,-44,clim_up,mean,2030,2.6,apeu
clim_up;mean;2030;4.5,11888,-191,clim_up,mean,2030,4.5,apeu
clim_up;mean;2030;6,5714,-57,clim_up,mean,2030,6,apeu
clim_up;mean;2030;8.5,1001,-62,clim_up,mean,2030,8.5,apeu
clim_up;mean;2050;2.6,1406,-104,clim_up,mean,2050,2.6,apeu
clim_up;mean;2050;4.5,6061,-88,clim_up,mean,2050,4.5,apeu
clim_up;mean;2050;6,4317,-120,clim_up,mean,2050,6,apeu
clim_up;mean;2050;8.5,194,-30,clim_up,mean,2050,8.5,apeu
clim_up;mean;2070;2.6,6104,-1188,clim_up,mean,2070,2.6,apeu
clim_up;mean;2070;4.5,643,-31,clim_up,mean,2070,4.5,apeu
clim_up;mean;2070;6,3521,-82,clim_up,mean,2070,6,apeu
clim_up;mean;2070;8.5,75,-213,clim_up,mean,2070,8.5,apeu
clim_up;mean;2080;2.6,208,-112,clim_up,mean,2080,2.6,apeu
clim_up;mean;2080;4.5,71,-11,clim_up,mean,2080,4.5,apeu
clim_up;mean;2080;6,32,-23,clim_up,mean,2080,6,apeu
clim_up;mean;2080;8.5,10,-496,clim_up,mean,2080,8.5,apeu
clim_up;min;2030;2.6,7907,209,clim_up,min,2030,2.6,apeu
clim_up;min;2030;4.5,37422,511,clim_up,min,2030,4.5,apeu
clim_up;min;2030;6,17583,-221,clim_up,min,2030,6,apeu
clim_up;min;2030;8.5,5210,11,clim_up,min,2030,8.5,apeu
clim_up;min;2050;2.6,3681,-9,clim_up,min,2050,2.6,apeu
clim_up;min;2050;4.5,21270,104,clim_up,min,2050,4.5,apeu
clim_up;min;2050;6,12464,60,clim_up,min,2050,6,apeu
clim_up;min;2050;8.5,1337,11,clim_up,min,2050,8.5,apeu
clim_up;min;2070;2.6,20632,-399,clim_up,min,2070,2.6,apeu
clim_up;min;2070;4.5,2287,10,clim_up,min,2070,4.5,apeu
clim_up;min;2070;6,14959,263,clim_up,min,2070,6,apeu
clim_up;min;2070;8.5,1951,-6,clim_up,min,2070,8.5,apeu
clim_up;min;2080;2.6,3539,-17,clim_up,min,2080,2.6,apeu
clim_up;min;2080;4.5,1675,6,clim_up,min,2080,4.5,apeu
clim_up;min;2080;6,1808,29,clim_up,min,2080,6,apeu
clim_up;min;2080;8.5,3356,66,clim_up,min,2080,8.5,apeu
dummy;max;2030;2.6,79327,-47895,dummy,max,2030,2.6,apeu
dummy;max;2030;4.5,83914,-43308,dummy,max,2030,4.5,apeu
dummy;max;2030;6,65388,-61834,dummy,max,2030,6,apeu
dummy;max;2030;8.5,80899,-46323,dummy,max,2030,8.5,apeu
dummy;max;2050;2.6,55724,-71498,dummy,max,2050,2.6,apeu
dummy;max;2050;4.5,45121,-82101,dummy,max,2050,4.5,apeu
dummy;max;2050;6,51802,-75420,dummy,max,2050,6,apeu
dummy;max;2050;8.5,41523,-85699,dummy,max,2050,8.5,apeu
dummy;max;2070;2.6,49734,-77488,dummy,max,2070,2.6,apeu
dummy;max;2070;4.5,19578,-107644,dummy,max,2070,4.5,apeu
