year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,100579,-3312,clim_down,max,2030,2.6,araraquara
clim_down;max;2030;4.5,127419,-1354,clim_down,max,2030,4.5,araraquara
clim_down;max;2030;6,165949,-4597,clim_down,max,2030,6,araraquara
clim_down;max;2030;8.5,122034,-1972,clim_down,max,2030,8.5,araraquara
clim_down;max;2050;2.6,105556,-19198,clim_down,max,2050,2.6,araraquara
clim_down;max;2050;4.5,170788,-3398,clim_down,max,2050,4.5,araraquara
clim_down;max;2050;6,148756,-17561,clim_down,max,2050,6,araraquara
clim_down;max;2050;8.5,163706,-6403,clim_down,max,2050,8.5,araraquara
clim_down;max;2070;4.5,160828,-6574,clim_down,max,2070,4.5,araraquara
clim_down;max;2070;6,148952,-9191,clim_down,max,2070,6,araraquara
clim_down;max;2070;8.5,174113,-15769,clim_down,max,2070,8.5,araraquara
clim_down;max;2080;2.6,124403,-8226,clim_down,max,2080,2.6,araraquara
clim_down;max;2080;4.5,171330,-6610,clim_down,max,2080,4.5,araraquara
clim_down;max;2080;6,156128,-11330,clim_down,max,2080,6,araraquara
clim_down;max;2080;8.5,177660,-29015,clim_down,max,2080,8.5,araraquara
clim_down;mean;2030;2.6,102473,-1910,clim_down,mean,2030,2.6,araraquara
clim_down;mean;2030;4.5,128569,-495,clim_down,mean,2030,4.5,araraquara
clim_down;mean;2030;6,169699,-1209,clim_down,mean,2030,6,araraquara
clim_down;mean;2030;8.5,122979,-1406,clim_down,mean,2030,8.5,araraquara
clim_down;mean;2050;2.6,109313,-17737,clim_down,mean,2050,2.6,araraquara
clim_down;mean;2050;4.5,173162,-2004,clim_down,mean,2050,4.5,araraquara
clim_down;mean;2050;6,153386,-14911,clim_down,mean,2050,6,araraquara
clim_down;mean;2050;8.5,167707,-3731,clim_down,mean,2050,8.5,araraquara
clim_down;mean;2070;4.5,164317,-3945,clim_down,mean,2070,4.5,araraquara
clim_down;mean;2070;6,153234,-5433,clim_down,mean,2070,6,araraquara
clim_down;mean;2070;8.5,179543,-12749,clim_down,mean,2070,8.5,araraquara
