year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,1910,-114,clim_down,max,2030,2.6,aravan
clim_down;max;2030;4.5,2676,-2169,clim_down,max,2030,4.5,aravan
clim_down;max;2030;8.5,1333,-2282,clim_down,max,2030,8.5,aravan
clim_down;max;2050;2.6,7151,-2224,clim_down,max,2050,2.6,aravan
clim_down;max;2050;4.5,2498,-8430,clim_down,max,2050,4.5,aravan
clim_down;max;2050;8.5,9244,-1540,clim_down,max,2050,8.5,aravan
clim_down;max;2070;2.6,5363,-391,clim_down,max,2070,2.6,aravan
clim_down;max;2070;4.5,1810,-3852,clim_down,max,2070,4.5,aravan
clim_down;max;2070;6,2075,-3511,clim_down,max,2070,6,aravan
clim_down;max;2070;8.5,17052,-6360,clim_down,max,2070,8.5,aravan
clim_down;max;2080;2.6,15020,-3929,clim_down,max,2080,2.6,aravan
clim_down;max;2080;4.5,2313,-2337,clim_down,max,2080,4.5,aravan
clim_down;max;2080;6,4865,-10131,clim_down,max,2080,6,aravan
clim_down;max;2080;8.5,22303,-5674,clim_down,max,2080,8.5,aravan
clim_down;mean;2030;2.6,4740,-1928,clim_down,mean,2030,2.6,aravan
clim_down;mean;2030;4.5,11096,-6745,clim_down,mean,2030,4.5,aravan
clim_down;mean;2030;8.5,8632,-3365,clim_down,mean,2030,8.5,aravan
clim_down;mean;2050;2.6,17208,-2304,clim_down,mean,2050,2.6,aravan
clim_down;mean;2050;4.5,16385,-16618,clim_down,mean,2050,4.5,aravan
clim_down;mean;2050;8.5,16234,-2587,clim_down,mean,2050,8.5,aravan
clim_down;mean;2070;2.6,9893,-3687,clim_down,mean,2070,2.6,aravan
clim_down;mean;2070;4.5,6249,-6115,clim_down,mean,2070,4.5,aravan
clim_down;mean;2070;6,3529,-6897,clim_down,mean,2070,6,aravan
clim_down;mean;2070;8.5,34934,-5632,clim_down,mean,2070,8.5,aravan
clim_down;mean;2080;2.6,29372,-6907,clim_down,mean,2080,2.6,aravan
clim_down;mean;2080;4.5,7113,-3632,clim_down,mean,2080,4.5,aravan
clim_down;mean;2080;6,14990,-3942,clim_down,mean,2080,6,aravan
clim_down;mean;2080;8.5,37817,-3367,clim_down,mean,2080,8.5,aravan
