year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,295,-1558,clim_down,max,2030,2.6,asama
clim_down;max;2030;4.5,340,-1146,clim_down,max,2030,4.5,asama
clim_down;max;2030;6,521,-1659,clim_down,max,2030,6,asama
clim_down;max;2030;8.5,407,-1273,clim_down,max,2030,8.5,asama
clim_down;max;2050;2.6,265,-1609,clim_down,max,2050,2.6,asama
clim_down;max;2050;4.5,357,-1521,clim_down,max,2050,4.5,asama
clim_down;max;2050;6,361,-1145,clim_down,max,2050,6,asama
clim_down;max;2050;8.5,283,-1800,clim_down,max,2050,8.5,asama
clim_down;max;2070;2.6,402,-1662,clim_down,max,2070,2.6,asama
clim_down;max;2070;4.5,357,-1730,clim_down,max,2070,4.5,asama
clim_down;max;2070;6,307,-1633,clim_down,max,2070,6,asama
clim_down;max;2070;8.5,280,-2813,clim_down,max,2070,8.5,asama
clim_down;max;2080;2.6,335,-614,clim_down,max,2080,2.6,asama
clim_down;max;2080;4.5,359,-2074,clim_down,max,2080,4.5,asama
clim_down;max;2080;6,231,-2417,clim_down,max,2080,6,asama
clim_down;max;2080;8.5,394,-4740,clim_down,max,2080,8.5,asama
clim_down;mean;2030;2.6,857,-1490,clim_down,mean,2030,2.6,asama
clim_down;mean;2030;4.5,1058,-705,clim_down,mean,2030,4.5,asama
clim_down;mean;2030;6,1469,-1080,clim_down,mean,2030,6,asama
clim_down;mean;2030;8.5,1201,-805,clim_down,mean,2030,8.5,asama
clim_down;mean;2050;2.6,948,-1509,clim_down,mean,2050,2.6,asama
clim_down;mean;2050;4.5,1140,-1080,clim_down,mean,2050,4.5,asama
clim_down;mean;2050;6,1041,-593,clim_down,mean,2050,6,asama
clim_down;mean;2050;8.5,1110,-1414,clim_down,mean,2050,8.5,asama
clim_down;mean;2070;2.6,1256,-1245,clim_down,mean,2070,2.6,asama
clim_down;mean;2070;4.5,1233,-1204,clim_down,mean,2070,4.5,asama
clim_down;mean;2070;6,1044,-1182,clim_down,mean,2070,6,asama
clim_down;mean;2070;8.5,1258,-2662,clim_down,mean,2070,8.5,asama
clim_down;mean;2080;2.6,848,-192,clim_down,mean,2080,2.6,asama
