year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;4.5,166118,-121327,clim_down,max,2030,4.5,ashriver
clim_down;max;2030;6,176259,-55148,clim_down,max,2030,6,ashriver
clim_down;max;2030;8.5,178795,-98668,clim_down,max,2030,8.5,ashriver
clim_down;max;2050;4.5,184822,-184638,clim_down,max,2050,4.5,ashriver
clim_down;max;2050;6,222057,-219563,clim_down,max,2050,6,ashriver
clim_down;max;2050;8.5,235398,-236625,clim_down,max,2050,8.5,ashriver
clim_down;max;2070;2.6,165055,-57651,clim_down,max,2070,2.6,ashriver
clim_down;max;2070;4.5,218648,-183914,clim_down,max,2070,4.5,ashriver
clim_down;max;2070;6,231457,-110504,clim_down,max,2070,6,ashriver
clim_down;max;2070;8.5,182346,-344294,clim_down,max,2070,8.5,ashriver
clim_down;max;2080;2.6,196662,-119658,clim_down,max,2080,2.6,ashriver
clim_down;max;2080;4.5,256845,-177630,clim_down,max,2080,4.5,ashriver
clim_down;max;2080;6,249204,-167659,clim_down,max,2080,6,ashriver
clim_down;max;2080;8.5,168923,-359674,clim_down,max,2080,8.5,ashriver
clim_down;mean;2030;4.5,176553,-120728,clim_down,mean,2030,4.5,ashriver
clim_down;mean;2030;6,186379,-51620,clim_down,mean,2030,6,ashriver
clim_down;mean;2030;8.5,190665,-99551,clim_down,mean,2030,8.5,ashriver
clim_down;mean;2050;4.5,198723,-180576,clim_down,mean,2050,4.5,ashriver
clim_down;mean;2050;6,246846,-209766,clim_down,mean,2050,6,ashriver
clim_down;mean;2050;8.5,254677,-233272,clim_down,mean,2050,8.5,ashriver
clim_down;mean;2070;2.6,173751,-58324,clim_down,mean,2070,2.6,ashriver
clim_down;mean;2070;4.5,235851,-176450,clim_down,mean,2070,4.5,ashriver
clim_down;mean;2070;6,245695,-106142,clim_down,mean,2070,6,ashriver
clim_down;mean;2070;8.5,203115,-341653,clim_down,mean,2070,8.5,ashriver
clim_down;mean;2080;2.6,212671,-111881,clim_down,mean,2080,2.6,ashriver
clim_down;mean;2080;4.5,277524,-172308,clim_down,mean,2080,4.5,ashriver
clim_down;mean;2080;6,265785,-166616,clim_down,mean,2080,6,ashriver
clim_down;mean;2080;8.5,184098,-363264,clim_down,mean,2080,8.5,ashriver
clim_down;min;2030;4.5,182948,-118899,clim_down,min,2030,4.5,ashriver
clim_down;min;2030;6,191583,-50720,clim_down,min,2030,6,ashriver
clim_down;min;2030;8.5,198799,-99461,clim_down,min,2030,8.5,ashriver
clim_down;min;2050;4.5,207657,-176435,clim_down,min,2050,4.5,ashriver
clim_down;min;2050;6,262837,-201241,clim_down,min,2050,6,ashriver
clim_down;min;2050;8.5,269733,-227557,clim_down,min,2050,8.5,ashriver
clim_down;min;2070;2.6,180095,-56548,clim_down,min,2070,2.6,ashriver
clim_down;min;2070;4.5,246841,-170281,clim_down,min,2070,4.5,ashriver
clim_down;min;2070;6,254946,-102569,clim_down,min,2070,6,ashriver
clim_down;min;2070;8.5,219613,-334870,clim_down,min,2070,8.5,ashriver
clim_down;min;2080;2.6,223547,-105263,clim_down,min,2080,2.6,ashriver
clim_down;min;2080;4.5,291789,-166386,clim_down,min,2080,4.5,ashriver
clim_down;min;2080;6,276918,-164285,clim_down,min,2080,6,ashriver
clim_down;min;2080;8.5,195232,-362449,clim_down,min,2080,8.5,ashriver
clim_up;max;2030;4.5,20013,295,clim_up,max,2030,4.5,ashriver
clim_up;max;2030;6,25422,707,clim_up,max,2030,6,ashriver
clim_up;max;2030;8.5,32236,934,clim_up,max,2030,8.5,ashriver
clim_up;max;2050;4.5,26776,997,clim_up,max,2050,4.5,ashriver
clim_up;max;2050;6,21735,968,clim_up,max,2050,6,ashriver
clim_up;max;2050;8.5,1551,106,clim_up,max,2050,8.5,ashriver
clim_up;max;2070;2.6,25116,896,clim_up,max,2070,2.6,ashriver
clim_up;max;2070;4.5,10127,193,clim_up,max,2070,4.5,ashriver
clim_up;max;2070;6,8711,178,clim_up,max,2070,6,ashriver
clim_up;max;2070;8.5,440,32,clim_up,max,2070,8.5,ashriver
clim_up;max;2080;2.6,36281,547,clim_up,max,2080,2.6,ashriver
clim_up;max;2080;4.5,4235,333,clim_up,max,2080,4.5,ashriver
clim_up;max;2080;6,4705,226,clim_up,max,2080,6,ashriver
clim_up;max;2080;8.5,1896,59,clim_up,max,2080,8.5,ashriver
clim_up;mean;2030;4.5,21098,426,clim_up,mean,2030,4.5,ashriver
clim_up;mean;2030;6,27100,1556,clim_up,mean,2030,6,ashriver
clim_up;mean;2030;8.5,34743,2083,clim_up,mean,2030,8.5,ashriver
clim_up;mean;2050;4.5,29779,2082,clim_up,mean,2050,4.5,ashriver
clim_up;mean;2050;6,23677,1934,clim_up,mean,2050,6,ashriver
clim_up;mean;2050;8.5,2781,1093,clim_up,mean,2050,8.5,ashriver
clim_up;mean;2070;2.6,26759,1786,clim_up,mean,2070,2.6,ashriver
