year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,6400,-27691,clim_down,max,2030,2.6,australian bat lyssa
clim_down;max;2030;4.5,12317,-20993,clim_down,max,2030,4.5,australian bat lyssa
clim_down;max;2030;6,5070,-18500,clim_down,max,2030,6,australian bat lyssa
clim_down;max;2030;8.5,7168,-35135,clim_down,max,2030,8.5,australian bat lyssa
clim_down;max;2050;2.6,1958,-946,clim_down,max,2050,2.6,australian bat lyssa
clim_down;max;2050;4.5,10029,-28659,clim_down,max,2050,4.5,australian bat lyssa
clim_down;max;2050;6,1000,-4963,clim_down,max,2050,6,australian bat lyssa
clim_down;max;2050;8.5,6036,-27148,clim_down,max,2050,8.5,australian bat lyssa
clim_down;max;2070;2.6,12297,-23775,clim_down,max,2070,2.6,australian bat lyssa
clim_down;max;2070;4.5,8435,-30465,clim_down,max,2070,4.5,australian bat lyssa
clim_down;max;2070;6,1898,-14932,clim_down,max,2070,6,australian bat lyssa
clim_down;max;2070;8.5,4710,-20438,clim_down,max,2070,8.5,australian bat lyssa
clim_down;max;2080;2.6,8852,-9247,clim_down,max,2080,2.6,australian bat lyssa
clim_down;max;2080;4.5,10610,-26079,clim_down,max,2080,4.5,australian bat lyssa
clim_down;max;2080;6,770,-8815,clim_down,max,2080,6,australian bat lyssa
clim_down;max;2080;8.5,2152,-26914,clim_down,max,2080,8.5,australian bat lyssa
clim_down;mean;2030;2.6,21839,-33567,clim_down,mean,2030,2.6,australian bat lyssa
clim_down;mean;2030;4.5,22515,-38245,clim_down,mean,2030,4.5,australian bat lyssa
clim_down;mean;2030;6,17054,-18525,clim_down,mean,2030,6,australian bat lyssa
clim_down;mean;2030;8.5,24136,-44485,clim_down,mean,2030,8.5,australian bat lyssa
clim_down;mean;2050;2.6,3304,-6037,clim_down,mean,2050,2.6,australian bat lyssa
clim_down;mean;2050;4.5,26547,-39574,clim_down,mean,2050,4.5,australian bat lyssa
clim_down;mean;2050;6,4489,-11964,clim_down,mean,2050,6,australian bat lyssa
clim_down;mean;2050;8.5,19271,-37669,clim_down,mean,2050,8.5,australian bat lyssa
clim_down;mean;2070;2.6,25596,-37745,clim_down,mean,2070,2.6,australian bat lyssa
clim_down;mean;2070;4.5,24762,-38702,clim_down,mean,2070,4.5,australian bat lyssa
clim_down;mean;2070;6,9490,-23139,clim_down,mean,2070,6,australian bat lyssa
clim_down;mean;2070;8.5,17097,-22920,clim_down,mean,2070,8.5,australian bat lyssa
clim_down;mean;2080;2.6,14698,-21660,clim_down,mean,2080,2.6,australian bat lyssa
clim_down;mean;2080;4.5,21963,-39579,clim_down,mean,2080,4.5,australian bat lyssa
clim_down;mean;2080;6,4425,-19262,clim_down,mean,2080,6,australian bat lyssa
clim_down;mean;2080;8.5,10871,-37053,clim_down,mean,2080,8.5,australian bat lyssa
clim_down;min;2030;2.6,53008,-56374,clim_down,min,2030,2.6,australian bat lyssa
clim_down;min;2030;4.5,54686,-71275,clim_down,min,2030,4.5,australian bat lyssa
clim_down;min;2030;6,33979,-43185,clim_down,min,2030,6,australian bat lyssa
clim_down;min;2030;8.5,56640,-64811,clim_down,min,2030,8.5,australian bat lyssa
clim_down;min;2050;2.6,18686,-37337,clim_down,min,2050,2.6,australian bat lyssa
clim_down;min;2050;4.5,63997,-68649,clim_down,min,2050,4.5,australian bat lyssa
clim_down;min;2050;6,14874,-52441,clim_down,min,2050,6,australian bat lyssa
clim_down;min;2050;8.5,46465,-73273,clim_down,min,2050,8.5,australian bat lyssa
clim_down;min;2070;2.6,55950,-71047,clim_down,min,2070,2.6,australian bat lyssa
clim_down;min;2070;4.5,54685,-77176,clim_down,min,2070,4.5,australian bat lyssa
clim_down;min;2070;6,21852,-75034,clim_down,min,2070,6,australian bat lyssa
clim_down;min;2070;8.5,38290,-45969,clim_down,min,2070,8.5,australian bat lyssa
clim_down;min;2080;2.6,35658,-65310,clim_down,min,2080,2.6,australian bat lyssa
clim_down;min;2080;4.5,51154,-58060,clim_down,min,2080,4.5,australian bat lyssa
clim_down;min;2080;6,12174,-47131,clim_down,min,2080,6,australian bat lyssa
clim_down;min;2080;8.5,28352,-80782,clim_down,min,2080,8.5,australian bat lyssa
clim_up;max;2030;2.6,5014,57,clim_up,max,2030,2.6,australian bat lyssa
clim_up;max;2030;4.5,643,2,clim_up,max,2030,4.5,australian bat lyssa
clim_up;max;2030;6,1078,-597,clim_up,max,2030,6,australian bat lyssa
clim_up;max;2030;8.5,2390,77,clim_up,max,2030,8.5,australian bat lyssa
clim_up;max;2050;2.6,17960,695,clim_up,max,2050,2.6,australian bat lyssa
clim_up;max;2050;4.5,1388,19,clim_up,max,2050,4.5,australian bat lyssa
