year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,8056,-13412,clim_down,max,2030,2.6,babesia divergens
clim_down;max;2030;4.5,6783,-4421,clim_down,max,2030,4.5,babesia divergens
clim_down;max;2030;6,6753,-16035,clim_down,max,2030,6,babesia divergens
clim_down;max;2030;8.5,5534,-21931,clim_down,max,2030,8.5,babesia divergens
clim_down;max;2050;2.6,7788,-8972,clim_down,max,2050,2.6,babesia divergens
clim_down;max;2050;4.5,5191,-19439,clim_down,max,2050,4.5,babesia divergens
clim_down;max;2050;6,6575,-7829,clim_down,max,2050,6,babesia divergens
clim_down;max;2050;8.5,4942,-22429,clim_down,max,2050,8.5,babesia divergens
clim_down;max;2070;2.6,7743,-11637,clim_down,max,2070,2.6,babesia divergens
clim_down;max;2070;4.5,2678,-28437,clim_down,max,2070,4.5,babesia divergens
clim_down;max;2070;6,1679,-30065,clim_down,max,2070,6,babesia divergens
clim_down;max;2070;8.5,148,-33482,clim_down,max,2070,8.5,babesia divergens
clim_down;max;2080;2.6,6362,-15014,clim_down,max,2080,2.6,babesia divergens
clim_down;max;2080;4.5,7636,-17515,clim_down,max,2080,4.5,babesia divergens
clim_down;max;2080;6,4672,-20701,clim_down,max,2080,6,babesia divergens
clim_down;max;2080;8.5,801,-32160,clim_down,max,2080,8.5,babesia divergens
clim_down;mean;2030;2.6,46229,-31442,clim_down,mean,2030,2.6,babesia divergens
clim_down;mean;2030;4.5,28671,-24782,clim_down,mean,2030,4.5,babesia divergens
clim_down;mean;2030;6,51931,-40783,clim_down,mean,2030,6,babesia divergens
clim_down;mean;2030;8.5,55758,-48446,clim_down,mean,2030,8.5,babesia divergens
clim_down;mean;2050;2.6,38148,-24478,clim_down,mean,2050,2.6,babesia divergens
clim_down;mean;2050;4.5,57036,-40775,clim_down,mean,2050,4.5,babesia divergens
clim_down;mean;2050;6,38109,-19663,clim_down,mean,2050,6,babesia divergens
clim_down;mean;2050;8.5,56695,-43787,clim_down,mean,2050,8.5,babesia divergens
clim_down;mean;2070;2.6,44992,-31305,clim_down,mean,2070,2.6,babesia divergens
clim_down;mean;2070;4.5,70561,-46571,clim_down,mean,2070,4.5,babesia divergens
clim_down;mean;2070;6,71264,-46674,clim_down,mean,2070,6,babesia divergens
clim_down;mean;2070;8.5,71176,-73798,clim_down,mean,2070,8.5,babesia divergens
clim_down;mean;2080;2.6,53147,-33366,clim_down,mean,2080,2.6,babesia divergens
clim_down;mean;2080;4.5,55756,-37734,clim_down,mean,2080,4.5,babesia divergens
clim_down;mean;2080;6,53968,-45149,clim_down,mean,2080,6,babesia divergens
clim_down;mean;2080;8.5,72065,-62427,clim_down,mean,2080,8.5,babesia divergens
clim_down;min;2030;2.6,149150,-9536,clim_down,min,2030,2.6,babesia divergens
clim_down;min;2030;4.5,83954,-5840,clim_down,min,2030,4.5,babesia divergens
clim_down;min;2030;6,167602,-8514,clim_down,min,2030,6,babesia divergens
clim_down;min;2030;8.5,170284,-6871,clim_down,min,2030,8.5,babesia divergens
clim_down;min;2050;2.6,103607,-6834,clim_down,min,2050,2.6,babesia divergens
clim_down;min;2050;4.5,152277,-6972,clim_down,min,2050,4.5,babesia divergens
clim_down;min;2050;6,105114,-6034,clim_down,min,2050,6,babesia divergens
clim_down;min;2050;8.5,158931,-6128,clim_down,min,2050,8.5,babesia divergens
clim_down;min;2070;2.6,121245,-7302,clim_down,min,2070,2.6,babesia divergens
clim_down;min;2070;4.5,189212,-7714,clim_down,min,2070,4.5,babesia divergens
clim_down;min;2070;6,177689,-6642,clim_down,min,2070,6,babesia divergens
clim_down;min;2070;8.5,210757,-7346,clim_down,min,2070,8.5,babesia divergens
clim_down;min;2080;2.6,147516,-6333,clim_down,min,2080,2.6,babesia divergens
clim_down;min;2080;4.5,133023,-7366,clim_down,min,2080,4.5,babesia divergens
clim_down;min;2080;6,156496,-6630,clim_down,min,2080,6,babesia divergens
clim_down;min;2080;8.5,189368,-9492,clim_down,min,2080,8.5,babesia divergens
clim_up;max;2030;2.6,4295,2062,clim_up,max,2030,2.6,babesia divergens
