year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2050;4.5,6942,-22299,clim_down,max,2050,4.5,babesia meri
clim_down;max;2050;6,5985,-27236,clim_down,max,2050,6,babesia meri
clim_down;max;2070;2.6,8469,-20585,clim_down,max,2070,2.6,babesia meri
clim_down;max;2070;4.5,6117,-25871,clim_down,max,2070,4.5,babesia meri
clim_down;max;2070;6,6040,-25701,clim_down,max,2070,6,babesia meri
clim_down;max;2070;8.5,642,-40141,clim_down,max,2070,8.5,babesia meri
clim_down;max;2080;2.6,6321,-24650,clim_down,max,2080,2.6,babesia meri
clim_down;max;2080;4.5,6028,-22610,clim_down,max,2080,4.5,babesia meri
clim_down;max;2080;6,4779,-29697,clim_down,max,2080,6,babesia meri
clim_down;max;2080;8.5,2889,-37310,clim_down,max,2080,8.5,babesia meri
clim_down;mean;2050;4.5,88205,-80349,clim_down,mean,2050,4.5,babesia meri
clim_down;mean;2050;6,90731,-109564,clim_down,mean,2050,6,babesia meri
clim_down;mean;2070;2.6,88129,-40257,clim_down,mean,2070,2.6,babesia meri
clim_down;mean;2070;4.5,90976,-111367,clim_down,mean,2070,4.5,babesia meri
clim_down;mean;2070;6,103222,-66160,clim_down,mean,2070,6,babesia meri
clim_down;mean;2070;8.5,70806,-170229,clim_down,mean,2070,8.5,babesia meri
clim_down;mean;2080;2.6,90955,-58630,clim_down,mean,2080,2.6,babesia meri
clim_down;mean;2080;4.5,86318,-57447,clim_down,mean,2080,4.5,babesia meri
clim_down;mean;2080;6,96252,-103752,clim_down,mean,2080,6,babesia meri
clim_down;mean;2080;8.5,78263,-151384,clim_down,mean,2080,8.5,babesia meri
clim_down;min;2050;4.5,212427,-23372,clim_down,min,2050,4.5,babesia meri
clim_down;min;2050;6,244464,-50042,clim_down,min,2050,6,babesia meri
clim_down;min;2070;2.6,156519,-14376,clim_down,min,2070,2.6,babesia meri
clim_down;min;2070;4.5,255022,-34346,clim_down,min,2070,4.5,babesia meri
clim_down;min;2070;6,208119,-20103,clim_down,min,2070,6,babesia meri
clim_down;min;2070;8.5,264135,-109437,clim_down,min,2070,8.5,babesia meri
clim_down;min;2080;2.6,189705,-19181,clim_down,min,2080,2.6,babesia meri
clim_down;min;2080;4.5,180070,-17595,clim_down,min,2080,4.5,babesia meri
clim_down;min;2080;6,248370,-42975,clim_down,min,2080,6,babesia meri
clim_down;min;2080;8.5,249177,-108472,clim_down,min,2080,8.5,babesia meri
clim_up;max;2050;4.5,371,4,clim_up,max,2050,4.5,babesia meri
clim_up;max;2050;6,203,1,clim_up,max,2050,6,babesia meri
clim_up;max;2070;2.6,439,1,clim_up,max,2070,2.6,babesia meri
clim_up;max;2070;4.5,283,2,clim_up,max,2070,4.5,babesia meri
clim_up;max;2070;6,294,4,clim_up,max,2070,6,babesia meri
clim_up;max;2080;2.6,407,2,clim_up,max,2080,2.6,babesia meri
clim_up;max;2080;4.5,425,5,clim_up,max,2080,4.5,babesia meri
clim_up;max;2080;6,167,2,clim_up,max,2080,6,babesia meri
clim_up;max;2080;8.5,27,1,clim_up,max,2080,8.5,babesia meri
clim_up;mean;2050;4.5,10736,209,clim_up,mean,2050,4.5,babesia meri
clim_up;mean;2050;6,5122,98,clim_up,mean,2050,6,babesia meri
clim_up;mean;2070;2.6,17566,144,clim_up,mean,2070,2.6,babesia meri
clim_up;mean;2070;4.5,8321,191,clim_up,mean,2070,4.5,babesia meri
clim_up;mean;2070;6,9677,139,clim_up,mean,2070,6,babesia meri
clim_up;mean;2070;8.5,1930,84,clim_up,mean,2070,8.5,babesia meri
clim_up;mean;2080;2.6,10191,191,clim_up,mean,2080,2.6,babesia meri
clim_up;mean;2080;4.5,11148,187,clim_up,mean,2080,4.5,babesia meri
clim_up;mean;2080;6,6740,169,clim_up,mean,2080,6,babesia meri
clim_up;mean;2080;8.5,3400,129,clim_up,mean,2080,8.5,babesia meri
clim_up;min;2050;4.5,18844,33,clim_up,min,2050,4.5,babesia meri
clim_up;min;2050;6,8831,26,clim_up,min,2050,6,babesia meri
clim_up;min;2070;2.6,26700,13,clim_up,min,2070,2.6,babesia meri
clim_up;min;2070;4.5,15920,18,clim_up,min,2070,4.5,babesia meri
clim_up;min;2070;6,17638,20,clim_up,min,2070,6,babesia meri
clim_up;min;2070;8.5,5340,33,clim_up,min,2070,8.5,babesia meri
clim_up;min;2080;2.6,18815,23,clim_up,min,2080,2.6,babesia meri
clim_up;min;2080;4.5,18969,4,clim_up,min,2080,4.5,babesia meri
clim_up;min;2080;6,12618,28,clim_up,min,2080,6,babesia meri
clim_up;min;2080;8.5,7338,32,clim_up,min,2080,8.5,babesia meri
dummy;max;2050;4.5,15729,-25088,dummy,max,2050,4.5,babesia meri
dummy;max;2050;6,11652,-29165,dummy,max,2050,6,babesia meri
dummy;max;2070;2.6,17363,-23418,dummy,max,2070,2.6,babesia meri
dummy;max;2070;4.5,12723,-28094,dummy,max,2070,4.5,babesia meri
dummy;max;2070;6,12565,-28252,dummy,max,2070,6,babesia meri
dummy;max;2070;8.5,652,-40165,dummy,max,2070,8.5,babesia meri
dummy;max;2080;2.6,13262,-27359,dummy,max,2080,2.6,babesia meri
dummy;max;2080;4.5,15204,-25613,dummy,max,2080,4.5,babesia meri
dummy;max;2080;6,9185,-31632,dummy,max,2080,6,babesia meri
dummy;max;2080;8.5,3327,-37381,dummy,max,2080,8.5,babesia meri
dummy;mean;2050;4.5,171912,-95943,dummy,mean,2050,4.5,babesia meri
dummy;mean;2050;6,146135,-121484,dummy,mean,2050,6,babesia meri
dummy;mean;2070;2.6,207015,-60027,dummy,mean,2070,2.6,babesia meri
dummy;mean;2070;4.5,141460,-126293,dummy,mean,2070,4.5,babesia meri
dummy;mean;2070;6,180709,-85463,dummy,mean,2070,6,babesia meri
dummy;mean;2070;8.5,85912,-178522,dummy,mean,2070,8.5,babesia meri
dummy;mean;2080;2.6,186114,-78236,dummy,mean,2080,2.6,babesia meri
dummy;mean;2080;4.5,178238,-89070,dummy,mean,2080,4.5,babesia meri
dummy;mean;2080;6,145890,-119870,dummy,mean,2080,6,babesia meri
dummy;mean;2080;8.5,99501,-161670,dummy,mean,2080,8.5,babesia meri
dummy;min;2050;4.5,386872,-36274,dummy,min,2050,4.5,babesia meri
dummy;min;2050;6,353738,-64699,dummy,min,2050,6,babesia meri
dummy;min;2070;2.6,394991,-23937,dummy,min,2070,2.6,babesia meri
dummy;min;2070;4.5,373440,-49348,dummy,min,2070,4.5,babesia meri
dummy;min;2070;6,379176,-36398,dummy,min,2070,6,babesia meri
dummy;min;2070;8.5,302919,-114599,dummy,min,2070,8.5,babesia meri
dummy;min;2080;2.6,384457,-33667,dummy,min,2080,2.6,babesia meri
dummy;min;2080;4.5,395474,-26282,dummy,min,2080,4.5,babesia meri
dummy;min;2080;6,360074,-59302,dummy,min,2080,6,babesia meri
dummy;min;2080;8.5,303410,-111903,dummy,min,2080,8.5,babesia meri
lu_down;max;2050;4.5,1148,-1702,lu_down,max,2050,4.5,babesia meri
lu_down;max;2050;6,2814,-6228,lu_down,max,2050,6,babesia meri
lu_down;max;2070;2.6,285,-1556,lu_down,max,2070,2.6,babesia meri
lu_down;max;2070;4.5,2203,-13084,lu_down,max,2070,4.5,babesia meri
lu_down;max;2070;6,3459,-6908,lu_down,max,2070,6,babesia meri
lu_down;max;2080;2.6,255,-1543,lu_down,max,2080,2.6,babesia meri
lu_down;max;2080;4.5,3522,-12955,lu_down,max,2080,4.5,babesia meri
lu_down;max;2080;6,3083,-7510,lu_down,max,2080,6,babesia meri
lu_down;max;2080;8.5,43,-878,lu_down,max,2080,8.5,babesia meri
lu_down;mean;2050;4.5,14616,-6237,lu_down,mean,2050,4.5,babesia meri
lu_down;mean;2050;6,26480,-32263,lu_down,mean,2050,6,babesia meri
lu_down;mean;2070;2.6,22430,-5254,lu_down,mean,2070,2.6,babesia meri
lu_down;mean;2070;4.5,40206,-42317,lu_down,mean,2070,4.5,babesia meri
lu_down;mean;2070;6,33284,-25881,lu_down,mean,2070,6,babesia meri
lu_down;mean;2070;8.5,15658,-10514,lu_down,mean,2070,8.5,babesia meri
lu_down;mean;2080;2.6,22434,-7797,lu_down,mean,2080,2.6,babesia meri
lu_down;mean;2080;4.5,53734,-31999,lu_down,mean,2080,4.5,babesia meri
lu_down;mean;2080;6,29647,-28245,lu_down,mean,2080,6,babesia meri
lu_down;mean;2080;8.5,13254,-13479,lu_down,mean,2080,8.5,babesia meri
lu_down;min;2050;4.5,26765,-6474,lu_down,min,2050,4.5,babesia meri
lu_down;min;2050;6,77840,-22178,lu_down,min,2050,6,babesia meri
lu_down;min;2070;2.6,34653,-6182,lu_down,min,2070,2.6,babesia meri
lu_down;min;2070;4.5,97223,-8235,lu_down,min,2070,4.5,babesia meri
lu_down;min;2070;6,88578,-10955,lu_down,min,2070,6,babesia meri
lu_down;min;2070;8.5,26818,-10793,lu_down,min,2070,8.5,babesia meri
lu_down;min;2080;2.6,36871,-7389,lu_down,min,2080,2.6,babesia meri
lu_down;min;2080;4.5,103452,-6101,lu_down,min,2080,4.5,babesia meri
lu_down;min;2080;6,77962,-18609,lu_down,min,2080,6,babesia meri
lu_down;min;2080;8.5,26121,-12385,lu_down,min,2080,8.5,babesia meri
lu_up;max;2050;4.5,4,-7,lu_up,max,2050,4.5,babesia meri
lu_up;max;2050;6,2,-15,lu_up,max,2050,6,babesia meri
lu_up;max;2070;2.6,15,-21,lu_up,max,2070,2.6,babesia meri
lu_up;max;2070;4.5,6,-7,lu_up,max,2070,4.5,babesia meri
lu_up;max;2070;6,9,-10,lu_up,max,2070,6,babesia meri
lu_up;max;2080;2.6,10,-17,lu_up,max,2080,2.6,babesia meri
lu_up;max;2080;4.5,6,-7,lu_up,max,2080,4.5,babesia meri
lu_up;max;2080;6,10,-12,lu_up,max,2080,6,babesia meri
lu_up;mean;2050;4.5,182,-3,lu_up,mean,2050,4.5,babesia meri
lu_up;mean;2050;6,669,-61,lu_up,mean,2050,6,babesia meri
lu_up;mean;2070;2.6,93,0,lu_up,mean,2070,2.6,babesia meri
lu_up;mean;2070;4.5,124,-52,lu_up,mean,2070,4.5,babesia meri
lu_up;mean;2070;6,696,-95,lu_up,mean,2070,6,babesia meri
lu_up;mean;2070;8.5,495,-862,lu_up,mean,2070,8.5,babesia meri
lu_up;mean;2080;2.6,80,-3,lu_up,mean,2080,2.6,babesia meri
lu_up;mean;2080;4.5,182,-42,lu_up,mean,2080,4.5,babesia meri
lu_up;mean;2080;6,756,-140,lu_up,mean,2080,6,babesia meri
lu_up;mean;2080;8.5,614,-848,lu_up,mean,2080,8.5,babesia meri
lu_up;min;2050;4.5,339,-1,lu_up,min,2050,4.5,babesia meri
lu_up;min;2050;6,833,-1,lu_up,min,2050,6,babesia meri
lu_up;min;2070;2.6,93,0,lu_up,min,2070,2.6,babesia meri
lu_up;min;2070;4.5,320,-1,lu_up,min,2070,4.5,babesia meri
lu_up;min;2070;6,886,0,lu_up,min,2070,6,babesia meri
lu_up;min;2070;8.5,1870,-326,lu_up,min,2070,8.5,babesia meri
lu_up;min;2080;2.6,83,0,lu_up,min,2080,2.6,babesia meri
lu_up;min;2080;4.5,376,-1,lu_up,min,2080,4.5,babesia meri
lu_up;min;2080;6,995,-1,lu_up,min,2080,6,babesia meri
lu_up;min;2080;8.5,1897,-485,lu_up,min,2080,8.5,babesia meri
people_in_povertySSP1;max;2050;4.5,18653.382076234,-41177.2450574284,people_in_povertySSP1,max,2050,4.5,babesia meri
people_in_povertySSP1;max;2050;6,13888.5429770626,-45942.0841565998,people_in_povertySSP1,max,2050,6,babesia meri
people_in_povertySSP1;max;2070;2.6,36696.7255418819,-54208.2858658341,people_in_povertySSP1,max,2070,2.6,babesia meri
people_in_povertySSP1;max;2070;4.5,17050.4945344988,-73842.8798476937,people_in_povertySSP1,max,2070,4.5,babesia meri
people_in_povertySSP1;max;2070;6,18573.9185888601,-72319.4557933325,people_in_povertySSP1,max,2070,6,babesia meri
people_in_povertySSP1;max;2070;8.5,-1222.05617715453,-92115.430559347,people_in_povertySSP1,max,2070,8.5,babesia meri
people_in_povertySSP1;max;2080;2.6,8549.02523666634,-87173.7676043335,people_in_povertySSP1,max,2080,2.6,babesia meri
people_in_povertySSP1;max;2080;4.5,29772.7369526274,-65765.3508125742,people_in_povertySSP1,max,2080,4.5,babesia meri
people_in_povertySSP1;max;2080;6,6949.73221038817,-88588.3555548135,people_in_povertySSP1,max,2080,6,babesia meri
people_in_povertySSP1;max;2080;8.5,-2681.14175286883,-98370.0339258064,people_in_povertySSP1,max,2080,8.5,babesia meri
people_in_povertySSP1;mean;2050;4.5,-11143.9920974412,18474.1259307792,people_in_povertySSP1,mean,2050,4.5,babesia meri
people_in_povertySSP1;mean;2050;6,12294.3249393791,41893.62322301,people_in_povertySSP1,mean,2050,6,babesia meri
people_in_povertySSP1;mean;2070;2.6,33696.6892314403,13391.164101907,people_in_povertySSP1,mean,2070,2.6,babesia meri
