year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,73,-6554,clim_down,max,2030,2.6,babesia microti european
clim_down;max;2030;8.5,8,-7951,clim_down,max,2030,8.5,babesia microti european
clim_down;max;2050;6,12,-8677,clim_down,max,2050,6,babesia microti european
clim_down;max;2070;2.6,2,-9049,clim_down,max,2070,2.6,babesia microti european
clim_down;mean;2030;2.6,11807,-12916,clim_down,mean,2030,2.6,babesia microti european
clim_down;mean;2030;4.5,712,-17307,clim_down,mean,2030,4.5,babesia microti european
clim_down;mean;2030;6,5197,-24658,clim_down,mean,2030,6,babesia microti european
clim_down;mean;2030;8.5,9217,-18279,clim_down,mean,2030,8.5,babesia microti european
clim_down;mean;2050;2.6,6348,-23468,clim_down,mean,2050,2.6,babesia microti european
clim_down;mean;2050;4.5,7,-16820,clim_down,mean,2050,4.5,babesia microti european
clim_down;mean;2050;6,13332,-12736,clim_down,mean,2050,6,babesia microti european
clim_down;mean;2050;8.5,1459,-28612,clim_down,mean,2050,8.5,babesia microti european
clim_down;mean;2070;2.6,10970,-12297,clim_down,mean,2070,2.6,babesia microti european
clim_down;mean;2070;4.5,3,-30237,clim_down,mean,2070,4.5,babesia microti european
clim_down;mean;2070;6,351,-25257,clim_down,mean,2070,6,babesia microti european
clim_down;mean;2080;2.6,4354,-25520,clim_down,mean,2080,2.6,babesia microti european
clim_down;mean;2080;4.5,30,-20678,clim_down,mean,2080,4.5,babesia microti european
clim_down;mean;2080;6,17,-30227,clim_down,mean,2080,6,babesia microti european
clim_down;mean;2080;8.5,77,-29194,clim_down,mean,2080,8.5,babesia microti european
clim_down;min;2030;2.6,21939,-13440,clim_down,min,2030,2.6,babesia microti european
clim_down;min;2030;4.5,8138,-15274,clim_down,min,2030,4.5,babesia microti european
clim_down;min;2030;6,16426,-22584,clim_down,min,2030,6,babesia microti european
clim_down;min;2030;8.5,23112,-14850,clim_down,min,2030,8.5,babesia microti european
clim_down;min;2050;2.6,17928,-23001,clim_down,min,2050,2.6,babesia microti european
clim_down;min;2050;4.5,1132,-19657,clim_down,min,2050,4.5,babesia microti european
clim_down;min;2050;6,22879,-13386,clim_down,min,2050,6,babesia microti european
clim_down;min;2050;8.5,12489,-28515,clim_down,min,2050,8.5,babesia microti european
clim_down;min;2070;2.6,17991,-13192,clim_down,min,2070,2.6,babesia microti european
clim_down;min;2070;4.5,2772,-37365,clim_down,min,2070,4.5,babesia microti european
clim_down;min;2070;6,9194,-22458,clim_down,min,2070,6,babesia microti european
clim_down;min;2070;8.5,359,-35786,clim_down,min,2070,8.5,babesia microti european
clim_down;min;2080;2.6,20319,-20475,clim_down,min,2080,2.6,babesia microti european
clim_down;min;2080;4.5,3557,-22107,clim_down,min,2080,4.5,babesia microti european
clim_down;min;2080;6,4309,-37188,clim_down,min,2080,6,babesia microti european
clim_down;min;2080;8.5,3518,-31860,clim_down,min,2080,8.5,babesia microti european
clim_up;max;2050;6,1,1,clim_up,max,2050,6,babesia microti european
