year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,13980,-43954,clim_down,max,2030,2.6,babesia microti
clim_down;max;2030;4.5,21577,-4361,clim_down,max,2030,4.5,babesia microti
clim_down;max;2030;6,14474,-1029,clim_down,max,2030,6,babesia microti
clim_down;max;2030;8.5,10603,-5442,clim_down,max,2030,8.5,babesia microti
clim_down;max;2050;2.6,12981,-922,clim_down,max,2050,2.6,babesia microti
clim_down;max;2050;4.5,11722,-3972,clim_down,max,2050,4.5,babesia microti
clim_down;max;2050;6,17841,-2894,clim_down,max,2050,6,babesia microti
clim_down;max;2050;8.5,17458,-5747,clim_down,max,2050,8.5,babesia microti
clim_down;max;2070;2.6,33545,-16907,clim_down,max,2070,2.6,babesia microti
clim_down;max;2070;4.5,24626,-8608,clim_down,max,2070,4.5,babesia microti
clim_down;max;2070;6,11712,-2307,clim_down,max,2070,6,babesia microti
clim_down;max;2070;8.5,24662,-9536,clim_down,max,2070,8.5,babesia microti
clim_down;max;2080;2.6,17721,-3174,clim_down,max,2080,2.6,babesia microti
clim_down;max;2080;4.5,15198,-4016,clim_down,max,2080,4.5,babesia microti
clim_down;max;2080;6,31954,-13336,clim_down,max,2080,6,babesia microti
clim_down;max;2080;8.5,20559,-68025,clim_down,max,2080,8.5,babesia microti
clim_down;mean;2030;2.6,90854,-59726,clim_down,mean,2030,2.6,babesia microti
clim_down;mean;2030;4.5,54636,-26298,clim_down,mean,2030,4.5,babesia microti
clim_down;mean;2030;6,29346,-14955,clim_down,mean,2030,6,babesia microti
clim_down;mean;2030;8.5,29121,-1995,clim_down,mean,2030,8.5,babesia microti
clim_down;mean;2050;2.6,34494,-4981,clim_down,mean,2050,2.6,babesia microti
clim_down;mean;2050;4.5,27928,-1961,clim_down,mean,2050,4.5,babesia microti
clim_down;mean;2050;6,39248,-16235,clim_down,mean,2050,6,babesia microti
clim_down;mean;2050;8.5,46692,-5430,clim_down,mean,2050,8.5,babesia microti
clim_down;mean;2070;2.6,82213,-17336,clim_down,mean,2070,2.6,babesia microti
clim_down;mean;2070;4.5,49847,-5654,clim_down,mean,2070,4.5,babesia microti
clim_down;mean;2070;6,24111,-432,clim_down,mean,2070,6,babesia microti
clim_down;mean;2070;8.5,55828,-10362,clim_down,mean,2070,8.5,babesia microti
clim_down;mean;2080;2.6,29103,-981,clim_down,mean,2080,2.6,babesia microti
clim_down;mean;2080;4.5,38674,-9022,clim_down,mean,2080,4.5,babesia microti
clim_down;mean;2080;6,78310,-29345,clim_down,mean,2080,6,babesia microti
clim_down;mean;2080;8.5,149358,-25048,clim_down,mean,2080,8.5,babesia microti
clim_down;min;2030;2.6,118139,-34031,clim_down,min,2030,2.6,babesia microti
clim_down;min;2030;4.5,65793,-17816,clim_down,min,2030,4.5,babesia microti
clim_down;min;2030;6,37379,-9751,clim_down,min,2030,6,babesia microti
clim_down;min;2030;8.5,31364,-383,clim_down,min,2030,8.5,babesia microti
clim_down;min;2050;2.6,39546,-183,clim_down,min,2050,2.6,babesia microti
clim_down;min;2050;4.5,30556,-137,clim_down,min,2050,4.5,babesia microti
clim_down;min;2050;6,45076,-11878,clim_down,min,2050,6,babesia microti
clim_down;min;2050;8.5,52242,-501,clim_down,min,2050,8.5,babesia microti
clim_down;min;2070;2.6,90566,-10104,clim_down,min,2070,2.6,babesia microti
clim_down;min;2070;4.5,54312,-2247,clim_down,min,2070,4.5,babesia microti
clim_down;min;2070;6,24652,-138,clim_down,min,2070,6,babesia microti
clim_down;min;2070;8.5,64945,-2148,clim_down,min,2070,8.5,babesia microti
clim_down;min;2080;2.6,30649,-181,clim_down,min,2080,2.6,babesia microti
clim_down;min;2080;4.5,46082,-2713,clim_down,min,2080,4.5,babesia microti
clim_down;min;2080;6,91304,-18793,clim_down,min,2080,6,babesia microti
clim_down;min;2080;8.5,168871,-7658,clim_down,min,2080,8.5,babesia microti
clim_up;max;2030;2.6,13413,1409,clim_up,max,2030,2.6,babesia microti
clim_up;max;2030;4.5,20530,2003,clim_up,max,2030,4.5,babesia microti
clim_up;max;2030;6,23759,1705,clim_up,max,2030,6,babesia microti
clim_up;max;2030;8.5,35666,2805,clim_up,max,2030,8.5,babesia microti
clim_up;max;2050;2.6,22803,2268,clim_up,max,2050,2.6,babesia microti
clim_up;max;2050;4.5,30005,2287,clim_up,max,2050,4.5,babesia microti
clim_up;max;2050;6,16369,1600,clim_up,max,2050,6,babesia microti
clim_up;max;2050;8.5,20768,2280,clim_up,max,2050,8.5,babesia microti
clim_up;max;2070;2.6,14038,1505,clim_up,max,2070,2.6,babesia microti
clim_up;max;2070;4.5,23359,2200,clim_up,max,2070,4.5,babesia microti
clim_up;max;2070;6,30931,3028,clim_up,max,2070,6,babesia microti
clim_up;max;2070;8.5,20962,1798,clim_up,max,2070,8.5,babesia microti
clim_up;max;2080;2.6,24637,1956,clim_up,max,2080,2.6,babesia microti
clim_up;max;2080;4.5,22210,2248,clim_up,max,2080,4.5,babesia microti
clim_up;max;2080;6,13668,1462,clim_up,max,2080,6,babesia microti
clim_up;max;2080;8.5,7247,857,clim_up,max,2080,8.5,babesia microti
clim_up;mean;2030;2.6,77530,998,clim_up,mean,2030,2.6,babesia microti
clim_up;mean;2030;4.5,96529,1386,clim_up,mean,2030,4.5,babesia microti
clim_up;mean;2030;6,113664,1240,clim_up,mean,2030,6,babesia microti
clim_up;mean;2030;8.5,147659,1019,clim_up,mean,2030,8.5,babesia microti
clim_up;mean;2050;2.6,111527,1095,clim_up,mean,2050,2.6,babesia microti
clim_up;mean;2050;4.5,130999,1413,clim_up,mean,2050,4.5,babesia microti
clim_up;mean;2050;6,87569,943,clim_up,mean,2050,6,babesia microti
clim_up;mean;2050;8.5,107392,1055,clim_up,mean,2050,8.5,babesia microti
clim_up;mean;2070;2.6,87600,1273,clim_up,mean,2070,2.6,babesia microti
clim_up;mean;2070;4.5,125287,1078,clim_up,mean,2070,4.5,babesia microti
clim_up;mean;2070;6,150521,1999,clim_up,mean,2070,6,babesia microti
clim_up;mean;2070;8.5,119242,1078,clim_up,mean,2070,8.5,babesia microti
clim_up;mean;2080;2.6,133297,1381,clim_up,mean,2080,2.6,babesia microti
clim_up;mean;2080;4.5,109984,1120,clim_up,mean,2080,4.5,babesia microti
clim_up;mean;2080;6,80765,1034,clim_up,mean,2080,6,babesia microti
clim_up;mean;2080;8.5,62844,907,clim_up,mean,2080,8.5,babesia microti
clim_up;min;2030;2.6,89113,494,clim_up,min,2030,2.6,babesia microti
clim_up;min;2030;4.5,109057,771,clim_up,min,2030,4.5,babesia microti
clim_up;min;2030;6,124194,652,clim_up,min,2030,6,babesia microti
clim_up;min;2030;8.5,159669,592,clim_up,min,2030,8.5,babesia microti
clim_up;min;2050;2.6,122853,595,clim_up,min,2050,2.6,babesia microti
clim_up;min;2050;4.5,144444,711,clim_up,min,2050,4.5,babesia microti
clim_up;min;2050;6,99585,592,clim_up,min,2050,6,babesia microti
clim_up;min;2050;8.5,120118,720,clim_up,min,2050,8.5,babesia microti
clim_up;min;2070;2.6,100933,730,clim_up,min,2070,2.6,babesia microti
clim_up;min;2070;4.5,139387,767,clim_up,min,2070,4.5,babesia microti
clim_up;min;2070;6,164176,751,clim_up,min,2070,6,babesia microti
clim_up;min;2070;8.5,132980,666,clim_up,min,2070,8.5,babesia microti
clim_up;min;2080;2.6,145684,663,clim_up,min,2080,2.6,babesia microti
clim_up;min;2080;4.5,123421,627,clim_up,min,2080,4.5,babesia microti
clim_up;min;2080;6,92689,598,clim_up,min,2080,6,babesia microti
clim_up;min;2080;8.5,74050,580,clim_up,min,2080,8.5,babesia microti
dummy;max;2030;2.6,70321,-46074,dummy,max,2030,2.6,babesia microti
dummy;max;2030;4.5,105987,-10408,dummy,max,2030,4.5,babesia microti
dummy;max;2030;6,115332,-1063,dummy,max,2030,6,babesia microti
dummy;max;2030;8.5,112004,-4391,dummy,max,2030,8.5,babesia microti
dummy;max;2050;2.6,115290,-1105,dummy,max,2050,2.6,babesia microti
