year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,3657,-2940,clim_down,max,2030,2.6,banna
clim_down;max;2030;4.5,1786,-4824,clim_down,max,2030,4.5,banna
clim_down;max;2030;6,1262,-3931,clim_down,max,2030,6,banna
clim_down;max;2030;8.5,1335,-1803,clim_down,max,2030,8.5,banna
clim_down;max;2050;2.6,2251,-5538,clim_down,max,2050,2.6,banna
clim_down;max;2050;4.5,2279,-3888,clim_down,max,2050,4.5,banna
clim_down;max;2050;6,1337,-3970,clim_down,max,2050,6,banna
clim_down;max;2050;8.5,1578,-5807,clim_down,max,2050,8.5,banna
clim_down;max;2070;2.6,2126,-2736,clim_down,max,2070,2.6,banna
clim_down;max;2070;4.5,1656,-4356,clim_down,max,2070,4.5,banna
clim_down;max;2070;6,800,-3432,clim_down,max,2070,6,banna
clim_down;max;2070;8.5,1107,-1582,clim_down,max,2070,8.5,banna
clim_down;max;2080;2.6,2248,-3551,clim_down,max,2080,2.6,banna
clim_down;max;2080;4.5,2023,-2007,clim_down,max,2080,4.5,banna
clim_down;max;2080;6,457,-534,clim_down,max,2080,6,banna
clim_down;max;2080;8.5,1923,-3714,clim_down,max,2080,8.5,banna
clim_down;mean;2030;2.6,37499,-6946,clim_down,mean,2030,2.6,banna
clim_down;mean;2030;4.5,41206,-6693,clim_down,mean,2030,4.5,banna
clim_down;mean;2030;6,50604,-10130,clim_down,mean,2030,6,banna
clim_down;mean;2030;8.5,28627,-3307,clim_down,mean,2030,8.5,banna
clim_down;mean;2050;2.6,49299,-3893,clim_down,mean,2050,2.6,banna
clim_down;mean;2050;4.5,34856,-6790,clim_down,mean,2050,4.5,banna
clim_down;mean;2050;6,34550,-5017,clim_down,mean,2050,6,banna
clim_down;mean;2050;8.5,49747,-3724,clim_down,mean,2050,8.5,banna
clim_down;mean;2070;2.6,28308,-5424,clim_down,mean,2070,2.6,banna
clim_down;mean;2070;4.5,29815,-4332,clim_down,mean,2070,4.5,banna
clim_down;mean;2070;6,26699,-4220,clim_down,mean,2070,6,banna
clim_down;mean;2070;8.5,38415,-2940,clim_down,mean,2070,8.5,banna
clim_down;mean;2080;2.6,38463,-8403,clim_down,mean,2080,2.6,banna
clim_down;mean;2080;4.5,23296,-4136,clim_down,mean,2080,4.5,banna
clim_down;mean;2080;6,13263,-3587,clim_down,mean,2080,6,banna
clim_down;mean;2080;8.5,38271,-1547,clim_down,mean,2080,8.5,banna
clim_down;min;2030;2.6,60857,-6560,clim_down,min,2030,2.6,banna
clim_down;min;2030;4.5,66400,-6695,clim_down,min,2030,4.5,banna
clim_down;min;2030;6,95219,-29328,clim_down,min,2030,6,banna
clim_down;min;2030;8.5,50032,-8383,clim_down,min,2030,8.5,banna
clim_down;min;2050;2.6,68492,-7661,clim_down,min,2050,2.6,banna
clim_down;min;2050;4.5,58275,-13015,clim_down,min,2050,4.5,banna
clim_down;min;2050;6,57789,-5703,clim_down,min,2050,6,banna
clim_down;min;2050;8.5,64229,-3913,clim_down,min,2050,8.5,banna
clim_down;min;2070;2.6,49180,-11106,clim_down,min,2070,2.6,banna
clim_down;min;2070;4.5,45908,-3447,clim_down,min,2070,4.5,banna
clim_down;min;2070;6,48997,-8457,clim_down,min,2070,6,banna
clim_down;min;2070;8.5,50298,-6043,clim_down,min,2070,8.5,banna
clim_down;min;2080;2.6,68844,-11001,clim_down,min,2080,2.6,banna
clim_down;min;2080;4.5,44011,-9387,clim_down,min,2080,4.5,banna
clim_down;min;2080;6,28628,-12216,clim_down,min,2080,6,banna
clim_down;min;2080;8.5,47096,-5339,clim_down,min,2080,8.5,banna
clim_up;max;2030;2.6,10270,862,clim_up,max,2030,2.6,banna
clim_up;max;2030;4.5,11655,896,clim_up,max,2030,4.5,banna
clim_up;max;2030;6,15283,1106,clim_up,max,2030,6,banna
clim_up;max;2030;8.5,21698,1697,clim_up,max,2030,8.5,banna
clim_up;max;2050;2.6,11171,606,clim_up,max,2050,2.6,banna
clim_up;max;2050;4.5,11560,574,clim_up,max,2050,4.5,banna
