year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,129689,1426,clim_down,max,2030,2.6,barmah forest
clim_down;max;2030;4.5,119865,1145,clim_down,max,2030,4.5,barmah forest
clim_down;max;2030;6,120894,1077,clim_down,max,2030,6,barmah forest
clim_down;max;2030;8.5,37679,-18962,clim_down,max,2030,8.5,barmah forest
clim_down;max;2050;2.6,22859,-6149,clim_down,max,2050,2.6,barmah forest
clim_down;max;2050;4.5,50278,-7604,clim_down,max,2050,4.5,barmah forest
clim_down;max;2050;6,7,-60064,clim_down,max,2050,6,barmah forest
clim_down;max;2050;8.5,113528,1151,clim_down,max,2050,8.5,barmah forest
clim_down;max;2070;4.5,42588,-961,clim_down,max,2070,4.5,barmah forest
clim_down;max;2070;6,1,-56529,clim_down,max,2070,6,barmah forest
clim_down;max;2070;8.5,62136,-23310,clim_down,max,2070,8.5,barmah forest
clim_down;max;2080;2.6,14579,-8954,clim_down,max,2080,2.6,barmah forest
clim_down;max;2080;4.5,65317,-1338,clim_down,max,2080,4.5,barmah forest
clim_down;max;2080;6,112662,942,clim_down,max,2080,6,barmah forest
clim_down;mean;2030;2.6,148286,316,clim_down,mean,2030,2.6,barmah forest
clim_down;mean;2030;4.5,137923,258,clim_down,mean,2030,4.5,barmah forest
clim_down;mean;2030;6,141034,517,clim_down,mean,2030,6,barmah forest
clim_down;mean;2030;8.5,65506,-2626,clim_down,mean,2030,8.5,barmah forest
clim_down;mean;2050;2.6,34520,-3793,clim_down,mean,2050,2.6,barmah forest
clim_down;mean;2050;4.5,59690,-11193,clim_down,mean,2050,4.5,barmah forest
clim_down;mean;2050;6,70411,-3338,clim_down,mean,2050,6,barmah forest
clim_down;mean;2050;8.5,131811,193,clim_down,mean,2050,8.5,barmah forest
clim_down;mean;2070;4.5,52936,-2624,clim_down,mean,2070,4.5,barmah forest
clim_down;mean;2070;6,57600,-9197,clim_down,mean,2070,6,barmah forest
clim_down;mean;2070;8.5,94805,-5612,clim_down,mean,2070,8.5,barmah forest
clim_down;mean;2080;2.6,21653,-7524,clim_down,mean,2080,2.6,barmah forest
clim_down;mean;2080;4.5,77433,-2978,clim_down,mean,2080,4.5,barmah forest
clim_down;mean;2080;6,132591,-672,clim_down,mean,2080,6,barmah forest
clim_down;mean;2080;8.5,270,-7733,clim_down,mean,2080,8.5,barmah forest
clim_down;min;2030;2.6,208736,524,clim_down,min,2030,2.6,barmah forest
clim_down;min;2030;4.5,187016,338,clim_down,min,2030,4.5,barmah forest
clim_down;min;2030;6,195965,1065,clim_down,min,2030,6,barmah forest
clim_down;min;2030;8.5,104303,-10351,clim_down,min,2030,8.5,barmah forest
clim_down;min;2050;2.6,64007,-10208,clim_down,min,2050,2.6,barmah forest
clim_down;min;2050;4.5,85503,-16788,clim_down,min,2050,4.5,barmah forest
clim_down;min;2050;6,80374,-32296,clim_down,min,2050,6,barmah forest
clim_down;min;2050;8.5,192865,-815,clim_down,min,2050,8.5,barmah forest
clim_down;min;2070;2.6,771,-18347,clim_down,min,2070,2.6,barmah forest
clim_down;min;2070;4.5,68369,-3324,clim_down,min,2070,4.5,barmah forest
clim_down;min;2070;6,64977,-40499,clim_down,min,2070,6,barmah forest
clim_down;min;2070;8.5,133554,-11813,clim_down,min,2070,8.5,barmah forest
clim_down;min;2080;2.6,44310,-14256,clim_down,min,2080,2.6,barmah forest
clim_down;min;2080;4.5,108142,-7295,clim_down,min,2080,4.5,barmah forest
clim_down;min;2080;6,192047,-1022,clim_down,min,2080,6,barmah forest
clim_down;min;2080;8.5,874,-26786,clim_down,min,2080,8.5,barmah forest
clim_up;max;2030;2.6,20,-22,clim_up,max,2030,2.6,barmah forest
clim_up;max;2030;4.5,197,74,clim_up,max,2030,4.5,barmah forest
clim_up;max;2030;6,86,49,clim_up,max,2030,6,barmah forest
clim_up;max;2030;8.5,6864,-12652,clim_up,max,2030,8.5,barmah forest
clim_up;max;2050;2.6,10917,-5396,clim_up,max,2050,2.6,barmah forest
clim_up;max;2050;4.5,5480,-3533,clim_up,max,2050,4.5,barmah forest
clim_up;max;2050;6,3,-15793,clim_up,max,2050,6,barmah forest
clim_up;max;2050;8.5,169,116,clim_up,max,2050,8.5,barmah forest
clim_up;max;2070;4.5,5915,-5022,clim_up,max,2070,4.5,barmah forest
clim_up;max;2070;8.5,1886,-1180,clim_up,max,2070,8.5,barmah forest
clim_up;max;2080;2.6,23565,-21721,clim_up,max,2080,2.6,barmah forest
clim_up;max;2080;4.5,5636,-3,clim_up,max,2080,4.5,barmah forest
clim_up;max;2080;6,95,52,clim_up,max,2080,6,barmah forest
clim_up;mean;2030;2.6,1008,-144,clim_up,mean,2030,2.6,barmah forest
clim_up;mean;2030;4.5,2475,90,clim_up,mean,2030,4.5,barmah forest
clim_up;mean;2030;6,757,67,clim_up,mean,2030,6,barmah forest
clim_up;mean;2030;8.5,8515,-16223,clim_up,mean,2030,8.5,barmah forest
clim_up;mean;2050;2.6,13830,-4157,clim_up,mean,2050,2.6,barmah forest
clim_up;mean;2050;4.5,6205,-4768,clim_up,mean,2050,4.5,barmah forest
clim_up;mean;2050;6,9837,-7151,clim_up,mean,2050,6,barmah forest
clim_up;mean;2050;8.5,1456,154,clim_up,mean,2050,8.5,barmah forest
clim_up;mean;2070;4.5,7792,-5936,clim_up,mean,2070,4.5,barmah forest
clim_up;mean;2070;6,8552,-3213,clim_up,mean,2070,6,barmah forest
clim_up;mean;2070;8.5,3117,-2322,clim_up,mean,2070,8.5,barmah forest
clim_up;mean;2080;2.6,27269,-24998,clim_up,mean,2080,2.6,barmah forest
clim_up;mean;2080;4.5,6957,-1085,clim_up,mean,2080,4.5,barmah forest
clim_up;mean;2080;6,997,12,clim_up,mean,2080,6,barmah forest
clim_up;min;2030;2.6,2121,-266,clim_up,min,2030,2.6,barmah forest
clim_up;min;2030;4.5,6776,-7,clim_up,min,2030,4.5,barmah forest
