year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,3810,-4541,clim_down,max,2030,2.6,bartonella bacilliformis
clim_down;max;2030;4.5,7511,-6755,clim_down,max,2030,4.5,bartonella bacilliformis
clim_down;max;2030;6,4363,-4868,clim_down,max,2030,6,bartonella bacilliformis
clim_down;max;2030;8.5,3960,-4472,clim_down,max,2030,8.5,bartonella bacilliformis
clim_down;max;2050;2.6,4368,-5222,clim_down,max,2050,2.6,bartonella bacilliformis
clim_down;max;2050;4.5,5973,-5156,clim_down,max,2050,4.5,bartonella bacilliformis
clim_down;max;2050;6,5976,-7701,clim_down,max,2050,6,bartonella bacilliformis
clim_down;max;2050;8.5,5947,-8536,clim_down,max,2050,8.5,bartonella bacilliformis
clim_down;max;2070;2.6,5696,-7181,clim_down,max,2070,2.6,bartonella bacilliformis
clim_down;max;2070;4.5,8406,-6173,clim_down,max,2070,4.5,bartonella bacilliformis
clim_down;max;2070;6,6969,-8893,clim_down,max,2070,6,bartonella bacilliformis
clim_down;max;2070;8.5,5320,-11284,clim_down,max,2070,8.5,bartonella bacilliformis
clim_down;max;2080;2.6,5175,-6494,clim_down,max,2080,2.6,bartonella bacilliformis
clim_down;max;2080;4.5,7329,-6226,clim_down,max,2080,4.5,bartonella bacilliformis
clim_down;max;2080;6,4880,-6621,clim_down,max,2080,6,bartonella bacilliformis
clim_down;max;2080;8.5,3212,-16230,clim_down,max,2080,8.5,bartonella bacilliformis
clim_down;mean;2030;2.6,133785,-148245,clim_down,mean,2030,2.6,bartonella bacilliformis
clim_down;mean;2030;4.5,135733,-60855,clim_down,mean,2030,4.5,bartonella bacilliformis
clim_down;mean;2030;6,161501,-58848,clim_down,mean,2030,6,bartonella bacilliformis
clim_down;mean;2030;8.5,104337,-180963,clim_down,mean,2030,8.5,bartonella bacilliformis
clim_down;mean;2050;2.6,147924,-101856,clim_down,mean,2050,2.6,bartonella bacilliformis
clim_down;mean;2050;4.5,103013,-190655,clim_down,mean,2050,4.5,bartonella bacilliformis
clim_down;mean;2050;6,126813,-140567,clim_down,mean,2050,6,bartonella bacilliformis
clim_down;mean;2050;8.5,89524,-198052,clim_down,mean,2050,8.5,bartonella bacilliformis
clim_down;mean;2070;2.6,182699,-64127,clim_down,mean,2070,2.6,bartonella bacilliformis
clim_down;mean;2070;4.5,150778,-144352,clim_down,mean,2070,4.5,bartonella bacilliformis
clim_down;mean;2070;6,129581,-152319,clim_down,mean,2070,6,bartonella bacilliformis
clim_down;mean;2070;8.5,42988,-270045,clim_down,mean,2070,8.5,bartonella bacilliformis
clim_down;mean;2080;2.6,191160,-69603,clim_down,mean,2080,2.6,bartonella bacilliformis
clim_down;mean;2080;4.5,130414,-161359,clim_down,mean,2080,4.5,bartonella bacilliformis
clim_down;mean;2080;6,84838,-214517,clim_down,mean,2080,6,bartonella bacilliformis
clim_down;mean;2080;8.5,60086,-253465,clim_down,mean,2080,8.5,bartonella bacilliformis
clim_down;min;2030;2.6,450209,-5993,clim_down,min,2030,2.6,bartonella bacilliformis
clim_down;min;2030;4.5,217059,-555,clim_down,min,2030,4.5,bartonella bacilliformis
clim_down;min;2030;6,272504,-1217,clim_down,min,2030,6,bartonella bacilliformis
clim_down;min;2030;8.5,456911,-4788,clim_down,min,2030,8.5,bartonella bacilliformis
clim_down;min;2050;2.6,338420,-3593,clim_down,min,2050,2.6,bartonella bacilliformis
clim_down;min;2050;4.5,431218,-2006,clim_down,min,2050,4.5,bartonella bacilliformis
clim_down;min;2050;6,343471,-3380,clim_down,min,2050,6,bartonella bacilliformis
clim_down;min;2050;8.5,421869,-4025,clim_down,min,2050,8.5,bartonella bacilliformis
clim_down;min;2070;2.6,330540,-2859,clim_down,min,2070,2.6,bartonella bacilliformis
clim_down;min;2070;4.5,435471,-925,clim_down,min,2070,4.5,bartonella bacilliformis
clim_down;min;2070;6,390592,-3095,clim_down,min,2070,6,bartonella bacilliformis
clim_down;min;2070;8.5,484698,-6556,clim_down,min,2070,8.5,bartonella bacilliformis
clim_down;min;2080;2.6,335614,-3056,clim_down,min,2080,2.6,bartonella bacilliformis
clim_down;min;2080;4.5,419917,-2269,clim_down,min,2080,4.5,bartonella bacilliformis
clim_down;min;2080;6,477605,-5292,clim_down,min,2080,6,bartonella bacilliformis
clim_down;min;2080;8.5,470698,-6876,clim_down,min,2080,8.5,bartonella bacilliformis
clim_up;max;2030;2.6,2183,49,clim_up,max,2030,2.6,bartonella bacilliformis
clim_up;max;2030;4.5,528,100,clim_up,max,2030,4.5,bartonella bacilliformis
clim_up;max;2030;6,1016,63,clim_up,max,2030,6,bartonella bacilliformis
clim_up;max;2030;8.5,2959,153,clim_up,max,2030,8.5,bartonella bacilliformis
clim_up;max;2050;2.6,897,29,clim_up,max,2050,2.6,bartonella bacilliformis
clim_up;max;2050;4.5,1097,163,clim_up,max,2050,4.5,bartonella bacilliformis
clim_up;max;2050;6,979,27,clim_up,max,2050,6,bartonella bacilliformis
clim_up;max;2050;8.5,506,32,clim_up,max,2050,8.5,bartonella bacilliformis
clim_up;max;2070;2.6,497,-22,clim_up,max,2070,2.6,bartonella bacilliformis
clim_up;max;2070;4.5,312,57,clim_up,max,2070,4.5,bartonella bacilliformis
clim_up;max;2070;6,210,16,clim_up,max,2070,6,bartonella bacilliformis
clim_up;max;2070;8.5,365,40,clim_up,max,2070,8.5,bartonella bacilliformis
clim_up;max;2080;2.6,689,-36,clim_up,max,2080,2.6,bartonella bacilliformis
clim_up;max;2080;4.5,499,76,clim_up,max,2080,4.5,bartonella bacilliformis
clim_up;max;2080;6,1954,138,clim_up,max,2080,6,bartonella bacilliformis
clim_up;max;2080;8.5,34,0,clim_up,max,2080,8.5,bartonella bacilliformis
clim_up;mean;2030;2.6,6319,55,clim_up,mean,2030,2.6,bartonella bacilliformis
clim_up;mean;2030;4.5,13726,422,clim_up,mean,2030,4.5,bartonella bacilliformis
clim_up;mean;2030;6,3057,27,clim_up,mean,2030,6,bartonella bacilliformis
