year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,3348,-653,clim_down,max,2030,2.6,bayou
clim_down;max;2030;4.5,2269,-1836,clim_down,max,2030,4.5,bayou
clim_down;max;2030;6,2063,-1848,clim_down,max,2030,6,bayou
clim_down;max;2030;8.5,8912,-2,clim_down,max,2030,8.5,bayou
clim_down;max;2050;2.6,1011,-262,clim_down,max,2050,2.6,bayou
clim_down;max;2050;4.5,3958,-3710,clim_down,max,2050,4.5,bayou
clim_down;max;2050;6,1035,-631,clim_down,max,2050,6,bayou
clim_down;max;2050;8.5,5988,-2419,clim_down,max,2050,8.5,bayou
clim_down;max;2070;2.6,1281,-387,clim_down,max,2070,2.6,bayou
clim_down;max;2070;4.5,1565,-1909,clim_down,max,2070,4.5,bayou
clim_down;max;2070;6,5455,-163,clim_down,max,2070,6,bayou
clim_down;max;2070;8.5,3808,-3143,clim_down,max,2070,8.5,bayou
clim_down;max;2080;2.6,1905,-1367,clim_down,max,2080,2.6,bayou
clim_down;max;2080;4.5,2806,-2439,clim_down,max,2080,4.5,bayou
clim_down;max;2080;6,948,-2250,clim_down,max,2080,6,bayou
clim_down;max;2080;8.5,1044,-216,clim_down,max,2080,8.5,bayou
clim_down;mean;2030;2.6,4083,-148,clim_down,mean,2030,2.6,bayou
clim_down;mean;2030;4.5,3778,-1055,clim_down,mean,2030,4.5,bayou
clim_down;mean;2030;6,3479,-952,clim_down,mean,2030,6,bayou
clim_down;mean;2030;8.5,10677,6,clim_down,mean,2030,8.5,bayou
clim_down;mean;2050;2.6,1256,-911,clim_down,mean,2050,2.6,bayou
clim_down;mean;2050;4.5,6719,-1529,clim_down,mean,2050,4.5,bayou
clim_down;mean;2050;6,1629,-118,clim_down,mean,2050,6,bayou
clim_down;mean;2050;8.5,8066,-837,clim_down,mean,2050,8.5,bayou
clim_down;mean;2070;2.6,1606,-98,clim_down,mean,2070,2.6,bayou
clim_down;mean;2070;4.5,2695,-1919,clim_down,mean,2070,4.5,bayou
clim_down;mean;2070;6,7986,11,clim_down,mean,2070,6,bayou
