year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,3006,-5343,clim_down,max,2030,2.6,bermejo
clim_down;max;2030;4.5,1850,-4106,clim_down,max,2030,4.5,bermejo
clim_down;max;2030;6,2359,-7021,clim_down,max,2030,6,bermejo
clim_down;max;2030;8.5,790,-11854,clim_down,max,2030,8.5,bermejo
clim_down;max;2050;2.6,1249,-11315,clim_down,max,2050,2.6,bermejo
clim_down;max;2050;4.5,1509,-2282,clim_down,max,2050,4.5,bermejo
clim_down;max;2050;6,715,-2100,clim_down,max,2050,6,bermejo
clim_down;max;2050;8.5,1042,-10659,clim_down,max,2050,8.5,bermejo
clim_down;max;2070;2.6,3449,-9033,clim_down,max,2070,2.6,bermejo
clim_down;max;2070;4.5,2109,-7905,clim_down,max,2070,4.5,bermejo
clim_down;max;2070;6,2171,-10362,clim_down,max,2070,6,bermejo
clim_down;max;2070;8.5,1324,-6799,clim_down,max,2070,8.5,bermejo
clim_down;max;2080;2.6,3872,-6711,clim_down,max,2080,2.6,bermejo
clim_down;max;2080;4.5,2063,-9679,clim_down,max,2080,4.5,bermejo
clim_down;mean;2030;2.6,4098,-5223,clim_down,mean,2030,2.6,bermejo
clim_down;mean;2030;4.5,2431,-4349,clim_down,mean,2030,4.5,bermejo
clim_down;mean;2030;6,3136,-7282,clim_down,mean,2030,6,bermejo
clim_down;mean;2030;8.5,1280,-12684,clim_down,mean,2030,8.5,bermejo
clim_down;mean;2050;2.6,2354,-11603,clim_down,mean,2050,2.6,bermejo
clim_down;mean;2050;4.5,1789,-2467,clim_down,mean,2050,4.5,bermejo
clim_down;mean;2050;6,1047,-2184,clim_down,mean,2050,6,bermejo
clim_down;mean;2050;8.5,2498,-10440,clim_down,mean,2050,8.5,bermejo
clim_down;mean;2070;2.6,5296,-8402,clim_down,mean,2070,2.6,bermejo
clim_down;mean;2070;4.5,3225,-7907,clim_down,mean,2070,4.5,bermejo
clim_down;mean;2070;6,3523,-10128,clim_down,mean,2070,6,bermejo
clim_down;mean;2070;8.5,2047,-7132,clim_down,mean,2070,8.5,bermejo
