year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,4847,-14560,clim_down,max,2030,2.6,bokeloh bat lyssavirus
clim_down;max;2030;4.5,4346,-7733,clim_down,max,2030,4.5,bokeloh bat lyssavirus
clim_down;max;2030;6,3409,-17512,clim_down,max,2030,6,bokeloh bat lyssavirus
clim_down;max;2030;8.5,6,-2,clim_down,max,2030,8.5,bokeloh bat lyssavirus
clim_down;max;2050;2.6,5042,-15923,clim_down,max,2050,2.6,bokeloh bat lyssavirus
clim_down;max;2050;4.5,3882,-3426,clim_down,max,2050,4.5,bokeloh bat lyssavirus
clim_down;max;2050;6,5291,-11746,clim_down,max,2050,6,bokeloh bat lyssavirus
clim_down;max;2050;8.5,1236,-21351,clim_down,max,2050,8.5,bokeloh bat lyssavirus
clim_down;max;2070;2.6,8437,-2982,clim_down,max,2070,2.6,bokeloh bat lyssavirus
clim_down;max;2070;4.5,3223,-17786,clim_down,max,2070,4.5,bokeloh bat lyssavirus
clim_down;max;2070;6,3327,-17484,clim_down,max,2070,6,bokeloh bat lyssavirus
clim_down;max;2070;8.5,506,-24541,clim_down,max,2070,8.5,bokeloh bat lyssavirus
clim_down;max;2080;2.6,5184,-14306,clim_down,max,2080,2.6,bokeloh bat lyssavirus
clim_down;max;2080;4.5,4842,-12365,clim_down,max,2080,4.5,bokeloh bat lyssavirus
clim_down;max;2080;6,2017,-20472,clim_down,max,2080,6,bokeloh bat lyssavirus
clim_down;max;2080;8.5,1,-24148,clim_down,max,2080,8.5,bokeloh bat lyssavirus
clim_down;mean;2030;2.6,6419,-17558,clim_down,mean,2030,2.6,bokeloh bat lyssavirus
clim_down;mean;2030;4.5,5179,-11245,clim_down,mean,2030,4.5,bokeloh bat lyssavirus
clim_down;mean;2030;6,4716,-22016,clim_down,mean,2030,6,bokeloh bat lyssavirus
clim_down;mean;2030;8.5,6,-34,clim_down,mean,2030,8.5,bokeloh bat lyssavirus
clim_down;mean;2050;2.6,6921,-20174,clim_down,mean,2050,2.6,bokeloh bat lyssavirus
clim_down;mean;2050;4.5,4365,-5118,clim_down,mean,2050,4.5,bokeloh bat lyssavirus
clim_down;mean;2050;6,5640,-15976,clim_down,mean,2050,6,bokeloh bat lyssavirus
clim_down;mean;2050;8.5,2989,-25459,clim_down,mean,2050,8.5,bokeloh bat lyssavirus
clim_down;mean;2070;2.6,8876,-6747,clim_down,mean,2070,2.6,bokeloh bat lyssavirus
clim_down;mean;2070;4.5,5089,-21806,clim_down,mean,2070,4.5,bokeloh bat lyssavirus
clim_down;mean;2070;6,4713,-21160,clim_down,mean,2070,6,bokeloh bat lyssavirus
clim_down;mean;2070;8.5,1020,-30234,clim_down,mean,2070,8.5,bokeloh bat lyssavirus
clim_down;mean;2080;2.6,6294,-19149,clim_down,mean,2080,2.6,bokeloh bat lyssavirus
clim_down;mean;2080;4.5,5837,-15425,clim_down,mean,2080,4.5,bokeloh bat lyssavirus
clim_down;mean;2080;6,4444,-24215,clim_down,mean,2080,6,bokeloh bat lyssavirus
clim_down;mean;2080;8.5,39,-29517,clim_down,mean,2080,8.5,bokeloh bat lyssavirus
clim_down;min;2030;2.6,10046,-19438,clim_down,min,2030,2.6,bokeloh bat lyssavirus
clim_down;min;2030;4.5,10340,-10295,clim_down,min,2030,4.5,bokeloh bat lyssavirus
clim_down;min;2030;6,8786,-23702,clim_down,min,2030,6,bokeloh bat lyssavirus
clim_down;min;2030;8.5,56,-144,clim_down,min,2030,8.5,bokeloh bat lyssavirus
clim_down;min;2050;2.6,11241,-21997,clim_down,min,2050,2.6,bokeloh bat lyssavirus
clim_down;min;2050;4.5,7023,-5141,clim_down,min,2050,4.5,bokeloh bat lyssavirus
clim_down;min;2050;6,8146,-18958,clim_down,min,2050,6,bokeloh bat lyssavirus
clim_down;min;2050;8.5,9394,-25282,clim_down,min,2050,8.5,bokeloh bat lyssavirus
clim_down;min;2070;2.6,12570,-7271,clim_down,min,2070,2.6,bokeloh bat lyssavirus
clim_down;min;2070;4.5,8954,-24451,clim_down,min,2070,4.5,bokeloh bat lyssavirus
clim_down;min;2070;6,8287,-23446,clim_down,min,2070,6,bokeloh bat lyssavirus
