year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,32124,-8022,clim_down,max,2030,2.6,borrelia afzelii
clim_down;max;2030;4.5,17956,-19269,clim_down,max,2030,4.5,borrelia afzelii
clim_down;max;2030;6,40238,-49135,clim_down,max,2030,6,borrelia afzelii
clim_down;max;2030;8.5,26636,-10862,clim_down,max,2030,8.5,borrelia afzelii
clim_down;max;2050;2.6,57759,-17752,clim_down,max,2050,2.6,borrelia afzelii
clim_down;max;2050;4.5,13867,-25462,clim_down,max,2050,4.5,borrelia afzelii
clim_down;max;2050;6,39227,-50827,clim_down,max,2050,6,borrelia afzelii
clim_down;max;2050;8.5,26050,-39772,clim_down,max,2050,8.5,borrelia afzelii
clim_down;max;2070;2.6,36539,-10003,clim_down,max,2070,2.6,borrelia afzelii
clim_down;max;2070;4.5,22852,-30104,clim_down,max,2070,4.5,borrelia afzelii
clim_down;max;2070;6,32403,-52473,clim_down,max,2070,6,borrelia afzelii
clim_down;max;2070;8.5,40502,-50312,clim_down,max,2070,8.5,borrelia afzelii
clim_down;max;2080;2.6,35328,-63352,clim_down,max,2080,2.6,borrelia afzelii
clim_down;max;2080;4.5,18641,-63342,clim_down,max,2080,4.5,borrelia afzelii
clim_down;max;2080;6,23929,-41501,clim_down,max,2080,6,borrelia afzelii
clim_down;max;2080;8.5,42379,-54938,clim_down,max,2080,8.5,borrelia afzelii
clim_down;mean;2030;2.6,51853,-8692,clim_down,mean,2030,2.6,borrelia afzelii
clim_down;mean;2030;4.5,34619,-27185,clim_down,mean,2030,4.5,borrelia afzelii
clim_down;mean;2030;6,69842,-54963,clim_down,mean,2030,6,borrelia afzelii
clim_down;mean;2030;8.5,47024,-16382,clim_down,mean,2030,8.5,borrelia afzelii
clim_down;mean;2050;2.6,89619,-18177,clim_down,mean,2050,2.6,borrelia afzelii
clim_down;mean;2050;4.5,30288,-35942,clim_down,mean,2050,4.5,borrelia afzelii
clim_down;mean;2050;6,74760,-56465,clim_down,mean,2050,6,borrelia afzelii
clim_down;mean;2050;8.5,51797,-51282,clim_down,mean,2050,8.5,borrelia afzelii
clim_down;mean;2070;2.6,58272,-12294,clim_down,mean,2070,2.6,borrelia afzelii
clim_down;mean;2070;4.5,40611,-43087,clim_down,mean,2070,4.5,borrelia afzelii
clim_down;mean;2070;6,85674,-41205,clim_down,mean,2070,6,borrelia afzelii
clim_down;mean;2070;8.5,73158,-58735,clim_down,mean,2070,8.5,borrelia afzelii
clim_down;mean;2080;2.6,62138,-77371,clim_down,mean,2080,2.6,borrelia afzelii
clim_down;mean;2080;4.5,39579,-83397,clim_down,mean,2080,4.5,borrelia afzelii
clim_down;mean;2080;6,61548,-38896,clim_down,mean,2080,6,borrelia afzelii
clim_down;mean;2080;8.5,76696,-65607,clim_down,mean,2080,8.5,borrelia afzelii
clim_down;min;2030;2.6,605502,-30153,clim_down,min,2030,2.6,borrelia afzelii
clim_down;min;2030;4.5,419886,-184523,clim_down,min,2030,4.5,borrelia afzelii
clim_down;min;2030;6,803354,-82181,clim_down,min,2030,6,borrelia afzelii
clim_down;min;2030;8.5,566049,-137627,clim_down,min,2030,8.5,borrelia afzelii
clim_down;min;2050;2.6,534211,-203814,clim_down,min,2050,2.6,borrelia afzelii
clim_down;min;2050;4.5,332980,-460404,clim_down,min,2050,4.5,borrelia afzelii
clim_down;min;2050;6,827018,-179472,clim_down,min,2050,6,borrelia afzelii
clim_down;min;2050;8.5,637722,-379855,clim_down,min,2050,8.5,borrelia afzelii
clim_down;min;2070;2.6,325959,-312939,clim_down,min,2070,2.6,borrelia afzelii
clim_down;min;2070;4.5,340172,-511648,clim_down,min,2070,4.5,borrelia afzelii
clim_down;min;2070;6,786383,-289926,clim_down,min,2070,6,borrelia afzelii
clim_down;min;2070;8.5,592257,-514502,clim_down,min,2070,8.5,borrelia afzelii
clim_down;min;2080;2.6,511660,-418504,clim_down,min,2080,2.6,borrelia afzelii
clim_down;min;2080;4.5,404121,-580114,clim_down,min,2080,4.5,borrelia afzelii
clim_down;min;2080;6,628454,-291167,clim_down,min,2080,6,borrelia afzelii
clim_down;min;2080;8.5,585279,-566456,clim_down,min,2080,8.5,borrelia afzelii
clim_up;max;2030;2.6,31395,-387,clim_up,max,2030,2.6,borrelia afzelii
clim_up;max;2030;4.5,22052,-1615,clim_up,max,2030,4.5,borrelia afzelii
clim_up;max;2030;6,1076,-5228,clim_up,max,2030,6,borrelia afzelii
clim_up;max;2030;8.5,33120,-2406,clim_up,max,2030,8.5,borrelia afzelii
clim_up;max;2050;2.6,23477,-1551,clim_up,max,2050,2.6,borrelia afzelii
clim_up;max;2050;4.5,36208,-2966,clim_up,max,2050,4.5,borrelia afzelii
clim_up;max;2050;6,1258,-3924,clim_up,max,2050,6,borrelia afzelii
clim_up;max;2050;8.5,19250,-1912,clim_up,max,2050,8.5,borrelia afzelii
clim_up;max;2070;2.6,19801,-1302,clim_up,max,2070,2.6,borrelia afzelii
clim_up;max;2070;4.5,21118,-2058,clim_up,max,2070,4.5,borrelia afzelii
clim_up;max;2070;6,15562,-155,clim_up,max,2070,6,borrelia afzelii
clim_up;max;2070;8.5,10818,-2293,clim_up,max,2070,8.5,borrelia afzelii
clim_up;max;2080;2.6,1442,-1241,clim_up,max,2080,2.6,borrelia afzelii
clim_up;max;2080;4.5,1581,-4184,clim_up,max,2080,4.5,borrelia afzelii
clim_up;max;2080;6,21641,-1313,clim_up,max,2080,6,borrelia afzelii
clim_up;max;2080;8.5,7771,-2396,clim_up,max,2080,8.5,borrelia afzelii
clim_up;mean;2030;2.6,40363,-2553,clim_up,mean,2030,2.6,borrelia afzelii
clim_up;mean;2030;4.5,27940,-4153,clim_up,mean,2030,4.5,borrelia afzelii
clim_up;mean;2030;6,5592,-3403,clim_up,mean,2030,6,borrelia afzelii
clim_up;mean;2030;8.5,42296,-3260,clim_up,mean,2030,8.5,borrelia afzelii
clim_up;mean;2050;2.6,29452,-5285,clim_up,mean,2050,2.6,borrelia afzelii
clim_up;mean;2050;4.5,44324,-6157,clim_up,mean,2050,4.5,borrelia afzelii
clim_up;mean;2050;6,4118,-2210,clim_up,mean,2050,6,borrelia afzelii
clim_up;mean;2050;8.5,24076,-2077,clim_up,mean,2050,8.5,borrelia afzelii
clim_up;mean;2070;2.6,24424,-3318,clim_up,mean,2070,2.6,borrelia afzelii
clim_up;mean;2070;4.5,25264,-4617,clim_up,mean,2070,4.5,borrelia afzelii
clim_up;mean;2070;6,19154,-546,clim_up,mean,2070,6,borrelia afzelii
clim_up;mean;2070;8.5,13910,-3120,clim_up,mean,2070,8.5,borrelia afzelii
clim_up;mean;2080;2.6,2278,-1161,clim_up,mean,2080,2.6,borrelia afzelii
clim_up;mean;2080;4.5,4061,-3197,clim_up,mean,2080,4.5,borrelia afzelii
clim_up;mean;2080;6,27870,-1301,clim_up,mean,2080,6,borrelia afzelii
clim_up;mean;2080;8.5,10297,-2872,clim_up,mean,2080,8.5,borrelia afzelii
clim_up;min;2030;2.6,178423,-7093,clim_up,min,2030,2.6,borrelia afzelii
clim_up;min;2030;4.5,144165,-14613,clim_up,min,2030,4.5,borrelia afzelii
clim_up;min;2030;6,109469,-8075,clim_up,min,2030,6,borrelia afzelii
clim_up;min;2030;8.5,168162,-4908,clim_up,min,2030,8.5,borrelia afzelii
clim_up;min;2050;2.6,171677,-26239,clim_up,min,2050,2.6,borrelia afzelii
clim_up;min;2050;4.5,137124,-53746,clim_up,min,2050,4.5,borrelia afzelii
clim_up;min;2050;6,75937,-13969,clim_up,min,2050,6,borrelia afzelii
clim_up;min;2050;8.5,100772,-13971,clim_up,min,2050,8.5,borrelia afzelii
clim_up;min;2070;2.6,96165,-35383,clim_up,min,2070,2.6,borrelia afzelii
clim_up;min;2070;4.5,84106,-48683,clim_up,min,2070,4.5,borrelia afzelii
clim_up;min;2070;6,87414,-15449,clim_up,min,2070,6,borrelia afzelii
clim_up;min;2070;8.5,79328,-23386,clim_up,min,2070,8.5,borrelia afzelii
clim_up;min;2080;2.6,54474,-51194,clim_up,min,2080,2.6,borrelia afzelii
clim_up;min;2080;4.5,42621,-55735,clim_up,min,2080,4.5,borrelia afzelii
clim_up;min;2080;6,114647,-18998,clim_up,min,2080,6,borrelia afzelii
clim_up;min;2080;8.5,63222,-26675,clim_up,min,2080,8.5,borrelia afzelii
dummy;max;2030;2.6,111470,-12391,dummy,max,2030,2.6,borrelia afzelii
dummy;max;2030;4.5,95428,-28433,dummy,max,2030,4.5,borrelia afzelii
dummy;max;2030;6,52993,-70868,dummy,max,2030,6,borrelia afzelii
dummy;max;2030;8.5,89693,-34168,dummy,max,2030,8.5,borrelia afzelii
dummy;max;2050;2.6,101013,-22848,dummy,max,2050,2.6,borrelia afzelii
dummy;max;2050;4.5,88019,-35842,dummy,max,2050,4.5,borrelia afzelii
dummy;max;2050;6,45315,-78546,dummy,max,2050,6,borrelia afzelii
dummy;max;2050;8.5,69668,-54193,dummy,max,2050,8.5,borrelia afzelii
dummy;max;2070;2.6,104438,-19423,dummy,max,2070,2.6,borrelia afzelii
dummy;max;2070;4.5,82324,-41537,dummy,max,2070,4.5,borrelia afzelii
dummy;max;2070;6,63154,-60707,dummy,max,2070,6,borrelia afzelii
dummy;max;2070;8.5,62421,-61440,dummy,max,2070,8.5,borrelia afzelii
dummy;max;2080;2.6,47195,-76666,dummy,max,2080,2.6,borrelia afzelii
dummy;max;2080;4.5,28038,-95823,dummy,max,2080,4.5,borrelia afzelii
dummy;max;2080;6,58555,-65306,dummy,max,2080,6,borrelia afzelii
dummy;max;2080;8.5,60102,-63759,dummy,max,2080,8.5,borrelia afzelii
dummy;mean;2030;2.6,158162,-21748,dummy,mean,2030,2.6,borrelia afzelii
dummy;mean;2030;4.5,132909,-46998,dummy,mean,2030,4.5,borrelia afzelii
dummy;mean;2030;6,100953,-78423,dummy,mean,2030,6,borrelia afzelii
dummy;mean;2030;8.5,137185,-42726,dummy,mean,2030,8.5,borrelia afzelii
dummy;mean;2050;2.6,147261,-32649,dummy,mean,2050,2.6,borrelia afzelii
dummy;mean;2050;4.5,121736,-58174,dummy,mean,2050,4.5,borrelia afzelii
dummy;mean;2050;6,90971,-88588,dummy,mean,2050,6,borrelia afzelii
dummy;mean;2050;8.5,109627,-70259,dummy,mean,2050,8.5,borrelia afzelii
dummy;mean;2070;2.6,146992,-32919,dummy,mean,2070,2.6,borrelia afzelii
dummy;mean;2070;4.5,114305,-65606,dummy,mean,2070,4.5,borrelia afzelii
dummy;mean;2070;6,134196,-45431,dummy,mean,2070,6,borrelia afzelii
dummy;mean;2070;8.5,104070,-74826,dummy,mean,2070,8.5,borrelia afzelii
dummy;mean;2080;2.6,82160,-97278,dummy,mean,2080,2.6,borrelia afzelii
dummy;mean;2080;4.5,56233,-123528,dummy,mean,2080,4.5,borrelia afzelii
dummy;mean;2080;6,126637,-52870,dummy,mean,2080,6,borrelia afzelii
dummy;mean;2080;8.5,101073,-78224,dummy,mean,2080,8.5,borrelia afzelii
dummy;min;2030;2.6,1427055,-62473,dummy,min,2030,2.6,borrelia afzelii
dummy;min;2030;4.5,1090312,-382461,dummy,min,2030,4.5,borrelia afzelii
dummy;min;2030;6,1344436,-106440,dummy,min,2030,6,borrelia afzelii
dummy;min;2030;8.5,1240762,-230242,dummy,min,2030,8.5,borrelia afzelii
dummy;min;2050;2.6,1054505,-359160,dummy,min,2050,2.6,borrelia afzelii
dummy;min;2050;4.5,756296,-707429,dummy,min,2050,4.5,borrelia afzelii
dummy;min;2050;6,1217833,-230045,dummy,min,2050,6,borrelia afzelii
dummy;min;2050;8.5,1002785,-448464,dummy,min,2050,8.5,borrelia afzelii
dummy;min;2070;2.6,851533,-624959,dummy,min,2070,2.6,borrelia afzelii
dummy;min;2070;4.5,676153,-786221,dummy,min,2070,4.5,borrelia afzelii
dummy;min;2070;6,1081286,-361930,dummy,min,2070,6,borrelia afzelii
dummy;min;2070;8.5,833559,-580316,dummy,min,2070,8.5,borrelia afzelii
dummy;min;2080;2.6,798980,-659339,dummy,min,2080,2.6,borrelia afzelii
dummy;min;2080;4.5,629056,-827300,dummy,min,2080,4.5,borrelia afzelii
dummy;min;2080;6,1046486,-403586,dummy,min,2080,6,borrelia afzelii
dummy;min;2080;8.5,785047,-644415,dummy,min,2080,8.5,borrelia afzelii
lu_down;max;2030;6,9033,-7985,lu_down,max,2030,6,borrelia afzelii
lu_down;max;2030;8.5,5792,-9710,lu_down,max,2030,8.5,borrelia afzelii
lu_down;max;2050;6,8301,-8939,lu_down,max,2050,6,borrelia afzelii
lu_down;max;2050;8.5,4031,-18422,lu_down,max,2050,8.5,borrelia afzelii
lu_down;max;2070;6,6818,-9726,lu_down,max,2070,6,borrelia afzelii
lu_down;max;2070;8.5,3661,-27284,lu_down,max,2070,8.5,borrelia afzelii
lu_down;max;2080;4.5,1,-16912,lu_down,max,2080,4.5,borrelia afzelii
lu_down;max;2080;6,4622,-12562,lu_down,max,2080,6,borrelia afzelii
lu_down;max;2080;8.5,3274,-30136,lu_down,max,2080,8.5,borrelia afzelii
lu_down;mean;2030;6,11144,-6145,lu_down,mean,2030,6,borrelia afzelii
lu_down;mean;2030;8.5,7795,-11439,lu_down,mean,2030,8.5,borrelia afzelii
lu_down;mean;2050;6,10897,-7334,lu_down,mean,2050,6,borrelia afzelii
lu_down;mean;2050;8.5,5550,-27110,lu_down,mean,2050,8.5,borrelia afzelii
lu_down;mean;2070;6,13404,-5224,lu_down,mean,2070,6,borrelia afzelii
lu_down;mean;2070;8.5,4953,-39727,lu_down,mean,2070,8.5,borrelia afzelii
lu_down;mean;2080;2.6,1400,-16440,lu_down,mean,2080,2.6,borrelia afzelii
lu_down;mean;2080;4.5,1879,-35524,lu_down,mean,2080,4.5,borrelia afzelii
lu_down;mean;2080;6,13131,-7206,lu_down,mean,2080,6,borrelia afzelii
lu_down;mean;2080;8.5,4472,-44127,lu_down,mean,2080,8.5,borrelia afzelii
lu_down;min;2030;2.6,322234,-36532,lu_down,min,2030,2.6,borrelia afzelii
lu_down;min;2030;4.5,436296,-186810,lu_down,min,2030,4.5,borrelia afzelii
lu_down;min;2030;6,200437,-58031,lu_down,min,2030,6,borrelia afzelii
lu_down;min;2030;8.5,289393,-129816,lu_down,min,2030,8.5,borrelia afzelii
lu_down;min;2050;2.6,418839,-111057,lu_down,min,2050,2.6,borrelia afzelii
lu_down;min;2050;4.5,363894,-689815,lu_down,min,2050,4.5,borrelia afzelii
lu_down;min;2050;6,219150,-176291,lu_down,min,2050,6,borrelia afzelii
lu_down;min;2050;8.5,319868,-387732,lu_down,min,2050,8.5,borrelia afzelii
lu_down;min;2070;2.6,376940,-587292,lu_down,min,2070,2.6,borrelia afzelii
lu_down;min;2070;4.5,309207,-777900,lu_down,min,2070,4.5,borrelia afzelii
lu_down;min;2070;6,243926,-295398,lu_down,min,2070,6,borrelia afzelii
lu_down;min;2070;8.5,280422,-548231,lu_down,min,2070,8.5,borrelia afzelii
lu_down;min;2080;2.6,357606,-630288,lu_down,min,2080,2.6,borrelia afzelii
lu_down;min;2080;4.5,274223,-818938,lu_down,min,2080,4.5,borrelia afzelii
lu_down;min;2080;6,254375,-334464,lu_down,min,2080,6,borrelia afzelii
lu_down;min;2080;8.5,271482,-616895,lu_down,min,2080,8.5,borrelia afzelii
lu_up;max;2030;6,274,0,lu_up,max,2030,6,borrelia afzelii
lu_up;mean;2030;6,288,0,lu_up,mean,2030,6,borrelia afzelii
lu_up;min;2030;2.6,17494,486,lu_up,min,2030,2.6,borrelia afzelii
lu_up;min;2030;4.5,10603,646,lu_up,min,2030,4.5,borrelia afzelii
lu_up;min;2030;6,120403,1142,lu_up,min,2030,6,borrelia afzelii
lu_up;min;2030;8.5,39131,326,lu_up,min,2030,8.5,borrelia afzelii
lu_up;min;2050;2.6,15687,260,lu_up,min,2050,2.6,borrelia afzelii
lu_up;min;2050;4.5,5076,20,lu_up,min,2050,4.5,borrelia afzelii
lu_up;min;2050;6,109998,997,lu_up,min,2050,6,borrelia afzelii
lu_up;min;2050;8.5,24567,287,lu_up,min,2050,8.5,borrelia afzelii
lu_up;min;2070;2.6,11935,487,lu_up,min,2070,2.6,borrelia afzelii
lu_up;min;2070;4.5,10641,515,lu_up,min,2070,4.5,borrelia afzelii
lu_up;min;2070;6,49097,813,lu_up,min,2070,6,borrelia afzelii
lu_up;min;2070;8.5,18757,213,lu_up,min,2070,8.5,borrelia afzelii
lu_up;min;2080;2.6,43345,436,lu_up,min,2080,2.6,borrelia afzelii
lu_up;min;2080;4.5,28844,334,lu_up,min,2080,4.5,borrelia afzelii
lu_up;min;2080;6,41745,825,lu_up,min,2080,6,borrelia afzelii
lu_up;min;2080;8.5,14392,235,lu_up,min,2080,8.5,borrelia afzelii
people_in_povertySSP1;max;2030;2.6,-462.789599548379,225.317682957403,people_in_povertySSP1,max,2030,2.6,borrelia afzelii
people_in_povertySSP1;max;2030;4.5,-348.30934882886,339.797933676921,people_in_povertySSP1,max,2030,4.5,borrelia afzelii
people_in_povertySSP1;max;2030;6,-231.993898289231,456.11338421655,people_in_povertySSP1,max,2030,6,borrelia afzelii
people_in_povertySSP1;max;2030;8.5,-297.40982515974,390.697457346042,people_in_povertySSP1,max,2030,8.5,borrelia afzelii
people_in_povertySSP1;max;2050;2.6,-351.273398554987,374.690914611449,people_in_povertySSP1,max,2050,2.6,borrelia afzelii
people_in_povertySSP1;max;2050;4.5,-399.268442399791,326.695870766645,people_in_povertySSP1,max,2050,4.5,borrelia afzelii
people_in_povertySSP1;max;2050;6,19.1705583122926,745.134871478729,people_in_povertySSP1,max,2050,6,borrelia afzelii
people_in_povertySSP1;max;2050;8.5,-85.1971932895432,640.767119876893,people_in_povertySSP1,max,2050,8.5,borrelia afzelii
people_in_povertySSP1;max;2070;2.6,-33.1360431730157,399.247252218549,people_in_povertySSP1,max,2070,2.6,borrelia afzelii
people_in_povertySSP1;max;2070;4.5,-409.823504592956,22.5597907986088,people_in_povertySSP1,max,2070,4.5,borrelia afzelii
people_in_povertySSP1;max;2070;6,151.912612571034,584.295907962599,people_in_povertySSP1,max,2070,6,borrelia afzelii
people_in_povertySSP1;max;2070;8.5,207.112497742294,639.495793133859,people_in_povertySSP1,max,2070,8.5,borrelia afzelii
people_in_povertySSP1;max;2080;2.6,308.292333535613,576.853420165025,people_in_povertySSP1,max,2080,2.6,borrelia afzelii
people_in_povertySSP1;max;2080;4.5,-82.1799259655094,186.381160663903,people_in_povertySSP1,max,2080,4.5,borrelia afzelii
people_in_povertySSP1;max;2080;6,340.105707180101,608.666793809513,people_in_povertySSP1,max,2080,6,borrelia afzelii
people_in_povertySSP1;max;2080;8.5,362.811833469346,631.372920098758,people_in_povertySSP1,max,2080,8.5,borrelia afzelii
people_in_povertySSP1;mean;2030;2.6,-1213.41043126512,1149.14630142581,people_in_povertySSP1,mean,2030,2.6,borrelia afzelii
people_in_povertySSP1;mean;2030;4.5,-936.022448594392,1426.06964501609,people_in_povertySSP1,mean,2030,4.5,borrelia afzelii
people_in_povertySSP1;mean;2030;6,-986.585248767574,1367.00275111366,people_in_povertySSP1,mean,2030,6,borrelia afzelii
people_in_povertySSP1;mean;2030;8.5,-875.992035862313,1486.61078252076,people_in_povertySSP1,mean,2030,8.5,borrelia afzelii
people_in_povertySSP1;mean;2050;2.6,-1262.03197384859,2160.87259296047,people_in_povertySSP1,mean,2050,2.6,borrelia afzelii
people_in_povertySSP1;mean;2050;4.5,-496.494739990499,2926.40982681857,people_in_povertySSP1,mean,2050,4.5,borrelia afzelii
people_in_povertySSP1;mean;2050;6,-457.668295427781,2953.70196838368,people_in_povertySSP1,mean,2050,6,borrelia afzelii
people_in_povertySSP1;mean;2050;8.5,-460.492195263276,2953.38120326579,people_in_povertySSP1,mean,2050,8.5,borrelia afzelii
people_in_povertySSP1;mean;2070;2.6,-865.101007274045,2661.13341975442,people_in_povertySSP1,mean,2070,2.6,borrelia afzelii
people_in_povertySSP1;mean;2070;4.5,-325.552276177875,3200.68215085059,people_in_povertySSP1,mean,2070,4.5,borrelia afzelii
people_in_povertySSP1;mean;2070;6,33.1879670127587,3437.17949457464,people_in_povertySSP1,mean,2070,6,borrelia afzelii
people_in_povertySSP1;mean;2070;8.5,261.505518515184,3307.67510183425,people_in_povertySSP1,mean,2070,8.5,borrelia afzelii
people_in_povertySSP1;mean;2080;2.6,-478.689029616426,2930.76804103389,people_in_povertySSP1,mean,2080,2.6,borrelia afzelii
people_in_povertySSP1;mean;2080;4.5,100.667770321892,3524.11299960181,people_in_povertySSP1,mean,2080,4.5,borrelia afzelii
people_in_povertySSP1;mean;2080;6,349.099643445237,3570.18203934141,people_in_povertySSP1,mean,2080,6,borrelia afzelii
people_in_povertySSP1;mean;2080;8.5,599.244135843974,3740.09036705353,people_in_povertySSP1,mean,2080,8.5,borrelia afzelii
people_in_povertySSP1;min;2030;2.6,-1071119.23678091,317500.786263559,people_in_povertySSP1,min,2030,2.6,borrelia afzelii
people_in_povertySSP1;min;2030;4.5,-870602.001395142,497916.652257205,people_in_povertySSP1,min,2030,4.5,borrelia afzelii
people_in_povertySSP1;min;2030;6,-903360.1402636,264547.830988079,people_in_povertySSP1,min,2030,6,borrelia afzelii
people_in_povertySSP1;min;2030;8.5,-1190978.79765721,176704.261959497,people_in_povertySSP1,min,2030,8.5,borrelia afzelii
people_in_povertySSP1;min;2050;2.6,-450640.80306671,651089.24662109,people_in_povertySSP1,min,2050,2.6,borrelia afzelii
people_in_povertySSP1;min;2050;4.5,-220005.532873476,2231463.08689037,people_in_povertySSP1,min,2050,4.5,borrelia afzelii
people_in_povertySSP1;min;2050;6,-1198191.7472594,982160.578773115,people_in_povertySSP1,min,2050,6,borrelia afzelii
people_in_povertySSP1;min;2050;8.5,-1637361.28047108,703709.568083172,people_in_povertySSP1,min,2050,8.5,borrelia afzelii
people_in_povertySSP1;min;2070;2.6,-278046.693724235,3115063.91563858,people_in_povertySSP1,min,2070,2.6,borrelia afzelii
people_in_povertySSP1;min;2070;4.5,-259718.478496839,2827131.76646443,people_in_povertySSP1,min,2070,4.5,borrelia afzelii
people_in_povertySSP1;min;2070;6,-1099974.27087585,1993493.93460502,people_in_povertySSP1,min,2070,6,borrelia afzelii
people_in_povertySSP1;min;2070;8.5,-1288062.35887143,1250094.99115658,people_in_povertySSP1,min,2070,8.5,borrelia afzelii
people_in_povertySSP1;min;2080;2.6,-274307.990274772,3128794.82283191,people_in_povertySSP1,min,2080,2.6,borrelia afzelii
people_in_povertySSP1;min;2080;4.5,-253793.827433221,3285392.54429352,people_in_povertySSP1,min,2080,4.5,borrelia afzelii
people_in_povertySSP1;min;2080;6,-951886.982739649,2330790.7219425,people_in_povertySSP1,min,2080,6,borrelia afzelii
people_in_povertySSP1;min;2080;8.5,-1358285.19246209,1812964.67231458,people_in_povertySSP1,min,2080,8.5,borrelia afzelii
people_in_povertySSP2;max;2030;2.6,-361.50271250822,106.165083340362,people_in_povertySSP2,max,2030,2.6,borrelia afzelii
people_in_povertySSP2;max;2030;4.5,-236.02125833261,231.646537515971,people_in_povertySSP2,max,2030,4.5,borrelia afzelii
people_in_povertySSP2;max;2030;6,-261.951209310031,205.716586538551,people_in_povertySSP2,max,2030,6,borrelia afzelii
people_in_povertySSP2;max;2030;8.5,-282.78291116132,184.884884687261,people_in_povertySSP2,max,2030,8.5,borrelia afzelii
people_in_povertySSP2;max;2050;2.6,-390.522388770456,224.563216031002,people_in_povertySSP2,max,2050,2.6,borrelia afzelii
people_in_povertySSP2;max;2050;4.5,-277.392288978991,337.693315822467,people_in_povertySSP2,max,2050,4.5,borrelia afzelii
people_in_povertySSP2;max;2050;6,-194.851880085837,420.233724715621,people_in_povertySSP2,max,2050,6,borrelia afzelii
people_in_povertySSP2;max;2050;8.5,-166.26662210962,448.818982691838,people_in_povertySSP2,max,2050,8.5,borrelia afzelii
people_in_povertySSP2;max;2070;2.6,-225.657167796065,258.637843396319,people_in_povertySSP2,max,2070,2.6,borrelia afzelii
people_in_povertySSP2;max;2070;4.5,-315.270111588647,169.024899603736,people_in_povertySSP2,max,2070,4.5,borrelia afzelii
people_in_povertySSP2;max;2070;6,-21.2883828904374,463.006628301946,people_in_povertySSP2,max,2070,6,borrelia afzelii
people_in_povertySSP2;max;2070;8.5,21.4343054079477,505.729316600331,people_in_povertySSP2,max,2070,8.5,borrelia afzelii
people_in_povertySSP2;max;2080;2.6,81.4317361395285,443.399923659738,people_in_povertySSP2,max,2080,2.6,borrelia afzelii
