year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,3088,-1774,clim_down,max,2030,2.6,borrelia burgdorferi
clim_down;max;2030;4.5,1818,-2703,clim_down,max,2030,4.5,borrelia burgdorferi
clim_down;max;2030;6,2898,-2393,clim_down,max,2030,6,borrelia burgdorferi
clim_down;max;2030;8.5,1790,-1881,clim_down,max,2030,8.5,borrelia burgdorferi
clim_down;max;2050;2.6,1759,-2894,clim_down,max,2050,2.6,borrelia burgdorferi
clim_down;max;2050;4.5,1571,-3939,clim_down,max,2050,4.5,borrelia burgdorferi
clim_down;max;2050;6,3403,-701,clim_down,max,2050,6,borrelia burgdorferi
clim_down;max;2050;8.5,3234,-3990,clim_down,max,2050,8.5,borrelia burgdorferi
clim_down;max;2070;2.6,1938,-3875,clim_down,max,2070,2.6,borrelia burgdorferi
clim_down;max;2070;4.5,2146,-6480,clim_down,max,2070,4.5,borrelia burgdorferi
clim_down;max;2070;6,4179,-2816,clim_down,max,2070,6,borrelia burgdorferi
clim_down;max;2070;8.5,5520,-8201,clim_down,max,2070,8.5,borrelia burgdorferi
clim_down;max;2080;2.6,1767,-4677,clim_down,max,2080,2.6,borrelia burgdorferi
clim_down;max;2080;4.5,1683,-5014,clim_down,max,2080,4.5,borrelia burgdorferi
clim_down;max;2080;6,3800,-4790,clim_down,max,2080,6,borrelia burgdorferi
clim_down;max;2080;8.5,5714,-11645,clim_down,max,2080,8.5,borrelia burgdorferi
clim_down;mean;2030;2.6,54524,-6046,clim_down,mean,2030,2.6,borrelia burgdorferi
clim_down;mean;2030;4.5,31122,-3155,clim_down,mean,2030,4.5,borrelia burgdorferi
clim_down;mean;2030;6,51691,-12138,clim_down,mean,2030,6,borrelia burgdorferi
clim_down;mean;2030;8.5,24258,-2876,clim_down,mean,2030,8.5,borrelia burgdorferi
clim_down;mean;2050;2.6,35881,-5074,clim_down,mean,2050,2.6,borrelia burgdorferi
clim_down;mean;2050;4.5,51885,-4650,clim_down,mean,2050,4.5,borrelia burgdorferi
clim_down;mean;2050;6,19166,-434,clim_down,mean,2050,6,borrelia burgdorferi
clim_down;mean;2050;8.5,79526,-18185,clim_down,mean,2050,8.5,borrelia burgdorferi
clim_down;mean;2070;2.6,45260,-6525,clim_down,mean,2070,2.6,borrelia burgdorferi
clim_down;mean;2070;4.5,66769,-15556,clim_down,mean,2070,4.5,borrelia burgdorferi
clim_down;mean;2070;6,53163,-2688,clim_down,mean,2070,6,borrelia burgdorferi
clim_down;mean;2070;8.5,110339,-14912,clim_down,mean,2070,8.5,borrelia burgdorferi
clim_down;mean;2080;2.6,42734,-1984,clim_down,mean,2080,2.6,borrelia burgdorferi
clim_down;mean;2080;4.5,48671,-6224,clim_down,mean,2080,4.5,borrelia burgdorferi
clim_down;mean;2080;6,66833,-7389,clim_down,mean,2080,6,borrelia burgdorferi
clim_down;mean;2080;8.5,119780,-32808,clim_down,mean,2080,8.5,borrelia burgdorferi
