year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,2096,-8702,clim_down,max,2030,2.6,borrelia crocidurae
clim_down;max;2030;4.5,1985,-9952,clim_down,max,2030,4.5,borrelia crocidurae
clim_down;max;2030;6,1375,-11720,clim_down,max,2030,6,borrelia crocidurae
clim_down;max;2030;8.5,1722,-11487,clim_down,max,2030,8.5,borrelia crocidurae
clim_down;max;2050;2.6,1937,-7577,clim_down,max,2050,2.6,borrelia crocidurae
clim_down;max;2050;4.5,1715,-10724,clim_down,max,2050,4.5,borrelia crocidurae
clim_down;max;2050;6,1064,-15631,clim_down,max,2050,6,borrelia crocidurae
clim_down;max;2050;8.5,798,-16060,clim_down,max,2050,8.5,borrelia crocidurae
clim_down;max;2070;2.6,2217,-7231,clim_down,max,2070,2.6,borrelia crocidurae
clim_down;max;2070;4.5,697,-15721,clim_down,max,2070,4.5,borrelia crocidurae
clim_down;max;2070;6,1334,-14695,clim_down,max,2070,6,borrelia crocidurae
clim_down;max;2070;8.5,268,-20170,clim_down,max,2070,8.5,borrelia crocidurae
clim_down;max;2080;2.6,1839,-11302,clim_down,max,2080,2.6,borrelia crocidurae
clim_down;max;2080;4.5,440,-17266,clim_down,max,2080,4.5,borrelia crocidurae
clim_down;max;2080;6,254,-18920,clim_down,max,2080,6,borrelia crocidurae
clim_down;max;2080;8.5,398,-19688,clim_down,max,2080,8.5,borrelia crocidurae
clim_down;mean;2030;2.6,20202,-14278,clim_down,mean,2030,2.6,borrelia crocidurae
clim_down;mean;2030;4.5,20323,-17858,clim_down,mean,2030,4.5,borrelia crocidurae
clim_down;mean;2030;6,19763,-22432,clim_down,mean,2030,6,borrelia crocidurae
clim_down;mean;2030;8.5,22116,-20764,clim_down,mean,2030,8.5,borrelia crocidurae
clim_down;mean;2050;2.6,19389,-13531,clim_down,mean,2050,2.6,borrelia crocidurae
clim_down;mean;2050;4.5,19078,-21716,clim_down,mean,2050,4.5,borrelia crocidurae
clim_down;mean;2050;6,20807,-32880,clim_down,mean,2050,6,borrelia crocidurae
clim_down;mean;2050;8.5,20757,-30932,clim_down,mean,2050,8.5,borrelia crocidurae
clim_down;mean;2070;2.6,19459,-12491,clim_down,mean,2070,2.6,borrelia crocidurae
clim_down;mean;2070;4.5,22584,-28803,clim_down,mean,2070,4.5,borrelia crocidurae
clim_down;mean;2070;6,22629,-28356,clim_down,mean,2070,6,borrelia crocidurae
clim_down;mean;2070;8.5,11917,-50610,clim_down,mean,2070,8.5,borrelia crocidurae
clim_down;mean;2080;2.6,23176,-18989,clim_down,mean,2080,2.6,borrelia crocidurae
clim_down;mean;2080;4.5,19678,-34553,clim_down,mean,2080,4.5,borrelia crocidurae
clim_down;mean;2080;6,17097,-42195,clim_down,mean,2080,6,borrelia crocidurae
clim_down;mean;2080;8.5,13776,-48176,clim_down,mean,2080,8.5,borrelia crocidurae
clim_down;min;2030;2.6,60177,-27569,clim_down,min,2030,2.6,borrelia crocidurae
clim_down;min;2030;4.5,64007,-33284,clim_down,min,2030,4.5,borrelia crocidurae
clim_down;min;2030;6,62865,-33893,clim_down,min,2030,6,borrelia crocidurae
clim_down;min;2030;8.5,72506,-39667,clim_down,min,2030,8.5,borrelia crocidurae
clim_down;min;2050;2.6,60096,-26552,clim_down,min,2050,2.6,borrelia crocidurae
clim_down;min;2050;4.5,64623,-37888,clim_down,min,2050,4.5,borrelia crocidurae
clim_down;min;2050;6,72255,-58769,clim_down,min,2050,6,borrelia crocidurae
clim_down;min;2050;8.5,66982,-62370,clim_down,min,2050,8.5,borrelia crocidurae
clim_down;min;2070;2.6,59673,-29679,clim_down,min,2070,2.6,borrelia crocidurae
clim_down;min;2070;4.5,73861,-53207,clim_down,min,2070,4.5,borrelia crocidurae
clim_down;min;2070;6,67158,-63157,clim_down,min,2070,6,borrelia crocidurae
clim_down;min;2070;8.5,59675,-98742,clim_down,min,2070,8.5,borrelia crocidurae
clim_down;min;2080;2.6,68031,-38180,clim_down,min,2080,2.6,borrelia crocidurae
clim_down;min;2080;4.5,70686,-61377,clim_down,min,2080,4.5,borrelia crocidurae
clim_down;min;2080;6,70876,-73507,clim_down,min,2080,6,borrelia crocidurae
clim_down;min;2080;8.5,64477,-88456,clim_down,min,2080,8.5,borrelia crocidurae
clim_up;max;2030;2.6,23,0,clim_up,max,2030,2.6,borrelia crocidurae
clim_up;max;2030;4.5,16,0,clim_up,max,2030,4.5,borrelia crocidurae
clim_up;max;2030;6,67,0,clim_up,max,2030,6,borrelia crocidurae
clim_up;max;2030;8.5,10,0,clim_up,max,2030,8.5,borrelia crocidurae
clim_up;max;2050;2.6,137,2,clim_up,max,2050,2.6,borrelia crocidurae
clim_up;max;2050;4.5,22,0,clim_up,max,2050,4.5,borrelia crocidurae
clim_up;max;2050;6,5,0,clim_up,max,2050,6,borrelia crocidurae
clim_up;max;2050;8.5,9,0,clim_up,max,2050,8.5,borrelia crocidurae
clim_up;max;2070;2.6,66,0,clim_up,max,2070,2.6,borrelia crocidurae
clim_up;max;2070;4.5,8,0,clim_up,max,2070,4.5,borrelia crocidurae
clim_up;max;2070;6,13,-2,clim_up,max,2070,6,borrelia crocidurae
clim_up;max;2080;2.6,26,0,clim_up,max,2080,2.6,borrelia crocidurae
clim_up;max;2080;4.5,2,0,clim_up,max,2080,4.5,borrelia crocidurae
clim_up;max;2080;6,4,0,clim_up,max,2080,6,borrelia crocidurae
clim_up;mean;2030;2.6,1993,170,clim_up,mean,2030,2.6,borrelia crocidurae
clim_up;mean;2030;4.5,1682,176,clim_up,mean,2030,4.5,borrelia crocidurae
clim_up;mean;2030;6,1755,79,clim_up,mean,2030,6,borrelia crocidurae
clim_up;mean;2030;8.5,1390,182,clim_up,mean,2030,8.5,borrelia crocidurae
clim_up;mean;2050;2.6,2833,105,clim_up,mean,2050,2.6,borrelia crocidurae
clim_up;mean;2050;4.5,1965,209,clim_up,mean,2050,4.5,borrelia crocidurae
clim_up;mean;2050;6,975,63,clim_up,mean,2050,6,borrelia crocidurae
clim_up;mean;2050;8.5,1166,205,clim_up,mean,2050,8.5,borrelia crocidurae
clim_up;mean;2070;2.6,2399,155,clim_up,mean,2070,2.6,borrelia crocidurae
clim_up;mean;2070;4.5,778,110,clim_up,mean,2070,4.5,borrelia crocidurae
clim_up;mean;2070;6,859,151,clim_up,mean,2070,6,borrelia crocidurae
clim_up;mean;2070;8.5,240,23,clim_up,mean,2070,8.5,borrelia crocidurae
clim_up;mean;2080;2.6,1791,181,clim_up,mean,2080,2.6,borrelia crocidurae
clim_up;mean;2080;4.5,782,118,clim_up,mean,2080,4.5,borrelia crocidurae
clim_up;mean;2080;6,797,216,clim_up,mean,2080,6,borrelia crocidurae
clim_up;mean;2080;8.5,530,129,clim_up,mean,2080,8.5,borrelia crocidurae
clim_up;min;2030;2.6,19879,3940,clim_up,min,2030,2.6,borrelia crocidurae
clim_up;min;2030;4.5,21568,5230,clim_up,min,2030,4.5,borrelia crocidurae
clim_up;min;2030;6,25424,6320,clim_up,min,2030,6,borrelia crocidurae
clim_up;min;2030;8.5,14188,2615,clim_up,min,2030,8.5,borrelia crocidurae
clim_up;min;2050;2.6,21208,4718,clim_up,min,2050,2.6,borrelia crocidurae
