year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,3,-9607,clim_down,max,2030,2.6,borrelia duttoni
clim_down;max;2030;4.5,2,-8069,clim_down,max,2030,4.5,borrelia duttoni
clim_down;max;2030;6,2,-9652,clim_down,max,2030,6,borrelia duttoni
clim_down;max;2030;8.5,2,-9861,clim_down,max,2030,8.5,borrelia duttoni
clim_down;max;2050;2.6,2,-9212,clim_down,max,2050,2.6,borrelia duttoni
clim_down;max;2050;4.5,2,-10240,clim_down,max,2050,4.5,borrelia duttoni
clim_down;max;2050;6,4,-9854,clim_down,max,2050,6,borrelia duttoni
clim_down;max;2050;8.5,2,-9739,clim_down,max,2050,8.5,borrelia duttoni
clim_down;max;2070;2.6,2,-8398,clim_down,max,2070,2.6,borrelia duttoni
clim_down;max;2070;4.5,2,-9090,clim_down,max,2070,4.5,borrelia duttoni
clim_down;max;2070;6,2,-10479,clim_down,max,2070,6,borrelia duttoni
clim_down;max;2070;8.5,2,-12057,clim_down,max,2070,8.5,borrelia duttoni
clim_down;max;2080;2.6,2,-9542,clim_down,max,2080,2.6,borrelia duttoni
clim_down;max;2080;4.5,3,-9584,clim_down,max,2080,4.5,borrelia duttoni
clim_down;max;2080;6,1,-9889,clim_down,max,2080,6,borrelia duttoni
clim_down;max;2080;8.5,1,-13921,clim_down,max,2080,8.5,borrelia duttoni
clim_down;mean;2030;2.6,378273,-74508,clim_down,mean,2030,2.6,borrelia duttoni
clim_down;mean;2030;4.5,337455,-74425,clim_down,mean,2030,4.5,borrelia duttoni
clim_down;mean;2030;6,353350,-75795,clim_down,mean,2030,6,borrelia duttoni
clim_down;mean;2030;8.5,365218,-79167,clim_down,mean,2030,8.5,borrelia duttoni
clim_down;mean;2050;2.6,377533,-71276,clim_down,mean,2050,2.6,borrelia duttoni
clim_down;mean;2050;4.5,394818,-84871,clim_down,mean,2050,4.5,borrelia duttoni
clim_down;mean;2050;6,353651,-92464,clim_down,mean,2050,6,borrelia duttoni
clim_down;mean;2050;8.5,392201,-93283,clim_down,mean,2050,8.5,borrelia duttoni
clim_down;mean;2070;2.6,350693,-70513,clim_down,mean,2070,2.6,borrelia duttoni
clim_down;mean;2070;4.5,373932,-79226,clim_down,mean,2070,4.5,borrelia duttoni
clim_down;mean;2070;6,391715,-86684,clim_down,mean,2070,6,borrelia duttoni
clim_down;mean;2070;8.5,446881,-105183,clim_down,mean,2070,8.5,borrelia duttoni
clim_down;mean;2080;2.6,379679,-68935,clim_down,mean,2080,2.6,borrelia duttoni
clim_down;mean;2080;4.5,386019,-86823,clim_down,mean,2080,4.5,borrelia duttoni
clim_down;mean;2080;6,398359,-104469,clim_down,mean,2080,6,borrelia duttoni
clim_down;mean;2080;8.5,509452,-111023,clim_down,mean,2080,8.5,borrelia duttoni
clim_down;min;2030;2.6,321385,-111496,clim_down,min,2030,2.6,borrelia duttoni
clim_down;min;2030;4.5,287023,-107746,clim_down,min,2030,4.5,borrelia duttoni
clim_down;min;2030;6,304709,-104935,clim_down,min,2030,6,borrelia duttoni
clim_down;min;2030;8.5,312776,-113758,clim_down,min,2030,8.5,borrelia duttoni
clim_down;min;2050;2.6,315378,-115410,clim_down,min,2050,2.6,borrelia duttoni
clim_down;min;2050;4.5,335338,-127926,clim_down,min,2050,4.5,borrelia duttoni
clim_down;min;2050;6,285342,-143467,clim_down,min,2050,6,borrelia duttoni
clim_down;min;2050;8.5,334745,-132897,clim_down,min,2050,8.5,borrelia duttoni
clim_down;min;2070;2.6,301217,-101074,clim_down,min,2070,2.6,borrelia duttoni
clim_down;min;2070;4.5,317454,-118514,clim_down,min,2070,4.5,borrelia duttoni
clim_down;min;2070;6,336514,-123900,clim_down,min,2070,6,borrelia duttoni
clim_down;min;2070;8.5,365874,-172605,clim_down,min,2070,8.5,borrelia duttoni
clim_down;min;2080;2.6,321839,-108807,clim_down,min,2080,2.6,borrelia duttoni
clim_down;min;2080;4.5,326680,-129344,clim_down,min,2080,4.5,borrelia duttoni
clim_down;min;2080;6,342184,-140951,clim_down,min,2080,6,borrelia duttoni
clim_down;min;2080;8.5,439623,-163743,clim_down,min,2080,8.5,borrelia duttoni
clim_up;max;2030;2.6,548,113,clim_up,max,2030,2.6,borrelia duttoni
clim_up;max;2030;4.5,607,112,clim_up,max,2030,4.5,borrelia duttoni
clim_up;max;2030;6,530,108,clim_up,max,2030,6,borrelia duttoni
clim_up;max;2030;8.5,566,119,clim_up,max,2030,8.5,borrelia duttoni
clim_up;max;2050;2.6,641,137,clim_up,max,2050,2.6,borrelia duttoni
clim_up;max;2050;4.5,573,106,clim_up,max,2050,4.5,borrelia duttoni
clim_up;max;2050;6,83,83,clim_up,max,2050,6,borrelia duttoni
clim_up;max;2050;8.5,265,97,clim_up,max,2050,8.5,borrelia duttoni
clim_up;max;2070;2.6,691,136,clim_up,max,2070,2.6,borrelia duttoni
clim_up;max;2070;4.5,270,92,clim_up,max,2070,4.5,borrelia duttoni
clim_up;max;2070;6,296,89,clim_up,max,2070,6,borrelia duttoni
clim_up;max;2070;8.5,178,63,clim_up,max,2070,8.5,borrelia duttoni
clim_up;max;2080;2.6,608,123,clim_up,max,2080,2.6,borrelia duttoni
clim_up;max;2080;4.5,422,91,clim_up,max,2080,4.5,borrelia duttoni
clim_up;max;2080;6,886,119,clim_up,max,2080,6,borrelia duttoni
clim_up;max;2080;8.5,14,14,clim_up,max,2080,8.5,borrelia duttoni
clim_up;mean;2030;2.6,106564,13,clim_up,mean,2030,2.6,borrelia duttoni
clim_up;mean;2030;4.5,137872,12,clim_up,mean,2030,4.5,borrelia duttoni
clim_up;mean;2030;6,119326,10,clim_up,mean,2030,6,borrelia duttoni
clim_up;mean;2030;8.5,114605,23,clim_up,mean,2030,8.5,borrelia duttoni
clim_up;mean;2050;2.6,109411,11,clim_up,mean,2050,2.6,borrelia duttoni
clim_up;mean;2050;4.5,92684,33,clim_up,mean,2050,4.5,borrelia duttoni
clim_up;mean;2050;6,110845,12,clim_up,mean,2050,6,borrelia duttoni
clim_up;mean;2050;8.5,92698,11,clim_up,mean,2050,8.5,borrelia duttoni
clim_up;mean;2070;2.6,122116,13,clim_up,mean,2070,2.6,borrelia duttoni
clim_up;mean;2070;4.5,101933,59,clim_up,mean,2070,4.5,borrelia duttoni
clim_up;mean;2070;6,94373,21,clim_up,mean,2070,6,borrelia duttoni
clim_up;mean;2070;8.5,57065,84,clim_up,mean,2070,8.5,borrelia duttoni
clim_up;mean;2080;2.6,106705,12,clim_up,mean,2080,2.6,borrelia duttoni
clim_up;mean;2080;4.5,94309,12,clim_up,mean,2080,4.5,borrelia duttoni
clim_up;mean;2080;6,83881,12,clim_up,mean,2080,6,borrelia duttoni
clim_up;mean;2080;8.5,40679,10,clim_up,mean,2080,8.5,borrelia duttoni
clim_up;min;2030;2.6,106479,106,clim_up,min,2030,2.6,borrelia duttoni
clim_up;min;2030;4.5,137793,113,clim_up,min,2030,4.5,borrelia duttoni
clim_up;min;2030;6,119238,87,clim_up,min,2030,6,borrelia duttoni
clim_up;min;2030;8.5,114519,110,clim_up,min,2030,8.5,borrelia duttoni
