year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,74635,-43261,clim_down,max,2030,2.6,borrelia garinii
clim_down;max;2030;4.5,63395,-32061,clim_down,max,2030,4.5,borrelia garinii
clim_down;max;2030;6,79490,-37396,clim_down,max,2030,6,borrelia garinii
clim_down;max;2030;8.5,86044,-40153,clim_down,max,2030,8.5,borrelia garinii
clim_down;max;2050;2.6,76987,-29089,clim_down,max,2050,2.6,borrelia garinii
clim_down;max;2050;4.5,87673,-48965,clim_down,max,2050,4.5,borrelia garinii
clim_down;max;2050;6,70776,-24759,clim_down,max,2050,6,borrelia garinii
clim_down;max;2050;8.5,85910,-50984,clim_down,max,2050,8.5,borrelia garinii
clim_down;max;2070;2.6,80426,-34576,clim_down,max,2070,2.6,borrelia garinii
clim_down;max;2070;4.5,92617,-46110,clim_down,max,2070,4.5,borrelia garinii
clim_down;max;2070;6,105765,-35112,clim_down,max,2070,6,borrelia garinii
clim_down;max;2070;8.5,116743,-41608,clim_down,max,2070,8.5,borrelia garinii
clim_down;max;2080;2.6,90575,-32399,clim_down,max,2080,2.6,borrelia garinii
clim_down;max;2080;4.5,81024,-46812,clim_down,max,2080,4.5,borrelia garinii
clim_down;max;2080;6,81317,-52892,clim_down,max,2080,6,borrelia garinii
clim_down;max;2080;8.5,121551,-59876,clim_down,max,2080,8.5,borrelia garinii
clim_down;mean;2030;2.6,98684,-28822,clim_down,mean,2030,2.6,borrelia garinii
clim_down;mean;2030;4.5,85524,-15729,clim_down,mean,2030,4.5,borrelia garinii
clim_down;mean;2030;6,110420,-16507,clim_down,mean,2030,6,borrelia garinii
clim_down;mean;2030;8.5,109877,-24468,clim_down,mean,2030,8.5,borrelia garinii
clim_down;mean;2050;2.6,98343,-13637,clim_down,mean,2050,2.6,borrelia garinii
clim_down;mean;2050;4.5,121262,-22682,clim_down,mean,2050,4.5,borrelia garinii
clim_down;mean;2050;6,91691,-9202,clim_down,mean,2050,6,borrelia garinii
clim_down;mean;2050;8.5,113722,-29977,clim_down,mean,2050,8.5,borrelia garinii
clim_down;mean;2070;2.6,105082,-16267,clim_down,mean,2070,2.6,borrelia garinii
clim_down;mean;2070;4.5,120723,-25837,clim_down,mean,2070,4.5,borrelia garinii
clim_down;mean;2070;6,123837,-22799,clim_down,mean,2070,6,borrelia garinii
clim_down;mean;2070;8.5,138162,-25839,clim_down,mean,2070,8.5,borrelia garinii
clim_down;mean;2080;2.6,118389,-11686,clim_down,mean,2080,2.6,borrelia garinii
clim_down;mean;2080;4.5,106233,-27533,clim_down,mean,2080,4.5,borrelia garinii
clim_down;mean;2080;6,115919,-25475,clim_down,mean,2080,6,borrelia garinii
clim_down;mean;2080;8.5,146630,-42336,clim_down,mean,2080,8.5,borrelia garinii
clim_down;min;2030;2.6,116247,-21999,clim_down,min,2030,2.6,borrelia garinii
clim_down;min;2030;4.5,96335,-9962,clim_down,min,2030,4.5,borrelia garinii
clim_down;min;2030;6,122831,-14297,clim_down,min,2030,6,borrelia garinii
clim_down;min;2030;8.5,125662,-15628,clim_down,min,2030,8.5,borrelia garinii
clim_down;min;2050;2.6,107251,-10927,clim_down,min,2050,2.6,borrelia garinii
clim_down;min;2050;4.5,133023,-18331,clim_down,min,2050,4.5,borrelia garinii
clim_down;min;2050;6,97866,-8362,clim_down,min,2050,6,borrelia garinii
