year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,10069,-9044,clim_down,max,2030,2.6,borrelia hermsii
clim_down;max;2030;4.5,12336,-6705,clim_down,max,2030,4.5,borrelia hermsii
clim_down;max;2030;6,8385,-6451,clim_down,max,2030,6,borrelia hermsii
clim_down;max;2030;8.5,12113,-9033,clim_down,max,2030,8.5,borrelia hermsii
clim_down;max;2050;2.6,16879,-12845,clim_down,max,2050,2.6,borrelia hermsii
clim_down;max;2050;4.5,10732,-41075,clim_down,max,2050,4.5,borrelia hermsii
clim_down;max;2050;6,13603,-19021,clim_down,max,2050,6,borrelia hermsii
clim_down;max;2050;8.5,15129,-13407,clim_down,max,2050,8.5,borrelia hermsii
clim_down;max;2070;2.6,12965,-6855,clim_down,max,2070,2.6,borrelia hermsii
clim_down;max;2070;4.5,6966,-9229,clim_down,max,2070,4.5,borrelia hermsii
clim_down;max;2070;6,9115,-10830,clim_down,max,2070,6,borrelia hermsii
clim_down;max;2070;8.5,13238,-27946,clim_down,max,2070,8.5,borrelia hermsii
clim_down;max;2080;2.6,15083,-8333,clim_down,max,2080,2.6,borrelia hermsii
clim_down;max;2080;4.5,13850,-9117,clim_down,max,2080,4.5,borrelia hermsii
clim_down;max;2080;6,12979,-36491,clim_down,max,2080,6,borrelia hermsii
clim_down;max;2080;8.5,15474,-18709,clim_down,max,2080,8.5,borrelia hermsii
clim_down;mean;2030;2.6,74702,-25603,clim_down,mean,2030,2.6,borrelia hermsii
clim_down;mean;2030;4.5,64974,-14167,clim_down,mean,2030,4.5,borrelia hermsii
clim_down;mean;2030;6,65106,-18941,clim_down,mean,2030,6,borrelia hermsii
clim_down;mean;2030;8.5,80937,-13163,clim_down,mean,2030,8.5,borrelia hermsii
clim_down;mean;2050;2.6,82290,-24099,clim_down,mean,2050,2.6,borrelia hermsii
clim_down;mean;2050;4.5,114479,-110520,clim_down,mean,2050,4.5,borrelia hermsii
clim_down;mean;2050;6,125197,-34373,clim_down,mean,2050,6,borrelia hermsii
clim_down;mean;2050;8.5,110239,-43363,clim_down,mean,2050,8.5,borrelia hermsii
clim_down;mean;2070;2.6,81884,-15653,clim_down,mean,2070,2.6,borrelia hermsii
clim_down;mean;2070;4.5,60473,-71738,clim_down,mean,2070,4.5,borrelia hermsii
clim_down;mean;2070;6,87512,-27374,clim_down,mean,2070,6,borrelia hermsii
clim_down;mean;2070;8.5,104925,-88588,clim_down,mean,2070,8.5,borrelia hermsii
clim_down;mean;2080;2.6,91051,-30492,clim_down,mean,2080,2.6,borrelia hermsii
clim_down;mean;2080;4.5,88822,-19898,clim_down,mean,2080,4.5,borrelia hermsii
clim_down;mean;2080;6,132357,-87875,clim_down,mean,2080,6,borrelia hermsii
clim_down;mean;2080;8.5,98238,-57975,clim_down,mean,2080,8.5,borrelia hermsii
clim_down;min;2030;2.6,114801,-18251,clim_down,min,2030,2.6,borrelia hermsii
clim_down;min;2030;4.5,87437,-14541,clim_down,min,2030,4.5,borrelia hermsii
clim_down;min;2030;6,95203,-14128,clim_down,min,2030,6,borrelia hermsii
clim_down;min;2030;8.5,108490,-10215,clim_down,min,2030,8.5,borrelia hermsii
clim_down;min;2050;2.6,116066,-11974,clim_down,min,2050,2.6,borrelia hermsii
clim_down;min;2050;4.5,203740,-69339,clim_down,min,2050,4.5,borrelia hermsii
clim_down;min;2050;6,174563,-28232,clim_down,min,2050,6,borrelia hermsii
clim_down;min;2050;8.5,165130,-37008,clim_down,min,2050,8.5,borrelia hermsii
clim_down;min;2070;2.6,111184,-12021,clim_down,min,2070,2.6,borrelia hermsii
