year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,24991,-24915,clim_down,max,2030,2.6,borrelia miyamotoi
clim_down;max;2030;4.5,23792,-16912,clim_down,max,2030,4.5,borrelia miyamotoi
clim_down;max;2030;6,12978,-60193,clim_down,max,2030,6,borrelia miyamotoi
clim_down;max;2030;8.5,25590,-19797,clim_down,max,2030,8.5,borrelia miyamotoi
clim_down;max;2050;2.6,23612,-21786,clim_down,max,2050,2.6,borrelia miyamotoi
clim_down;max;2050;4.5,18507,-47824,clim_down,max,2050,4.5,borrelia miyamotoi
clim_down;max;2050;6,26420,-24339,clim_down,max,2050,6,borrelia miyamotoi
clim_down;max;2050;8.5,16985,-64801,clim_down,max,2050,8.5,borrelia miyamotoi
clim_down;max;2070;2.6,22440,-36744,clim_down,max,2070,2.6,borrelia miyamotoi
clim_down;max;2070;4.5,17251,-61214,clim_down,max,2070,4.5,borrelia miyamotoi
clim_down;max;2070;6,27553,-52526,clim_down,max,2070,6,borrelia miyamotoi
clim_down;max;2070;8.5,14304,-65169,clim_down,max,2070,8.5,borrelia miyamotoi
clim_down;max;2080;2.6,25798,-29173,clim_down,max,2080,2.6,borrelia miyamotoi
clim_down;max;2080;4.5,20636,-38412,clim_down,max,2080,4.5,borrelia miyamotoi
clim_down;max;2080;6,25430,-26464,clim_down,max,2080,6,borrelia miyamotoi
clim_down;max;2080;8.5,6285,-89504,clim_down,max,2080,8.5,borrelia miyamotoi
clim_down;mean;2030;2.6,84106,-37400,clim_down,mean,2030,2.6,borrelia miyamotoi
clim_down;mean;2030;4.5,60340,-15228,clim_down,mean,2030,4.5,borrelia miyamotoi
clim_down;mean;2030;6,104221,-69974,clim_down,mean,2030,6,borrelia miyamotoi
clim_down;mean;2030;8.5,76696,-21895,clim_down,mean,2030,8.5,borrelia miyamotoi
clim_down;mean;2050;2.6,79715,-33569,clim_down,mean,2050,2.6,borrelia miyamotoi
clim_down;mean;2050;4.5,104478,-28875,clim_down,mean,2050,4.5,borrelia miyamotoi
clim_down;mean;2050;6,86057,-22858,clim_down,mean,2050,6,borrelia miyamotoi
clim_down;mean;2050;8.5,121616,-52492,clim_down,mean,2050,8.5,borrelia miyamotoi
clim_down;mean;2070;2.6,99565,-41409,clim_down,mean,2070,2.6,borrelia miyamotoi
clim_down;mean;2070;4.5,125824,-33485,clim_down,mean,2070,4.5,borrelia miyamotoi
clim_down;mean;2070;6,122780,-31438,clim_down,mean,2070,6,borrelia miyamotoi
clim_down;mean;2070;8.5,129176,-37815,clim_down,mean,2070,8.5,borrelia miyamotoi
clim_down;mean;2080;2.6,82855,-15116,clim_down,mean,2080,2.6,borrelia miyamotoi
clim_down;mean;2080;4.5,95645,-25572,clim_down,mean,2080,4.5,borrelia miyamotoi
clim_down;mean;2080;6,77121,-21410,clim_down,mean,2080,6,borrelia miyamotoi
clim_down;mean;2080;8.5,126712,-83533,clim_down,mean,2080,8.5,borrelia miyamotoi
clim_down;min;2030;2.6,282540,-7505,clim_down,min,2030,2.6,borrelia miyamotoi
clim_down;min;2030;4.5,223390,-7605,clim_down,min,2030,4.5,borrelia miyamotoi
clim_down;min;2030;6,407207,-45178,clim_down,min,2030,6,borrelia miyamotoi
clim_down;min;2030;8.5,248201,-8618,clim_down,min,2030,8.5,borrelia miyamotoi
clim_down;min;2050;2.6,281920,-11917,clim_down,min,2050,2.6,borrelia miyamotoi
clim_down;min;2050;4.5,267404,-13377,clim_down,min,2050,4.5,borrelia miyamotoi
clim_down;min;2050;6,253855,-8610,clim_down,min,2050,6,borrelia miyamotoi
clim_down;min;2050;8.5,371370,-13979,clim_down,min,2050,8.5,borrelia miyamotoi
clim_down;min;2070;2.6,335467,-16664,clim_down,min,2070,2.6,borrelia miyamotoi
clim_down;min;2070;4.5,309191,-10162,clim_down,min,2070,4.5,borrelia miyamotoi
clim_down;min;2070;6,283119,-6694,clim_down,min,2070,6,borrelia miyamotoi
clim_down;min;2070;8.5,304613,-10839,clim_down,min,2070,8.5,borrelia miyamotoi
clim_down;min;2080;2.6,239039,-8864,clim_down,min,2080,2.6,borrelia miyamotoi
clim_down;min;2080;4.5,280816,-13927,clim_down,min,2080,4.5,borrelia miyamotoi
clim_down;min;2080;6,197837,-11075,clim_down,min,2080,6,borrelia miyamotoi
clim_down;min;2080;8.5,414909,-14964,clim_down,min,2080,8.5,borrelia miyamotoi
clim_up;max;2030;2.6,4852,395,clim_up,max,2030,2.6,borrelia miyamotoi
clim_up;max;2030;4.5,5867,661,clim_up,max,2030,4.5,borrelia miyamotoi
clim_up;max;2030;6,1505,478,clim_up,max,2030,6,borrelia miyamotoi
clim_up;max;2030;8.5,3316,624,clim_up,max,2030,8.5,borrelia miyamotoi
clim_up;max;2050;2.6,4312,542,clim_up,max,2050,2.6,borrelia miyamotoi
clim_up;max;2050;4.5,3868,678,clim_up,max,2050,4.5,borrelia miyamotoi
clim_up;max;2050;6,3359,634,clim_up,max,2050,6,borrelia miyamotoi
clim_up;max;2050;8.5,1322,507,clim_up,max,2050,8.5,borrelia miyamotoi
clim_up;max;2070;2.6,2010,523,clim_up,max,2070,2.6,borrelia miyamotoi
clim_up;max;2070;4.5,1989,437,clim_up,max,2070,4.5,borrelia miyamotoi
clim_up;max;2070;6,1964,682,clim_up,max,2070,6,borrelia miyamotoi
clim_up;max;2070;8.5,2944,537,clim_up,max,2070,8.5,borrelia miyamotoi
clim_up;max;2080;2.6,3024,779,clim_up,max,2080,2.6,borrelia miyamotoi
clim_up;max;2080;4.5,3009,588,clim_up,max,2080,4.5,borrelia miyamotoi
clim_up;max;2080;6,4680,841,clim_up,max,2080,6,borrelia miyamotoi
clim_up;max;2080;8.5,111,26,clim_up,max,2080,8.5,borrelia miyamotoi
clim_up;mean;2030;2.6,39641,1003,clim_up,mean,2030,2.6,borrelia miyamotoi
clim_up;mean;2030;4.5,71687,2727,clim_up,mean,2030,4.5,borrelia miyamotoi
clim_up;mean;2030;6,33289,2328,clim_up,mean,2030,6,borrelia miyamotoi
clim_up;mean;2030;8.5,56772,2057,clim_up,mean,2030,8.5,borrelia miyamotoi
clim_up;mean;2050;2.6,54525,2064,clim_up,mean,2050,2.6,borrelia miyamotoi
clim_up;mean;2050;4.5,48499,2269,clim_up,mean,2050,4.5,borrelia miyamotoi
clim_up;mean;2050;6,53418,2209,clim_up,mean,2050,6,borrelia miyamotoi
clim_up;mean;2050;8.5,37373,1712,clim_up,mean,2050,8.5,borrelia miyamotoi
clim_up;mean;2070;2.6,39412,1491,clim_up,mean,2070,2.6,borrelia miyamotoi
clim_up;mean;2070;4.5,45887,1851,clim_up,mean,2070,4.5,borrelia miyamotoi
clim_up;mean;2070;6,49536,2283,clim_up,mean,2070,6,borrelia miyamotoi
clim_up;mean;2070;8.5,52957,2165,clim_up,mean,2070,8.5,borrelia miyamotoi
clim_up;mean;2080;2.6,47756,2096,clim_up,mean,2080,2.6,borrelia miyamotoi
clim_up;mean;2080;4.5,55523,2387,clim_up,mean,2080,4.5,borrelia miyamotoi
clim_up;mean;2080;6,69411,2678,clim_up,mean,2080,6,borrelia miyamotoi
clim_up;mean;2080;8.5,27316,1503,clim_up,mean,2080,8.5,borrelia miyamotoi
clim_up;min;2030;2.6,404983,3664,clim_up,min,2030,2.6,borrelia miyamotoi
clim_up;min;2030;4.5,417102,3735,clim_up,min,2030,4.5,borrelia miyamotoi
clim_up;min;2030;6,295453,4070,clim_up,min,2030,6,borrelia miyamotoi
clim_up;min;2030;8.5,390123,3568,clim_up,min,2030,8.5,borrelia miyamotoi
clim_up;min;2050;2.6,515824,5246,clim_up,min,2050,2.6,borrelia miyamotoi
clim_up;min;2050;4.5,562322,4995,clim_up,min,2050,4.5,borrelia miyamotoi
clim_up;min;2050;6,490421,4678,clim_up,min,2050,6,borrelia miyamotoi
clim_up;min;2050;8.5,406415,4108,clim_up,min,2050,8.5,borrelia miyamotoi
clim_up;min;2070;2.6,264402,1377,clim_up,min,2070,2.6,borrelia miyamotoi
clim_up;min;2070;4.5,569242,5513,clim_up,min,2070,4.5,borrelia miyamotoi
clim_up;min;2070;6,591710,7745,clim_up,min,2070,6,borrelia miyamotoi
clim_up;min;2070;8.5,668317,9984,clim_up,min,2070,8.5,borrelia miyamotoi
clim_up;min;2080;2.6,444336,2982,clim_up,min,2080,2.6,borrelia miyamotoi
clim_up;min;2080;4.5,511866,4528,clim_up,min,2080,4.5,borrelia miyamotoi
clim_up;min;2080;6,721632,10065,clim_up,min,2080,6,borrelia miyamotoi
clim_up;min;2080;8.5,509829,8437,clim_up,min,2080,8.5,borrelia miyamotoi
dummy;max;2030;2.6,72855,-26532,dummy,max,2030,2.6,borrelia miyamotoi
dummy;max;2030;4.5,75552,-23835,dummy,max,2030,4.5,borrelia miyamotoi
dummy;max;2030;6,35688,-63699,dummy,max,2030,6,borrelia miyamotoi
dummy;max;2030;8.5,76135,-23252,dummy,max,2030,8.5,borrelia miyamotoi
dummy;max;2050;2.6,74257,-25130,dummy,max,2050,2.6,borrelia miyamotoi
dummy;max;2050;4.5,45634,-53753,dummy,max,2050,4.5,borrelia miyamotoi
dummy;max;2050;6,72319,-27068,dummy,max,2050,6,borrelia miyamotoi
dummy;max;2050;8.5,31977,-67410,dummy,max,2050,8.5,borrelia miyamotoi
dummy;max;2070;2.6,58924,-40463,dummy,max,2070,2.6,borrelia miyamotoi
dummy;max;2070;4.5,33858,-65529,dummy,max,2070,4.5,borrelia miyamotoi
dummy;max;2070;6,45002,-54385,dummy,max,2070,6,borrelia miyamotoi
dummy;max;2070;8.5,32922,-66465,dummy,max,2070,8.5,borrelia miyamotoi
dummy;max;2080;2.6,63683,-35704,dummy,max,2080,2.6,borrelia miyamotoi
dummy;max;2080;4.5,55037,-44350,dummy,max,2080,4.5,borrelia miyamotoi
dummy;max;2080;6,69063,-30324,dummy,max,2080,6,borrelia miyamotoi
dummy;max;2080;8.5,8577,-90810,dummy,max,2080,8.5,borrelia miyamotoi
dummy;mean;2030;2.6,230276,-38653,dummy,mean,2030,2.6,borrelia miyamotoi
dummy;mean;2030;4.5,254038,-14891,dummy,mean,2030,4.5,borrelia miyamotoi
dummy;mean;2030;6,198920,-70009,dummy,mean,2030,6,borrelia miyamotoi
