year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,222,-60,clim_down,max,2030,2.6,brugia malayi
clim_down;max;2030;4.5,155,-20,clim_down,max,2030,4.5,brugia malayi
clim_down;max;2030;6,417,-169,clim_down,max,2030,6,brugia malayi
clim_down;max;2030;8.5,261,-186,clim_down,max,2030,8.5,brugia malayi
clim_down;max;2050;2.6,227,-85,clim_down,max,2050,2.6,brugia malayi
clim_down;max;2050;4.5,238,-132,clim_down,max,2050,4.5,brugia malayi
clim_down;max;2050;6,214,-141,clim_down,max,2050,6,brugia malayi
clim_down;max;2050;8.5,196,-187,clim_down,max,2050,8.5,brugia malayi
clim_down;max;2070;2.6,231,-37,clim_down,max,2070,2.6,brugia malayi
clim_down;max;2070;4.5,195,-62,clim_down,max,2070,4.5,brugia malayi
clim_down;max;2070;6,8,-2,clim_down,max,2070,6,brugia malayi
clim_down;max;2070;8.5,2,0,clim_down,max,2070,8.5,brugia malayi
clim_down;max;2080;2.6,225,-127,clim_down,max,2080,2.6,brugia malayi
clim_down;max;2080;4.5,24,-16,clim_down,max,2080,4.5,brugia malayi
clim_down;max;2080;6,172,-49,clim_down,max,2080,6,brugia malayi
clim_down;max;2080;8.5,20,0,clim_down,max,2080,8.5,brugia malayi
clim_down;mean;2030;2.6,196,-68,clim_down,mean,2030,2.6,brugia malayi
clim_down;mean;2030;4.5,143,-28,clim_down,mean,2030,4.5,brugia malayi
clim_down;mean;2030;6,389,-166,clim_down,mean,2030,6,brugia malayi
clim_down;mean;2030;8.5,239,-168,clim_down,mean,2030,8.5,brugia malayi
clim_down;mean;2050;2.6,201,-98,clim_down,mean,2050,2.6,brugia malayi
clim_down;mean;2050;4.5,216,-125,clim_down,mean,2050,4.5,brugia malayi
clim_down;mean;2050;6,186,-129,clim_down,mean,2050,6,brugia malayi
clim_down;mean;2050;8.5,178,-163,clim_down,mean,2050,8.5,brugia malayi
clim_down;mean;2070;2.6,222,-41,clim_down,mean,2070,2.6,brugia malayi
clim_down;mean;2070;4.5,171,-82,clim_down,mean,2070,4.5,brugia malayi
clim_down;mean;2070;6,8,-1,clim_down,mean,2070,6,brugia malayi
clim_down;mean;2070;8.5,2,0,clim_down,mean,2070,8.5,brugia malayi
clim_down;mean;2080;2.6,200,-130,clim_down,mean,2080,2.6,brugia malayi
clim_down;mean;2080;4.5,20,-20,clim_down,mean,2080,4.5,brugia malayi
clim_down;mean;2080;6,160,-58,clim_down,mean,2080,6,brugia malayi
clim_down;mean;2080;8.5,20,0,clim_down,mean,2080,8.5,brugia malayi
clim_down;min;2030;2.6,314,-133,clim_down,min,2030,2.6,brugia malayi
clim_down;min;2030;4.5,229,-45,clim_down,min,2030,4.5,brugia malayi
clim_down;min;2030;6,578,-304,clim_down,min,2030,6,brugia malayi
clim_down;min;2030;8.5,362,-279,clim_down,min,2030,8.5,brugia malayi
clim_down;min;2050;2.6,299,-144,clim_down,min,2050,2.6,brugia malayi
clim_down;min;2050;4.5,286,-184,clim_down,min,2050,4.5,brugia malayi
clim_down;min;2050;6,321,-243,clim_down,min,2050,6,brugia malayi
clim_down;min;2050;8.5,315,-216,clim_down,min,2050,8.5,brugia malayi
clim_down;min;2070;2.6,282,-80,clim_down,min,2070,2.6,brugia malayi
clim_down;min;2070;4.5,242,-56,clim_down,min,2070,4.5,brugia malayi
clim_down;min;2070;6,14,-22,clim_down,min,2070,6,brugia malayi
clim_down;min;2070;8.5,2,0,clim_down,min,2070,8.5,brugia malayi
clim_down;min;2080;2.6,319,-183,clim_down,min,2080,2.6,brugia malayi
clim_down;min;2080;4.5,42,-8,clim_down,min,2080,4.5,brugia malayi
clim_down;min;2080;6,204,-106,clim_down,min,2080,6,brugia malayi
clim_down;min;2080;8.5,21,0,clim_down,min,2080,8.5,brugia malayi
clim_up;max;2030;2.6,5433,223,clim_up,max,2030,2.6,brugia malayi
clim_up;max;2030;4.5,5322,250,clim_up,max,2030,4.5,brugia malayi
