year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;4.5,17564,-10665,clim_down,max,2030,4.5,campripley
clim_down;max;2030;6,7911,-11746,clim_down,max,2030,6,campripley
clim_down;max;2030;8.5,29241,-20153,clim_down,max,2030,8.5,campripley
clim_down;max;2050;2.6,21565,-22244,clim_down,max,2050,2.6,campripley
clim_down;max;2050;4.5,28752,-23404,clim_down,max,2050,4.5,campripley
clim_down;max;2050;6,8051,-3135,clim_down,max,2050,6,campripley
clim_down;max;2050;8.5,43057,-46154,clim_down,max,2050,8.5,campripley
clim_down;max;2070;2.6,22488,-16502,clim_down,max,2070,2.6,campripley
clim_down;max;2070;4.5,17078,-2520,clim_down,max,2070,4.5,campripley
clim_down;max;2070;8.5,30313,-72339,clim_down,max,2070,8.5,campripley
clim_down;max;2080;2.6,12176,-10121,clim_down,max,2080,2.6,campripley
clim_down;max;2080;4.5,16689,-11053,clim_down,max,2080,4.5,campripley
clim_down;max;2080;6,21966,-19967,clim_down,max,2080,6,campripley
clim_down;max;2080;8.5,47619,-81154,clim_down,max,2080,8.5,campripley
clim_down;mean;2030;4.5,21453,-13265,clim_down,mean,2030,4.5,campripley
clim_down;mean;2030;6,14046,-15814,clim_down,mean,2030,6,campripley
clim_down;mean;2030;8.5,42908,-17058,clim_down,mean,2030,8.5,campripley
clim_down;mean;2050;2.6,29528,-22189,clim_down,mean,2050,2.6,campripley
clim_down;mean;2050;4.5,40703,-22056,clim_down,mean,2050,4.5,campripley
clim_down;mean;2050;6,10201,-4154,clim_down,mean,2050,6,campripley
clim_down;mean;2050;8.5,68582,-33126,clim_down,mean,2050,8.5,campripley
clim_down;mean;2070;2.6,29584,-15790,clim_down,mean,2070,2.6,campripley
clim_down;mean;2070;4.5,18998,-5421,clim_down,mean,2070,4.5,campripley
clim_down;mean;2070;8.5,77064,-40667,clim_down,mean,2070,8.5,campripley
clim_down;mean;2080;2.6,19609,-7768,clim_down,mean,2080,2.6,campripley
clim_down;mean;2080;4.5,22135,-11438,clim_down,mean,2080,4.5,campripley
clim_down;mean;2080;6,30471,-19368,clim_down,mean,2080,6,campripley
clim_down;mean;2080;8.5,94662,-49640,clim_down,mean,2080,8.5,campripley
clim_down;min;2030;4.5,27270,-11339,clim_down,min,2030,4.5,campripley
clim_down;min;2030;6,23585,-14837,clim_down,min,2030,6,campripley
clim_down;min;2030;8.5,54557,-9314,clim_down,min,2030,8.5,campripley
clim_down;min;2050;2.6,41483,-13383,clim_down,min,2050,2.6,campripley
clim_down;min;2050;4.5,52828,-15909,clim_down,min,2050,4.5,campripley
clim_down;min;2050;6,13607,-2532,clim_down,min,2050,6,campripley
clim_down;min;2050;8.5,92706,-15672,clim_down,min,2050,8.5,campripley
clim_down;min;2070;2.6,41194,-7014,clim_down,min,2070,2.6,campripley
