year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,93646,-24135,clim_down,max,2030,2.6,caraparu
clim_down;max;2030;4.5,114608,-17226,clim_down,max,2030,4.5,caraparu
clim_down;max;2030;6,112465,-29521,clim_down,max,2030,6,caraparu
clim_down;max;2030;8.5,123227,-16224,clim_down,max,2030,8.5,caraparu
clim_down;max;2050;2.6,102663,-50896,clim_down,max,2050,2.6,caraparu
clim_down;max;2050;4.5,111743,-44699,clim_down,max,2050,4.5,caraparu
clim_down;max;2050;6,92806,-35047,clim_down,max,2050,6,caraparu
clim_down;max;2050;8.5,117848,-37244,clim_down,max,2050,8.5,caraparu
clim_down;max;2070;2.6,84403,-59971,clim_down,max,2070,2.6,caraparu
clim_down;max;2070;4.5,95319,-65589,clim_down,max,2070,4.5,caraparu
clim_down;max;2070;6,95677,-54029,clim_down,max,2070,6,caraparu
clim_down;max;2070;8.5,102781,-65023,clim_down,max,2070,8.5,caraparu
clim_down;max;2080;2.6,41874,-46441,clim_down,max,2080,2.6,caraparu
clim_down;max;2080;4.5,88075,-78420,clim_down,max,2080,4.5,caraparu
clim_down;max;2080;6,100064,-68986,clim_down,max,2080,6,caraparu
clim_down;max;2080;8.5,92629,-79931,clim_down,max,2080,8.5,caraparu
clim_down;mean;2030;2.6,154454,-17054,clim_down,mean,2030,2.6,caraparu
clim_down;mean;2030;4.5,178698,-19844,clim_down,mean,2030,4.5,caraparu
clim_down;mean;2030;6,184746,-26230,clim_down,mean,2030,6,caraparu
clim_down;mean;2030;8.5,185560,-22281,clim_down,mean,2030,8.5,caraparu
clim_down;mean;2050;2.6,181886,-45328,clim_down,mean,2050,2.6,caraparu
clim_down;mean;2050;4.5,194319,-34848,clim_down,mean,2050,4.5,caraparu
clim_down;mean;2050;6,164634,-29300,clim_down,mean,2050,6,caraparu
clim_down;mean;2050;8.5,185972,-40669,clim_down,mean,2050,8.5,caraparu
clim_down;mean;2070;2.6,151113,-59147,clim_down,mean,2070,2.6,caraparu
clim_down;mean;2070;4.5,193179,-41868,clim_down,mean,2070,4.5,caraparu
clim_down;mean;2070;6,181382,-38484,clim_down,mean,2070,6,caraparu
clim_down;mean;2070;8.5,180767,-63423,clim_down,mean,2070,8.5,caraparu
clim_down;mean;2080;2.6,89522,-53533,clim_down,mean,2080,2.6,caraparu
clim_down;mean;2080;4.5,195829,-48126,clim_down,mean,2080,4.5,caraparu
clim_down;mean;2080;6,199344,-45325,clim_down,mean,2080,6,caraparu
clim_down;mean;2080;8.5,176808,-73050,clim_down,mean,2080,8.5,caraparu
clim_down;min;2030;2.6,304769,-2256,clim_down,min,2030,2.6,caraparu
clim_down;min;2030;4.5,287827,-68108,clim_down,min,2030,4.5,caraparu
clim_down;min;2030;6,317648,-63006,clim_down,min,2030,6,caraparu
clim_down;min;2030;8.5,335615,-35645,clim_down,min,2030,8.5,caraparu
clim_down;min;2050;2.6,395719,-25691,clim_down,min,2050,2.6,caraparu
clim_down;min;2050;4.5,376694,-34211,clim_down,min,2050,4.5,caraparu
clim_down;min;2050;6,292937,-68839,clim_down,min,2050,6,caraparu
clim_down;min;2050;8.5,344717,-57594,clim_down,min,2050,8.5,caraparu
clim_down;min;2070;2.6,337925,-33692,clim_down,min,2070,2.6,caraparu
clim_down;min;2070;4.5,371528,-45855,clim_down,min,2070,4.5,caraparu
clim_down;min;2070;6,319897,-82646,clim_down,min,2070,6,caraparu
