year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,75224,-30977,clim_down,max,2030,2.6,castelo dos sonhos
clim_down;max;2030;4.5,73361,-83016,clim_down,max,2030,4.5,castelo dos sonhos
clim_down;max;2030;6,60957,-146792,clim_down,max,2030,6,castelo dos sonhos
clim_down;max;2030;8.5,149997,-60903,clim_down,max,2030,8.5,castelo dos sonhos
clim_down;max;2050;2.6,78134,-55349,clim_down,max,2050,2.6,castelo dos sonhos
clim_down;max;2050;6,44044,-95501,clim_down,max,2050,6,castelo dos sonhos
clim_down;max;2050;8.5,113628,-105613,clim_down,max,2050,8.5,castelo dos sonhos
clim_down;max;2070;2.6,48119,-42383,clim_down,max,2070,2.6,castelo dos sonhos
clim_down;max;2070;4.5,43421,-176731,clim_down,max,2070,4.5,castelo dos sonhos
clim_down;max;2070;6,42352,-151538,clim_down,max,2070,6,castelo dos sonhos
clim_down;max;2070;8.5,78545,-145880,clim_down,max,2070,8.5,castelo dos sonhos
clim_down;max;2080;2.6,42655,-39877,clim_down,max,2080,2.6,castelo dos sonhos
clim_down;max;2080;4.5,38258,-144597,clim_down,max,2080,4.5,castelo dos sonhos
clim_down;max;2080;8.5,65118,-157938,clim_down,max,2080,8.5,castelo dos sonhos
clim_down;mean;2030;2.6,122323,-21037,clim_down,mean,2030,2.6,castelo dos sonhos
clim_down;mean;2030;4.5,168958,-35830,clim_down,mean,2030,4.5,castelo dos sonhos
clim_down;mean;2030;6,185645,-79769,clim_down,mean,2030,6,castelo dos sonhos
clim_down;mean;2030;8.5,228866,-41204,clim_down,mean,2030,8.5,castelo dos sonhos
clim_down;mean;2050;2.6,133174,-43600,clim_down,mean,2050,2.6,castelo dos sonhos
clim_down;mean;2050;6,114342,-70034,clim_down,mean,2050,6,castelo dos sonhos
clim_down;mean;2050;8.5,204271,-77276,clim_down,mean,2050,8.5,castelo dos sonhos
clim_down;mean;2070;2.6,85581,-34873,clim_down,mean,2070,2.6,castelo dos sonhos
clim_down;mean;2070;4.5,173499,-110120,clim_down,mean,2070,4.5,castelo dos sonhos
clim_down;mean;2070;6,143546,-106171,clim_down,mean,2070,6,castelo dos sonhos
clim_down;mean;2070;8.5,177776,-110089,clim_down,mean,2070,8.5,castelo dos sonhos
clim_down;mean;2080;2.6,75580,-34188,clim_down,mean,2080,2.6,castelo dos sonhos
