year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,764,-1362,clim_down,max,2030,2.6,choclo
clim_down;max;2030;4.5,825,-1292,clim_down,max,2030,4.5,choclo
clim_down;max;2030;6,768,-988,clim_down,max,2030,6,choclo
clim_down;max;2030;8.5,861,-1221,clim_down,max,2030,8.5,choclo
clim_down;max;2050;2.6,712,-1218,clim_down,max,2050,2.6,choclo
clim_down;max;2050;4.5,732,-1148,clim_down,max,2050,4.5,choclo
clim_down;max;2050;6,656,-1051,clim_down,max,2050,6,choclo
clim_down;max;2050;8.5,537,-1544,clim_down,max,2050,8.5,choclo
clim_down;max;2070;2.6,784,-938,clim_down,max,2070,2.6,choclo
clim_down;max;2070;4.5,607,-1550,clim_down,max,2070,4.5,choclo
clim_down;max;2070;6,667,-1333,clim_down,max,2070,6,choclo
clim_down;max;2070;8.5,363,-2054,clim_down,max,2070,8.5,choclo
clim_down;max;2080;2.6,837,-1204,clim_down,max,2080,2.6,choclo
clim_down;max;2080;4.5,545,-1537,clim_down,max,2080,4.5,choclo
clim_down;max;2080;6,202,-2382,clim_down,max,2080,6,choclo
clim_down;max;2080;8.5,315,-1898,clim_down,max,2080,8.5,choclo
clim_down;mean;2030;2.6,948,-1678,clim_down,mean,2030,2.6,choclo
clim_down;mean;2030;4.5,1052,-1556,clim_down,mean,2030,4.5,choclo
clim_down;mean;2030;6,941,-1303,clim_down,mean,2030,6,choclo
clim_down;mean;2030;8.5,1097,-1483,clim_down,mean,2030,8.5,choclo
clim_down;mean;2050;2.6,936,-1479,clim_down,mean,2050,2.6,choclo
clim_down;mean;2050;4.5,963,-1405,clim_down,mean,2050,4.5,choclo
clim_down;mean;2050;6,806,-1383,clim_down,mean,2050,6,choclo
clim_down;mean;2050;8.5,733,-1832,clim_down,mean,2050,8.5,choclo
clim_down;mean;2070;2.6,992,-1205,clim_down,mean,2070,2.6,choclo
clim_down;mean;2070;4.5,843,-1801,clim_down,mean,2070,4.5,choclo
clim_down;mean;2070;6,890,-1603,clim_down,mean,2070,6,choclo
clim_down;mean;2070;8.5,505,-2401,clim_down,mean,2070,8.5,choclo
clim_down;mean;2080;2.6,1083,-1426,clim_down,mean,2080,2.6,choclo
clim_down;mean;2080;4.5,776,-1793,clim_down,mean,2080,4.5,choclo
clim_down;mean;2080;6,313,-2786,clim_down,mean,2080,6,choclo
clim_down;mean;2080;8.5,453,-2231,clim_down,mean,2080,8.5,choclo
clim_down;min;2030;2.6,1251,-1943,clim_down,min,2030,2.6,choclo
clim_down;min;2030;4.5,1478,-1671,clim_down,min,2030,4.5,choclo
clim_down;min;2030;6,1304,-1464,clim_down,min,2030,6,choclo
clim_down;min;2030;8.5,1514,-1616,clim_down,min,2030,8.5,choclo
clim_down;min;2050;2.6,1399,-1548,clim_down,min,2050,2.6,choclo
clim_down;min;2050;4.5,1399,-1511,clim_down,min,2050,4.5,choclo
clim_down;min;2050;6,1143,-1579,clim_down,min,2050,6,choclo
clim_down;min;2050;8.5,1191,-1918,clim_down,min,2050,8.5,choclo
clim_down;min;2070;2.6,1381,-1301,clim_down,min,2070,2.6,choclo
clim_down;min;2070;4.5,1326,-1867,clim_down,min,2070,4.5,choclo
clim_down;min;2070;6,1302,-1735,clim_down,min,2070,6,choclo
clim_down;min;2070;8.5,876,-2580,clim_down,min,2070,8.5,choclo
clim_down;min;2080;2.6,1515,-1506,clim_down,min,2080,2.6,choclo
clim_down;min;2080;4.5,1328,-1768,clim_down,min,2080,4.5,choclo
clim_down;min;2080;6,756,-2930,clim_down,min,2080,6,choclo
clim_down;min;2080;8.5,831,-2387,clim_down,min,2080,8.5,choclo
clim_up;max;2030;2.6,199,21,clim_up,max,2030,2.6,choclo
clim_up;max;2030;4.5,152,22,clim_up,max,2030,4.5,choclo
clim_up;max;2030;6,215,23,clim_up,max,2030,6,choclo
clim_up;max;2030;8.5,112,22,clim_up,max,2030,8.5,choclo
clim_up;max;2050;2.6,197,23,clim_up,max,2050,2.6,choclo
clim_up;max;2050;4.5,198,23,clim_up,max,2050,4.5,choclo
clim_up;max;2050;6,244,24,clim_up,max,2050,6,choclo
clim_up;max;2050;8.5,243,24,clim_up,max,2050,8.5,choclo
clim_up;max;2070;2.6,269,22,clim_up,max,2070,2.6,choclo
clim_up;max;2070;4.5,142,22,clim_up,max,2070,4.5,choclo
clim_up;max;2070;6,159,22,clim_up,max,2070,6,choclo
clim_up;max;2070;8.5,100,23,clim_up,max,2070,8.5,choclo
clim_up;max;2080;2.6,222,25,clim_up,max,2080,2.6,choclo
clim_up;max;2080;4.5,161,19,clim_up,max,2080,4.5,choclo
clim_up;max;2080;6,85,4,clim_up,max,2080,6,choclo
clim_up;max;2080;8.5,287,29,clim_up,max,2080,8.5,choclo
clim_up;mean;2030;2.6,205,14,clim_up,mean,2030,2.6,choclo
clim_up;mean;2030;4.5,161,15,clim_up,mean,2030,4.5,choclo
clim_up;mean;2030;6,224,15,clim_up,mean,2030,6,choclo
clim_up;mean;2030;8.5,119,14,clim_up,mean,2030,8.5,choclo
clim_up;mean;2050;2.6,204,14,clim_up,mean,2050,2.6,choclo
clim_up;mean;2050;4.5,205,16,clim_up,mean,2050,4.5,choclo
clim_up;mean;2050;6,253,15,clim_up,mean,2050,6,choclo
clim_up;mean;2050;8.5,252,17,clim_up,mean,2050,8.5,choclo
clim_up;mean;2070;2.6,280,16,clim_up,mean,2070,2.6,choclo
clim_up;mean;2070;4.5,149,14,clim_up,mean,2070,4.5,choclo
clim_up;mean;2070;6,168,14,clim_up,mean,2070,6,choclo
clim_up;mean;2070;8.5,105,15,clim_up,mean,2070,8.5,choclo
clim_up;mean;2080;2.6,239,17,clim_up,mean,2080,2.6,choclo
clim_up;mean;2080;4.5,168,12,clim_up,mean,2080,4.5,choclo
clim_up;mean;2080;6,87,3,clim_up,mean,2080,6,choclo
clim_up;mean;2080;8.5,301,19,clim_up,mean,2080,8.5,choclo
clim_up;min;2030;2.6,223,9,clim_up,min,2030,2.6,choclo
clim_up;min;2030;4.5,182,12,clim_up,min,2030,4.5,choclo
clim_up;min;2030;6,254,12,clim_up,min,2030,6,choclo
clim_up;min;2030;8.5,134,10,clim_up,min,2030,8.5,choclo
clim_up;min;2050;2.6,229,12,clim_up,min,2050,2.6,choclo
clim_up;min;2050;4.5,226,13,clim_up,min,2050,4.5,choclo
clim_up;min;2050;6,278,14,clim_up,min,2050,6,choclo
clim_up;min;2050;8.5,285,15,clim_up,min,2050,8.5,choclo
clim_up;min;2070;2.6,316,14,clim_up,min,2070,2.6,choclo
clim_up;min;2070;4.5,173,10,clim_up,min,2070,4.5,choclo
clim_up;min;2070;6,186,11,clim_up,min,2070,6,choclo
clim_up;min;2070;8.5,138,18,clim_up,min,2070,8.5,choclo
clim_up;min;2080;2.6,278,17,clim_up,min,2080,2.6,choclo
clim_up;min;2080;4.5,187,7,clim_up,min,2080,4.5,choclo
clim_up;min;2080;6,97,3,clim_up,min,2080,6,choclo
clim_up;min;2080;8.5,345,21,clim_up,min,2080,8.5,choclo
dummy;max;2030;2.6,1391,-1369,dummy,max,2030,2.6,choclo
dummy;max;2030;4.5,1453,-1307,dummy,max,2030,4.5,choclo
dummy;max;2030;6,1753,-1007,dummy,max,2030,6,choclo
dummy;max;2030;8.5,1516,-1244,dummy,max,2030,8.5,choclo
dummy;max;2050;2.6,1517,-1243,dummy,max,2050,2.6,choclo
dummy;max;2050;4.5,1562,-1198,dummy,max,2050,4.5,choclo
dummy;max;2050;6,1685,-1075,dummy,max,2050,6,choclo
dummy;max;2050;8.5,1205,-1555,dummy,max,2050,8.5,choclo
dummy;max;2070;2.6,1776,-984,dummy,max,2070,2.6,choclo
dummy;max;2070;4.5,1196,-1564,dummy,max,2070,4.5,choclo
dummy;max;2070;6,1412,-1348,dummy,max,2070,6,choclo
dummy;max;2070;8.5,700,-2060,dummy,max,2070,8.5,choclo
dummy;max;2080;2.6,1522,-1238,dummy,max,2080,2.6,choclo
dummy;max;2080;4.5,1201,-1559,dummy,max,2080,4.5,choclo
dummy;max;2080;6,369,-2391,dummy,max,2080,6,choclo
