year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,20398,-7039,clim_down,max,2030,2.6,colorado tick
clim_down;max;2030;4.5,27105,-9127,clim_down,max,2030,4.5,colorado tick
clim_down;max;2030;6,20917,-14633,clim_down,max,2030,6,colorado tick
clim_down;max;2030;8.5,34002,-20683,clim_down,max,2030,8.5,colorado tick
clim_down;max;2050;2.6,25119,-8765,clim_down,max,2050,2.6,colorado tick
clim_down;max;2050;4.5,33479,-16293,clim_down,max,2050,4.5,colorado tick
clim_down;max;2050;6,30958,-17412,clim_down,max,2050,6,colorado tick
clim_down;max;2050;8.5,34970,-24039,clim_down,max,2050,8.5,colorado tick
clim_down;max;2070;2.6,26807,-13113,clim_down,max,2070,2.6,colorado tick
clim_down;max;2070;4.5,35949,-19819,clim_down,max,2070,4.5,colorado tick
clim_down;max;2070;6,35385,-28465,clim_down,max,2070,6,colorado tick
clim_down;max;2070;8.5,28328,-82239,clim_down,max,2070,8.5,colorado tick
clim_down;max;2080;2.6,25336,-8877,clim_down,max,2080,2.6,colorado tick
clim_down;max;2080;4.5,38401,-26728,clim_down,max,2080,4.5,colorado tick
clim_down;max;2080;6,36645,-29579,clim_down,max,2080,6,colorado tick
clim_down;max;2080;8.5,29782,-76152,clim_down,max,2080,8.5,colorado tick
clim_down;mean;2030;2.6,43171,-7732,clim_down,mean,2030,2.6,colorado tick
clim_down;mean;2030;4.5,50818,-5432,clim_down,mean,2030,4.5,colorado tick
clim_down;mean;2030;6,53323,-8869,clim_down,mean,2030,6,colorado tick
clim_down;mean;2030;8.5,76010,-13152,clim_down,mean,2030,8.5,colorado tick
clim_down;mean;2050;2.6,50339,-8704,clim_down,mean,2050,2.6,colorado tick
clim_down;mean;2050;4.5,67748,-10658,clim_down,mean,2050,4.5,colorado tick
clim_down;mean;2050;6,67558,-12905,clim_down,mean,2050,6,colorado tick
clim_down;mean;2050;8.5,79385,-22882,clim_down,mean,2050,8.5,colorado tick
clim_down;mean;2070;2.6,57705,-8777,clim_down,mean,2070,2.6,colorado tick
clim_down;mean;2070;4.5,72655,-14838,clim_down,mean,2070,4.5,colorado tick
clim_down;mean;2070;6,85998,-21266,clim_down,mean,2070,6,colorado tick
clim_down;mean;2070;8.5,122013,-50403,clim_down,mean,2070,8.5,colorado tick
clim_down;mean;2080;2.6,52959,-11468,clim_down,mean,2080,2.6,colorado tick
clim_down;mean;2080;4.5,81363,-18709,clim_down,mean,2080,4.5,colorado tick
clim_down;mean;2080;6,85486,-18971,clim_down,mean,2080,6,colorado tick
clim_down;mean;2080;8.5,116142,-51960,clim_down,mean,2080,8.5,colorado tick
clim_down;min;2030;2.6,73321,-15535,clim_down,min,2030,2.6,colorado tick
clim_down;min;2030;4.5,81771,-14314,clim_down,min,2030,4.5,colorado tick
clim_down;min;2030;6,104623,-6061,clim_down,min,2030,6,colorado tick
clim_down;min;2030;8.5,125178,-11287,clim_down,min,2030,8.5,colorado tick
clim_down;min;2050;2.6,86434,-11409,clim_down,min,2050,2.6,colorado tick
clim_down;min;2050;4.5,103541,-13264,clim_down,min,2050,4.5,colorado tick
clim_down;min;2050;6,110857,-15592,clim_down,min,2050,6,colorado tick
clim_down;min;2050;8.5,142449,-22893,clim_down,min,2050,8.5,colorado tick
clim_down;min;2070;2.6,94097,-9517,clim_down,min,2070,2.6,colorado tick
clim_down;min;2070;4.5,110096,-13657,clim_down,min,2070,4.5,colorado tick
clim_down;min;2070;6,142775,-15734,clim_down,min,2070,6,colorado tick
clim_down;min;2070;8.5,211181,-52014,clim_down,min,2070,8.5,colorado tick
clim_down;min;2080;2.6,103918,-20619,clim_down,min,2080,2.6,colorado tick
clim_down;min;2080;4.5,133300,-21822,clim_down,min,2080,4.5,colorado tick
clim_down;min;2080;6,132704,-11804,clim_down,min,2080,6,colorado tick
clim_down;min;2080;8.5,209839,-50135,clim_down,min,2080,8.5,colorado tick
clim_up;max;2030;2.6,28806,2932,clim_up,max,2030,2.6,colorado tick
clim_up;max;2030;4.5,18908,2191,clim_up,max,2030,4.5,colorado tick
clim_up;max;2030;6,26025,2025,clim_up,max,2030,6,colorado tick
clim_up;max;2030;8.5,13183,1330,clim_up,max,2030,8.5,colorado tick
