year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,106985,-49373,clim_down,max,2030,2.6,cowpox
clim_down;max;2030;4.5,104403,-78262,clim_down,max,2030,4.5,cowpox
clim_down;max;2030;6,100420,-90279,clim_down,max,2030,6,cowpox
clim_down;max;2030;8.5,103563,-42447,clim_down,max,2030,8.5,cowpox
clim_down;max;2050;2.6,101976,-57960,clim_down,max,2050,2.6,cowpox
clim_down;max;2050;4.5,106452,-65407,clim_down,max,2050,4.5,cowpox
clim_down;max;2050;6,94994,-47176,clim_down,max,2050,6,cowpox
clim_down;max;2050;8.5,99171,-80802,clim_down,max,2050,8.5,cowpox
clim_down;max;2070;2.6,109379,-50451,clim_down,max,2070,2.6,cowpox
clim_down;max;2070;4.5,107082,-63172,clim_down,max,2070,4.5,cowpox
clim_down;max;2070;6,102327,-77893,clim_down,max,2070,6,cowpox
clim_down;max;2070;8.5,95270,-97780,clim_down,max,2070,8.5,cowpox
clim_down;max;2080;2.6,126356,-62602,clim_down,max,2080,2.6,cowpox
clim_down;max;2080;4.5,101519,-89944,clim_down,max,2080,4.5,cowpox
clim_down;max;2080;6,85277,-98771,clim_down,max,2080,6,cowpox
clim_down;max;2080;8.5,78317,-117315,clim_down,max,2080,8.5,cowpox
clim_down;mean;2030;2.6,130468,-63402,clim_down,mean,2030,2.6,cowpox
clim_down;mean;2030;4.5,131242,-101648,clim_down,mean,2030,4.5,cowpox
clim_down;mean;2030;6,135512,-107996,clim_down,mean,2030,6,cowpox
clim_down;mean;2030;8.5,124438,-55155,clim_down,mean,2030,8.5,cowpox
clim_down;mean;2050;2.6,126233,-67743,clim_down,mean,2050,2.6,cowpox
clim_down;mean;2050;4.5,128440,-78207,clim_down,mean,2050,4.5,cowpox
clim_down;mean;2050;6,111441,-60520,clim_down,mean,2050,6,cowpox
clim_down;mean;2050;8.5,124648,-92852,clim_down,mean,2050,8.5,cowpox
clim_down;mean;2070;2.6,130973,-68964,clim_down,mean,2070,2.6,cowpox
clim_down;mean;2070;4.5,125337,-78277,clim_down,mean,2070,4.5,cowpox
clim_down;mean;2070;6,131506,-88628,clim_down,mean,2070,6,cowpox
clim_down;mean;2070;8.5,129067,-104318,clim_down,mean,2070,8.5,cowpox
clim_down;mean;2080;2.6,158713,-70509,clim_down,mean,2080,2.6,cowpox
clim_down;mean;2080;4.5,132596,-98470,clim_down,mean,2080,4.5,cowpox
clim_down;mean;2080;6,109476,-114907,clim_down,mean,2080,6,cowpox
clim_down;mean;2080;8.5,107838,-125937,clim_down,mean,2080,8.5,cowpox
clim_down;min;2030;2.6,217589,-19830,clim_down,min,2030,2.6,cowpox
clim_down;min;2030;4.5,217074,-85737,clim_down,min,2030,4.5,cowpox
clim_down;min;2030;6,207057,-112193,clim_down,min,2030,6,cowpox
clim_down;min;2030;8.5,196424,-24209,clim_down,min,2030,8.5,cowpox
clim_down;min;2050;2.6,200142,-38277,clim_down,min,2050,2.6,cowpox
clim_down;min;2050;4.5,202050,-47168,clim_down,min,2050,4.5,cowpox
clim_down;min;2050;6,176041,-40412,clim_down,min,2050,6,cowpox
clim_down;min;2050;8.5,191059,-78163,clim_down,min,2050,8.5,cowpox
clim_down;min;2070;2.6,212553,-29439,clim_down,min,2070,2.6,cowpox
clim_down;min;2070;4.5,190337,-60429,clim_down,min,2070,4.5,cowpox
clim_down;min;2070;6,207431,-62428,clim_down,min,2070,6,cowpox
clim_down;min;2070;8.5,207530,-75492,clim_down,min,2070,8.5,cowpox
clim_down;min;2080;2.6,236651,-22860,clim_down,min,2080,2.6,cowpox
clim_down;min;2080;4.5,198345,-83993,clim_down,min,2080,4.5,cowpox
clim_down;min;2080;6,173814,-103819,clim_down,min,2080,6,cowpox
clim_down;min;2080;8.5,180709,-105739,clim_down,min,2080,8.5,cowpox
clim_up;max;2030;2.6,29301,395,clim_up,max,2030,2.6,cowpox
clim_up;max;2030;4.5,21545,268,clim_up,max,2030,4.5,cowpox
clim_up;max;2030;6,22517,81,clim_up,max,2030,6,cowpox
clim_up;max;2030;8.5,29550,465,clim_up,max,2030,8.5,cowpox
clim_up;max;2050;2.6,37497,484,clim_up,max,2050,2.6,cowpox
clim_up;max;2050;4.5,32390,493,clim_up,max,2050,4.5,cowpox
clim_up;max;2050;6,42623,508,clim_up,max,2050,6,cowpox
clim_up;max;2050;8.5,36864,510,clim_up,max,2050,8.5,cowpox
clim_up;max;2070;2.6,24325,393,clim_up,max,2070,2.6,cowpox
clim_up;max;2070;4.5,37567,515,clim_up,max,2070,4.5,cowpox
clim_up;max;2070;6,59267,556,clim_up,max,2070,6,cowpox
clim_up;max;2070;8.5,41784,517,clim_up,max,2070,8.5,cowpox
clim_up;max;2080;2.6,24980,453,clim_up,max,2080,2.6,cowpox
clim_up;max;2080;4.5,31174,524,clim_up,max,2080,4.5,cowpox
clim_up;max;2080;6,37454,393,clim_up,max,2080,6,cowpox
clim_up;max;2080;8.5,54861,564,clim_up,max,2080,8.5,cowpox
clim_up;mean;2030;2.6,40942,457,clim_up,mean,2030,2.6,cowpox
clim_up;mean;2030;4.5,24595,271,clim_up,mean,2030,4.5,cowpox
clim_up;mean;2030;6,27190,48,clim_up,mean,2030,6,cowpox
clim_up;mean;2030;8.5,36707,329,clim_up,mean,2030,8.5,cowpox
clim_up;mean;2050;2.6,48626,540,clim_up,mean,2050,2.6,cowpox
clim_up;mean;2050;4.5,46053,96,clim_up,mean,2050,4.5,cowpox
clim_up;mean;2050;6,61412,534,clim_up,mean,2050,6,cowpox
clim_up;mean;2050;8.5,50942,553,clim_up,mean,2050,8.5,cowpox
clim_up;mean;2070;2.6,31993,408,clim_up,mean,2070,2.6,cowpox
clim_up;mean;2070;4.5,50284,-43,clim_up,mean,2070,4.5,cowpox
clim_up;mean;2070;6,79544,425,clim_up,mean,2070,6,cowpox
clim_up;mean;2070;8.5,55893,100,clim_up,mean,2070,8.5,cowpox
clim_up;mean;2080;2.6,32257,338,clim_up,mean,2080,2.6,cowpox
