year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,5082,-959,clim_down,max,2030,2.6,dobrava belgrade
clim_down;max;2030;4.5,13907,-4181,clim_down,max,2030,4.5,dobrava belgrade
clim_down;max;2030;6,2746,-1371,clim_down,max,2030,6,dobrava belgrade
clim_down;max;2030;8.5,8293,-3897,clim_down,max,2030,8.5,dobrava belgrade
clim_down;max;2050;2.6,13305,-2916,clim_down,max,2050,2.6,dobrava belgrade
clim_down;max;2050;4.5,12174,-7319,clim_down,max,2050,4.5,dobrava belgrade
clim_down;max;2050;6,2404,-4101,clim_down,max,2050,6,dobrava belgrade
clim_down;max;2050;8.5,11860,-4661,clim_down,max,2050,8.5,dobrava belgrade
clim_down;max;2070;2.6,12664,-4823,clim_down,max,2070,2.6,dobrava belgrade
clim_down;max;2070;4.5,7878,-8192,clim_down,max,2070,4.5,dobrava belgrade
clim_down;max;2070;6,8744,-5136,clim_down,max,2070,6,dobrava belgrade
clim_down;max;2070;8.5,2368,-8784,clim_down,max,2070,8.5,dobrava belgrade
clim_down;max;2080;2.6,8557,-7468,clim_down,max,2080,2.6,dobrava belgrade
clim_down;max;2080;4.5,4957,-7254,clim_down,max,2080,4.5,dobrava belgrade
clim_down;max;2080;6,4512,-5449,clim_down,max,2080,6,dobrava belgrade
clim_down;max;2080;8.5,489,-4477,clim_down,max,2080,8.5,dobrava belgrade
clim_down;mean;2030;2.6,132073,-4515,clim_down,mean,2030,2.6,dobrava belgrade
clim_down;mean;2030;4.5,183549,-12285,clim_down,mean,2030,4.5,dobrava belgrade
clim_down;mean;2030;6,101327,1927,clim_down,mean,2030,6,dobrava belgrade
clim_down;mean;2030;8.5,198080,-19224,clim_down,mean,2030,8.5,dobrava belgrade
clim_down;mean;2050;2.6,180670,-4400,clim_down,mean,2050,2.6,dobrava belgrade
clim_down;mean;2050;4.5,188334,-27271,clim_down,mean,2050,4.5,dobrava belgrade
clim_down;mean;2050;6,191425,-22203,clim_down,mean,2050,6,dobrava belgrade
clim_down;mean;2050;8.5,199222,-22273,clim_down,mean,2050,8.5,dobrava belgrade
clim_down;mean;2070;2.6,173751,-6551,clim_down,mean,2070,2.6,dobrava belgrade
clim_down;mean;2070;4.5,184653,-43965,clim_down,mean,2070,4.5,dobrava belgrade
clim_down;mean;2070;6,190966,-25599,clim_down,mean,2070,6,dobrava belgrade
clim_down;mean;2070;8.5,226477,-49661,clim_down,mean,2070,8.5,dobrava belgrade
clim_down;mean;2080;2.6,231063,-9920,clim_down,mean,2080,2.6,dobrava belgrade
clim_down;mean;2080;4.5,182059,-51533,clim_down,mean,2080,4.5,dobrava belgrade
clim_down;mean;2080;6,199043,-28617,clim_down,mean,2080,6,dobrava belgrade
clim_down;mean;2080;8.5,195484,-38262,clim_down,mean,2080,8.5,dobrava belgrade
clim_down;min;2030;2.6,153501,-69,clim_down,min,2030,2.6,dobrava belgrade
clim_down;min;2030;4.5,221055,-271,clim_down,min,2030,4.5,dobrava belgrade
clim_down;min;2030;6,126645,-14,clim_down,min,2030,6,dobrava belgrade
clim_down;min;2030;8.5,242374,-354,clim_down,min,2030,8.5,dobrava belgrade
clim_down;min;2050;2.6,204548,-2,clim_down,min,2050,2.6,dobrava belgrade
clim_down;min;2050;4.5,249865,-112,clim_down,min,2050,4.5,dobrava belgrade
clim_down;min;2050;6,242691,0,clim_down,min,2050,6,dobrava belgrade
clim_down;min;2050;8.5,249307,-62,clim_down,min,2050,8.5,dobrava belgrade
clim_down;min;2070;2.6,204609,0,clim_down,min,2070,2.6,dobrava belgrade
clim_down;min;2070;4.5,264467,-188,clim_down,min,2070,4.5,dobrava belgrade
clim_down;min;2070;6,247619,0,clim_down,min,2070,6,dobrava belgrade
clim_down;min;2070;8.5,318905,-1085,clim_down,min,2070,8.5,dobrava belgrade
clim_down;min;2080;2.6,282697,-195,clim_down,min,2080,2.6,dobrava belgrade
clim_down;min;2080;4.5,267174,-359,clim_down,min,2080,4.5,dobrava belgrade
clim_down;min;2080;6,258565,0,clim_down,min,2080,6,dobrava belgrade
clim_down;min;2080;8.5,270988,-562,clim_down,min,2080,8.5,dobrava belgrade
clim_up;max;2030;2.6,34870,-6894,clim_up,max,2030,2.6,dobrava belgrade
clim_up;max;2030;4.5,30814,-13824,clim_up,max,2030,4.5,dobrava belgrade
clim_up;max;2030;6,40312,-11240,clim_up,max,2030,6,dobrava belgrade
clim_up;max;2030;8.5,33549,-10335,clim_up,max,2030,8.5,dobrava belgrade
clim_up;max;2050;2.6,28015,-13330,clim_up,max,2050,2.6,dobrava belgrade
clim_up;max;2050;4.5,23104,-21042,clim_up,max,2050,4.5,dobrava belgrade
clim_up;max;2050;6,32102,-13392,clim_up,max,2050,6,dobrava belgrade
