year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,7746,-16365,clim_down,max,2030,2.6,ebola
clim_down;max;2030;4.5,6180,-18702,clim_down,max,2030,4.5,ebola
clim_down;max;2030;6,7507,-12474,clim_down,max,2030,6,ebola
clim_down;max;2030;8.5,9551,-17801,clim_down,max,2030,8.5,ebola
clim_down;max;2050;2.6,4989,-15698,clim_down,max,2050,2.6,ebola
clim_down;max;2050;4.5,7429,-16579,clim_down,max,2050,4.5,ebola
clim_down;max;2050;6,9415,-26825,clim_down,max,2050,6,ebola
clim_down;max;2050;8.5,7763,-30217,clim_down,max,2050,8.5,ebola
clim_down;max;2070;2.6,3856,-17774,clim_down,max,2070,2.6,ebola
clim_down;max;2070;4.5,7524,-30089,clim_down,max,2070,4.5,ebola
clim_down;max;2070;6,6750,-32249,clim_down,max,2070,6,ebola
clim_down;max;2070;8.5,3262,-52192,clim_down,max,2070,8.5,ebola
clim_down;max;2080;2.6,3305,-17381,clim_down,max,2080,2.6,ebola
clim_down;max;2080;4.5,5269,-25725,clim_down,max,2080,4.5,ebola
clim_down;max;2080;6,5931,-29147,clim_down,max,2080,6,ebola
clim_down;max;2080;8.5,5107,-43434,clim_down,max,2080,8.5,ebola
clim_down;mean;2030;2.6,49988,-15645,clim_down,mean,2030,2.6,ebola
clim_down;mean;2030;4.5,56591,-90544,clim_down,mean,2030,4.5,ebola
clim_down;mean;2030;6,39092,-16827,clim_down,mean,2030,6,ebola
clim_down;mean;2030;8.5,56381,-17983,clim_down,mean,2030,8.5,ebola
clim_down;mean;2050;2.6,41288,-10327,clim_down,mean,2050,2.6,ebola
clim_down;mean;2050;4.5,45232,-12799,clim_down,mean,2050,4.5,ebola
clim_down;mean;2050;6,62194,-39682,clim_down,mean,2050,6,ebola
clim_down;mean;2050;8.5,56343,-40486,clim_down,mean,2050,8.5,ebola
clim_down;mean;2070;2.6,47123,-91949,clim_down,mean,2070,2.6,ebola
clim_down;mean;2070;4.5,64564,-43629,clim_down,mean,2070,4.5,ebola
clim_down;mean;2070;6,45127,-139952,clim_down,mean,2070,6,ebola
clim_down;mean;2070;8.5,84427,-60327,clim_down,mean,2070,8.5,ebola
clim_down;mean;2080;2.6,21815,-121245,clim_down,mean,2080,2.6,ebola
clim_down;mean;2080;4.5,49852,-29053,clim_down,mean,2080,4.5,ebola
clim_down;mean;2080;6,60438,-64354,clim_down,mean,2080,6,ebola
clim_down;mean;2080;8.5,65400,-64197,clim_down,mean,2080,8.5,ebola
clim_down;min;2030;2.6,74676,-4954,clim_down,min,2030,2.6,ebola
clim_down;min;2030;4.5,190365,-72951,clim_down,min,2030,4.5,ebola
clim_down;min;2030;6,67374,-12644,clim_down,min,2030,6,ebola
clim_down;min;2030;8.5,86740,-5479,clim_down,min,2030,8.5,ebola
clim_down;min;2050;2.6,54745,-830,clim_down,min,2050,2.6,ebola
clim_down;min;2050;4.5,67325,-2490,clim_down,min,2050,4.5,ebola
clim_down;min;2050;6,115979,-12642,clim_down,min,2050,6,ebola
clim_down;min;2050;8.5,105794,-12507,clim_down,min,2050,8.5,ebola
clim_down;min;2070;2.6,185229,-68575,clim_down,min,2070,2.6,ebola
clim_down;min;2070;4.5,113914,-13649,clim_down,min,2070,4.5,ebola
clim_down;min;2070;6,99141,-242313,clim_down,min,2070,6,ebola
clim_down;min;2070;8.5,153729,-24370,clim_down,min,2070,8.5,ebola
clim_down;min;2080;2.6,66197,-232670,clim_down,min,2080,2.6,ebola
clim_down;min;2080;4.5,84996,-8753,clim_down,min,2080,4.5,ebola
clim_down;min;2080;6,137895,-27603,clim_down,min,2080,6,ebola
clim_down;min;2080;8.5,134013,-20274,clim_down,min,2080,8.5,ebola
clim_up;max;2030;2.6,9179,111,clim_up,max,2030,2.6,ebola
clim_up;max;2030;4.5,16445,-181,clim_up,max,2030,4.5,ebola
clim_up;max;2030;6,13280,57,clim_up,max,2030,6,ebola
clim_up;max;2030;8.5,8236,130,clim_up,max,2030,8.5,ebola
clim_up;max;2050;2.6,12883,-472,clim_up,max,2050,2.6,ebola
clim_up;max;2050;4.5,12418,-25,clim_up,max,2050,4.5,ebola
clim_up;max;2050;6,7213,130,clim_up,max,2050,6,ebola
clim_up;max;2050;8.5,6656,-46,clim_up,max,2050,8.5,ebola
clim_up;max;2070;2.6,14492,-1745,clim_up,max,2070,2.6,ebola
clim_up;max;2070;4.5,5838,-12,clim_up,max,2070,4.5,ebola
clim_up;max;2070;6,13059,257,clim_up,max,2070,6,ebola
clim_up;max;2070;8.5,3825,-103,clim_up,max,2070,8.5,ebola
clim_up;max;2080;2.6,15751,-3783,clim_up,max,2080,2.6,ebola
clim_up;max;2080;4.5,11623,-237,clim_up,max,2080,4.5,ebola
clim_up;max;2080;6,9094,-214,clim_up,max,2080,6,ebola
clim_up;max;2080;8.5,4731,-211,clim_up,max,2080,8.5,ebola
clim_up;mean;2030;2.6,70833,5043,clim_up,mean,2030,2.6,ebola
clim_up;mean;2030;4.5,58995,2627,clim_up,mean,2030,4.5,ebola
clim_up;mean;2030;6,88733,3999,clim_up,mean,2030,6,ebola
clim_up;mean;2030;8.5,70355,6636,clim_up,mean,2030,8.5,ebola
clim_up;mean;2050;2.6,119043,8509,clim_up,mean,2050,2.6,ebola
clim_up;mean;2050;4.5,103598,10074,clim_up,mean,2050,4.5,ebola
clim_up;mean;2050;6,64935,5262,clim_up,mean,2050,6,ebola
