year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,11,-186,clim_down,max,2030,2.6,ehrlichia chaffeensis
clim_down;max;2030;4.5,352,-734,clim_down,max,2030,4.5,ehrlichia chaffeensis
clim_down;max;2030;8.5,1239,-1258,clim_down,max,2030,8.5,ehrlichia chaffeensis
clim_down;max;2050;2.6,670,-512,clim_down,max,2050,2.6,ehrlichia chaffeensis
clim_down;max;2050;4.5,1294,-2742,clim_down,max,2050,4.5,ehrlichia chaffeensis
clim_down;max;2050;6,2389,-2801,clim_down,max,2050,6,ehrlichia chaffeensis
clim_down;max;2050;8.5,2444,-3239,clim_down,max,2050,8.5,ehrlichia chaffeensis
clim_down;max;2070;4.5,1790,-2245,clim_down,max,2070,4.5,ehrlichia chaffeensis
clim_down;max;2070;6,316,-852,clim_down,max,2070,6,ehrlichia chaffeensis
clim_down;max;2070;8.5,2005,-2375,clim_down,max,2070,8.5,ehrlichia chaffeensis
clim_down;max;2080;2.6,2645,-1636,clim_down,max,2080,2.6,ehrlichia chaffeensis
clim_down;max;2080;4.5,1110,-1342,clim_down,max,2080,4.5,ehrlichia chaffeensis
clim_down;max;2080;6,769,-1013,clim_down,max,2080,6,ehrlichia chaffeensis
clim_down;max;2080;8.5,4696,-7351,clim_down,max,2080,8.5,ehrlichia chaffeensis
clim_down;mean;2030;2.6,664,-470,clim_down,mean,2030,2.6,ehrlichia chaffeensis
clim_down;mean;2030;4.5,3089,-1063,clim_down,mean,2030,4.5,ehrlichia chaffeensis
clim_down;mean;2030;8.5,4035,-1092,clim_down,mean,2030,8.5,ehrlichia chaffeensis
clim_down;mean;2050;2.6,2199,-353,clim_down,mean,2050,2.6,ehrlichia chaffeensis
clim_down;mean;2050;4.5,5486,-2415,clim_down,mean,2050,4.5,ehrlichia chaffeensis
clim_down;mean;2050;6,6516,-602,clim_down,mean,2050,6,ehrlichia chaffeensis
clim_down;mean;2050;8.5,9974,-3175,clim_down,mean,2050,8.5,ehrlichia chaffeensis
clim_down;mean;2070;4.5,5281,-4518,clim_down,mean,2070,4.5,ehrlichia chaffeensis
clim_down;mean;2070;6,2637,-1546,clim_down,mean,2070,6,ehrlichia chaffeensis
clim_down;mean;2070;8.5,5879,-3163,clim_down,mean,2070,8.5,ehrlichia chaffeensis
clim_down;mean;2080;2.6,5347,-494,clim_down,mean,2080,2.6,ehrlichia chaffeensis
clim_down;mean;2080;4.5,4498,-1084,clim_down,mean,2080,4.5,ehrlichia chaffeensis
clim_down;mean;2080;6,3578,-2445,clim_down,mean,2080,6,ehrlichia chaffeensis
clim_down;mean;2080;8.5,12336,-8925,clim_down,mean,2080,8.5,ehrlichia chaffeensis
clim_down;min;2030;2.6,2455,-3366,clim_down,min,2030,2.6,ehrlichia chaffeensis
clim_down;min;2030;4.5,10223,-6400,clim_down,min,2030,4.5,ehrlichia chaffeensis
clim_down;min;2030;8.5,8808,-3196,clim_down,min,2030,8.5,ehrlichia chaffeensis
clim_down;min;2050;2.6,5348,-402,clim_down,min,2050,2.6,ehrlichia chaffeensis
clim_down;min;2050;4.5,9866,-8239,clim_down,min,2050,4.5,ehrlichia chaffeensis
clim_down;min;2050;6,10751,-2467,clim_down,min,2050,6,ehrlichia chaffeensis
clim_down;min;2050;8.5,16756,-4841,clim_down,min,2050,8.5,ehrlichia chaffeensis
clim_down;min;2070;4.5,16431,-13559,clim_down,min,2070,4.5,ehrlichia chaffeensis
clim_down;min;2070;6,5569,-2592,clim_down,min,2070,6,ehrlichia chaffeensis
clim_down;min;2070;8.5,12476,-8217,clim_down,min,2070,8.5,ehrlichia chaffeensis
clim_down;min;2080;2.6,8365,-1249,clim_down,min,2080,2.6,ehrlichia chaffeensis
clim_down;min;2080;4.5,8481,-2672,clim_down,min,2080,4.5,ehrlichia chaffeensis
