year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,6887,-7370,clim_down,max,2030,2.6,ehrlichia ewingii
clim_down;max;2030;4.5,4354,-6353,clim_down,max,2030,4.5,ehrlichia ewingii
clim_down;max;2030;6,3936,-3031,clim_down,max,2030,6,ehrlichia ewingii
clim_down;max;2030;8.5,6267,-8412,clim_down,max,2030,8.5,ehrlichia ewingii
clim_down;max;2050;2.6,6933,-10337,clim_down,max,2050,2.6,ehrlichia ewingii
clim_down;max;2050;4.5,7575,-14688,clim_down,max,2050,4.5,ehrlichia ewingii
clim_down;max;2050;6,3329,-6440,clim_down,max,2050,6,ehrlichia ewingii
clim_down;max;2050;8.5,8768,-19219,clim_down,max,2050,8.5,ehrlichia ewingii
clim_down;max;2070;2.6,5177,-6113,clim_down,max,2070,2.6,ehrlichia ewingii
clim_down;max;2070;4.5,7459,-13735,clim_down,max,2070,4.5,ehrlichia ewingii
clim_down;max;2070;6,7569,-11057,clim_down,max,2070,6,ehrlichia ewingii
clim_down;max;2070;8.5,8127,-24895,clim_down,max,2070,8.5,ehrlichia ewingii
clim_down;max;2080;2.6,3490,-7594,clim_down,max,2080,2.6,ehrlichia ewingii
clim_down;max;2080;4.5,5454,-9310,clim_down,max,2080,4.5,ehrlichia ewingii
clim_down;max;2080;6,8778,-13435,clim_down,max,2080,6,ehrlichia ewingii
clim_down;max;2080;8.5,7427,-23930,clim_down,max,2080,8.5,ehrlichia ewingii
clim_down;mean;2030;2.6,32712,-34067,clim_down,mean,2030,2.6,ehrlichia ewingii
clim_down;mean;2030;4.5,37838,-43696,clim_down,mean,2030,4.5,ehrlichia ewingii
clim_down;mean;2030;6,21899,-38367,clim_down,mean,2030,6,ehrlichia ewingii
clim_down;mean;2030;8.5,38711,-61361,clim_down,mean,2030,8.5,ehrlichia ewingii
clim_down;mean;2050;2.6,51083,-35205,clim_down,mean,2050,2.6,ehrlichia ewingii
clim_down;mean;2050;4.5,65443,-59324,clim_down,mean,2050,4.5,ehrlichia ewingii
clim_down;mean;2050;6,32134,-54264,clim_down,mean,2050,6,ehrlichia ewingii
clim_down;mean;2050;8.5,74909,-88846,clim_down,mean,2050,8.5,ehrlichia ewingii
clim_down;mean;2070;2.6,30533,-43546,clim_down,mean,2070,2.6,ehrlichia ewingii
clim_down;mean;2070;4.5,63219,-53463,clim_down,mean,2070,4.5,ehrlichia ewingii
clim_down;mean;2070;6,47040,-66616,clim_down,mean,2070,6,ehrlichia ewingii
clim_down;mean;2070;8.5,78382,-105362,clim_down,mean,2070,8.5,ehrlichia ewingii
clim_down;mean;2080;2.6,33903,-31996,clim_down,mean,2080,2.6,ehrlichia ewingii
clim_down;mean;2080;4.5,36926,-55438,clim_down,mean,2080,4.5,ehrlichia ewingii
clim_down;mean;2080;6,68576,-49318,clim_down,mean,2080,6,ehrlichia ewingii
clim_down;mean;2080;8.5,76642,-115645,clim_down,mean,2080,8.5,ehrlichia ewingii
clim_down;min;2030;2.6,131341,-23398,clim_down,min,2030,2.6,ehrlichia ewingii
clim_down;min;2030;4.5,153446,-26922,clim_down,min,2030,4.5,ehrlichia ewingii
clim_down;min;2030;6,117799,-39521,clim_down,min,2030,6,ehrlichia ewingii
clim_down;min;2030;8.5,163139,-119342,clim_down,min,2030,8.5,ehrlichia ewingii
clim_down;min;2050;2.6,140666,-26469,clim_down,min,2050,2.6,ehrlichia ewingii
clim_down;min;2050;4.5,208912,-46303,clim_down,min,2050,4.5,ehrlichia ewingii
clim_down;min;2050;6,152994,-49122,clim_down,min,2050,6,ehrlichia ewingii
clim_down;min;2050;8.5,250664,-69158,clim_down,min,2050,8.5,ehrlichia ewingii
clim_down;min;2070;2.6,144795,-72777,clim_down,min,2070,2.6,ehrlichia ewingii
clim_down;min;2070;4.5,200776,-36693,clim_down,min,2070,4.5,ehrlichia ewingii
clim_down;min;2070;6,190833,-73058,clim_down,min,2070,6,ehrlichia ewingii
clim_down;min;2070;8.5,247407,-167239,clim_down,min,2070,8.5,ehrlichia ewingii
clim_down;min;2080;2.6,119479,-25286,clim_down,min,2080,2.6,ehrlichia ewingii
clim_down;min;2080;4.5,152124,-60941,clim_down,min,2080,4.5,ehrlichia ewingii
clim_down;min;2080;6,195700,-51466,clim_down,min,2080,6,ehrlichia ewingii
clim_down;min;2080;8.5,239650,-151630,clim_down,min,2080,8.5,ehrlichia ewingii
clim_up;max;2030;2.6,9359,649,clim_up,max,2030,2.6,ehrlichia ewingii
clim_up;max;2030;4.5,10125,821,clim_up,max,2030,4.5,ehrlichia ewingii
clim_up;max;2030;6,18269,1165,clim_up,max,2030,6,ehrlichia ewingii
clim_up;max;2030;8.5,7261,434,clim_up,max,2030,8.5,ehrlichia ewingii
clim_up;max;2050;2.6,6102,354,clim_up,max,2050,2.6,ehrlichia ewingii
clim_up;max;2050;4.5,2224,236,clim_up,max,2050,4.5,ehrlichia ewingii
clim_up;max;2050;6,21942,971,clim_up,max,2050,6,ehrlichia ewingii
