year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,9736,-16161,clim_down,max,2030,2.6,el moro canyon
clim_down;max;2030;4.5,17098,-25356,clim_down,max,2030,4.5,el moro canyon
clim_down;max;2030;8.5,13650,-25048,clim_down,max,2030,8.5,el moro canyon
clim_down;max;2050;4.5,16654,-49340,clim_down,max,2050,4.5,el moro canyon
clim_down;max;2050;6,15497,-27795,clim_down,max,2050,6,el moro canyon
clim_down;max;2070;2.6,14603,-19113,clim_down,max,2070,2.6,el moro canyon
clim_down;max;2070;4.5,18843,-46649,clim_down,max,2070,4.5,el moro canyon
clim_down;max;2070;6,12233,-18390,clim_down,max,2070,6,el moro canyon
clim_down;max;2070;8.5,9765,-31233,clim_down,max,2070,8.5,el moro canyon
clim_down;max;2080;2.6,8935,-28054,clim_down,max,2080,2.6,el moro canyon
clim_down;max;2080;8.5,10922,-88427,clim_down,max,2080,8.5,el moro canyon
clim_down;mean;2030;2.6,55745,-18484,clim_down,mean,2030,2.6,el moro canyon
clim_down;mean;2030;4.5,89764,-24283,clim_down,mean,2030,4.5,el moro canyon
clim_down;mean;2030;8.5,89107,-6996,clim_down,mean,2030,8.5,el moro canyon
clim_down;mean;2050;4.5,139014,-10156,clim_down,mean,2050,4.5,el moro canyon
clim_down;mean;2050;6,91265,-27405,clim_down,mean,2050,6,el moro canyon
clim_down;mean;2070;2.6,78627,-14157,clim_down,mean,2070,2.6,el moro canyon
clim_down;mean;2070;4.5,130813,-16099,clim_down,mean,2070,4.5,el moro canyon
clim_down;mean;2070;6,64109,-8648,clim_down,mean,2070,6,el moro canyon
clim_down;mean;2070;8.5,77437,-24716,clim_down,mean,2070,8.5,el moro canyon
clim_down;mean;2080;2.6,83919,-6160,clim_down,mean,2080,2.6,el moro canyon
clim_down;mean;2080;8.5,175863,-28458,clim_down,mean,2080,8.5,el moro canyon
clim_down;min;2030;2.6,67042,-12489,clim_down,min,2030,2.6,el moro canyon
clim_down;min;2030;4.5,102322,-18555,clim_down,min,2030,4.5,el moro canyon
clim_down;min;2030;8.5,95058,-5144,clim_down,min,2030,8.5,el moro canyon
