year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,7860,-2281,clim_down,max,2030,2.6,everglades
clim_down;max;2030;4.5,6088,-1814,clim_down,max,2030,4.5,everglades
clim_down;max;2030;6,15866,-7728,clim_down,max,2030,6,everglades
clim_down;max;2030;8.5,215,-427,clim_down,max,2030,8.5,everglades
clim_down;max;2050;2.6,5442,-1047,clim_down,max,2050,2.6,everglades
clim_down;max;2050;4.5,5236,-734,clim_down,max,2050,4.5,everglades
clim_down;max;2050;6,4050,-1784,clim_down,max,2050,6,everglades
clim_down;max;2050;8.5,11129,-5042,clim_down,max,2050,8.5,everglades
clim_down;max;2070;2.6,5171,-122,clim_down,max,2070,2.6,everglades
clim_down;max;2070;4.5,3994,-615,clim_down,max,2070,4.5,everglades
clim_down;max;2070;6,4666,-2741,clim_down,max,2070,6,everglades
clim_down;max;2070;8.5,3314,-2652,clim_down,max,2070,8.5,everglades
clim_down;max;2080;2.6,10650,-1831,clim_down,max,2080,2.6,everglades
clim_down;max;2080;4.5,2749,-661,clim_down,max,2080,4.5,everglades
clim_down;max;2080;6,687,-810,clim_down,max,2080,6,everglades
clim_down;max;2080;8.5,4475,-3389,clim_down,max,2080,8.5,everglades
clim_down;mean;2030;2.6,10698,-2706,clim_down,mean,2030,2.6,everglades
clim_down;mean;2030;4.5,8294,-2417,clim_down,mean,2030,4.5,everglades
clim_down;mean;2030;6,24970,-9429,clim_down,mean,2030,6,everglades
clim_down;mean;2030;8.5,517,-1018,clim_down,mean,2030,8.5,everglades
clim_down;mean;2050;2.6,6982,-1336,clim_down,mean,2050,2.6,everglades
clim_down;mean;2050;4.5,6268,-1105,clim_down,mean,2050,4.5,everglades
clim_down;mean;2050;6,6112,-1626,clim_down,mean,2050,6,everglades
clim_down;mean;2050;8.5,15090,-5019,clim_down,mean,2050,8.5,everglades
clim_down;mean;2070;2.6,5456,-170,clim_down,mean,2070,2.6,everglades
clim_down;mean;2070;4.5,4936,-1167,clim_down,mean,2070,4.5,everglades
clim_down;mean;2070;6,7257,-3379,clim_down,mean,2070,6,everglades
clim_down;mean;2070;8.5,5817,-3150,clim_down,mean,2070,8.5,everglades
clim_down;mean;2080;2.6,13440,-2357,clim_down,mean,2080,2.6,everglades
clim_down;mean;2080;4.5,3650,-913,clim_down,mean,2080,4.5,everglades
clim_down;mean;2080;6,1338,-1573,clim_down,mean,2080,6,everglades
clim_down;mean;2080;8.5,7299,-3288,clim_down,mean,2080,8.5,everglades
clim_down;min;2030;2.6,12758,-1891,clim_down,min,2030,2.6,everglades
clim_down;min;2030;4.5,9658,-2476,clim_down,min,2030,4.5,everglades
clim_down;min;2030;6,32028,-11545,clim_down,min,2030,6,everglades
clim_down;min;2030;8.5,1025,-872,clim_down,min,2030,8.5,everglades
clim_down;min;2050;2.6,7729,-1645,clim_down,min,2050,2.6,everglades
clim_down;min;2050;4.5,6939,-1149,clim_down,min,2050,4.5,everglades
clim_down;min;2050;6,7232,-1537,clim_down,min,2050,6,everglades
clim_down;min;2050;8.5,17608,-3999,clim_down,min,2050,8.5,everglades
clim_down;min;2070;2.6,5624,-170,clim_down,min,2070,2.6,everglades
clim_down;min;2070;4.5,5481,-1607,clim_down,min,2070,4.5,everglades
clim_down;min;2070;6,8863,-2883,clim_down,min,2070,6,everglades
clim_down;min;2070;8.5,7480,-2799,clim_down,min,2070,8.5,everglades
clim_down;min;2080;2.6,15064,-3013,clim_down,min,2080,2.6,everglades
clim_down;min;2080;4.5,4150,-1285,clim_down,min,2080,4.5,everglades
clim_down;min;2080;6,1969,-1691,clim_down,min,2080,6,everglades
clim_down;min;2080;8.5,9100,-2687,clim_down,min,2080,8.5,everglades
clim_up;max;2030;2.6,116760,1407,clim_up,max,2030,2.6,everglades
clim_up;max;2030;4.5,96102,1496,clim_up,max,2030,4.5,everglades
clim_up;max;2030;6,87441,982,clim_up,max,2030,6,everglades
clim_up;max;2030;8.5,194218,2162,clim_up,max,2030,8.5,everglades
clim_up;max;2050;2.6,140301,1717,clim_up,max,2050,2.6,everglades
clim_up;max;2050;4.5,147565,1910,clim_up,max,2050,4.5,everglades
clim_up;max;2050;6,150399,1886,clim_up,max,2050,6,everglades
clim_up;max;2050;8.5,128827,1907,clim_up,max,2050,8.5,everglades
clim_up;max;2070;2.6,165557,2178,clim_up,max,2070,2.6,everglades
clim_up;max;2070;4.5,167779,2083,clim_up,max,2070,4.5,everglades
clim_up;max;2070;6,183676,1941,clim_up,max,2070,6,everglades
clim_up;max;2070;8.5,172447,1955,clim_up,max,2070,8.5,everglades
