year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,10485,-16353,clim_down,max,2030,2.6,eyach
clim_down;max;2030;4.5,9668,-8670,clim_down,max,2030,4.5,eyach
clim_down;max;2030;6,9871,-5468,clim_down,max,2030,6,eyach
clim_down;max;2050;2.6,12326,-16108,clim_down,max,2050,2.6,eyach
clim_down;max;2050;4.5,9412,-8550,clim_down,max,2050,4.5,eyach
clim_down;max;2050;6,11574,-10486,clim_down,max,2050,6,eyach
clim_down;max;2050;8.5,9214,-21687,clim_down,max,2050,8.5,eyach
clim_down;max;2070;2.6,9434,-8951,clim_down,max,2070,2.6,eyach
clim_down;max;2070;4.5,9074,-14318,clim_down,max,2070,4.5,eyach
clim_down;max;2070;6,6833,-28925,clim_down,max,2070,6,eyach
clim_down;max;2070;8.5,3468,-32330,clim_down,max,2070,8.5,eyach
clim_down;max;2080;2.6,11963,-9197,clim_down,max,2080,2.6,eyach
clim_down;max;2080;4.5,9544,-7668,clim_down,max,2080,4.5,eyach
clim_down;max;2080;8.5,186,-37102,clim_down,max,2080,8.5,eyach
clim_down;mean;2030;2.6,34137,-10698,clim_down,mean,2030,2.6,eyach
clim_down;mean;2030;4.5,26733,-7030,clim_down,mean,2030,4.5,eyach
clim_down;mean;2030;6,21822,-3652,clim_down,mean,2030,6,eyach
clim_down;mean;2050;2.6,40913,-12204,clim_down,mean,2050,2.6,eyach
clim_down;mean;2050;4.5,25266,-6662,clim_down,mean,2050,4.5,eyach
clim_down;mean;2050;6,28916,-8457,clim_down,mean,2050,6,eyach
clim_down;mean;2050;8.5,32764,-20830,clim_down,mean,2050,8.5,eyach
clim_down;mean;2070;2.6,27606,-7343,clim_down,mean,2070,2.6,eyach
clim_down;mean;2070;4.5,27626,-15893,clim_down,mean,2070,4.5,eyach
clim_down;mean;2070;6,38792,-29249,clim_down,mean,2070,6,eyach
clim_down;mean;2070;8.5,31734,-35082,clim_down,mean,2070,8.5,eyach
clim_down;mean;2080;2.6,31173,-7068,clim_down,mean,2080,2.6,eyach
clim_down;mean;2080;4.5,21995,-9037,clim_down,mean,2080,4.5,eyach
clim_down;mean;2080;8.5,11357,-61903,clim_down,mean,2080,8.5,eyach
clim_down;min;2030;2.6,47366,-6171,clim_down,min,2030,2.6,eyach
clim_down;min;2030;4.5,37389,-6937,clim_down,min,2030,4.5,eyach
clim_down;min;2030;6,27375,-4591,clim_down,min,2030,6,eyach
clim_down;min;2050;2.6,56948,-10133,clim_down,min,2050,2.6,eyach
clim_down;min;2050;4.5,33801,-7634,clim_down,min,2050,4.5,eyach
clim_down;min;2050;6,40047,-5385,clim_down,min,2050,6,eyach
clim_down;min;2050;8.5,50668,-14127,clim_down,min,2050,8.5,eyach
clim_down;min;2070;2.6,38392,-6483,clim_down,min,2070,2.6,eyach
clim_down;min;2070;4.5,40671,-12656,clim_down,min,2070,4.5,eyach
clim_down;min;2070;6,66531,-17558,clim_down,min,2070,6,eyach
clim_down;min;2070;8.5,58410,-20413,clim_down,min,2070,8.5,eyach
clim_down;min;2080;2.6,42163,-5745,clim_down,min,2080,2.6,eyach
clim_down;min;2080;4.5,32049,-6766,clim_down,min,2080,4.5,eyach
clim_down;min;2080;8.5,43551,-48288,clim_down,min,2080,8.5,eyach
clim_up;max;2030;2.6,983,29,clim_up,max,2030,2.6,eyach
clim_up;max;2030;4.5,2084,239,clim_up,max,2030,4.5,eyach
