year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,59570,1563,clim_down,max,2030,2.6,francisella tularensis holarctica
clim_down;max;2030;4.5,15528,-37345,clim_down,max,2030,4.5,francisella tularensis holarctica
clim_down;max;2030;6,20534,-15477,clim_down,max,2030,6,francisella tularensis holarctica
clim_down;max;2030;8.5,29792,-12892,clim_down,max,2030,8.5,francisella tularensis holarctica
clim_down;max;2050;2.6,21619,-4832,clim_down,max,2050,2.6,francisella tularensis holarctica
clim_down;max;2050;4.5,117121,-18917,clim_down,max,2050,4.5,francisella tularensis holarctica
clim_down;max;2050;6,18020,-22173,clim_down,max,2050,6,francisella tularensis holarctica
clim_down;max;2050;8.5,54470,-9956,clim_down,max,2050,8.5,francisella tularensis holarctica
clim_down;max;2070;2.6,29907,-10792,clim_down,max,2070,2.6,francisella tularensis holarctica
clim_down;max;2070;4.5,8814,-54967,clim_down,max,2070,4.5,francisella tularensis holarctica
clim_down;max;2070;6,17005,-27551,clim_down,max,2070,6,francisella tularensis holarctica
clim_down;max;2070;8.5,12003,-33900,clim_down,max,2070,8.5,francisella tularensis holarctica
clim_down;max;2080;2.6,21223,-14907,clim_down,max,2080,2.6,francisella tularensis holarctica
clim_down;max;2080;4.5,5794,-25737,clim_down,max,2080,4.5,francisella tularensis holarctica
clim_down;max;2080;6,2830,-31381,clim_down,max,2080,6,francisella tularensis holarctica
clim_down;max;2080;8.5,41868,-55589,clim_down,max,2080,8.5,francisella tularensis holarctica
clim_down;mean;2030;2.6,72260,1756,clim_down,mean,2030,2.6,francisella tularensis holarctica
clim_down;mean;2030;4.5,22988,-38784,clim_down,mean,2030,4.5,francisella tularensis holarctica
clim_down;mean;2030;6,29325,-12972,clim_down,mean,2030,6,francisella tularensis holarctica
clim_down;mean;2030;8.5,38481,-12795,clim_down,mean,2030,8.5,francisella tularensis holarctica
clim_down;mean;2050;2.6,30794,-1345,clim_down,mean,2050,2.6,francisella tularensis holarctica
clim_down;mean;2050;4.5,137617,-13746,clim_down,mean,2050,4.5,francisella tularensis holarctica
clim_down;mean;2050;6,26238,-21980,clim_down,mean,2050,6,francisella tularensis holarctica
clim_down;mean;2050;8.5,69521,-8860,clim_down,mean,2050,8.5,francisella tularensis holarctica
clim_down;mean;2070;2.6,40424,-8146,clim_down,mean,2070,2.6,francisella tularensis holarctica
clim_down;mean;2070;4.5,19427,-55112,clim_down,mean,2070,4.5,francisella tularensis holarctica
clim_down;mean;2070;6,25872,-27593,clim_down,mean,2070,6,francisella tularensis holarctica
clim_down;mean;2070;8.5,19826,-36920,clim_down,mean,2070,8.5,francisella tularensis holarctica
clim_down;mean;2080;2.6,30066,-12035,clim_down,mean,2080,2.6,francisella tularensis holarctica
clim_down;mean;2080;4.5,14729,-23925,clim_down,mean,2080,4.5,francisella tularensis holarctica
clim_down;mean;2080;6,8509,-33453,clim_down,mean,2080,6,francisella tularensis holarctica
clim_down;mean;2080;8.5,68709,-45926,clim_down,mean,2080,8.5,francisella tularensis holarctica
clim_down;min;2030;2.6,109817,828,clim_down,min,2030,2.6,francisella tularensis holarctica
clim_down;min;2030;4.5,66858,-20122,clim_down,min,2030,4.5,francisella tularensis holarctica
clim_down;min;2030;6,50658,-13698,clim_down,min,2030,6,francisella tularensis holarctica
clim_down;min;2030;8.5,60617,-19883,clim_down,min,2030,8.5,francisella tularensis holarctica
clim_down;min;2050;2.6,49503,-922,clim_down,min,2050,2.6,francisella tularensis holarctica
clim_down;min;2050;4.5,178398,-10538,clim_down,min,2050,4.5,francisella tularensis holarctica
clim_down;min;2050;6,49523,-24183,clim_down,min,2050,6,francisella tularensis holarctica
clim_down;min;2050;8.5,107855,-11171,clim_down,min,2050,8.5,francisella tularensis holarctica
clim_down;min;2070;2.6,68058,-4615,clim_down,min,2070,2.6,francisella tularensis holarctica
clim_down;min;2070;4.5,54681,-54055,clim_down,min,2070,4.5,francisella tularensis holarctica
clim_down;min;2070;6,47736,-32222,clim_down,min,2070,6,francisella tularensis holarctica
clim_down;min;2070;8.5,50666,-37168,clim_down,min,2070,8.5,francisella tularensis holarctica
clim_down;min;2080;2.6,54530,-1076,clim_down,min,2080,2.6,francisella tularensis holarctica
clim_down;min;2080;4.5,38907,-24069,clim_down,min,2080,4.5,francisella tularensis holarctica
clim_down;min;2080;6,26950,-39590,clim_down,min,2080,6,francisella tularensis holarctica
clim_down;min;2080;8.5,128628,-31477,clim_down,min,2080,8.5,francisella tularensis holarctica
clim_up;max;2030;2.6,96984,1740,clim_up,max,2030,2.6,francisella tularensis holarctica
clim_up;max;2030;4.5,84920,-53526,clim_up,max,2030,4.5,francisella tularensis holarctica
clim_up;max;2030;6,67498,-13356,clim_up,max,2030,6,francisella tularensis holarctica
