year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,3424,-6628,clim_down,max,2030,2.6,germiston
clim_down;max;2030;4.5,3878,-7228,clim_down,max,2030,4.5,germiston
clim_down;max;2030;6,642,-11979,clim_down,max,2030,6,germiston
clim_down;max;2030;8.5,2763,-8609,clim_down,max,2030,8.5,germiston
clim_down;max;2050;2.6,2907,-5386,clim_down,max,2050,2.6,germiston
clim_down;max;2050;4.5,4763,-9016,clim_down,max,2050,4.5,germiston
clim_down;max;2050;6,370,-8715,clim_down,max,2050,6,germiston
clim_down;max;2050;8.5,3638,-8328,clim_down,max,2050,8.5,germiston
clim_down;max;2070;2.6,1212,-7952,clim_down,max,2070,2.6,germiston
clim_down;max;2070;4.5,3998,-9175,clim_down,max,2070,4.5,germiston
clim_down;max;2070;6,103,-13912,clim_down,max,2070,6,germiston
clim_down;max;2070;8.5,2624,-13880,clim_down,max,2070,8.5,germiston
clim_down;max;2080;2.6,657,-4237,clim_down,max,2080,2.6,germiston
clim_down;max;2080;4.5,3770,-7378,clim_down,max,2080,4.5,germiston
clim_down;max;2080;6,14,-15448,clim_down,max,2080,6,germiston
clim_down;max;2080;8.5,1880,-13425,clim_down,max,2080,8.5,germiston
clim_down;mean;2030;2.6,145833,-24676,clim_down,mean,2030,2.6,germiston
clim_down;mean;2030;4.5,152905,-48423,clim_down,mean,2030,4.5,germiston
clim_down;mean;2030;6,85577,-145030,clim_down,mean,2030,6,germiston
clim_down;mean;2030;8.5,160895,-37783,clim_down,mean,2030,8.5,germiston
clim_down;mean;2050;2.6,165007,-20266,clim_down,mean,2050,2.6,germiston
clim_down;mean;2050;4.5,132430,-75446,clim_down,mean,2050,4.5,germiston
clim_down;mean;2050;6,57951,-97841,clim_down,mean,2050,6,germiston
clim_down;mean;2050;8.5,147003,-25674,clim_down,mean,2050,8.5,germiston
clim_down;mean;2070;2.6,116141,-60072,clim_down,mean,2070,2.6,germiston
clim_down;mean;2070;4.5,123254,-85679,clim_down,mean,2070,4.5,germiston
clim_down;mean;2070;6,54873,-168223,clim_down,mean,2070,6,germiston
clim_down;mean;2070;8.5,173100,-96241,clim_down,mean,2070,8.5,germiston
clim_down;mean;2080;2.6,96941,-19119,clim_down,mean,2080,2.6,germiston
clim_down;mean;2080;4.5,133234,-68413,clim_down,mean,2080,4.5,germiston
clim_down;mean;2080;6,45948,-218696,clim_down,mean,2080,6,germiston
clim_down;mean;2080;8.5,130640,-109077,clim_down,mean,2080,8.5,germiston
clim_down;min;2030;2.6,375765,-1505,clim_down,min,2030,2.6,germiston
