year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,42398,-6845,clim_down,max,2030,2.6,guaroa
clim_down;max;2030;4.5,46362,-2861,clim_down,max,2030,4.5,guaroa
clim_down;max;2030;6,79882,-16281,clim_down,max,2030,6,guaroa
clim_down;max;2030;8.5,42148,-15328,clim_down,max,2030,8.5,guaroa
clim_down;max;2050;2.6,11270,-4900,clim_down,max,2050,2.6,guaroa
clim_down;max;2050;4.5,31197,-4932,clim_down,max,2050,4.5,guaroa
clim_down;max;2050;6,33128,-14625,clim_down,max,2050,6,guaroa
clim_down;max;2050;8.5,9396,-11815,clim_down,max,2050,8.5,guaroa
clim_down;max;2070;2.6,30961,-19454,clim_down,max,2070,2.6,guaroa
clim_down;max;2070;4.5,15480,-3594,clim_down,max,2070,4.5,guaroa
clim_down;max;2070;6,20046,-13575,clim_down,max,2070,6,guaroa
clim_down;max;2070;8.5,9746,-12161,clim_down,max,2070,8.5,guaroa
clim_down;max;2080;2.6,33483,-24058,clim_down,max,2080,2.6,guaroa
clim_down;max;2080;4.5,27708,-9576,clim_down,max,2080,4.5,guaroa
clim_down;max;2080;6,48870,-24491,clim_down,max,2080,6,guaroa
clim_down;max;2080;8.5,3956,-11848,clim_down,max,2080,8.5,guaroa
clim_down;mean;2030;2.6,77243,-15566,clim_down,mean,2030,2.6,guaroa
clim_down;mean;2030;4.5,96580,-1100,clim_down,mean,2030,4.5,guaroa
clim_down;mean;2030;6,146202,-14784,clim_down,mean,2030,6,guaroa
clim_down;mean;2030;8.5,91697,-22827,clim_down,mean,2030,8.5,guaroa
clim_down;mean;2050;2.6,31979,-18217,clim_down,mean,2050,2.6,guaroa
clim_down;mean;2050;4.5,79108,-2772,clim_down,mean,2050,4.5,guaroa
clim_down;mean;2050;6,79211,-19613,clim_down,mean,2050,6,guaroa
clim_down;mean;2050;8.5,33810,-28761,clim_down,mean,2050,8.5,guaroa
clim_down;mean;2070;2.6,67133,-30289,clim_down,mean,2070,2.6,guaroa
clim_down;mean;2070;4.5,54233,-2019,clim_down,mean,2070,4.5,guaroa
clim_down;mean;2070;6,55438,-23467,clim_down,mean,2070,6,guaroa
clim_down;mean;2070;8.5,28400,-26562,clim_down,mean,2070,8.5,guaroa
clim_down;mean;2080;2.6,72194,-34364,clim_down,mean,2080,2.6,guaroa
clim_down;mean;2080;4.5,79598,-4646,clim_down,mean,2080,4.5,guaroa
clim_down;mean;2080;6,94707,-29811,clim_down,mean,2080,6,guaroa
clim_down;mean;2080;8.5,19245,-30017,clim_down,mean,2080,8.5,guaroa
clim_down;min;2030;2.6,132330,-22958,clim_down,min,2030,2.6,guaroa
clim_down;min;2030;4.5,186167,7286,clim_down,min,2030,4.5,guaroa
clim_down;min;2030;6,234120,-14629,clim_down,min,2030,6,guaroa
clim_down;min;2030;8.5,170639,-32660,clim_down,min,2030,8.5,guaroa
clim_down;min;2050;2.6,95493,-25337,clim_down,min,2050,2.6,guaroa
clim_down;min;2050;4.5,173015,7524,clim_down,min,2050,4.5,guaroa
clim_down;min;2050;6,158557,-28214,clim_down,min,2050,6,guaroa
clim_down;min;2050;8.5,87963,-58733,clim_down,min,2050,8.5,guaroa
clim_down;min;2070;2.6,134453,-36630,clim_down,min,2070,2.6,guaroa
clim_down;min;2070;4.5,143247,6021,clim_down,min,2070,4.5,guaroa
clim_down;min;2070;6,123820,-38559,clim_down,min,2070,6,guaroa
clim_down;min;2070;8.5,68377,-65156,clim_down,min,2070,8.5,guaroa
clim_down;min;2080;2.6,145427,-37775,clim_down,min,2080,2.6,guaroa
clim_down;min;2080;4.5,176750,6900,clim_down,min,2080,4.5,guaroa
clim_down;min;2080;6,167102,-44578,clim_down,min,2080,6,guaroa
clim_down;min;2080;8.5,56852,-71015,clim_down,min,2080,8.5,guaroa
clim_up;max;2030;2.6,54762,-5743,clim_up,max,2030,2.6,guaroa
clim_up;max;2030;4.5,50753,-2104,clim_up,max,2030,4.5,guaroa
clim_up;max;2030;6,19507,-5375,clim_up,max,2030,6,guaroa
clim_up;max;2030;8.5,75805,-9565,clim_up,max,2030,8.5,guaroa
clim_up;max;2050;2.6,80091,-24933,clim_up,max,2050,2.6,guaroa
clim_up;max;2050;4.5,70062,-8049,clim_up,max,2050,4.5,guaroa
clim_up;max;2050;6,49648,-14369,clim_up,max,2050,6,guaroa
clim_up;max;2050;8.5,80741,-31187,clim_up,max,2050,8.5,guaroa
clim_up;max;2070;2.6,46772,-16066,clim_up,max,2070,2.6,guaroa
clim_up;max;2070;4.5,91265,-20118,clim_up,max,2070,4.5,guaroa
clim_up;max;2070;6,68410,-24974,clim_up,max,2070,6,guaroa
clim_up;max;2070;8.5,46636,-39648,clim_up,max,2070,8.5,guaroa
clim_up;max;2080;2.6,40334,-15577,clim_up,max,2080,2.6,guaroa
clim_up;max;2080;4.5,62679,-14307,clim_up,max,2080,4.5,guaroa
clim_up;max;2080;6,23723,-16432,clim_up,max,2080,6,guaroa
clim_up;max;2080;8.5,59336,-50853,clim_up,max,2080,8.5,guaroa
clim_up;mean;2030;2.6,90925,-8645,clim_up,mean,2030,2.6,guaroa
clim_up;mean;2030;4.5,94993,-1580,clim_up,mean,2030,4.5,guaroa
clim_up;mean;2030;6,53934,-6191,clim_up,mean,2030,6,guaroa
clim_up;mean;2030;8.5,121270,-18263,clim_up,mean,2030,8.5,guaroa
