year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;4.5,41043,-10196,clim_down,max,2030,4.5,hantaan
clim_down;max;2030;8.5,21050,-26399,clim_down,max,2030,8.5,hantaan
clim_down;max;2050;2.6,57623,-11602,clim_down,max,2050,2.6,hantaan
clim_down;max;2050;4.5,53753,-43306,clim_down,max,2050,4.5,hantaan
clim_down;max;2050;8.5,34708,-3666,clim_down,max,2050,8.5,hantaan
clim_down;max;2070;4.5,38359,-21746,clim_down,max,2070,4.5,hantaan
clim_down;max;2070;6,28016,-27991,clim_down,max,2070,6,hantaan
clim_down;max;2070;8.5,29360,-19504,clim_down,max,2070,8.5,hantaan
clim_down;max;2080;2.6,36717,-29782,clim_down,max,2080,2.6,hantaan
clim_down;max;2080;4.5,19862,-53024,clim_down,max,2080,4.5,hantaan
clim_down;mean;2030;4.5,48507,-8973,clim_down,mean,2030,4.5,hantaan
clim_down;mean;2030;8.5,29824,-25813,clim_down,mean,2030,8.5,hantaan
clim_down;mean;2050;2.6,67191,-9800,clim_down,mean,2050,2.6,hantaan
clim_down;mean;2050;4.5,73268,-38484,clim_down,mean,2050,4.5,hantaan
clim_down;mean;2050;8.5,40183,-2614,clim_down,mean,2050,8.5,hantaan
clim_down;mean;2070;4.5,48346,-18119,clim_down,mean,2070,4.5,hantaan
clim_down;mean;2070;6,39631,-23203,clim_down,mean,2070,6,hantaan
clim_down;mean;2070;8.5,36046,-17169,clim_down,mean,2070,8.5,hantaan
clim_down;mean;2080;2.6,49547,-30226,clim_down,mean,2080,2.6,hantaan
clim_down;mean;2080;4.5,31395,-55877,clim_down,mean,2080,4.5,hantaan
clim_down;min;2030;4.5,54767,-3193,clim_down,min,2030,4.5,hantaan
clim_down;min;2030;8.5,37598,-19296,clim_down,min,2030,8.5,hantaan
clim_down;min;2050;2.6,72564,-5097,clim_down,min,2050,2.6,hantaan
clim_down;min;2050;4.5,89581,-23338,clim_down,min,2050,4.5,hantaan
clim_down;min;2050;8.5,41889,-1410,clim_down,min,2050,8.5,hantaan
clim_down;min;2070;4.5,55087,-11962,clim_down,min,2070,4.5,hantaan
clim_down;min;2070;6,49786,-13355,clim_down,min,2070,6,hantaan
clim_down;min;2070;8.5,40401,-13586,clim_down,min,2070,8.5,hantaan
clim_down;min;2080;2.6,63762,-16792,clim_down,min,2080,2.6,hantaan
clim_down;min;2080;4.5,43841,-46620,clim_down,min,2080,4.5,hantaan
clim_up;max;2030;4.5,169056,12293,clim_up,max,2030,4.5,hantaan
clim_up;max;2030;8.5,185100,14642,clim_up,max,2030,8.5,hantaan
clim_up;max;2050;2.6,115110,14893,clim_up,max,2050,2.6,hantaan
clim_up;max;2050;4.5,152727,15957,clim_up,max,2050,4.5,hantaan
clim_up;max;2050;8.5,201011,18690,clim_up,max,2050,8.5,hantaan
clim_up;max;2070;4.5,174787,17334,clim_up,max,2070,4.5,hantaan
clim_up;max;2070;6,209181,20562,clim_up,max,2070,6,hantaan
clim_up;max;2070;8.5,235138,22321,clim_up,max,2070,8.5,hantaan
clim_up;max;2080;2.6,169109,14133,clim_up,max,2080,2.6,hantaan
clim_up;max;2080;4.5,203776,18858,clim_up,max,2080,4.5,hantaan
clim_up;mean;2030;4.5,198273,9448,clim_up,mean,2030,4.5,hantaan
clim_up;mean;2030;8.5,213673,10108,clim_up,mean,2030,8.5,hantaan
clim_up;mean;2050;2.6,134453,8993,clim_up,mean,2050,2.6,hantaan
clim_up;mean;2050;4.5,173611,9821,clim_up,mean,2050,4.5,hantaan
clim_up;mean;2050;8.5,230445,11951,clim_up,mean,2050,8.5,hantaan
clim_up;mean;2070;4.5,201491,10853,clim_up,mean,2070,4.5,hantaan
clim_up;mean;2070;6,242020,13918,clim_up,mean,2070,6,hantaan
clim_up;mean;2070;8.5,275232,14959,clim_up,mean,2070,8.5,hantaan
clim_up;mean;2080;2.6,195950,9738,clim_up,mean,2080,2.6,hantaan
clim_up;mean;2080;4.5,229659,12199,clim_up,mean,2080,4.5,hantaan
clim_up;min;2030;4.5,217883,4268,clim_up,min,2030,4.5,hantaan
