year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,2,-291,clim_down,max,2030,2.6,hojo
clim_down;max;2030;4.5,67,-94,clim_down,max,2030,4.5,hojo
clim_down;max;2030;6,108,-737,clim_down,max,2030,6,hojo
clim_down;max;2030;8.5,119,-730,clim_down,max,2030,8.5,hojo
clim_down;max;2050;2.6,2,-686,clim_down,max,2050,2.6,hojo
clim_down;max;2050;4.5,166,-369,clim_down,max,2050,4.5,hojo
clim_down;max;2050;6,211,-274,clim_down,max,2050,6,hojo
clim_down;max;2050;8.5,149,-544,clim_down,max,2050,8.5,hojo
clim_down;max;2070;2.6,13,-863,clim_down,max,2070,2.6,hojo
clim_down;max;2070;4.5,54,-642,clim_down,max,2070,4.5,hojo
clim_down;max;2070;6,71,-140,clim_down,max,2070,6,hojo
clim_down;max;2070;8.5,193,-921,clim_down,max,2070,8.5,hojo
clim_down;max;2080;2.6,1,-608,clim_down,max,2080,2.6,hojo
clim_down;max;2080;4.5,24,-609,clim_down,max,2080,4.5,hojo
clim_down;max;2080;6,35,-142,clim_down,max,2080,6,hojo
clim_down;max;2080;8.5,49,-713,clim_down,max,2080,8.5,hojo
clim_down;mean;2030;2.6,64,-315,clim_down,mean,2030,2.6,hojo
clim_down;mean;2030;4.5,135,-83,clim_down,mean,2030,4.5,hojo
clim_down;mean;2030;6,259,-1006,clim_down,mean,2030,6,hojo
clim_down;mean;2030;8.5,305,-851,clim_down,mean,2030,8.5,hojo
clim_down;mean;2050;2.6,8,-907,clim_down,mean,2050,2.6,hojo
clim_down;mean;2050;4.5,351,-374,clim_down,mean,2050,4.5,hojo
clim_down;mean;2050;6,413,-247,clim_down,mean,2050,6,hojo
clim_down;mean;2050;8.5,297,-596,clim_down,mean,2050,8.5,hojo
clim_down;mean;2070;2.6,56,-1078,clim_down,mean,2070,2.6,hojo
clim_down;mean;2070;4.5,208,-773,clim_down,mean,2070,4.5,hojo
clim_down;mean;2070;6,170,-99,clim_down,mean,2070,6,hojo
clim_down;mean;2070;8.5,335,-1097,clim_down,mean,2070,8.5,hojo
clim_down;mean;2080;2.6,1,-797,clim_down,mean,2080,2.6,hojo
clim_down;mean;2080;4.5,127,-757,clim_down,mean,2080,4.5,hojo
clim_down;mean;2080;6,133,-103,clim_down,mean,2080,6,hojo
clim_down;mean;2080;8.5,89,-944,clim_down,mean,2080,8.5,hojo
clim_down;min;2030;2.6,206,-339,clim_down,min,2030,2.6,hojo
clim_down;min;2030;4.5,196,-124,clim_down,min,2030,4.5,hojo
clim_down;min;2030;6,644,-1028,clim_down,min,2030,6,hojo
clim_down;min;2030;8.5,726,-795,clim_down,min,2030,8.5,hojo
clim_down;min;2050;2.6,88,-1124,clim_down,min,2050,2.6,hojo
clim_down;min;2050;4.5,562,-431,clim_down,min,2050,4.5,hojo
clim_down;min;2050;6,659,-245,clim_down,min,2050,6,hojo
