year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;4.5,1724,-51,clim_down,max,2030,4.5,imjin
clim_down;max;2030;8.5,1945,-131,clim_down,max,2030,8.5,imjin
clim_down;max;2050;2.6,2605,-349,clim_down,max,2050,2.6,imjin
clim_down;max;2050;4.5,232,-9,clim_down,max,2050,4.5,imjin
clim_down;max;2050;6,462,-18,clim_down,max,2050,6,imjin
clim_down;max;2050;8.5,1017,-106,clim_down,max,2050,8.5,imjin
clim_down;max;2070;2.6,1535,-104,clim_down,max,2070,2.6,imjin
clim_down;max;2070;4.5,130,-4,clim_down,max,2070,4.5,imjin
clim_down;max;2070;6,1487,-275,clim_down,max,2070,6,imjin
clim_down;max;2070;8.5,1018,-22,clim_down,max,2070,8.5,imjin
clim_down;max;2080;2.6,709,-23,clim_down,max,2080,2.6,imjin
clim_down;max;2080;4.5,550,-47,clim_down,max,2080,4.5,imjin
clim_down;max;2080;6,368,-46,clim_down,max,2080,6,imjin
clim_down;max;2080;8.5,3620,-529,clim_down,max,2080,8.5,imjin
clim_down;mean;2030;4.5,463,-13,clim_down,mean,2030,4.5,imjin
clim_down;mean;2030;8.5,455,-4,clim_down,mean,2030,8.5,imjin
clim_down;mean;2050;2.6,433,-116,clim_down,mean,2050,2.6,imjin
clim_down;mean;2050;4.5,39,0,clim_down,mean,2050,4.5,imjin
clim_down;mean;2050;6,59,0,clim_down,mean,2050,6,imjin
clim_down;mean;2050;8.5,79,-2,clim_down,mean,2050,8.5,imjin
clim_down;mean;2070;2.6,399,-8,clim_down,mean,2070,2.6,imjin
clim_down;mean;2070;4.5,42,0,clim_down,mean,2070,4.5,imjin
clim_down;mean;2070;6,77,-1,clim_down,mean,2070,6,imjin
clim_down;mean;2070;8.5,194,0,clim_down,mean,2070,8.5,imjin
clim_down;mean;2080;2.6,128,0,clim_down,mean,2080,2.6,imjin
clim_down;mean;2080;4.5,60,0,clim_down,mean,2080,4.5,imjin
clim_down;mean;2080;6,33,0,clim_down,mean,2080,6,imjin
clim_down;mean;2080;8.5,857,-211,clim_down,mean,2080,8.5,imjin
clim_down;min;2030;4.5,1383,-256,clim_down,min,2030,4.5,imjin
clim_down;min;2030;8.5,1473,-381,clim_down,min,2030,8.5,imjin
clim_down;min;2050;2.6,1952,-622,clim_down,min,2050,2.6,imjin
clim_down;min;2050;4.5,162,-47,clim_down,min,2050,4.5,imjin
clim_down;min;2050;6,350,-73,clim_down,min,2050,6,imjin
clim_down;min;2050;8.5,649,-297,clim_down,min,2050,8.5,imjin
clim_down;min;2070;2.6,1231,-231,clim_down,min,2070,2.6,imjin
clim_down;min;2070;4.5,106,-17,clim_down,min,2070,4.5,imjin
clim_down;min;2070;6,911,-553,clim_down,min,2070,6,imjin
clim_down;min;2070;8.5,820,-149,clim_down,min,2070,8.5,imjin
clim_down;min;2080;2.6,554,-97,clim_down,min,2080,2.6,imjin
clim_down;min;2080;4.5,362,-129,clim_down,min,2080,4.5,imjin
clim_down;min;2080;6,245,-99,clim_down,min,2080,6,imjin
clim_down;min;2080;8.5,2697,-1011,clim_down,min,2080,8.5,imjin
clim_up;max;2030;4.5,409,2,clim_up,max,2030,4.5,imjin
clim_up;max;2030;8.5,936,2,clim_up,max,2030,8.5,imjin
clim_up;max;2050;2.6,1325,2,clim_up,max,2050,2.6,imjin
clim_up;max;2050;4.5,2599,3,clim_up,max,2050,4.5,imjin
clim_up;max;2050;6,2398,3,clim_up,max,2050,6,imjin
clim_up;max;2050;8.5,2366,2,clim_up,max,2050,8.5,imjin
clim_up;max;2070;2.6,1153,2,clim_up,max,2070,2.6,imjin
clim_up;max;2070;4.5,3013,3,clim_up,max,2070,4.5,imjin
clim_up;max;2070;6,2572,2,clim_up,max,2070,6,imjin
clim_up;max;2070;8.5,2233,2,clim_up,max,2070,8.5,imjin
clim_up;max;2080;2.6,1868,2,clim_up,max,2080,2.6,imjin
clim_up;max;2080;4.5,2052,2,clim_up,max,2080,4.5,imjin
clim_up;max;2080;6,3281,4,clim_up,max,2080,6,imjin
clim_up;max;2080;8.5,1742,2,clim_up,max,2080,8.5,imjin
clim_up;mean;2030;4.5,30,0,clim_up,mean,2030,4.5,imjin
clim_up;mean;2030;8.5,119,0,clim_up,mean,2030,8.5,imjin
clim_up;mean;2050;2.6,359,0,clim_up,mean,2050,2.6,imjin
clim_up;mean;2050;4.5,916,3,clim_up,mean,2050,4.5,imjin
clim_up;mean;2050;6,835,3,clim_up,mean,2050,6,imjin
clim_up;mean;2050;8.5,890,8,clim_up,mean,2050,8.5,imjin
clim_up;mean;2070;2.6,299,0,clim_up,mean,2070,2.6,imjin
clim_up;mean;2070;4.5,966,5,clim_up,mean,2070,4.5,imjin
clim_up;mean;2070;6,1093,8,clim_up,mean,2070,6,imjin
clim_up;mean;2070;8.5,769,8,clim_up,mean,2070,8.5,imjin
clim_up;mean;2080;2.6,569,2,clim_up,mean,2080,2.6,imjin
clim_up;mean;2080;4.5,706,2,clim_up,mean,2080,4.5,imjin
clim_up;mean;2080;6,1309,8,clim_up,mean,2080,6,imjin
clim_up;mean;2080;8.5,512,8,clim_up,mean,2080,8.5,imjin
clim_up;min;2030;4.5,253,9,clim_up,min,2030,4.5,imjin
clim_up;min;2030;8.5,628,9,clim_up,min,2030,8.5,imjin
clim_up;min;2050;2.6,946,9,clim_up,min,2050,2.6,imjin
clim_up;min;2050;4.5,2099,18,clim_up,min,2050,4.5,imjin
clim_up;min;2050;6,1922,18,clim_up,min,2050,6,imjin
clim_up;min;2050;8.5,1930,15,clim_up,min,2050,8.5,imjin
clim_up;min;2070;2.6,863,9,clim_up,min,2070,2.6,imjin
clim_up;min;2070;4.5,2440,22,clim_up,min,2070,4.5,imjin
clim_up;min;2070;6,2155,10,clim_up,min,2070,6,imjin
clim_up;min;2070;8.5,1778,15,clim_up,min,2070,8.5,imjin
clim_up;min;2080;2.6,1437,12,clim_up,min,2080,2.6,imjin
clim_up;min;2080;4.5,1628,16,clim_up,min,2080,4.5,imjin
clim_up;min;2080;6,2700,20,clim_up,min,2080,6,imjin
clim_up;min;2080;8.5,1378,10,clim_up,min,2080,8.5,imjin
dummy;max;2030;4.5,9882,-69,dummy,max,2030,4.5,imjin
dummy;max;2030;8.5,9791,-160,dummy,max,2030,8.5,imjin
dummy;max;2050;2.6,9586,-365,dummy,max,2050,2.6,imjin
dummy;max;2050;4.5,9944,-7,dummy,max,2050,4.5,imjin
dummy;max;2050;6,9930,-21,dummy,max,2050,6,imjin
dummy;max;2050;8.5,9833,-118,dummy,max,2050,8.5,imjin
dummy;max;2070;2.6,9821,-130,dummy,max,2070,2.6,imjin
dummy;max;2070;4.5,9950,-1,dummy,max,2070,4.5,imjin
dummy;max;2070;6,9658,-293,dummy,max,2070,6,imjin
dummy;max;2070;8.5,9922,-29,dummy,max,2070,8.5,imjin
dummy;max;2080;2.6,9919,-32,dummy,max,2080,2.6,imjin
dummy;max;2080;4.5,9893,-58,dummy,max,2080,4.5,imjin
dummy;max;2080;6,9905,-46,dummy,max,2080,6,imjin
dummy;max;2080;8.5,9403,-548,dummy,max,2080,8.5,imjin
dummy;mean;2030;4.5,4246,-387,dummy,mean,2030,4.5,imjin
dummy;mean;2030;8.5,4381,-252,dummy,mean,2030,8.5,imjin
dummy;mean;2050;2.6,4050,-583,dummy,mean,2050,2.6,imjin
dummy;mean;2050;4.5,4625,-8,dummy,mean,2050,4.5,imjin
dummy;mean;2050;6,4636,3,dummy,mean,2050,6,imjin
dummy;mean;2050;8.5,4610,-23,dummy,mean,2050,8.5,imjin
dummy;mean;2070;2.6,4239,-394,dummy,mean,2070,2.6,imjin
dummy;mean;2070;4.5,4642,9,dummy,mean,2070,4.5,imjin
dummy;mean;2070;6,4577,-56,dummy,mean,2070,6,imjin
dummy;mean;2070;8.5,4519,-114,dummy,mean,2070,8.5,imjin
dummy;mean;2080;2.6,4513,-120,dummy,mean,2080,2.6,imjin
dummy;mean;2080;4.5,4606,-27,dummy,mean,2080,4.5,imjin
dummy;mean;2080;6,4642,9,dummy,mean,2080,6,imjin
dummy;mean;2080;8.5,3974,-659,dummy,mean,2080,8.5,imjin
