year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,17273,-86006,clim_down,max,2030,2.6,inkoo
clim_down;max;2030;4.5,53783,-33460,clim_down,max,2030,4.5,inkoo
clim_down;max;2030;8.5,44311,-22353,clim_down,max,2030,8.5,inkoo
clim_down;max;2050;2.6,46432,-21079,clim_down,max,2050,2.6,inkoo
clim_down;max;2050;4.5,20038,-73867,clim_down,max,2050,4.5,inkoo
clim_down;max;2050;6,45312,-42766,clim_down,max,2050,6,inkoo
clim_down;max;2050;8.5,23987,-76360,clim_down,max,2050,8.5,inkoo
clim_down;max;2070;2.6,49304,-20641,clim_down,max,2070,2.6,inkoo
clim_down;max;2070;4.5,12964,-83310,clim_down,max,2070,4.5,inkoo
clim_down;max;2070;6,26663,-61200,clim_down,max,2070,6,inkoo
clim_down;max;2070;8.5,8597,-95577,clim_down,max,2070,8.5,inkoo
clim_down;max;2080;2.6,13432,-104228,clim_down,max,2080,2.6,inkoo
clim_down;max;2080;4.5,13048,-87456,clim_down,max,2080,4.5,inkoo
clim_down;max;2080;6,4177,-101931,clim_down,max,2080,6,inkoo
clim_down;max;2080;8.5,6130,-104977,clim_down,max,2080,8.5,inkoo
clim_down;mean;2030;2.6,65150,-52272,clim_down,mean,2030,2.6,inkoo
clim_down;mean;2030;4.5,82732,-12767,clim_down,mean,2030,4.5,inkoo
clim_down;mean;2030;8.5,64981,-4548,clim_down,mean,2030,8.5,inkoo
clim_down;mean;2050;2.6,63012,-10344,clim_down,mean,2050,2.6,inkoo
clim_down;mean;2050;4.5,67922,-37346,clim_down,mean,2050,4.5,inkoo
clim_down;mean;2050;6,80260,-16466,clim_down,mean,2050,6,inkoo
clim_down;mean;2050;8.5,87323,-24238,clim_down,mean,2050,8.5,inkoo
clim_down;mean;2070;2.6,67273,-7190,clim_down,mean,2070,2.6,inkoo
clim_down;mean;2070;4.5,63416,-43865,clim_down,mean,2070,4.5,inkoo
clim_down;mean;2070;6,68268,-29097,clim_down,mean,2070,6,inkoo
clim_down;mean;2070;8.5,38242,-80331,clim_down,mean,2070,8.5,inkoo
clim_down;mean;2080;2.6,68553,-65868,clim_down,mean,2080,2.6,inkoo
clim_down;mean;2080;4.5,69225,-43085,clim_down,mean,2080,4.5,inkoo
clim_down;mean;2080;6,26310,-94627,clim_down,mean,2080,6,inkoo
clim_down;mean;2080;8.5,24844,-105048,clim_down,mean,2080,8.5,inkoo
clim_down;min;2030;2.6,111312,-32000,clim_down,min,2030,2.6,inkoo
clim_down;min;2030;4.5,99214,-13358,clim_down,min,2030,4.5,inkoo
clim_down;min;2030;8.5,74185,-6181,clim_down,min,2030,8.5,inkoo
clim_down;min;2050;2.6,77999,-11241,clim_down,min,2050,2.6,inkoo
clim_down;min;2050;4.5,100237,-29110,clim_down,min,2050,4.5,inkoo
clim_down;min;2050;6,98890,-18705,clim_down,min,2050,6,inkoo
clim_down;min;2050;8.5,112840,-20332,clim_down,min,2050,8.5,inkoo
clim_down;min;2070;2.6,79185,-10034,clim_down,min,2070,2.6,inkoo
clim_down;min;2070;4.5,101007,-30865,clim_down,min,2070,4.5,inkoo
clim_down;min;2070;6,92291,-30064,clim_down,min,2070,6,inkoo
clim_down;min;2070;8.5,90822,-54157,clim_down,min,2070,8.5,inkoo
clim_down;min;2080;2.6,126954,-17916,clim_down,min,2080,2.6,inkoo
clim_down;min;2080;4.5,105410,-31819,clim_down,min,2080,4.5,inkoo
clim_down;min;2080;6,79341,-68229,clim_down,min,2080,6,inkoo
clim_down;min;2080;8.5,74169,-75722,clim_down,min,2080,8.5,inkoo
clim_up;max;2030;2.6,9873,1143,clim_up,max,2030,2.6,inkoo
clim_up;max;2030;4.5,14827,1237,clim_up,max,2030,4.5,inkoo
clim_up;max;2030;8.5,27302,2148,clim_up,max,2030,8.5,inkoo
clim_up;max;2050;2.6,27838,2261,clim_up,max,2050,2.6,inkoo
clim_up;max;2050;4.5,16853,1851,clim_up,max,2050,4.5,inkoo
clim_up;max;2050;6,19485,1820,clim_up,max,2050,6,inkoo
clim_up;max;2050;8.5,11257,1136,clim_up,max,2050,8.5,inkoo
clim_up;max;2070;2.6,25184,2139,clim_up,max,2070,2.6,inkoo
clim_up;max;2070;4.5,16262,1806,clim_up,max,2070,4.5,inkoo
clim_up;max;2070;6,21372,2062,clim_up,max,2070,6,inkoo
clim_up;max;2070;8.5,10725,1808,clim_up,max,2070,8.5,inkoo
clim_up;max;2080;2.6,390,185,clim_up,max,2080,2.6,inkoo
clim_up;max;2080;4.5,13192,1523,clim_up,max,2080,4.5,inkoo
clim_up;max;2080;6,10726,974,clim_up,max,2080,6,inkoo
clim_up;max;2080;8.5,4910,620,clim_up,max,2080,8.5,inkoo
clim_up;mean;2030;2.6,26064,6209,clim_up,mean,2030,2.6,inkoo
clim_up;mean;2030;4.5,36754,7126,clim_up,mean,2030,4.5,inkoo
clim_up;mean;2030;8.5,53343,7715,clim_up,mean,2030,8.5,inkoo
clim_up;mean;2050;2.6,53014,7631,clim_up,mean,2050,2.6,inkoo
clim_up;mean;2050;4.5,37106,7262,clim_up,mean,2050,4.5,inkoo
clim_up;mean;2050;6,42383,7544,clim_up,mean,2050,6,inkoo
clim_up;mean;2050;8.5,31264,7265,clim_up,mean,2050,8.5,inkoo
clim_up;mean;2070;2.6,50749,7723,clim_up,mean,2070,2.6,inkoo
clim_up;mean;2070;4.5,35920,6877,clim_up,mean,2070,4.5,inkoo
clim_up;mean;2070;6,43953,7544,clim_up,mean,2070,6,inkoo
clim_up;mean;2070;8.5,26678,5894,clim_up,mean,2070,8.5,inkoo
clim_up;mean;2080;2.6,6391,1758,clim_up,mean,2080,2.6,inkoo
clim_up;mean;2080;4.5,32055,7154,clim_up,mean,2080,4.5,inkoo
clim_up;mean;2080;6,26051,5781,clim_up,mean,2080,6,inkoo
clim_up;mean;2080;8.5,15642,4010,clim_up,mean,2080,8.5,inkoo
clim_up;min;2030;2.6,30607,1968,clim_up,min,2030,2.6,inkoo
clim_up;min;2030;4.5,41584,1908,clim_up,min,2030,4.5,inkoo
clim_up;min;2030;8.5,59747,2033,clim_up,min,2030,8.5,inkoo
clim_up;min;2050;2.6,57820,2022,clim_up,min,2050,2.6,inkoo
clim_up;min;2050;4.5,41327,2036,clim_up,min,2050,4.5,inkoo
clim_up;min;2050;6,47234,2022,clim_up,min,2050,6,inkoo
clim_up;min;2050;8.5,35574,2044,clim_up,min,2050,8.5,inkoo
clim_up;min;2070;2.6,56547,2027,clim_up,min,2070,2.6,inkoo
clim_up;min;2070;4.5,40813,2032,clim_up,min,2070,4.5,inkoo
clim_up;min;2070;6,48463,2030,clim_up,min,2070,6,inkoo
clim_up;min;2070;8.5,31861,2033,clim_up,min,2070,8.5,inkoo
clim_up;min;2080;2.6,11221,1322,clim_up,min,2080,2.6,inkoo
clim_up;min;2080;4.5,36473,2033,clim_up,min,2080,4.5,inkoo
clim_up;min;2080;6,30554,2030,clim_up,min,2080,6,inkoo
clim_up;min;2080;8.5,19714,2015,clim_up,min,2080,8.5,inkoo
dummy;max;2030;2.6,38740,-85878,dummy,max,2030,2.6,inkoo
dummy;max;2030;4.5,91233,-33431,dummy,max,2030,4.5,inkoo
dummy;max;2030;8.5,104332,-20332,dummy,max,2030,8.5,inkoo
dummy;max;2050;2.6,105506,-19158,dummy,max,2050,2.6,inkoo
dummy;max;2050;4.5,51594,-73070,dummy,max,2050,4.5,inkoo
dummy;max;2050;6,81505,-43159,dummy,max,2050,6,inkoo
dummy;max;2050;8.5,48241,-76423,dummy,max,2050,8.5,inkoo
