year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,4476,23,clim_down,max,2030,2.6,ippy
clim_down;max;2030;4.5,63,-1,clim_down,max,2030,4.5,ippy
clim_down;max;2030;6,2199,-1253,clim_down,max,2030,6,ippy
clim_down;max;2030;8.5,41,4,clim_down,max,2030,8.5,ippy
clim_down;max;2050;2.6,9003,42,clim_down,max,2050,2.6,ippy
clim_down;max;2050;4.5,383,0,clim_down,max,2050,4.5,ippy
clim_down;max;2050;6,166,-72,clim_down,max,2050,6,ippy
clim_down;max;2050;8.5,393,0,clim_down,max,2050,8.5,ippy
clim_down;max;2070;2.6,22,0,clim_down,max,2070,2.6,ippy
clim_down;max;2070;4.5,77,0,clim_down,max,2070,4.5,ippy
clim_down;max;2070;6,7,-3,clim_down,max,2070,6,ippy
clim_down;max;2080;2.6,138,0,clim_down,max,2080,2.6,ippy
clim_down;max;2080;4.5,4,0,clim_down,max,2080,4.5,ippy
clim_down;max;2080;6,143,-60,clim_down,max,2080,6,ippy
clim_down;max;2080;8.5,21,0,clim_down,max,2080,8.5,ippy
clim_down;mean;2030;2.6,12081,24,clim_down,mean,2030,2.6,ippy
clim_down;mean;2030;4.5,71,-10,clim_down,mean,2030,4.5,ippy
clim_down;mean;2030;6,4425,-653,clim_down,mean,2030,6,ippy
clim_down;mean;2030;8.5,502,-5,clim_down,mean,2030,8.5,ippy
clim_down;mean;2050;2.6,13350,325,clim_down,mean,2050,2.6,ippy
clim_down;mean;2050;4.5,383,0,clim_down,mean,2050,4.5,ippy
clim_down;mean;2050;6,326,-31,clim_down,mean,2050,6,ippy
clim_down;mean;2050;8.5,393,0,clim_down,mean,2050,8.5,ippy
clim_down;mean;2070;2.6,43,1,clim_down,mean,2070,2.6,ippy
clim_down;mean;2070;4.5,77,-2,clim_down,mean,2070,4.5,ippy
clim_down;mean;2070;6,7,-18,clim_down,mean,2070,6,ippy
clim_down;mean;2070;8.5,1,0,clim_down,mean,2070,8.5,ippy
clim_down;mean;2080;2.6,273,4,clim_down,mean,2080,2.6,ippy
clim_down;mean;2080;4.5,4,-2,clim_down,mean,2080,4.5,ippy
clim_down;mean;2080;6,203,-8,clim_down,mean,2080,6,ippy
clim_down;mean;2080;8.5,24,2,clim_down,mean,2080,8.5,ippy
clim_down;min;2030;2.6,12741,0,clim_down,min,2030,2.6,ippy
clim_down;min;2030;4.5,97,-20,clim_down,min,2030,4.5,ippy
clim_down;min;2030;6,5779,-1,clim_down,min,2030,6,ippy
clim_down;min;2030;8.5,517,0,clim_down,min,2030,8.5,ippy
clim_down;min;2050;2.6,13614,0,clim_down,min,2050,2.6,ippy
clim_down;min;2050;4.5,386,-4,clim_down,min,2050,4.5,ippy
clim_down;min;2050;6,482,-4,clim_down,min,2050,6,ippy
clim_down;min;2050;8.5,394,0,clim_down,min,2050,8.5,ippy
clim_down;min;2070;2.6,126,0,clim_down,min,2070,2.6,ippy
clim_down;min;2070;4.5,82,-25,clim_down,min,2070,4.5,ippy
clim_down;min;2070;6,25,0,clim_down,min,2070,6,ippy
clim_down;min;2070;8.5,1,0,clim_down,min,2070,8.5,ippy
clim_down;min;2080;2.6,306,0,clim_down,min,2080,2.6,ippy
clim_down;min;2080;4.5,7,-3,clim_down,min,2080,4.5,ippy
clim_down;min;2080;6,237,-2,clim_down,min,2080,6,ippy
clim_down;min;2080;8.5,29,0,clim_down,min,2080,8.5,ippy
clim_up;max;2030;2.6,15714,-31,clim_up,max,2030,2.6,ippy
clim_up;max;2030;4.5,27534,209,clim_up,max,2030,4.5,ippy
clim_up;max;2030;6,12963,-5449,clim_up,max,2030,6,ippy
clim_up;max;2030;8.5,27767,-318,clim_up,max,2030,8.5,ippy
clim_up;max;2050;2.6,15882,-211,clim_up,max,2050,2.6,ippy
clim_up;max;2050;4.5,22396,-398,clim_up,max,2050,4.5,ippy
clim_up;max;2050;6,15117,-9978,clim_up,max,2050,6,ippy
clim_up;max;2050;8.5,24817,-982,clim_up,max,2050,8.5,ippy
clim_up;max;2070;2.6,23805,-1029,clim_up,max,2070,2.6,ippy
clim_up;max;2070;4.5,27211,-648,clim_up,max,2070,4.5,ippy
clim_up;max;2070;6,19194,-10227,clim_up,max,2070,6,ippy
clim_up;max;2070;8.5,29395,-2821,clim_up,max,2070,8.5,ippy
clim_up;max;2080;2.6,25019,-1231,clim_up,max,2080,2.6,ippy
clim_up;max;2080;4.5,28199,-1217,clim_up,max,2080,4.5,ippy
clim_up;max;2080;6,19309,-8372,clim_up,max,2080,6,ippy
clim_up;max;2080;8.5,29863,-1193,clim_up,max,2080,8.5,ippy
clim_up;mean;2030;2.6,71975,5762,clim_up,mean,2030,2.6,ippy
clim_up;mean;2030;4.5,96785,-6991,clim_up,mean,2030,4.5,ippy
clim_up;mean;2030;6,89969,1802,clim_up,mean,2030,6,ippy
clim_up;mean;2030;8.5,108935,9008,clim_up,mean,2030,8.5,ippy
clim_up;mean;2050;2.6,86755,7462,clim_up,mean,2050,2.6,ippy
clim_up;mean;2050;4.5,91564,-6906,clim_up,mean,2050,4.5,ippy
clim_up;mean;2050;6,100488,-2138,clim_up,mean,2050,6,ippy
clim_up;mean;2050;8.5,123071,10743,clim_up,mean,2050,8.5,ippy
clim_up;mean;2070;2.6,104062,8869,clim_up,mean,2070,2.6,ippy
clim_up;mean;2070;4.5,108583,-4610,clim_up,mean,2070,4.5,ippy
clim_up;mean;2070;6,110076,-1414,clim_up,mean,2070,6,ippy
clim_up;mean;2070;8.5,131830,10649,clim_up,mean,2070,8.5,ippy
clim_up;mean;2080;2.6,104792,8510,clim_up,mean,2080,2.6,ippy
clim_up;mean;2080;4.5,102514,-8097,clim_up,mean,2080,4.5,ippy
clim_up;mean;2080;6,116457,1265,clim_up,mean,2080,6,ippy
clim_up;mean;2080;8.5,129987,11246,clim_up,mean,2080,8.5,ippy
clim_up;min;2030;2.6,120036,11,clim_up,min,2030,2.6,ippy
clim_up;min;2030;4.5,164706,-1799,clim_up,min,2030,4.5,ippy
clim_up;min;2030;6,144945,-2663,clim_up,min,2030,6,ippy
clim_up;min;2030;8.5,163564,-56,clim_up,min,2030,8.5,ippy
clim_up;min;2050;2.6,135641,14,clim_up,min,2050,2.6,ippy
clim_up;min;2050;4.5,162495,-2120,clim_up,min,2050,4.5,ippy
clim_up;min;2050;6,164474,-3616,clim_up,min,2050,6,ippy
clim_up;min;2050;8.5,183077,-104,clim_up,min,2050,8.5,ippy
clim_up;min;2070;2.6,156848,6,clim_up,min,2070,2.6,ippy
clim_up;min;2070;4.5,180939,-1429,clim_up,min,2070,4.5,ippy
clim_up;min;2070;6,177969,-3080,clim_up,min,2070,6,ippy
clim_up;min;2070;8.5,193385,-75,clim_up,min,2070,8.5,ippy
clim_up;min;2080;2.6,158667,13,clim_up,min,2080,2.6,ippy
clim_up;min;2080;4.5,178101,-1987,clim_up,min,2080,4.5,ippy
clim_up;min;2080;6,183986,-2826,clim_up,min,2080,6,ippy
clim_up;min;2080;8.5,191733,8,clim_up,min,2080,8.5,ippy
dummy;max;2030;2.6,33462,94,dummy,max,2030,2.6,ippy
dummy;max;2030;4.5,33464,96,dummy,max,2030,4.5,ippy
dummy;max;2030;6,23428,-9940,dummy,max,2030,6,ippy
dummy;max;2030;8.5,32866,-502,dummy,max,2030,8.5,ippy
dummy;max;2050;2.6,33250,-118,dummy,max,2050,2.6,ippy
dummy;max;2050;4.5,32734,-634,dummy,max,2050,4.5,ippy
dummy;max;2050;6,20465,-12903,dummy,max,2050,6,ippy
dummy;max;2050;8.5,32445,-923,dummy,max,2050,8.5,ippy
dummy;max;2070;2.6,32366,-1002,dummy,max,2070,2.6,ippy
dummy;max;2070;4.5,32676,-692,dummy,max,2070,4.5,ippy
dummy;max;2070;6,22414,-10954,dummy,max,2070,6,ippy
dummy;max;2070;8.5,30547,-2821,dummy,max,2070,8.5,ippy
dummy;max;2080;2.6,32225,-1143,dummy,max,2080,2.6,ippy
dummy;max;2080;4.5,32056,-1312,dummy,max,2080,4.5,ippy
dummy;max;2080;6,23813,-9555,dummy,max,2080,6,ippy
dummy;max;2080;8.5,32175,-1193,dummy,max,2080,8.5,ippy
dummy;mean;2030;2.6,138377,7264,dummy,mean,2030,2.6,ippy
dummy;mean;2030;4.5,122606,-8507,dummy,mean,2030,4.5,ippy
dummy;mean;2030;6,127330,-3783,dummy,mean,2030,6,ippy
dummy;mean;2030;8.5,140544,9431,dummy,mean,2030,8.5,ippy
dummy;mean;2050;2.6,140411,9298,dummy,mean,2050,2.6,ippy
dummy;mean;2050;4.5,122678,-8435,dummy,mean,2050,4.5,ippy
dummy;mean;2050;6,124182,-6931,dummy,mean,2050,6,ippy
dummy;mean;2050;8.5,142090,10977,dummy,mean,2050,8.5,ippy
dummy;mean;2070;2.6,140756,9643,dummy,mean,2070,2.6,ippy
dummy;mean;2070;4.5,126100,-5013,dummy,mean,2070,4.5,ippy
dummy;mean;2070;6,128009,-3104,dummy,mean,2070,6,ippy
dummy;mean;2070;8.5,141849,10736,dummy,mean,2070,8.5,ippy
dummy;mean;2080;2.6,140262,9149,dummy,mean,2080,2.6,ippy
dummy;mean;2080;4.5,121793,-9320,dummy,mean,2080,4.5,ippy
dummy;mean;2080;6,132054,941,dummy,mean,2080,6,ippy
dummy;mean;2080;8.5,142462,11349,dummy,mean,2080,8.5,ippy
dummy;min;2030;2.6,206165,53,dummy,min,2030,2.6,ippy
dummy;min;2030;4.5,201870,-4242,dummy,min,2030,4.5,ippy
dummy;min;2030;6,200060,-6052,dummy,min,2030,6,ippy
dummy;min;2030;8.5,205880,-232,dummy,min,2030,8.5,ippy
dummy;min;2050;2.6,206166,54,dummy,min,2050,2.6,ippy
dummy;min;2050;4.5,201941,-4171,dummy,min,2050,4.5,ippy
dummy;min;2050;6,199474,-6637,dummy,min,2050,6,ippy
dummy;min;2050;8.5,206014,-98,dummy,min,2050,8.5,ippy
dummy;min;2070;2.6,206146,35,dummy,min,2070,2.6,ippy
dummy;min;2070;4.5,202830,-3282,dummy,min,2070,4.5,ippy
dummy;min;2070;6,201194,-4918,dummy,min,2070,6,ippy
dummy;min;2070;8.5,206073,-39,dummy,min,2070,8.5,ippy
dummy;min;2080;2.6,206165,53,dummy,min,2080,2.6,ippy
dummy;min;2080;4.5,202296,-3816,dummy,min,2080,4.5,ippy
dummy;min;2080;6,202227,-3885,dummy,min,2080,6,ippy
dummy;min;2080;8.5,206157,45,dummy,min,2080,8.5,ippy
lu_down;max;2030;2.6,2574,-250,lu_down,max,2030,2.6,ippy
lu_down;max;2030;4.5,6315,-169,lu_down,max,2030,4.5,ippy
lu_down;max;2030;6,20000,-9693,lu_down,max,2030,6,ippy
lu_down;max;2030;8.5,6089,-796,lu_down,max,2030,8.5,ippy
lu_down;max;2050;2.6,3991,-436,lu_down,max,2050,2.6,ippy
lu_down;max;2050;4.5,10791,-645,lu_down,max,2050,4.5,ippy
lu_down;max;2050;6,18806,-12887,lu_down,max,2050,6,ippy
lu_down;max;2050;8.5,5939,-1329,lu_down,max,2050,8.5,ippy
lu_down;max;2070;2.6,3734,-1423,lu_down,max,2070,2.6,ippy
lu_down;max;2070;4.5,12384,-788,lu_down,max,2070,4.5,ippy
lu_down;max;2070;6,20970,-10943,lu_down,max,2070,6,ippy
lu_down;max;2070;8.5,3668,-3259,lu_down,max,2070,8.5,ippy
lu_down;max;2080;2.6,3825,-1571,lu_down,max,2080,2.6,ippy
lu_down;max;2080;4.5,12271,-1350,lu_down,max,2080,4.5,ippy
lu_down;max;2080;6,22434,-9533,lu_down,max,2080,6,ippy
lu_down;max;2080;8.5,5220,-1676,lu_down,max,2080,8.5,ippy
lu_down;mean;2030;2.6,7327,183,lu_down,mean,2030,2.6,ippy
lu_down;mean;2030;4.5,44489,-11514,lu_down,mean,2030,4.5,ippy
lu_down;mean;2030;6,69588,-6821,lu_down,mean,2030,6,ippy
lu_down;mean;2030;8.5,14972,205,lu_down,mean,2030,8.5,ippy
lu_down;mean;2050;2.6,12426,47,lu_down,mean,2050,2.6,ippy
lu_down;mean;2050;4.5,55383,-11235,lu_down,mean,2050,4.5,ippy
lu_down;mean;2050;6,74358,-10695,lu_down,mean,2050,6,ippy
lu_down;mean;2050;8.5,15149,134,lu_down,mean,2050,8.5,ippy
lu_down;mean;2070;2.6,14233,-51,lu_down,mean,2070,2.6,ippy
lu_down;mean;2070;4.5,68059,-7614,lu_down,mean,2070,4.5,ippy
lu_down;mean;2070;6,78386,-7491,lu_down,mean,2070,6,ippy
lu_down;mean;2070;8.5,13775,-219,lu_down,mean,2070,8.5,ippy
lu_down;mean;2080;2.6,15576,-21,lu_down,mean,2080,2.6,ippy
lu_down;mean;2080;4.5,71769,-10405,lu_down,mean,2080,4.5,ippy
lu_down;mean;2080;6,81805,-3763,lu_down,mean,2080,6,ippy
lu_down;mean;2080;8.5,14217,349,lu_down,mean,2080,8.5,ippy
lu_down;min;2030;2.6,9488,0,lu_down,min,2030,2.6,ippy
lu_down;min;2030;4.5,90982,-4116,lu_down,min,2030,4.5,ippy
lu_down;min;2030;6,111557,-5612,lu_down,min,2030,6,ippy
lu_down;min;2030;8.5,19815,-157,lu_down,min,2030,8.5,ippy
lu_down;min;2050;2.6,15421,0,lu_down,min,2050,2.6,ippy
lu_down;min;2050;4.5,105851,-4131,lu_down,min,2050,4.5,ippy
lu_down;min;2050;6,125349,-6519,lu_down,min,2050,6,ippy
lu_down;min;2050;8.5,18891,-127,lu_down,min,2050,8.5,ippy
lu_down;min;2070;2.6,17689,-20,lu_down,min,2070,2.6,ippy
lu_down;min;2070;4.5,120960,-3262,lu_down,min,2070,4.5,ippy
lu_down;min;2070;6,129322,-4798,lu_down,min,2070,6,ippy
lu_down;min;2070;8.5,16855,-88,lu_down,min,2070,8.5,ippy
lu_down;min;2080;2.6,19996,0,lu_down,min,2080,2.6,ippy
lu_down;min;2080;4.5,130604,-3801,lu_down,min,2080,4.5,ippy
lu_down;min;2080;6,130033,-3766,lu_down,min,2080,6,ippy
lu_down;min;2080;8.5,16634,-6,lu_down,min,2080,8.5,ippy
lu_up;max;2030;2.6,12953,368,lu_up,max,2030,2.6,ippy
lu_up;max;2030;8.5,12500,141,lu_up,max,2030,8.5,ippy
lu_up;max;2050;2.6,15910,392,lu_up,max,2050,2.6,ippy
lu_up;max;2050;8.5,20949,314,lu_up,max,2050,8.5,ippy
lu_up;max;2070;2.6,17911,407,lu_up,max,2070,2.6,ippy
lu_up;max;2070;8.5,22193,367,lu_up,max,2070,8.5,ippy
lu_up;max;2080;2.6,17783,412,lu_up,max,2080,2.6,ippy
lu_up;max;2080;8.5,22768,398,lu_up,max,2080,8.5,ippy
lu_up;mean;2030;2.6,38191,2043,lu_up,mean,2030,2.6,ippy
lu_up;mean;2030;6,6,2,lu_up,mean,2030,6,ippy
lu_up;mean;2030;8.5,34030,3146,lu_up,mean,2030,8.5,ippy
lu_up;mean;2050;2.6,36487,3714,lu_up,mean,2050,2.6,ippy
lu_up;mean;2050;8.5,53168,4765,lu_up,mean,2050,8.5,ippy
lu_up;mean;2070;2.6,45845,4463,lu_up,mean,2070,2.6,ippy
lu_up;mean;2070;6,100,27,lu_up,mean,2070,6,ippy
lu_up;mean;2070;8.5,62699,5900,lu_up,mean,2070,8.5,ippy
lu_up;mean;2080;2.6,46226,4452,lu_up,mean,2080,2.6,ippy
lu_up;mean;2080;6,342,160,lu_up,mean,2080,6,ippy
lu_up;mean;2080;8.5,65817,6172,lu_up,mean,2080,8.5,ippy
lu_up;min;2030;2.6,49939,7,lu_up,min,2030,2.6,ippy
lu_up;min;2030;6,6,0,lu_up,min,2030,6,ippy
lu_up;min;2030;8.5,37893,3,lu_up,min,2030,8.5,ippy
lu_up;min;2050;2.6,49817,5,lu_up,min,2050,2.6,ippy
lu_up;min;2050;8.5,60303,3,lu_up,min,2050,8.5,ippy
lu_up;min;2070;2.6,64838,9,lu_up,min,2070,2.6,ippy
lu_up;min;2070;6,100,0,lu_up,min,2070,6,ippy
lu_up;min;2070;8.5,75165,41,lu_up,min,2070,8.5,ippy
