year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,14,-3,clim_down,max,2030,2.6,irkut
clim_down;max;2030;4.5,144,-45,clim_down,max,2030,4.5,irkut
clim_down;max;2080;2.6,9,-93,clim_down,max,2080,2.6,irkut
clim_down;mean;2030;2.6,13557,-2222,clim_down,mean,2030,2.6,irkut
clim_down;mean;2030;4.5,41896,-6379,clim_down,mean,2030,4.5,irkut
clim_down;mean;2030;8.5,20362,-2999,clim_down,mean,2030,8.5,irkut
clim_down;mean;2050;2.6,59493,-2742,clim_down,mean,2050,2.6,irkut
clim_down;mean;2050;4.5,39605,-2550,clim_down,mean,2050,4.5,irkut
clim_down;mean;2050;6,47415,-1659,clim_down,mean,2050,6,irkut
clim_down;mean;2050;8.5,33483,-557,clim_down,mean,2050,8.5,irkut
clim_down;mean;2070;2.6,44373,-4011,clim_down,mean,2070,2.6,irkut
clim_down;mean;2070;4.5,27589,-13483,clim_down,mean,2070,4.5,irkut
clim_down;mean;2070;6,47918,-2253,clim_down,mean,2070,6,irkut
clim_down;mean;2070;8.5,46117,-3222,clim_down,mean,2070,8.5,irkut
clim_down;mean;2080;2.6,47695,-6808,clim_down,mean,2080,2.6,irkut
clim_down;mean;2080;4.5,23421,-9148,clim_down,mean,2080,4.5,irkut
clim_down;mean;2080;8.5,66555,-4380,clim_down,mean,2080,8.5,irkut
clim_down;min;2030;2.6,19534,-24,clim_down,min,2030,2.6,irkut
clim_down;min;2030;4.5,52103,-924,clim_down,min,2030,4.5,irkut
clim_down;min;2030;8.5,28127,-501,clim_down,min,2030,8.5,irkut
clim_down;min;2050;2.6,63948,-107,clim_down,min,2050,2.6,irkut
clim_down;min;2050;4.5,43389,-174,clim_down,min,2050,4.5,irkut
clim_down;min;2050;6,51844,-434,clim_down,min,2050,6,irkut
clim_down;min;2050;8.5,34804,-104,clim_down,min,2050,8.5,irkut
clim_down;min;2070;2.6,49772,-12,clim_down,min,2070,2.6,irkut
clim_down;min;2070;4.5,41207,-1625,clim_down,min,2070,4.5,irkut
clim_down;min;2070;6,52898,-979,clim_down,min,2070,6,irkut
clim_down;min;2070;8.5,53808,-2161,clim_down,min,2070,8.5,irkut
clim_down;min;2080;2.6,59589,-1534,clim_down,min,2080,2.6,irkut
clim_down;min;2080;4.5,32883,-209,clim_down,min,2080,4.5,irkut
clim_down;min;2080;8.5,72722,-76,clim_down,min,2080,8.5,irkut
clim_up;max;2030;2.6,92435,1123,clim_up,max,2030,2.6,irkut
clim_up;max;2030;4.5,59404,-8433,clim_up,max,2030,4.5,irkut
clim_up;max;2030;8.5,102350,-4128,clim_up,max,2030,8.5,irkut
clim_up;max;2050;2.6,57449,-23372,clim_up,max,2050,2.6,irkut
clim_up;max;2050;4.5,50407,-40495,clim_up,max,2050,4.5,irkut
clim_up;max;2050;6,91263,-1105,clim_up,max,2050,6,irkut
clim_up;max;2050;8.5,88636,-30239,clim_up,max,2050,8.5,irkut
clim_up;max;2070;2.6,74881,-38829,clim_up,max,2070,2.6,irkut
clim_up;max;2070;4.5,44714,-64697,clim_up,max,2070,4.5,irkut
clim_up;max;2070;6,105750,-4927,clim_up,max,2070,6,irkut
clim_up;max;2070;8.5,61903,-54396,clim_up,max,2070,8.5,irkut
clim_up;max;2080;2.6,18008,-33896,clim_up,max,2080,2.6,irkut
clim_up;max;2080;4.5,41554,-77507,clim_up,max,2080,4.5,irkut
clim_up;max;2080;8.5,59687,-75581,clim_up,max,2080,8.5,irkut
clim_up;mean;2030;2.6,532301,1091,clim_up,mean,2030,2.6,irkut
clim_up;mean;2030;4.5,400849,-35,clim_up,mean,2030,4.5,irkut
clim_up;mean;2030;8.5,629011,1489,clim_up,mean,2030,8.5,irkut
clim_up;mean;2050;2.6,438794,-2226,clim_up,mean,2050,2.6,irkut
