year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,1781,-363,clim_down,max,2030,2.6,isla vista
clim_down;max;2030;4.5,2914,-1112,clim_down,max,2030,4.5,isla vista
clim_down;max;2030;8.5,665,-2612,clim_down,max,2030,8.5,isla vista
clim_down;max;2050;2.6,2844,-1029,clim_down,max,2050,2.6,isla vista
clim_down;max;2050;4.5,3704,-1587,clim_down,max,2050,4.5,isla vista
clim_down;max;2050;6,948,-6164,clim_down,max,2050,6,isla vista
clim_down;max;2050;8.5,150,-2461,clim_down,max,2050,8.5,isla vista
clim_down;max;2070;4.5,3214,-1480,clim_down,max,2070,4.5,isla vista
clim_down;max;2070;6,360,-2890,clim_down,max,2070,6,isla vista
clim_down;max;2070;8.5,1,-7317,clim_down,max,2070,8.5,isla vista
clim_down;max;2080;2.6,4364,-2777,clim_down,max,2080,2.6,isla vista
clim_down;max;2080;4.5,3393,-1412,clim_down,max,2080,4.5,isla vista
clim_down;max;2080;8.5,6,-6872,clim_down,max,2080,8.5,isla vista
clim_down;mean;2030;2.6,23146,-4717,clim_down,mean,2030,2.6,isla vista
clim_down;mean;2030;4.5,33728,-6993,clim_down,mean,2030,4.5,isla vista
clim_down;mean;2030;8.5,14443,-18334,clim_down,mean,2030,8.5,isla vista
clim_down;mean;2050;2.6,31048,-8203,clim_down,mean,2050,2.6,isla vista
clim_down;mean;2050;4.5,37686,-15959,clim_down,mean,2050,4.5,isla vista
clim_down;mean;2050;6,24588,-31894,clim_down,mean,2050,6,isla vista
clim_down;mean;2050;8.5,3666,-24612,clim_down,mean,2050,8.5,isla vista
clim_down;mean;2070;4.5,35780,-13388,clim_down,mean,2070,4.5,isla vista
clim_down;mean;2070;6,3667,-31030,clim_down,mean,2070,6,isla vista
clim_down;mean;2070;8.5,1623,-57475,clim_down,mean,2070,8.5,isla vista
clim_down;mean;2080;2.6,38439,-13646,clim_down,mean,2080,2.6,isla vista
clim_down;mean;2080;4.5,36400,-10850,clim_down,mean,2080,4.5,isla vista
clim_down;mean;2080;8.5,1056,-56799,clim_down,mean,2080,8.5,isla vista
clim_down;min;2030;2.6,166249,-1278,clim_down,min,2030,2.6,isla vista
clim_down;min;2030;4.5,237779,-16461,clim_down,min,2030,4.5,isla vista
clim_down;min;2030;8.5,257233,-805,clim_down,min,2030,8.5,isla vista
clim_down;min;2050;2.6,251318,-1258,clim_down,min,2050,2.6,isla vista
clim_down;min;2050;4.5,274844,-24829,clim_down,min,2050,4.5,isla vista
clim_down;min;2050;6,284000,-170,clim_down,min,2050,6,isla vista
clim_down;min;2050;8.5,262673,-2196,clim_down,min,2050,8.5,isla vista
clim_down;min;2070;4.5,275007,-31599,clim_down,min,2070,4.5,isla vista
clim_down;min;2070;6,232524,-1813,clim_down,min,2070,6,isla vista
clim_down;min;2070;8.5,366154,-9060,clim_down,min,2070,8.5,isla vista
clim_down;min;2080;2.6,276415,-82,clim_down,min,2080,2.6,isla vista
clim_down;min;2080;4.5,266106,-27221,clim_down,min,2080,4.5,isla vista
clim_down;min;2080;8.5,366172,-9469,clim_down,min,2080,8.5,isla vista
clim_up;max;2030;2.6,263,23,clim_up,max,2030,2.6,isla vista
clim_up;max;2030;4.5,72,4,clim_up,max,2030,4.5,isla vista
clim_up;max;2050;2.6,30,-5,clim_up,max,2050,2.6,isla vista
clim_up;max;2050;4.5,23,1,clim_up,max,2050,4.5,isla vista
clim_up;max;2050;8.5,2,-25,clim_up,max,2050,8.5,isla vista
clim_up;max;2070;4.5,31,-2,clim_up,max,2070,4.5,isla vista
clim_up;max;2070;6,3,-79,clim_up,max,2070,6,isla vista
clim_up;max;2080;4.5,18,-3,clim_up,max,2080,4.5,isla vista
clim_up;mean;2030;2.6,5300,22,clim_up,mean,2030,2.6,isla vista
