year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;4.5,39656,-10115,clim_down,max,2030,4.5,jamestown canyon
clim_down;max;2030;8.5,26800,-14831,clim_down,max,2030,8.5,jamestown canyon
clim_down;max;2050;2.6,46595,-7920,clim_down,max,2050,2.6,jamestown canyon
clim_down;max;2050;4.5,47603,-10254,clim_down,max,2050,4.5,jamestown canyon
clim_down;max;2050;6,46826,-13875,clim_down,max,2050,6,jamestown canyon
clim_down;max;2070;2.6,33569,-13619,clim_down,max,2070,2.6,jamestown canyon
clim_down;max;2070;6,45732,-27031,clim_down,max,2070,6,jamestown canyon
clim_down;max;2070;8.5,122031,-56147,clim_down,max,2070,8.5,jamestown canyon
clim_down;max;2080;2.6,54922,-10690,clim_down,max,2080,2.6,jamestown canyon
clim_down;max;2080;4.5,51469,-8841,clim_down,max,2080,4.5,jamestown canyon
clim_down;max;2080;8.5,94676,-56662,clim_down,max,2080,8.5,jamestown canyon
clim_down;mean;2030;4.5,48351,-11885,clim_down,mean,2030,4.5,jamestown canyon
clim_down;mean;2030;8.5,37171,-14796,clim_down,mean,2030,8.5,jamestown canyon
clim_down;mean;2050;2.6,54287,-11005,clim_down,mean,2050,2.6,jamestown canyon
clim_down;mean;2050;4.5,54803,-16589,clim_down,mean,2050,4.5,jamestown canyon
clim_down;mean;2050;6,50879,-25162,clim_down,mean,2050,6,jamestown canyon
clim_down;mean;2070;2.6,40714,-15644,clim_down,mean,2070,2.6,jamestown canyon
clim_down;mean;2070;6,54636,-36333,clim_down,mean,2070,6,jamestown canyon
clim_down;mean;2070;8.5,142918,-59613,clim_down,mean,2070,8.5,jamestown canyon
clim_down;mean;2080;2.6,63991,-13952,clim_down,mean,2080,2.6,jamestown canyon
clim_down;mean;2080;4.5,58044,-14513,clim_down,mean,2080,4.5,jamestown canyon
clim_down;mean;2080;8.5,108347,-61173,clim_down,mean,2080,8.5,jamestown canyon
clim_down;min;2030;4.5,64339,-13315,clim_down,min,2030,4.5,jamestown canyon
clim_down;min;2030;8.5,54541,-18672,clim_down,min,2030,8.5,jamestown canyon
clim_down;min;2050;2.6,68659,-17463,clim_down,min,2050,2.6,jamestown canyon
clim_down;min;2050;4.5,75646,-17922,clim_down,min,2050,4.5,jamestown canyon
clim_down;min;2050;6,62219,-33333,clim_down,min,2050,6,jamestown canyon
clim_down;min;2070;2.6,53932,-23864,clim_down,min,2070,2.6,jamestown canyon
clim_down;min;2070;6,73702,-46849,clim_down,min,2070,6,jamestown canyon
clim_down;min;2070;8.5,183463,-59744,clim_down,min,2070,8.5,jamestown canyon
clim_down;min;2080;2.6,81559,-19022,clim_down,min,2080,2.6,jamestown canyon
clim_down;min;2080;4.5,72979,-18202,clim_down,min,2080,4.5,jamestown canyon
clim_down;min;2080;8.5,132647,-58880,clim_down,min,2080,8.5,jamestown canyon
clim_up;max;2030;4.5,163658,5315,clim_up,max,2030,4.5,jamestown canyon
clim_up;max;2030;8.5,196975,6232,clim_up,max,2030,8.5,jamestown canyon
clim_up;max;2050;2.6,144977,4976,clim_up,max,2050,2.6,jamestown canyon
clim_up;max;2050;4.5,166954,5965,clim_up,max,2050,4.5,jamestown canyon
clim_up;max;2050;6,169147,6412,clim_up,max,2050,6,jamestown canyon
clim_up;max;2070;2.6,179167,6394,clim_up,max,2070,2.6,jamestown canyon
clim_up;max;2070;6,128225,4701,clim_up,max,2070,6,jamestown canyon
clim_up;max;2070;8.5,77462,2714,clim_up,max,2070,8.5,jamestown canyon
clim_up;max;2080;2.6,129601,4315,clim_up,max,2080,2.6,jamestown canyon
clim_up;max;2080;4.5,159777,6656,clim_up,max,2080,4.5,jamestown canyon
clim_up;max;2080;8.5,155945,5805,clim_up,max,2080,8.5,jamestown canyon
clim_up;mean;2030;4.5,209959,7037,clim_up,mean,2030,4.5,jamestown canyon
clim_up;mean;2030;8.5,241529,7245,clim_up,mean,2030,8.5,jamestown canyon
clim_up;mean;2050;2.6,184798,6814,clim_up,mean,2050,2.6,jamestown canyon
clim_up;mean;2050;4.5,212644,6464,clim_up,mean,2050,4.5,jamestown canyon
clim_up;mean;2050;6,215851,8450,clim_up,mean,2050,6,jamestown canyon
clim_up;mean;2070;2.6,228205,8443,clim_up,mean,2070,2.6,jamestown canyon
clim_up;mean;2070;6,168854,6190,clim_up,mean,2070,6,jamestown canyon
clim_up;mean;2070;8.5,105487,3410,clim_up,mean,2070,8.5,jamestown canyon
clim_up;mean;2080;2.6,171504,6700,clim_up,mean,2080,2.6,jamestown canyon
clim_up;mean;2080;4.5,209524,8733,clim_up,mean,2080,4.5,jamestown canyon
clim_up;mean;2080;8.5,203729,8135,clim_up,mean,2080,8.5,jamestown canyon
clim_up;min;2030;4.5,310414,20672,clim_up,min,2030,4.5,jamestown canyon
clim_up;min;2030;8.5,335775,20251,clim_up,min,2030,8.5,jamestown canyon
clim_up;min;2050;2.6,275142,19934,clim_up,min,2050,2.6,jamestown canyon
clim_up;min;2050;4.5,305661,20679,clim_up,min,2050,4.5,jamestown canyon
clim_up;min;2050;6,318702,25421,clim_up,min,2050,6,jamestown canyon
clim_up;min;2070;2.6,325258,21852,clim_up,min,2070,2.6,jamestown canyon
clim_up;min;2070;6,260710,19577,clim_up,min,2070,6,jamestown canyon
clim_up;min;2070;8.5,171033,12802,clim_up,min,2070,8.5,jamestown canyon
clim_up;min;2080;2.6,260248,18226,clim_up,min,2080,2.6,jamestown canyon
clim_up;min;2080;4.5,311922,24744,clim_up,min,2080,4.5,jamestown canyon
clim_up;min;2080;8.5,310380,25051,clim_up,min,2080,8.5,jamestown canyon
dummy;max;2030;4.5,410909,-6582,dummy,max,2030,4.5,jamestown canyon
dummy;max;2030;8.5,407067,-10424,dummy,max,2030,8.5,jamestown canyon
dummy;max;2050;2.6,413343,-4148,dummy,max,2050,2.6,jamestown canyon
dummy;max;2050;4.5,411775,-5716,dummy,max,2050,4.5,jamestown canyon
dummy;max;2050;6,408767,-8724,dummy,max,2050,6,jamestown canyon
dummy;max;2070;2.6,408970,-8521,dummy,max,2070,2.6,jamestown canyon
dummy;max;2070;6,394566,-22925,dummy,max,2070,6,jamestown canyon
dummy;max;2070;8.5,361017,-56474,dummy,max,2070,8.5,jamestown canyon
dummy;max;2080;2.6,409948,-7543,dummy,max,2080,2.6,jamestown canyon
dummy;max;2080;4.5,413628,-3863,dummy,max,2080,4.5,jamestown canyon
dummy;max;2080;8.5,365683,-51779,dummy,max,2080,8.5,jamestown canyon
dummy;mean;2030;4.5,481131,-5980,dummy,mean,2030,4.5,jamestown canyon
dummy;mean;2030;8.5,478606,-8505,dummy,mean,2030,8.5,jamestown canyon
dummy;mean;2050;2.6,481858,-5253,dummy,mean,2050,2.6,jamestown canyon
dummy;mean;2050;4.5,475229,-11882,dummy,mean,2050,4.5,jamestown canyon
dummy;mean;2050;6,469284,-17827,dummy,mean,2050,6,jamestown canyon
dummy;mean;2070;2.6,479239,-7872,dummy,mean,2070,2.6,jamestown canyon
dummy;mean;2070;6,456107,-31004,dummy,mean,2070,6,jamestown canyon
dummy;mean;2070;8.5,428223,-58888,dummy,mean,2070,8.5,jamestown canyon
dummy;mean;2080;2.6,478531,-8580,dummy,mean,2080,2.6,jamestown canyon
dummy;mean;2080;4.5,479863,-7248,dummy,mean,2080,4.5,jamestown canyon
dummy;mean;2080;8.5,433476,-53600,dummy,mean,2080,8.5,jamestown canyon
dummy;min;2030;4.5,619319,5667,dummy,min,2030,4.5,jamestown canyon
dummy;min;2030;8.5,612179,-1419,dummy,min,2030,8.5,jamestown canyon
dummy;min;2050;2.6,614315,663,dummy,min,2050,2.6,jamestown canyon
dummy;min;2050;4.5,614359,708,dummy,min,2050,4.5,jamestown canyon
dummy;min;2050;6,604770,-8834,dummy,min,2050,6,jamestown canyon
dummy;min;2070;2.6,609876,-3723,dummy,min,2070,2.6,jamestown canyon
dummy;min;2070;6,584498,-29153,dummy,min,2070,6,jamestown canyon
dummy;min;2070;8.5,563352,-50295,dummy,min,2070,8.5,jamestown canyon
dummy;min;2080;2.6,610424,-3192,dummy,min,2080,2.6,jamestown canyon
dummy;min;2080;4.5,617970,4336,dummy,min,2080,4.5,jamestown canyon
dummy;min;2080;8.5,577775,-35197,dummy,min,2080,8.5,jamestown canyon
lu_down;max;2030;4.5,93130,-13,lu_down,max,2030,4.5,jamestown canyon
lu_down;max;2030;8.5,11332,-1534,lu_down,max,2030,8.5,jamestown canyon
lu_down;max;2050;2.6,65785,77,lu_down,max,2050,2.6,jamestown canyon
lu_down;max;2050;4.5,163366,-7,lu_down,max,2050,4.5,jamestown canyon
lu_down;max;2050;6,20645,-2100,lu_down,max,2050,6,jamestown canyon
lu_down;max;2070;2.6,73280,-380,lu_down,max,2070,2.6,jamestown canyon
lu_down;max;2070;6,28218,-7779,lu_down,max,2070,6,jamestown canyon
lu_down;max;2070;8.5,24387,-16634,lu_down,max,2070,8.5,jamestown canyon
lu_down;max;2080;2.6,77556,-1186,lu_down,max,2080,2.6,jamestown canyon
lu_down;max;2080;4.5,193985,831,lu_down,max,2080,4.5,jamestown canyon
lu_down;max;2080;8.5,33878,-13578,lu_down,max,2080,8.5,jamestown canyon
lu_down;mean;2030;4.5,106591,489,lu_down,mean,2030,4.5,jamestown canyon
lu_down;mean;2030;8.5,18706,-1122,lu_down,mean,2030,8.5,jamestown canyon
lu_down;mean;2050;2.6,86968,786,lu_down,mean,2050,2.6,jamestown canyon
lu_down;mean;2050;4.5,192377,370,lu_down,mean,2050,4.5,jamestown canyon
