year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,60558,-10960,clim_down,max,2030,2.6,japanese encephalitis
clim_down;max;2030;4.5,52322,-12086,clim_down,max,2030,4.5,japanese encephalitis
clim_down;max;2030;6,42181,-9047,clim_down,max,2030,6,japanese encephalitis
clim_down;max;2030;8.5,47351,-12212,clim_down,max,2030,8.5,japanese encephalitis
clim_down;max;2050;2.6,51341,-11596,clim_down,max,2050,2.6,japanese encephalitis
clim_down;max;2050;4.5,42140,-14934,clim_down,max,2050,4.5,japanese encephalitis
clim_down;max;2050;6,36827,-24984,clim_down,max,2050,6,japanese encephalitis
clim_down;max;2050;8.5,52642,-9073,clim_down,max,2050,8.5,japanese encephalitis
clim_down;max;2070;2.6,50718,-10126,clim_down,max,2070,2.6,japanese encephalitis
clim_down;max;2070;4.5,74529,-27051,clim_down,max,2070,4.5,japanese encephalitis
clim_down;max;2070;6,46728,-47111,clim_down,max,2070,6,japanese encephalitis
clim_down;max;2070;8.5,90600,-32381,clim_down,max,2070,8.5,japanese encephalitis
clim_down;max;2080;2.6,53395,-15766,clim_down,max,2080,2.6,japanese encephalitis
clim_down;max;2080;4.5,54191,-13866,clim_down,max,2080,4.5,japanese encephalitis
clim_down;max;2080;6,12581,-76063,clim_down,max,2080,6,japanese encephalitis
clim_down;max;2080;8.5,59762,-36312,clim_down,max,2080,8.5,japanese encephalitis
clim_down;mean;2030;2.6,74412,-7388,clim_down,mean,2030,2.6,japanese encephalitis
clim_down;mean;2030;4.5,66865,-15185,clim_down,mean,2030,4.5,japanese encephalitis
clim_down;mean;2030;6,53767,-9093,clim_down,mean,2030,6,japanese encephalitis
clim_down;mean;2030;8.5,69589,-11973,clim_down,mean,2030,8.5,japanese encephalitis
clim_down;mean;2050;2.6,65989,-13132,clim_down,mean,2050,2.6,japanese encephalitis
clim_down;mean;2050;4.5,55111,-15840,clim_down,mean,2050,4.5,japanese encephalitis
clim_down;mean;2050;6,65186,-12617,clim_down,mean,2050,6,japanese encephalitis
clim_down;mean;2050;8.5,60420,-8163,clim_down,mean,2050,8.5,japanese encephalitis
clim_down;mean;2070;2.6,62774,-15260,clim_down,mean,2070,2.6,japanese encephalitis
clim_down;mean;2070;4.5,97922,-14551,clim_down,mean,2070,4.5,japanese encephalitis
clim_down;mean;2070;6,74901,-26982,clim_down,mean,2070,6,japanese encephalitis
clim_down;mean;2070;8.5,117498,-17630,clim_down,mean,2070,8.5,japanese encephalitis
clim_down;mean;2080;2.6,70171,-12900,clim_down,mean,2080,2.6,japanese encephalitis
clim_down;mean;2080;4.5,63553,-15564,clim_down,mean,2080,4.5,japanese encephalitis
clim_down;mean;2080;6,31540,-73926,clim_down,mean,2080,6,japanese encephalitis
clim_down;mean;2080;8.5,84787,-20997,clim_down,mean,2080,8.5,japanese encephalitis
clim_down;min;2030;2.6,79362,-5100,clim_down,min,2030,2.6,japanese encephalitis
clim_down;min;2030;4.5,74668,-11528,clim_down,min,2030,4.5,japanese encephalitis
clim_down;min;2030;6,61374,-4639,clim_down,min,2030,6,japanese encephalitis
clim_down;min;2030;8.5,79652,-6727,clim_down,min,2030,8.5,japanese encephalitis
clim_down;min;2050;2.6,75903,-6778,clim_down,min,2050,2.6,japanese encephalitis
clim_down;min;2050;4.5,62377,-12532,clim_down,min,2050,4.5,japanese encephalitis
clim_down;min;2050;6,75172,-7442,clim_down,min,2050,6,japanese encephalitis
clim_down;min;2050;8.5,64077,-7111,clim_down,min,2050,8.5,japanese encephalitis
clim_down;min;2070;2.6,72844,-8979,clim_down,min,2070,2.6,japanese encephalitis
clim_down;min;2070;4.5,105349,-10619,clim_down,min,2070,4.5,japanese encephalitis
clim_down;min;2070;6,90163,-14468,clim_down,min,2070,6,japanese encephalitis
clim_down;min;2070;8.5,126452,-11943,clim_down,min,2070,8.5,japanese encephalitis
clim_down;min;2080;2.6,77527,-9627,clim_down,min,2080,2.6,japanese encephalitis
clim_down;min;2080;4.5,69620,-12445,clim_down,min,2080,4.5,japanese encephalitis
clim_down;min;2080;6,44686,-65268,clim_down,min,2080,6,japanese encephalitis
clim_down;min;2080;8.5,94087,-14698,clim_down,min,2080,8.5,japanese encephalitis
clim_up;max;2030;2.6,341841,31873,clim_up,max,2030,2.6,japanese encephalitis
clim_up;max;2030;4.5,350255,45654,clim_up,max,2030,4.5,japanese encephalitis
clim_up;max;2030;6,434281,24344,clim_up,max,2030,6,japanese encephalitis
clim_up;max;2030;8.5,373433,44436,clim_up,max,2030,8.5,japanese encephalitis
clim_up;max;2050;2.6,384735,35657,clim_up,max,2050,2.6,japanese encephalitis
clim_up;max;2050;4.5,439217,45636,clim_up,max,2050,4.5,japanese encephalitis
clim_up;max;2050;6,332775,-35647,clim_up,max,2050,6,japanese encephalitis
clim_up;max;2050;8.5,526138,71337,clim_up,max,2050,8.5,japanese encephalitis
clim_up;max;2070;2.6,368952,30004,clim_up,max,2070,2.6,japanese encephalitis
clim_up;max;2070;4.5,329311,17095,clim_up,max,2070,4.5,japanese encephalitis
clim_up;max;2070;6,339495,-27615,clim_up,max,2070,6,japanese encephalitis
clim_up;max;2070;8.5,456104,49462,clim_up,max,2070,8.5,japanese encephalitis
clim_up;max;2080;2.6,350731,17065,clim_up,max,2080,2.6,japanese encephalitis
clim_up;max;2080;4.5,428876,30192,clim_up,max,2080,4.5,japanese encephalitis
clim_up;max;2080;6,227580,-53647,clim_up,max,2080,6,japanese encephalitis
clim_up;max;2080;8.5,572120,76154,clim_up,max,2080,8.5,japanese encephalitis
clim_up;mean;2030;2.6,455711,11402,clim_up,mean,2030,2.6,japanese encephalitis
clim_up;mean;2030;4.5,445522,10722,clim_up,mean,2030,4.5,japanese encephalitis
clim_up;mean;2030;6,586054,16717,clim_up,mean,2030,6,japanese encephalitis
clim_up;mean;2030;8.5,468881,10776,clim_up,mean,2030,8.5,japanese encephalitis
clim_up;mean;2050;2.6,483995,3953,clim_up,mean,2050,2.6,japanese encephalitis
clim_up;mean;2050;4.5,539643,-8210,clim_up,mean,2050,4.5,japanese encephalitis
clim_up;mean;2050;6,495074,-10616,clim_up,mean,2050,6,japanese encephalitis
clim_up;mean;2050;8.5,659830,18002,clim_up,mean,2050,8.5,japanese encephalitis
clim_up;mean;2070;2.6,477863,755,clim_up,mean,2070,2.6,japanese encephalitis
clim_up;mean;2070;4.5,436542,-25261,clim_up,mean,2070,4.5,japanese encephalitis
clim_up;mean;2070;6,515036,-14696,clim_up,mean,2070,6,japanese encephalitis
clim_up;mean;2070;8.5,618321,17136,clim_up,mean,2070,8.5,japanese encephalitis
clim_up;mean;2080;2.6,459604,-4859,clim_up,mean,2080,2.6,japanese encephalitis
clim_up;mean;2080;4.5,555266,-13368,clim_up,mean,2080,4.5,japanese encephalitis
clim_up;mean;2080;6,330259,-44739,clim_up,mean,2080,6,japanese encephalitis
clim_up;mean;2080;8.5,734695,19352,clim_up,mean,2080,8.5,japanese encephalitis
clim_up;min;2030;2.6,498152,7400,clim_up,min,2030,2.6,japanese encephalitis
clim_up;min;2030;4.5,481989,8741,clim_up,min,2030,4.5,japanese encephalitis
clim_up;min;2030;6,634068,17382,clim_up,min,2030,6,japanese encephalitis
clim_up;min;2030;8.5,505835,8456,clim_up,min,2030,8.5,japanese encephalitis
clim_up;min;2050;2.6,523050,1785,clim_up,min,2050,2.6,japanese encephalitis
clim_up;min;2050;4.5,586684,-7442,clim_up,min,2050,4.5,japanese encephalitis
clim_up;min;2050;6,546342,1553,clim_up,min,2050,6,japanese encephalitis
