year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,20300,-23958,clim_down,max,2030,2.6,jemezsprings
clim_down;max;2030;6,20526,-17530,clim_down,max,2030,6,jemezsprings
clim_down;max;2030;8.5,20108,-21150,clim_down,max,2030,8.5,jemezsprings
clim_down;max;2050;2.6,19215,-25527,clim_down,max,2050,2.6,jemezsprings
clim_down;max;2050;4.5,20888,-32195,clim_down,max,2050,4.5,jemezsprings
clim_down;max;2050;6,23377,-20874,clim_down,max,2050,6,jemezsprings
clim_down;max;2050;8.5,12694,-41421,clim_down,max,2050,8.5,jemezsprings
clim_down;max;2070;2.6,22209,-28621,clim_down,max,2070,2.6,jemezsprings
clim_down;max;2070;4.5,20208,-36244,clim_down,max,2070,4.5,jemezsprings
clim_down;max;2070;6,15390,-41339,clim_down,max,2070,6,jemezsprings
clim_down;max;2070;8.5,5366,-60056,clim_down,max,2070,8.5,jemezsprings
clim_down;max;2080;2.6,20659,-23124,clim_down,max,2080,2.6,jemezsprings
clim_down;max;2080;4.5,13016,-46778,clim_down,max,2080,4.5,jemezsprings
clim_down;max;2080;6,18235,-35751,clim_down,max,2080,6,jemezsprings
clim_down;max;2080;8.5,4296,-62141,clim_down,max,2080,8.5,jemezsprings
clim_down;mean;2030;2.6,206694,-60936,clim_down,mean,2030,2.6,jemezsprings
clim_down;mean;2030;6,304052,-41798,clim_down,mean,2030,6,jemezsprings
clim_down;mean;2030;8.5,208028,-33646,clim_down,mean,2030,8.5,jemezsprings
clim_down;mean;2050;2.6,236919,-149816,clim_down,mean,2050,2.6,jemezsprings
clim_down;mean;2050;4.5,190018,-78610,clim_down,mean,2050,4.5,jemezsprings
clim_down;mean;2050;6,160137,-33191,clim_down,mean,2050,6,jemezsprings
clim_down;mean;2050;8.5,222206,-62562,clim_down,mean,2050,8.5,jemezsprings
clim_down;mean;2070;2.6,215552,-128504,clim_down,mean,2070,2.6,jemezsprings
clim_down;mean;2070;4.5,210091,-117928,clim_down,mean,2070,4.5,jemezsprings
clim_down;mean;2070;6,321636,-97347,clim_down,mean,2070,6,jemezsprings
clim_down;mean;2070;8.5,315709,-120550,clim_down,mean,2070,8.5,jemezsprings
clim_down;mean;2080;2.6,262048,-177407,clim_down,mean,2080,2.6,jemezsprings
clim_down;mean;2080;4.5,239975,-192171,clim_down,mean,2080,4.5,jemezsprings
clim_down;mean;2080;6,266149,-89341,clim_down,mean,2080,6,jemezsprings
clim_down;mean;2080;8.5,345265,-148143,clim_down,mean,2080,8.5,jemezsprings
clim_down;min;2030;2.6,302588,-11434,clim_down,min,2030,2.6,jemezsprings
clim_down;min;2030;6,387573,-10922,clim_down,min,2030,6,jemezsprings
clim_down;min;2030;8.5,275102,-5976,clim_down,min,2030,8.5,jemezsprings
clim_down;min;2050;2.6,427997,-20915,clim_down,min,2050,2.6,jemezsprings
clim_down;min;2050;4.5,301270,-14094,clim_down,min,2050,4.5,jemezsprings
clim_down;min;2050;6,215231,-8739,clim_down,min,2050,6,jemezsprings
clim_down;min;2050;8.5,315359,-9452,clim_down,min,2050,8.5,jemezsprings
clim_down;min;2070;2.6,376635,-22371,clim_down,min,2070,2.6,jemezsprings
clim_down;min;2070;4.5,362473,-19097,clim_down,min,2070,4.5,jemezsprings
clim_down;min;2070;6,441590,-35342,clim_down,min,2070,6,jemezsprings
clim_down;min;2070;8.5,468969,-27440,clim_down,min,2070,8.5,jemezsprings
clim_down;min;2080;2.6,472807,-28373,clim_down,min,2080,2.6,jemezsprings
clim_down;min;2080;4.5,432477,-53126,clim_down,min,2080,4.5,jemezsprings
clim_down;min;2080;6,367651,-44911,clim_down,min,2080,6,jemezsprings
clim_down;min;2080;8.5,511307,-42513,clim_down,min,2080,8.5,jemezsprings
clim_up;max;2030;2.6,8374,205,clim_up,max,2030,2.6,jemezsprings
clim_up;max;2030;6,11004,235,clim_up,max,2030,6,jemezsprings
clim_up;max;2030;8.5,7938,147,clim_up,max,2030,8.5,jemezsprings
clim_up;max;2050;2.6,6107,117,clim_up,max,2050,2.6,jemezsprings
clim_up;max;2050;4.5,5400,198,clim_up,max,2050,4.5,jemezsprings
clim_up;max;2050;6,8309,242,clim_up,max,2050,6,jemezsprings
clim_up;max;2050;8.5,3569,118,clim_up,max,2050,8.5,jemezsprings
clim_up;max;2070;2.6,4686,128,clim_up,max,2070,2.6,jemezsprings
clim_up;max;2070;4.5,3996,141,clim_up,max,2070,4.5,jemezsprings
clim_up;max;2070;6,4406,160,clim_up,max,2070,6,jemezsprings
clim_up;max;2070;8.5,590,28,clim_up,max,2070,8.5,jemezsprings
clim_up;max;2080;2.6,4787,107,clim_up,max,2080,2.6,jemezsprings
clim_up;max;2080;4.5,2907,159,clim_up,max,2080,4.5,jemezsprings
clim_up;max;2080;6,4035,98,clim_up,max,2080,6,jemezsprings
clim_up;max;2080;8.5,372,22,clim_up,max,2080,8.5,jemezsprings
clim_up;mean;2030;2.6,129389,-3355,clim_up,mean,2030,2.6,jemezsprings
clim_up;mean;2030;6,80449,27,clim_up,mean,2030,6,jemezsprings
clim_up;mean;2030;8.5,160344,401,clim_up,mean,2030,8.5,jemezsprings
clim_up;mean;2050;2.6,53879,-942,clim_up,mean,2050,2.6,jemezsprings
clim_up;mean;2050;4.5,119391,-14126,clim_up,mean,2050,4.5,jemezsprings
clim_up;mean;2050;6,292111,-821,clim_up,mean,2050,6,jemezsprings
clim_up;mean;2050;8.5,158380,270,clim_up,mean,2050,8.5,jemezsprings
clim_up;mean;2070;2.6,57151,-7652,clim_up,mean,2070,2.6,jemezsprings
clim_up;mean;2070;4.5,76937,-27556,clim_up,mean,2070,4.5,jemezsprings
clim_up;mean;2070;6,34101,105,clim_up,mean,2070,6,jemezsprings
clim_up;mean;2070;8.5,31592,-114,clim_up,mean,2070,8.5,jemezsprings
clim_up;mean;2080;2.6,19328,-281,clim_up,mean,2080,2.6,jemezsprings
clim_up;mean;2080;4.5,35219,-908,clim_up,mean,2080,4.5,jemezsprings
clim_up;mean;2080;6,79814,-66,clim_up,mean,2080,6,jemezsprings
clim_up;mean;2080;8.5,34233,-26,clim_up,mean,2080,8.5,jemezsprings
clim_up;min;2030;2.6,186060,-228,clim_up,min,2030,2.6,jemezsprings
clim_up;min;2030;6,85801,5,clim_up,min,2030,6,jemezsprings
clim_up;min;2030;8.5,204054,-21,clim_up,min,2030,8.5,jemezsprings
clim_up;min;2050;2.6,60443,3,clim_up,min,2050,2.6,jemezsprings
clim_up;min;2050;4.5,170155,-186,clim_up,min,2050,4.5,jemezsprings
clim_up;min;2050;6,361108,-213,clim_up,min,2050,6,jemezsprings
clim_up;min;2050;8.5,239275,9,clim_up,min,2050,8.5,jemezsprings
clim_up;min;2070;2.6,88434,-324,clim_up,min,2070,2.6,jemezsprings
clim_up;min;2070;4.5,130620,-1146,clim_up,min,2070,4.5,jemezsprings
clim_up;min;2070;6,77300,-2,clim_up,min,2070,6,jemezsprings
clim_up;min;2070;8.5,96017,4,clim_up,min,2070,8.5,jemezsprings
clim_up;min;2080;2.6,25738,-3,clim_up,min,2080,2.6,jemezsprings
clim_up;min;2080;4.5,49729,4,clim_up,min,2080,4.5,jemezsprings
clim_up;min;2080;6,113786,-4,clim_up,min,2080,6,jemezsprings
clim_up;min;2080;8.5,93506,4,clim_up,min,2080,8.5,jemezsprings
dummy;max;2030;2.6,42404,-25839,dummy,max,2030,2.6,jemezsprings
dummy;max;2030;6,48914,-19329,dummy,max,2030,6,jemezsprings
dummy;max;2030;8.5,43614,-24629,dummy,max,2030,8.5,jemezsprings
dummy;max;2050;2.6,40478,-27765,dummy,max,2050,2.6,jemezsprings
dummy;max;2050;4.5,35142,-33101,dummy,max,2050,4.5,jemezsprings
dummy;max;2050;6,45148,-23095,dummy,max,2050,6,jemezsprings
dummy;max;2050;8.5,23642,-44601,dummy,max,2050,8.5,jemezsprings
dummy;max;2070;2.6,37560,-30683,dummy,max,2070,2.6,jemezsprings
dummy;max;2070;4.5,31198,-37045,dummy,max,2070,4.5,jemezsprings
dummy;max;2070;6,26665,-41578,dummy,max,2070,6,jemezsprings
dummy;max;2070;8.5,7576,-60667,dummy,max,2070,8.5,jemezsprings
dummy;max;2080;2.6,41379,-26864,dummy,max,2080,2.6,jemezsprings
dummy;max;2080;4.5,20976,-47267,dummy,max,2080,4.5,jemezsprings
dummy;max;2080;6,30516,-37727,dummy,max,2080,6,jemezsprings
dummy;max;2080;8.5,5608,-62635,dummy,max,2080,8.5,jemezsprings
dummy;mean;2030;2.6,602195,-112910,dummy,mean,2030,2.6,jemezsprings
dummy;mean;2030;6,662887,-47803,dummy,mean,2030,6,jemezsprings
dummy;mean;2030;8.5,675419,-38675,dummy,mean,2030,8.5,jemezsprings
dummy;mean;2050;2.6,483741,-191892,dummy,mean,2050,2.6,jemezsprings
