year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,2978,-1525,clim_down,max,2030,2.6,junin
clim_down;max;2030;4.5,4876,-4021,clim_down,max,2030,4.5,junin
clim_down;max;2030;6,6019,-5116,clim_down,max,2030,6,junin
clim_down;max;2030;8.5,8843,-6278,clim_down,max,2030,8.5,junin
clim_down;max;2050;2.6,4728,-3050,clim_down,max,2050,2.6,junin
clim_down;max;2050;4.5,8875,-6723,clim_down,max,2050,4.5,junin
clim_down;max;2050;6,1387,-15384,clim_down,max,2050,6,junin
clim_down;max;2050;8.5,4941,-16819,clim_down,max,2050,8.5,junin
clim_down;max;2070;2.6,9836,-6204,clim_down,max,2070,2.6,junin
clim_down;max;2070;4.5,3466,-3564,clim_down,max,2070,4.5,junin
clim_down;max;2070;6,6123,-8014,clim_down,max,2070,6,junin
clim_down;max;2070;8.5,1701,-22106,clim_down,max,2070,8.5,junin
clim_down;max;2080;2.6,6617,-3958,clim_down,max,2080,2.6,junin
clim_down;max;2080;4.5,8080,-7352,clim_down,max,2080,4.5,junin
clim_down;max;2080;6,7514,-8717,clim_down,max,2080,6,junin
clim_down;max;2080;8.5,5842,-13023,clim_down,max,2080,8.5,junin
clim_down;mean;2030;2.6,9225,-3332,clim_down,mean,2030,2.6,junin
clim_down;mean;2030;4.5,11950,-6434,clim_down,mean,2030,4.5,junin
clim_down;mean;2030;6,12870,-10222,clim_down,mean,2030,6,junin
clim_down;mean;2030;8.5,14339,-13115,clim_down,mean,2030,8.5,junin
clim_down;mean;2050;2.6,12358,-6826,clim_down,mean,2050,2.6,junin
clim_down;mean;2050;4.5,17705,-10422,clim_down,mean,2050,4.5,junin
clim_down;mean;2050;6,10799,-16189,clim_down,mean,2050,6,junin
clim_down;mean;2050;8.5,18522,-18294,clim_down,mean,2050,8.5,junin
clim_down;mean;2070;2.6,20092,-8857,clim_down,mean,2070,2.6,junin
clim_down;mean;2070;4.5,10782,-5690,clim_down,mean,2070,4.5,junin
clim_down;mean;2070;6,11976,-14695,clim_down,mean,2070,6,junin
clim_down;mean;2070;8.5,18298,-20780,clim_down,mean,2070,8.5,junin
clim_down;mean;2080;2.6,13890,-7521,clim_down,mean,2080,2.6,junin
clim_down;mean;2080;4.5,15930,-11414,clim_down,mean,2080,4.5,junin
clim_down;mean;2080;6,13290,-14226,clim_down,mean,2080,6,junin
clim_down;mean;2080;8.5,15462,-17282,clim_down,mean,2080,8.5,junin
clim_down;min;2030;2.6,15004,-9125,clim_down,min,2030,2.6,junin
clim_down;min;2030;4.5,19366,-9443,clim_down,min,2030,4.5,junin
clim_down;min;2030;6,21458,-15055,clim_down,min,2030,6,junin
clim_down;min;2030;8.5,22842,-20265,clim_down,min,2030,8.5,junin
clim_down;min;2050;2.6,19822,-12223,clim_down,min,2050,2.6,junin
clim_down;min;2050;4.5,26138,-15688,clim_down,min,2050,4.5,junin
clim_down;min;2050;6,14212,-24393,clim_down,min,2050,6,junin
