year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,11062,-1864,clim_down,max,2030,2.6,khujand
clim_down;max;2030;4.5,10624,-2920,clim_down,max,2030,4.5,khujand
clim_down;max;2030;6,1125,-4486,clim_down,max,2030,6,khujand
clim_down;max;2030;8.5,10283,-795,clim_down,max,2030,8.5,khujand
clim_down;max;2050;2.6,11187,-2069,clim_down,max,2050,2.6,khujand
clim_down;max;2050;4.5,6563,-2874,clim_down,max,2050,4.5,khujand
clim_down;max;2050;6,6629,-3501,clim_down,max,2050,6,khujand
clim_down;max;2050;8.5,7497,-1273,clim_down,max,2050,8.5,khujand
clim_down;max;2070;2.6,19750,-2150,clim_down,max,2070,2.6,khujand
clim_down;max;2070;4.5,6316,-3380,clim_down,max,2070,4.5,khujand
clim_down;max;2070;6,3634,-6747,clim_down,max,2070,6,khujand
clim_down;max;2070;8.5,5793,-1685,clim_down,max,2070,8.5,khujand
clim_down;max;2080;2.6,3188,-3142,clim_down,max,2080,2.6,khujand
clim_down;max;2080;4.5,8444,-4328,clim_down,max,2080,4.5,khujand
clim_down;max;2080;6,4867,-3001,clim_down,max,2080,6,khujand
clim_down;max;2080;8.5,5026,-1616,clim_down,max,2080,8.5,khujand
clim_down;mean;2030;2.6,12219,-3315,clim_down,mean,2030,2.6,khujand
clim_down;mean;2030;4.5,12081,-3882,clim_down,mean,2030,4.5,khujand
clim_down;mean;2030;6,2620,-4756,clim_down,mean,2030,6,khujand
clim_down;mean;2030;8.5,12372,-786,clim_down,mean,2030,8.5,khujand
clim_down;mean;2050;2.6,12827,-3511,clim_down,mean,2050,2.6,khujand
clim_down;mean;2050;4.5,8464,-3097,clim_down,mean,2050,4.5,khujand
clim_down;mean;2050;6,8593,-4787,clim_down,mean,2050,6,khujand
clim_down;mean;2050;8.5,9915,-1077,clim_down,mean,2050,8.5,khujand
clim_down;mean;2070;2.6,22247,-3501,clim_down,mean,2070,2.6,khujand
clim_down;mean;2070;4.5,7762,-4337,clim_down,mean,2070,4.5,khujand
clim_down;mean;2070;6,6287,-5945,clim_down,mean,2070,6,khujand
clim_down;mean;2070;8.5,8951,-1630,clim_down,mean,2070,8.5,khujand
clim_down;mean;2080;2.6,6374,-1744,clim_down,mean,2080,2.6,khujand
clim_down;mean;2080;4.5,10856,-5180,clim_down,mean,2080,4.5,khujand
clim_down;mean;2080;6,6041,-4651,clim_down,mean,2080,6,khujand
clim_down;mean;2080;8.5,7757,-1555,clim_down,mean,2080,8.5,khujand
clim_down;min;2030;2.6,13081,-5094,clim_down,min,2030,2.6,khujand
clim_down;min;2030;4.5,14115,-4635,clim_down,min,2030,4.5,khujand
clim_down;min;2030;6,6456,-2115,clim_down,min,2030,6,khujand
clim_down;min;2030;8.5,14022,-771,clim_down,min,2030,8.5,khujand
clim_down;min;2050;2.6,13832,-5673,clim_down,min,2050,2.6,khujand
clim_down;min;2050;4.5,9952,-3615,clim_down,min,2050,4.5,khujand
clim_down;min;2050;6,10465,-6212,clim_down,min,2050,6,khujand
clim_down;min;2050;8.5,11641,-1763,clim_down,min,2050,8.5,khujand
clim_down;min;2070;2.6,23462,-5268,clim_down,min,2070,2.6,khujand
clim_down;min;2070;4.5,8574,-6347,clim_down,min,2070,4.5,khujand
clim_down;min;2070;6,9640,-5002,clim_down,min,2070,6,khujand
clim_down;min;2070;8.5,11299,-2414,clim_down,min,2070,8.5,khujand
clim_down;min;2080;2.6,7315,-1768,clim_down,min,2080,2.6,khujand
clim_down;min;2080;4.5,12193,-7046,clim_down,min,2080,4.5,khujand
