year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;6,26,-17,clim_down,max,2030,6,kyasanur
clim_down;max;2080;2.6,1,-69,clim_down,max,2080,2.6,kyasanur
clim_down;mean;2030;6,41,-24,clim_down,mean,2030,6,kyasanur
clim_down;mean;2080;2.6,3,-92,clim_down,mean,2080,2.6,kyasanur
clim_down;min;2030;6,347,-64,clim_down,min,2030,6,kyasanur
clim_down;min;2030;8.5,268,-128,clim_down,min,2030,8.5,kyasanur
clim_down;min;2050;2.6,649,-330,clim_down,min,2050,2.6,kyasanur
clim_down;min;2050;4.5,127,-299,clim_down,min,2050,4.5,kyasanur
clim_down;min;2050;6,29,-163,clim_down,min,2050,6,kyasanur
clim_down;min;2050;8.5,95,-47,clim_down,min,2050,8.5,kyasanur
clim_down;min;2070;2.6,82,-70,clim_down,min,2070,2.6,kyasanur
clim_down;min;2070;4.5,41,-182,clim_down,min,2070,4.5,kyasanur
clim_down;min;2070;6,40,-47,clim_down,min,2070,6,kyasanur
clim_down;min;2070;8.5,8,-119,clim_down,min,2070,8.5,kyasanur
clim_down;min;2080;2.6,98,-346,clim_down,min,2080,2.6,kyasanur
clim_down;min;2080;4.5,17,-380,clim_down,min,2080,4.5,kyasanur
clim_down;min;2080;6,26,-119,clim_down,min,2080,6,kyasanur
clim_down;min;2080;8.5,11,-20,clim_down,min,2080,8.5,kyasanur
clim_up;max;2030;6,9653,-1621,clim_up,max,2030,6,kyasanur
clim_up;max;2030;8.5,2086,-11706,clim_up,max,2030,8.5,kyasanur
clim_up;max;2050;2.6,830,-13121,clim_up,max,2050,2.6,kyasanur
clim_up;max;2050;4.5,4487,-10326,clim_up,max,2050,4.5,kyasanur
clim_up;max;2050;6,1173,-12883,clim_up,max,2050,6,kyasanur
clim_up;max;2050;8.5,2532,-12486,clim_up,max,2050,8.5,kyasanur
clim_up;max;2070;2.6,1176,-12456,clim_up,max,2070,2.6,kyasanur
clim_up;max;2070;4.5,1478,-13536,clim_up,max,2070,4.5,kyasanur
clim_up;max;2070;6,5793,-9231,clim_up,max,2070,6,kyasanur
clim_up;max;2070;8.5,2291,-12808,clim_up,max,2070,8.5,kyasanur
clim_up;max;2080;2.6,804,-8589,clim_up,max,2080,2.6,kyasanur
clim_up;max;2080;4.5,630,-13809,clim_up,max,2080,4.5,kyasanur
clim_up;max;2080;6,7066,-8005,clim_up,max,2080,6,kyasanur
clim_up;max;2080;8.5,2874,-12220,clim_up,max,2080,8.5,kyasanur
clim_up;mean;2030;6,10319,-1720,clim_up,mean,2030,6,kyasanur
clim_up;mean;2030;8.5,2892,-11972,clim_up,mean,2030,8.5,kyasanur
clim_up;mean;2050;2.6,1278,-13603,clim_up,mean,2050,2.6,kyasanur
clim_up;mean;2050;4.5,6453,-9566,clim_up,mean,2050,4.5,kyasanur
clim_up;mean;2050;6,1902,-13281,clim_up,mean,2050,6,kyasanur
clim_up;mean;2050;8.5,3445,-12797,clim_up,mean,2050,8.5,kyasanur
clim_up;mean;2070;2.6,1576,-13081,clim_up,mean,2070,2.6,kyasanur
clim_up;mean;2070;4.5,2181,-14037,clim_up,mean,2070,4.5,kyasanur
clim_up;mean;2070;6,7225,-9028,clim_up,mean,2070,6,kyasanur
clim_up;mean;2070;8.5,3104,-13233,clim_up,mean,2070,8.5,kyasanur
clim_up;mean;2080;2.6,1087,-8998,clim_up,mean,2080,2.6,kyasanur
clim_up;mean;2080;4.5,1086,-14458,clim_up,mean,2080,4.5,kyasanur
clim_up;mean;2080;6,8706,-7583,clim_up,mean,2080,6,kyasanur
clim_up;mean;2080;8.5,3694,-12631,clim_up,mean,2080,8.5,kyasanur
clim_up;min;2030;6,41466,-7293,clim_up,min,2030,6,kyasanur
clim_up;min;2030;8.5,23862,-30505,clim_up,min,2030,8.5,kyasanur
clim_up;min;2050;2.6,14983,-34740,clim_up,min,2050,2.6,kyasanur
clim_up;min;2050;4.5,26284,-31638,clim_up,min,2050,4.5,kyasanur
clim_up;min;2050;6,19107,-41976,clim_up,min,2050,6,kyasanur
clim_up;min;2050;8.5,32391,-39741,clim_up,min,2050,8.5,kyasanur
clim_up;min;2070;2.6,17227,-34452,clim_up,min,2070,2.6,kyasanur
