year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,14069,-3327,clim_down,max,2030,2.6,la crosse
clim_down;max;2030;4.5,12759,-3211,clim_down,max,2030,4.5,la crosse
clim_down;max;2030;6,18529,-4569,clim_down,max,2030,6,la crosse
clim_down;max;2030;8.5,21294,-10107,clim_down,max,2030,8.5,la crosse
clim_down;max;2050;2.6,13467,-1618,clim_down,max,2050,2.6,la crosse
clim_down;max;2050;4.5,28199,-15357,clim_down,max,2050,4.5,la crosse
clim_down;max;2050;8.5,22530,-11265,clim_down,max,2050,8.5,la crosse
clim_down;max;2070;2.6,19159,-5696,clim_down,max,2070,2.6,la crosse
clim_down;max;2070;4.5,24736,-25524,clim_down,max,2070,4.5,la crosse
clim_down;max;2070;6,31301,-14074,clim_down,max,2070,6,la crosse
clim_down;max;2070;8.5,22932,-14504,clim_down,max,2070,8.5,la crosse
clim_down;max;2080;2.6,15202,-2492,clim_down,max,2080,2.6,la crosse
clim_down;max;2080;4.5,25293,-12961,clim_down,max,2080,4.5,la crosse
clim_down;max;2080;6,20012,-18654,clim_down,max,2080,6,la crosse
clim_down;max;2080;8.5,16790,-22539,clim_down,max,2080,8.5,la crosse
clim_down;mean;2030;2.6,26337,-4731,clim_down,mean,2030,2.6,la crosse
clim_down;mean;2030;4.5,21976,-3975,clim_down,mean,2030,4.5,la crosse
clim_down;mean;2030;6,30996,-6106,clim_down,mean,2030,6,la crosse
clim_down;mean;2030;8.5,40017,-26310,clim_down,mean,2030,8.5,la crosse
clim_down;mean;2050;2.6,23496,-3989,clim_down,mean,2050,2.6,la crosse
clim_down;mean;2050;4.5,57461,-8102,clim_down,mean,2050,4.5,la crosse
clim_down;mean;2050;8.5,47722,-19316,clim_down,mean,2050,8.5,la crosse
clim_down;mean;2070;2.6,35420,-5174,clim_down,mean,2070,2.6,la crosse
clim_down;mean;2070;4.5,59308,-27802,clim_down,mean,2070,4.5,la crosse
clim_down;mean;2070;6,55208,-11762,clim_down,mean,2070,6,la crosse
clim_down;mean;2070;8.5,48988,-18309,clim_down,mean,2070,8.5,la crosse
clim_down;mean;2080;2.6,22996,-2384,clim_down,mean,2080,2.6,la crosse
clim_down;mean;2080;4.5,52185,-10233,clim_down,mean,2080,4.5,la crosse
clim_down;mean;2080;6,52549,-21387,clim_down,mean,2080,6,la crosse
clim_down;mean;2080;8.5,49637,-19152,clim_down,mean,2080,8.5,la crosse
clim_down;min;2030;2.6,52915,-18672,clim_down,min,2030,2.6,la crosse
clim_down;min;2030;4.5,42847,-12117,clim_down,min,2030,4.5,la crosse
clim_down;min;2030;6,57849,-15688,clim_down,min,2030,6,la crosse
clim_down;min;2030;8.5,92242,-53062,clim_down,min,2030,8.5,la crosse
clim_down;min;2050;2.6,47562,-12223,clim_down,min,2050,2.6,la crosse
clim_down;min;2050;4.5,99077,-35553,clim_down,min,2050,4.5,la crosse
clim_down;min;2050;8.5,107080,-61994,clim_down,min,2050,8.5,la crosse
clim_down;min;2070;2.6,61262,-10139,clim_down,min,2070,2.6,la crosse
clim_down;min;2070;4.5,105716,-44882,clim_down,min,2070,4.5,la crosse
clim_down;min;2070;6,96721,-40222,clim_down,min,2070,6,la crosse
clim_down;min;2070;8.5,100361,-55465,clim_down,min,2070,8.5,la crosse
clim_down;min;2080;2.6,46733,-13922,clim_down,min,2080,2.6,la crosse
